"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Gabriela Anna MORAWSKA-STANECKA";"Czesław Wincenty RYSZKA"
"b12f-9405-8a37-1553-3605-cdd8-18d6-c3d2";"247001";"75";"19";"miasto";"stały";"Przedszkole Nr 13, ul. Armii Krajowej 19, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1600";"1741";"649";"951";"0";"0";"0";"0";"0";"0";"0";"0";"0";"951";"0";"0";"951";"31";"6";"25";"0";"920";"461";"459"
"e5d4-98d8-3532-a234-6cfd-1d9d-4775-d00a";"247001";"75";"20";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1, ul. Gen. Jerzego Ziętka 116, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"950";"1024";"206";"744";"1";"10";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"27";"9";"18";"0";"717";"414";"303"
"e0da-88d6-0e76-d0fd-76d7-c536-eea3-c4f4";"247001";"75";"21";"miasto";"stały";"Szkoła Podstawowa Nr 13 z Oddziałami Integracyjnymi i Dwujęzycznymi, ul. Ks. Kardynała Augusta Hlonda 14, 41-412 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1850";"2013";"536";"1314";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1314";"0";"0";"1314";"42";"17";"25";"0";"1272";"713";"559"
"0c6f-0520-67aa-d01f-d05e-d198-c30a-8675";"247001";"75";"22";"miasto";"stały";"Szkoła Podstawowa Nr 13 z Oddziałami Integracyjnymi i Dwujęzycznymi, ul. Ks. Kardynała Augusta Hlonda 14, 41-412 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1350";"1476";"331";"1019";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1019";"0";"0";"1019";"30";"12";"18";"0";"989";"530";"459"
"874b-aa21-5b6b-a403-f420-b751-eae7-07ae";"247001";"75";"23";"miasto";"stały";"Zespół Szkół Specjalnych, ul. Bernarda Wały 4, 41-412 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1200";"1309";"389";"811";"0";"2";"0";"0";"0";"0";"0";"0";"0";"811";"0";"0";"811";"22";"9";"13";"0";"789";"378";"411"
"5aa9-aa86-b4c7-6a3b-0b3d-452b-81c1-8e55";"247001";"75";"24";"miasto";"stały";"Przedszkole Nr 16, ul. Franciszka Kawy 4, 41-412 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1500";"1648";"328";"1172";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1171";"0";"0";"1171";"25";"6";"19";"0";"1146";"627";"519"
"c614-cb68-0a17-8e8d-b229-534a-9995-b017";"247001";"75";"25";"miasto";"stały";"Szkoła Podstawowa Nr 10 z Oddziałami Dwujęzycznymi, ul. Mikołaja Reja 28, 41-404 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1950";"2138";"608";"1342";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1342";"0";"0";"1342";"33";"13";"20";"0";"1309";"594";"715"
"709a-469e-c213-c57d-e928-4162-8846-e29d";"247001";"75";"26";"miasto";"stały";"Mysłowicki Ośrodek Kultury, ul. Laryska 5, 41-404 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1399";"1546";"490";"909";"0";"1";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"35";"13";"22";"0";"874";"400";"474"
"f26c-c93e-2e88-c79a-1580-ee63-bd23-d1c4";"247001";"75";"27";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, ul. Józefa Wybickiego 79, 41-404 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1700";"1845";"365";"1335";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1335";"0";"0";"1335";"31";"15";"16";"0";"1304";"652";"652"
"2bad-055a-5966-f9cf-7b48-4c72-bb06-04c0";"247001";"75";"28";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 4, ul. PCK 209 b, 41-409 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"2050";"2244";"504";"1546";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1546";"0";"0";"1546";"37";"15";"22";"0";"1509";"698";"811"
"d574-8310-c1e5-e96a-6207-d318-8e63-11b1";"247001";"75";"29";"miasto";"stały";"Szkoła Podstawowa Nr 16 z Oddziałami Dwujęzycznymi, ul. Kosztowska 46, 41-409 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1400";"1558";"323";"1077";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1079";"1";"1";"1078";"25";"8";"17";"0";"1053";"531";"522"
"89ae-81f3-2e16-1a8e-7fdd-34cd-e887-7040";"247001";"75";"30";"miasto";"stały";"Szkoła Podstawowa Nr 16 z Oddziałami Dwujęzycznymi budynek przy ul. Jerzego Chromika 3, budynek przy ul. Jerzego Chromika 3 3, 41-409 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1300";"1433";"270";"1030";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1030";"0";"0";"1030";"33";"23";"10";"0";"997";"514";"483"
"440c-5c75-e5ab-2765-09a3-8db4-d246-af36";"247001";"75";"31";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Długa 92, 41-409 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1000";"1123";"318";"682";"0";"0";"0";"0";"0";"0";"0";"0";"0";"682";"0";"0";"682";"10";"4";"6";"0";"672";"252";"420"
"3e7a-e5f1-bb6d-80a6-fa8f-52d6-300e-68a6";"247001";"75";"32";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 3, ul. Laryska 101, 41-404 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1200";"1328";"265";"935";"0";"0";"0";"0";"0";"0";"0";"0";"0";"935";"0";"0";"935";"19";"11";"8";"0";"916";"504";"412"
"984b-4056-80d7-8fa8-c687-ca53-3017-5d64";"247001";"75";"33";"miasto";"stały";"Szkoła Podstawowa Nr 15 z Oddziałami Dwujęzycznymi budynek przy ul. Jana Dzierżonia 26, ul. Jana Dierżonia 26, 41-408 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1946";"2114";"718";"1228";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1228";"0";"2";"1226";"33";"15";"18";"0";"1193";"518";"675"
"c021-dd52-4382-c821-c1fc-969f-65eb-20d6";"247001";"75";"34";"miasto";"stały";"Dom Katechetyczny, ul. Murckowska 147, 41-408 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"750";"834";"183";"567";"0";"0";"0";"0";"0";"0";"0";"0";"0";"567";"0";"0";"567";"15";"2";"13";"0";"552";"207";"345"
"8473-b620-2202-df0f-d37d-f68f-37bc-1b90";"247001";"75";"35";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego budynek przy ul. Pocztowej 20, ul. Pocztowa 20, 41-408 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"750";"814";"281";"469";"0";"3";"0";"0";"0";"0";"0";"0";"0";"469";"0";"0";"469";"14";"4";"10";"0";"455";"209";"246"
"944f-0178-52d4-3564-10fb-94f3-c8ff-a2a7";"247001";"75";"36";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego budynek przy ul. Pocztowej 20, ul. Pocztowa 20, 41-408 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"849";"907";"306";"543";"0";"2";"0";"0";"0";"0";"0";"0";"0";"543";"0";"0";"543";"20";"16";"4";"0";"523";"215";"308"
"8d6e-93fc-d415-26c7-5813-8adf-a748-4ed2";"247001";"75";"37";"miasto";"stały";"Szkoła Podstawowa Nr 14, ul. 3 - go Maja 19, 41-408 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1400";"1556";"233";"1167";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1167";"0";"0";"1167";"34";"12";"22";"0";"1133";"713";"420"
"9cdb-c141-c281-cbdc-a0d3-6a89-b94c-6341";"247001";"75";"38";"miasto";"zakład leczniczy";"Mysłowickie Centrum Zdrowia Sp. z o. o., ul. Mikołowska 1, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"76";"24";"66";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"10";"0";"0";"0";"0";"10";"3";"7"
"03a8-43e1-e4d0-0bee-808b-122c-d0eb-c23f";"247001";"75";"39";"miasto";"zakład leczniczy";"SP ZOZ Szpital nr 2 im. dr. T. Boczonia, ul. Bytomska 41, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"108";"61";"68";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"0";"0";"40";"3";"0";"3";"0";"37";"17";"20"
"ed0f-c312-d50a-6238-691b-f29f-3c76-5795";"247001";"75";"40";"miasto";"areszt śledczy";"Areszt Śledczy, ul. K. Szymanowskiego 6, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"418";"367";"165";"253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"253";"0";"0";"253";"11";"0";"11";"0";"242";"194";"48"
"26b6-48d1-5006-3df0-78e5-6f73-51ab-9746";"247701";"75";"1";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Cypriana Norwida 40, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1700";"1829";"288";"1411";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1412";"0";"1";"1411";"40";"2";"38";"0";"1371";"885";"486"
"0b4b-bd68-a968-210d-982c-efe8-1da7-58c4";"247701";"75";"2";"miasto";"stały";"Szkoła Podstawowa Nr 1, Plac Wolności 4, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1547";"1670";"286";"1261";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1259";"0";"0";"1259";"40";"12";"28";"0";"1219";"746";"473"
"f94b-dcbd-8646-5c62-6775-9edc-a78e-608f";"247701";"75";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1, Plac Wolności 4, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1500";"1626";"403";"1097";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1097";"0";"0";"1097";"34";"14";"20";"0";"1063";"548";"515"
"a190-7d6c-1802-05b3-1208-b943-4c81-1066";"247701";"75";"4";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Katowicka 102, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1797";"1998";"298";"1499";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1498";"0";"0";"1498";"44";"11";"33";"0";"1454";"838";"616"
"aebb-a8ef-4456-2a93-5791-7308-4c98-db27";"247701";"75";"5";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Katowicka 102, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1650";"1825";"406";"1244";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"39";"16";"23";"0";"1205";"585";"620"
"23cd-2e04-fd81-009c-2b9d-190c-fea9-f978";"247701";"75";"6";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Wojska Polskiego 10, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1500";"1644";"568";"932";"1";"3";"0";"0";"0";"0";"0";"0";"0";"932";"0";"0";"932";"28";"7";"21";"0";"904";"501";"403"
"64a7-6b12-c411-f9be-6130-3645-288d-a5dd";"247701";"75";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Wojska Polskiego 10, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1100";"1215";"409";"691";"2";"3";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"21";"4";"17";"0";"670";"348";"322"
"cdcd-020e-5114-d2a6-c212-5281-71b8-47e1";"247701";"75";"8";"miasto";"stały";"Szkoła Podstawowa Nr 14, ul. Brzozowa 24, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1150";"1245";"384";"766";"4";"2";"0";"0";"0";"0";"0";"0";"0";"766";"0";"1";"765";"24";"9";"15";"0";"741";"465";"276"
"5fad-852f-1d43-d9cf-50ca-4d92-fdea-03fc";"247701";"75";"9";"miasto";"stały";"Miejskie Centrum Kultury, ul. Bohaterów Warszawy 26, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1450";"1608";"511";"939";"1";"4";"0";"0";"0";"0";"0";"0";"0";"939";"0";"0";"939";"40";"16";"24";"0";"899";"518";"381"
"1ea9-344d-fb46-48bd-6e15-6e08-412c-290c";"247701";"75";"10";"miasto";"stały";"Przedszkole Nr 11, ul. Bukowa 29, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1694";"1888";"552";"1142";"3";"14";"0";"0";"0";"0";"0";"0";"0";"1142";"0";"0";"1142";"35";"14";"21";"0";"1107";"616";"491"
"709a-5e9a-2839-e0ce-1272-4752-65b0-ea5a";"247701";"75";"11";"miasto";"stały";"Szkoła Podstawowa Nr 17, ul. Begonii 5, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1150";"1232";"450";"700";"1";"1";"1";"0";"0";"0";"0";"0";"0";"700";"0";"0";"700";"23";"9";"14";"0";"677";"378";"299"
"124c-c773-8be7-730c-db54-987b-b43f-a88c";"247701";"75";"12";"miasto";"stały";"Szkoła Podstawowa Nr 17, ul. Begonii 5, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1300";"1417";"251";"1049";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1049";"0";"0";"1049";"38";"10";"28";"0";"1011";"690";"321"
"10c6-54dc-7c29-a221-8d98-e0b4-9f70-a61a";"247701";"75";"13";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 3, ul. Cmentarna 54, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1000";"1087";"212";"788";"2";"4";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"27";"10";"17";"0";"761";"411";"350"
"d025-46f7-ea24-66b7-3d4f-4e0d-fc95-02c8";"247701";"75";"14";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 4, ul. Pogodna 37, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1500";"1690";"305";"1195";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1195";"0";"0";"1195";"15";"4";"11";"0";"1180";"523";"657"
"a702-ec8b-aa60-e735-cbf4-6939-157a-0e8c";"247701";"75";"15";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 4, ul. Pogodna 37, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1250";"1366";"313";"937";"0";"3";"0";"0";"0";"0";"0";"0";"0";"937";"0";"0";"937";"25";"8";"17";"0";"912";"430";"482"
"b28c-fbae-3ec1-6396-436a-fcb7-a5a0-dc8f";"247701";"75";"16";"miasto";"stały";"Zespół Szkół Nr 5, ul. Edukacji 11, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1403";"1526";"516";"882";"1";"4";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"20";"6";"14";"0";"862";"502";"360"
"420c-88ce-19cb-d5c2-f69c-2c31-476e-56cd";"247701";"75";"17";"miasto";"stały";"I Liceum Ogólnokształcące, ul. Janusza Korczaka 6, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1650";"1792";"516";"1134";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"36";"13";"23";"0";"1096";"652";"444"
"ce5e-88f2-5c2e-0518-e1b3-bcb0-24b2-833b";"247701";"75";"18";"miasto";"stały";"Zespół Szkół Nr 1, ul. Filaretów 27, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1700";"1870";"394";"1306";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1306";"0";"0";"1306";"49";"15";"34";"0";"1257";"741";"516"
"c94e-c486-358b-8052-46cd-7ca8-77f7-6371";"247701";"75";"19";"miasto";"stały";"Zespół Szkół Nr 2, ul. Elfów 9, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1600";"1748";"619";"981";"1";"4";"0";"0";"0";"0";"0";"0";"0";"981";"0";"0";"981";"26";"6";"20";"0";"955";"529";"426"
"ff98-c04d-404d-e919-c1df-f558-39e9-0187";"247701";"75";"20";"miasto";"stały";"Szkoła Podstawowa Nr 13, al. Niepodległości 108, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1450";"1560";"537";"913";"5";"6";"0";"0";"0";"0";"0";"0";"0";"912";"0";"0";"912";"21";"8";"13";"0";"891";"473";"418"
"18fd-48e6-6971-30c0-6bcc-c004-bd70-1e3d";"247701";"75";"21";"miasto";"stały";"Szkoła Podstawowa Nr 13, al. Niepodległości 108, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"950";"1056";"359";"591";"1";"1";"0";"0";"0";"0";"0";"0";"0";"591";"0";"0";"591";"17";"8";"9";"0";"574";"306";"268"
"0082-a789-fdca-9797-c760-e787-2e15-5051";"247701";"75";"22";"miasto";"stały";"Przedszkole Nr 22, ul. Henryka Dąbrowskiego 85, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1600";"1779";"456";"1144";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1144";"0";"0";"1144";"49";"11";"38";"0";"1095";"590";"505"
"b98b-f74a-f24d-c2df-e304-3c86-12e7-b1eb";"247701";"75";"23";"miasto";"stały";"Przedszkole Nr 19, al. Niepodległości 154, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1350";"1475";"416";"933";"0";"4";"0";"0";"0";"0";"0";"0";"0";"933";"0";"0";"933";"27";"7";"20";"0";"906";"476";"430"
"ffcc-0550-6555-fc96-11ff-aff6-924b-ae49";"247701";"75";"24";"miasto";"stały";"Zespół Szkół Specjalnych Nr 8, ul. Edukacji 21, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1100";"1214";"387";"713";"4";"1";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"19";"4";"15";"0";"694";"405";"289"
"07ef-b203-c878-9fc0-7232-3084-3c2c-b33c";"247701";"75";"25";"miasto";"stały";"Sportowa Szkoła Podstawowa Nr 19, al. Niepodległości 190, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1000";"1106";"312";"688";"0";"3";"2";"2";"1";"0";"0";"0";"1";"689";"1";"0";"689";"18";"5";"13";"0";"671";"365";"306"
"2d9f-fd25-72b8-d44e-68ac-9445-c655-6a5a";"247701";"75";"26";"miasto";"stały";"Szkoła Podstawowa Nr 36, ul. Generała Ch. De Gaulle'a 18, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"720";"783";"221";"499";"0";"2";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"14";"6";"8";"0";"483";"257";"226"
"b840-e4ac-054d-e52b-4c72-893e-01de-4a90";"247701";"75";"27";"miasto";"stały";"Przedszkole Nr 5, ul. Elizy Orzeszkowej 56, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1150";"1274";"256";"894";"0";"12";"0";"0";"0";"0";"0";"0";"0";"894";"0";"0";"894";"27";"11";"16";"0";"867";"494";"373"
"e6ac-b99c-4b1b-9da0-3742-8bf4-716f-26a1";"247701";"75";"28";"miasto";"stały";"Przedszkole Nr 3, ul. Paprocańska 156, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1149";"1279";"250";"899";"2";"4";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"34";"10";"24";"0";"865";"505";"360"
"0746-174a-e24d-a75a-9efa-a610-fd3f-c1d3";"247701";"75";"29";"miasto";"stały";"Przedszkole Nr 3, ul. Paprocańska 156, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1650";"1785";"422";"1228";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1225";"0";"0";"1225";"33";"12";"21";"0";"1192";"603";"589"
"1e12-a29e-600d-beec-dc08-8f76-e9a3-0202";"247701";"75";"30";"miasto";"stały";"Przedszkole Nr 3, ul. Paprocańska 156, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1300";"1410";"204";"1096";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1096";"0";"0";"1096";"38";"19";"19";"0";"1058";"642";"416"
"7a31-6bcc-a0cb-235e-a9f1-7597-a63f-6897";"247701";"75";"31";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Lwa Tołstoja 1, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1500";"1671";"306";"1194";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1194";"0";"0";"1194";"44";"13";"31";"0";"1150";"742";"408"
"ad17-b126-041b-29fb-f941-8637-eb62-7faf";"247701";"75";"32";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Lwa Tołstoja 1, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1300";"1419";"327";"973";"0";"3";"0";"0";"0";"0";"0";"0";"0";"973";"0";"0";"973";"32";"9";"23";"0";"941";"510";"431"
"238f-a9ec-e524-e149-ce76-1fef-2138-f1f8";"247701";"75";"33";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Lwa Tołstoja 1, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1400";"1500";"348";"1052";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1052";"0";"0";"1052";"23";"7";"16";"0";"1029";"515";"514"
"dfdd-159d-7ce2-b357-3ff2-7240-2cdc-7db2";"247701";"75";"34";"miasto";"stały";"Przedszkole Nr 17, ul. Lwa Tołstoja 5, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1250";"1371";"339";"911";"2";"9";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"22";"18";"4";"0";"889";"490";"399"
"f2cc-9dfc-34e9-0322-93e7-7076-ee12-68df";"247701";"75";"35";"miasto";"stały";"Przedszkole Nr 17, ul. Lwa Tołstoja 5, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1250";"1358";"245";"1005";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1004";"0";"0";"1004";"18";"14";"4";"0";"986";"593";"393"
"1f18-8725-7a42-24fa-29cf-a15e-bcf6-e280";"247701";"75";"36";"miasto";"stały";"Szkoła Podstawowa Nr 40, ul. Alfonsa Zgrzebnioka 45, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1450";"1566";"312";"1138";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1138";"0";"0";"1138";"31";"11";"20";"0";"1107";"611";"496"
"245b-f757-8c2b-2b6f-7e3d-5c2a-ebdb-5edb";"247701";"75";"37";"miasto";"stały";"Szkoła Podstawowa Nr 40, ul. Alfonsa Zgrzebnioka 45, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1050";"1114";"264";"786";"1";"0";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"27";"16";"11";"0";"760";"396";"364"
"4bc3-7bb8-cf1c-dc32-49b5-0b45-6a7c-bb91";"247701";"75";"38";"miasto";"stały";"Szkoła Podstawowa Nr 40, ul. Alfonsa Zgrzebnioka 45, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1249";"1369";"254";"995";"0";"6";"0";"0";"0";"0";"0";"0";"0";"995";"0";"0";"995";"24";"8";"16";"0";"971";"582";"389"
"59bb-4bc8-15cd-164f-d083-d64c-57de-ab4c";"247701";"75";"39";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, ul. Jedności 51, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1095";"1206";"288";"807";"1";"2";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"32";"11";"21";"0";"775";"319";"456"
"42db-6e75-ed04-7e55-ecdb-690d-355c-35e5";"247701";"75";"40";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Stefana Czarnieckiego 22, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1700";"1824";"641";"1057";"3";"5";"0";"0";"0";"0";"0";"0";"0";"1059";"0";"0";"1059";"38";"9";"29";"0";"1021";"610";"411"
"a1be-3b54-add1-b570-07d6-4779-afbe-5b65";"247701";"75";"41";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. M. Curie-Skłodowskiej 4, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1350";"1498";"504";"846";"0";"2";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"38";"11";"27";"0";"808";"417";"391"
"66ab-fea5-3027-7e66-9d3f-1506-e84b-1876";"247701";"75";"42";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. M. Curie-Skłodowskiej 4, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1400";"1523";"479";"921";"4";"2";"1";"1";"0";"0";"0";"0";"1";"922";"1";"0";"922";"36";"9";"27";"0";"886";"505";"381"
"9687-8e91-3a08-9af0-db58-a46c-ac33-d29d";"247701";"75";"43";"miasto";"stały";"Przedszkole Nr 29, ul. Majora Hubala 7, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1750";"1912";"569";"1181";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1181";"0";"0";"1181";"56";"18";"38";"0";"1125";"596";"529"
"45b9-b722-669a-6216-06e4-3b2b-ff47-08a5";"247701";"75";"44";"miasto";"stały";"Przedszkole Nr 26, ul. Młodziezowa 5, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1500";"1642";"416";"1084";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1084";"0";"0";"1084";"29";"8";"21";"0";"1055";"573";"482"
"28ba-5291-b0e0-65d2-96f3-2dca-eb04-20d0";"247701";"75";"45";"miasto";"stały";"Szkoła Podstawowa Nr 35, al. Marszałka Piłsudskiego 21, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1450";"1586";"339";"1111";"4";"7";"0";"0";"0";"0";"0";"0";"0";"1111";"0";"0";"1111";"32";"13";"19";"0";"1079";"622";"457"
"1949-1e76-ff6c-a756-673e-ec90-6c4e-3218";"247701";"75";"46";"miasto";"stały";"Szkoła Podstawowa Nr 35, al. Marszałka Piłsudskiego 21, 43-100 Tychy";"m. Tychy";"Tychy";"śląskie";"1350";"1470";"322";"1028";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1028";"0";"0";"1028";"26";"5";"21";"0";"1002";"607";"395"
