"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Cezary Stanisław GRABARCZYK - nr na liście 1";"Magdalena Sylwia SPÓLNICKA - nr na liście 2";"Dorota RUTKOWSKA - nr na liście 3";"Barbara Ewa KLATKA - nr na liście 4";"Jacek Marian SOKALSKI - nr na liście 5";"Arkadiusz Paweł ROŻNIATOWSKI - nr na liście 6";"Robert TELUS - nr na liście 7";"Elżbieta Ewa KUBA - nr na liście 8";"Roman Stanisław JANIEC - nr na liście 9";"Andrzej Jerzy SENEJKO - nr na liście 10";"Anna Renata LISTWOŃ - nr na liście 11";"Roman Piotr SIEDLECKI - nr na liście 12";"Kuba BILSKI - nr na liście 13";"Piotr Sebastian TOKARSKI - nr na liście 14";"Sylwia WOLIŃSKA - nr na liście 15";"Jan Wojciech KOWALCZYK - nr na liście 16";"Ewa Justyna PONIATOWSKA - nr na liście 17";"Marlena Irena WĘŻYK-GŁOWACKA - nr na liście 18";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Patryk Piotr MARJAN - nr na liście 1";"Jacek Krzysztof RAK - nr na liście 2";"Andrzej FĄK - nr na liście 3";"Piotr Bogusław ZABORNY - nr na liście 4";"Alicja Anna HEINZEL - nr na liście 5";"Paweł WYCHOWAŁEK - nr na liście 6";"Bernadeta Edyta FLORCZYK - nr na liście 7";"Marcin BUDKIEWICZ - nr na liście 8";"Wiesława Agata MADEJSKA - nr na liście 9";"Adrian SĘK - nr na liście 10";"Anna Maria CHMIELARSKA - nr na liście 11";"Kamil Mariusz SYPKA - nr na liście 12";"Katarzyna Ewa KLESKA - nr na liście 13";"Ewa Barbara LISZEWSKA - nr na liście 14";"Mirosław Marian KOSTRZEWA - nr na liście 15";"Jadwiga GAJDA - nr na liście 16";"Krzysztof Adam GRABOWSKI - nr na liście 17";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Dariusz KLIMCZAK - nr na liście 1";"Tomasz ŁUCZKOWSKI - nr na liście 2";"Teresa Małgorzata JĘDRASZEK - nr na liście 3";"Elżbieta Teresa OŚCIK - nr na liście 4";"Henryk MAJEWSKI - nr na liście 5";"Bogdan KĄCKI - nr na liście 6";"Krystyna CZECHOWSKA - nr na liście 7";"Agnieszka Teresa FIRST - nr na liście 8";"Zbigniew Stanisław WYSZOGRODZKI - nr na liście 9";"Bożena Maria GRAŁEK - nr na liście 10";"Alicja Bogusława GÓRSKA - nr na liście 11";"Grażyna Marianna OLSZEWSKA - nr na liście 12";"Jacek Bogdan WALCZYK - nr na liście 13";"Stanisław ŁOŚ - nr na liście 14";"Barbara Danuta ROBAK - nr na liście 15";"Damian Piotr PAZUREK - nr na liście 16";"Ewelina SKORUPA - nr na liście 17";"Marek Marian MAZUR - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Antoni MACIEREWICZ - nr na liście 1";"Grzegorz Michał WOJCIECHOWSKI - nr na liście 2";"Robert TELUS - nr na liście 3";"Anna Maria MILCZANOWSKA - nr na liście 4";"Beata Zofia DRÓŻDŻ - nr na liście 5";"Grzegorz Andrzej LOREK - nr na liście 6";"Dariusz Jan KUBIAK - nr na liście 7";"Ewa Beata WENDROWSKA - nr na liście 8";"Krzysztof MACIEJEWSKI - nr na liście 9";"Małgorzata Monika JANOWSKA - nr na liście 10";"Beata Ewa OZGA-FLEJSZER - nr na liście 11";"Waldemar WYCZACHOWSKI - nr na liście 12";"Martyna Olga WOJCIECHOWSKA - nr na liście 13";"Paweł SAŁEK - nr na liście 14";"Agnieszka Katarzyna WYSOCKA - nr na liście 15";"Dariusz Adam MISZTAL - nr na liście 16";"Zbigniew Jan ZIEMBA - nr na liście 17";"Krzysztof Jan CIECIÓRA - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Anita Katarzyna SOWIŃSKA - nr na liście 1";"Artur Zygmunt OSTROWSKI - nr na liście 2";"Marta PANAK - nr na liście 3";"Tadeusz ROZPARA - nr na liście 4";"Małgorzata Alicja PTAK - nr na liście 5";"Małgorzata Dorota WAŁACH - nr na liście 6";"Andrzej Krzysztof PAWELCZYK - nr na liście 7";"Julia Anna KLEMBA - nr na liście 8";"Tomasz LEWANDOWSKI - nr na liście 9";"Paweł ZIĘBA - nr na liście 10";"Agnieszka BIENIAS - nr na liście 11";"Paweł ROCHMIŃSKI - nr na liście 12";"Joanna Ewa MANDAT - nr na liście 13";"Mariusz Łukasz PODPORA - nr na liście 14";"Monika Zofia SULKA - nr na liście 15";"Elżbieta Małgorzata ŻURAW - nr na liście 16";"Marek Jerzy JABŁOŃSKI - nr na liście 17";"Mariusz Krzysztof KOWALCZYK - nr na liście 18";"Liczba obwodów"
"101201";"gmina miejska";"m. Radomsko";"radomszczański";"łódzkie";33861;36701;11537;22324;19;108;1;1;0;0;0;0;1;22320;1;1;22319;236;148;88;0;22083;7326;574;6497;46;11;12;1;14;8;12;9;7;11;31;10;10;28;5;40;1275;460;497;20;17;18;11;15;76;9;25;21;9;12;7;25;9;44;881;379;49;50;58;19;15;31;16;7;8;22;9;7;100;12;6;37;56;10148;828;361;99;6193;87;32;94;31;965;64;23;5;44;39;26;12;18;1227;2453;956;539;70;71;508;20;13;4;81;60;18;3;14;9;9;13;10;55;24
"101202";"gmina wiejska";"gm. Dobryszyce";"radomszczański";"łódzkie";3161;3441;1107;2054;5;9;0;0;0;0;0;0;0;2054;0;0;2054;39;25;14;0;2015;434;50;363;2;1;3;0;2;1;0;1;0;2;1;2;2;0;2;2;133;57;38;3;3;4;4;2;2;3;1;1;3;0;5;5;0;2;133;58;9;5;1;2;3;5;2;0;3;2;3;1;12;2;0;1;24;1140;96;41;15;674;7;11;3;5;100;23;7;4;4;2;6;1;6;135;175;73;35;10;15;15;2;5;0;3;5;3;0;1;0;2;0;2;4;3
"101203";"gmina wiejska";"gm. Gidle";"radomszczański";"łódzkie";4595;5059;1865;2730;8;11;1;1;0;0;0;0;1;2730;1;0;2730;42;26;16;0;2688;477;56;386;5;5;3;0;2;0;4;2;0;0;4;2;2;1;2;3;190;94;33;4;5;7;2;3;11;4;3;2;1;1;2;4;4;10;224;84;12;12;17;7;2;8;8;1;3;30;4;4;15;0;4;5;8;1524;179;111;43;825;22;2;11;6;80;41;3;2;10;16;11;3;28;131;273;108;47;15;5;25;8;1;5;18;15;5;1;2;4;4;5;3;2;6
"101204";"gmina wiejska";"gm. Gomunice";"radomszczański";"łódzkie";4278;4787;1413;2865;11;9;0;0;0;0;0;0;0;2865;0;0;2865;47;35;12;0;2818;436;78;310;3;3;6;2;2;3;2;3;0;4;6;0;2;4;1;7;216;98;51;1;2;5;2;5;11;3;4;1;3;3;1;7;14;5;194;93;3;7;7;3;1;1;3;1;0;5;5;0;9;1;1;42;12;1698;206;75;21;847;11;40;4;3;286;65;4;4;9;2;1;1;16;103;274;99;77;8;17;28;0;1;3;10;6;2;0;2;5;0;5;5;6;5
"101205";"gmina miejsko-wiejska";"gm. Kamieńsk";"radomszczański";"łódzkie";4313;4716;1412;2901;5;14;0;0;0;0;0;0;0;2901;0;0;2901;35;24;11;0;2866;313;45;228;8;2;2;6;0;1;0;0;1;1;2;1;2;1;0;13;202;138;13;2;2;3;7;2;6;2;13;2;1;1;1;1;3;5;159;68;4;8;10;7;1;2;2;0;4;1;0;1;8;6;2;29;6;1977;241;84;17;1122;35;65;23;7;90;52;6;23;6;19;11;4;17;155;215;78;60;14;9;19;4;0;2;5;15;1;0;2;1;1;2;1;1;5
"101206";"gmina wiejska";"gm. Kobiele Wielkie";"radomszczański";"łódzkie";3198;3535;1276;1922;6;14;0;0;0;0;0;0;0;1922;0;0;1922;29;23;6;0;1893;294;20;254;5;1;1;1;3;2;0;0;0;1;2;1;1;0;1;1;97;50;21;1;2;0;1;1;8;1;1;3;0;3;0;0;3;2;153;46;8;5;6;3;2;2;2;0;3;7;3;0;48;6;1;4;7;1049;104;68;37;485;7;4;5;0;144;18;2;5;8;15;6;1;5;135;300;38;191;5;0;18;2;1;1;4;31;0;0;1;1;0;0;1;6;4
"101207";"gmina wiejska";"gm. Kodrąb";"radomszczański";"łódzkie";3373;3770;1329;2044;4;9;0;0;0;0;0;0;0;2044;0;0;2044;49;38;11;0;1995;292;41;224;1;0;1;0;3;2;6;0;1;0;2;1;0;6;2;2;93;38;22;3;2;4;0;2;4;1;5;1;1;1;1;2;1;5;215;93;10;6;1;9;1;3;0;3;1;4;4;2;37;4;2;8;27;1247;133;46;44;721;10;6;12;1;90;17;1;0;6;6;2;3;19;130;148;58;31;3;7;16;1;1;1;7;8;2;0;0;0;1;4;1;7;6
"101208";"gmina wiejska";"gm. Lgota Wielka";"radomszczański";"łódzkie";3133;3441;1138;1995;3;15;0;0;0;0;0;0;0;1995;0;0;1995;34;23;11;0;1961;271;43;188;7;2;2;6;3;2;2;1;0;1;0;3;1;5;2;3;125;53;29;3;5;5;0;1;4;2;2;3;0;1;3;1;9;4;142;79;6;6;8;1;2;2;3;0;2;3;4;1;5;2;0;12;6;1273;122;50;3;752;24;6;15;11;67;33;16;1;8;10;3;2;9;141;150;52;37;4;8;12;5;1;2;6;6;1;0;1;1;2;2;1;9;4
"101209";"gmina wiejska";"gm. Ładzice";"radomszczański";"łódzkie";3540;3859;1496;2044;0;11;0;0;0;0;0;0;0;2044;0;0;2044;27;17;10;0;2017;352;35;295;3;3;1;0;0;0;0;1;1;6;2;1;1;0;1;2;88;31;19;3;1;1;3;4;4;4;7;0;0;2;1;4;0;4;149;56;9;10;18;7;1;1;2;4;1;4;1;0;22;2;2;5;4;1274;116;56;9;739;12;6;13;2;96;35;5;2;3;25;5;2;8;140;154;62;32;3;4;17;2;3;0;5;6;2;1;6;0;1;0;1;9;5
"101210";"gmina wiejska";"gm. Masłowice";"radomszczański";"łódzkie";3083;3431;1133;1950;2;17;0;0;0;0;0;0;0;1950;0;0;1950;49;31;18;0;1901;190;36;82;0;1;0;1;0;1;63;0;0;0;1;0;1;1;0;3;78;33;9;3;3;3;1;2;2;1;2;1;2;3;3;3;1;6;169;72;7;7;7;6;1;1;0;1;1;7;2;1;27;0;0;11;18;1335;135;78;42;687;11;6;9;16;61;27;1;1;10;21;5;3;18;204;129;31;53;2;2;7;4;2;0;3;7;4;0;4;1;1;0;0;8;4
"101211";"gmina miejsko-wiejska";"gm. Przedbórz";"radomszczański";"łódzkie";5415;5945;2278;3137;6;29;1;1;0;0;0;0;1;3138;1;0;3138;73;51;22;0;3065;344;117;168;9;4;8;2;15;0;14;0;2;1;1;0;0;1;0;2;210;111;24;5;2;8;5;1;5;30;1;0;2;2;1;3;2;8;260;138;5;13;6;8;1;8;1;2;3;10;7;0;20;3;1;14;20;1930;241;81;330;620;11;13;11;4;176;45;17;1;5;14;14;3;9;335;321;84;41;10;2;13;7;3;3;3;133;6;0;4;0;4;2;0;6;7
"101212";"gmina wiejska";"gm. Radomsko";"radomszczański";"łódzkie";3992;4400;1450;2542;1;9;0;0;0;0;0;0;0;2542;0;0;2542;26;14;12;0;2516;553;51;453;2;1;2;0;2;1;3;0;0;1;0;2;3;27;0;5;158;64;51;5;5;4;2;4;7;3;2;2;2;0;1;1;2;3;161;65;5;2;9;9;2;5;1;1;0;5;2;0;23;2;4;2;24;1412;112;42;11;755;10;0;9;2;145;14;0;1;8;0;5;1;5;292;232;83;31;4;4;60;0;4;1;8;14;2;1;0;0;2;3;0;15;6
"101213";"gmina wiejska";"gm. Wielgomłyny";"radomszczański";"łódzkie";3390;3745;1394;1996;3;26;0;0;0;0;0;0;0;1996;0;0;1996;42;31;11;0;1954;159;33;107;4;1;2;0;1;0;0;0;0;1;3;0;1;1;2;3;68;39;9;3;2;1;1;0;3;3;0;2;0;0;2;1;0;2;248;39;9;5;2;5;2;3;0;1;2;1;1;1;161;1;0;8;7;1372;178;86;19;693;21;4;7;3;200;15;5;1;4;22;2;2;2;108;107;43;25;3;4;9;4;1;1;4;4;4;0;1;0;2;1;1;0;6
"101214";"gmina wiejska";"gm. Żytno";"radomszczański";"łódzkie";3884;4319;1656;2228;1;31;0;0;0;0;0;0;0;2228;0;0;2228;52;40;12;0;2176;196;56;107;8;5;1;1;4;3;0;0;0;2;1;0;4;1;1;2;87;20;28;1;0;1;0;2;22;1;2;2;0;1;0;3;1;3;210;45;8;6;4;5;4;2;2;2;3;102;5;1;6;0;1;9;5;1516;202;79;11;839;17;31;11;5;113;37;3;5;19;28;5;10;6;95;167;82;21;12;6;8;3;3;3;6;7;1;2;2;3;0;2;1;5;4
"101301";"gmina miejska";"m. Rawa Mazowiecka";"rawski";"łódzkie";12554;13612;3794;8760;9;54;0;0;0;0;0;0;0;8760;0;0;8760;118;77;41;0;8642;1411;622;57;307;27;15;6;48;243;2;6;4;6;11;10;13;8;10;16;589;240;33;22;18;14;10;10;20;15;27;10;116;9;7;5;4;29;1524;1353;19;24;8;39;17;8;6;2;5;8;4;3;9;3;7;5;4;4141;571;1593;230;55;16;17;13;39;27;99;26;3;29;158;23;1230;1;11;977;424;138;43;10;16;10;9;22;26;14;192;18;5;8;9;7;5;21;9
"101302";"gmina miejsko-wiejska";"gm. Biała Rawska";"rawski";"łódzkie";8261;9067;3295;4966;0;22;0;0;0;0;0;0;0;4968;0;0;4968;75;58;17;0;4893;360;169;28;45;11;5;5;15;37;3;4;3;4;9;6;2;5;3;6;317;160;15;11;10;4;5;13;11;6;12;4;30;2;5;5;9;15;995;491;13;16;2;387;4;9;2;5;4;8;28;4;8;4;1;5;4;2896;490;1517;179;71;21;10;28;33;27;68;80;8;49;108;17;168;7;15;325;137;25;21;7;14;4;5;6;8;3;43;25;3;2;7;6;2;7;7
"101303";"gmina wiejska";"gm. Cielądz";"rawski";"łódzkie";2912;3205;1089;1823;3;5;0;0;0;0;0;0;0;1823;0;0;1823;37;25;12;0;1786;61;18;6;9;3;3;2;4;10;0;0;0;1;0;0;2;1;1;1;104;59;1;0;5;1;4;1;5;1;4;0;15;1;0;0;1;6;267;224;3;11;1;9;5;1;1;1;0;3;1;1;1;1;0;2;2;1273;138;767;97;13;9;1;11;11;10;32;11;4;16;53;1;91;5;3;81;42;7;4;0;2;1;1;4;2;2;11;3;0;0;0;0;1;1;3
"101304";"gmina wiejska";"gm. Rawa Mazowiecka";"rawski";"łódzkie";6311;6935;2380;3941;3;12;0;0;0;0;0;0;0;3942;0;3;3939;73;48;25;0;3866;271;98;15;42;4;1;1;11;69;2;3;1;2;6;2;5;3;2;4;228;94;11;1;5;8;1;2;9;3;12;3;67;4;2;2;3;1;709;652;2;9;4;7;4;1;4;0;2;1;2;0;3;2;5;2;9;2442;348;1226;155;36;11;5;22;19;15;88;44;6;25;70;11;341;5;15;216;94;24;12;4;8;2;3;8;9;6;23;6;4;1;0;5;3;4;5
"101305";"gmina wiejska";"gm. Regnów";"rawski";"łódzkie";1356;1496;491;865;1;1;0;0;0;0;0;0;0;865;0;0;865;23;19;4;0;842;23;12;3;3;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;39;26;2;1;1;0;0;1;1;3;0;0;3;0;0;0;0;1;160;138;2;4;0;14;0;0;0;0;1;0;0;0;1;0;0;0;0;589;35;494;20;0;0;1;1;0;0;11;0;0;1;5;1;20;0;0;31;12;1;0;0;2;0;1;0;1;1;1;5;2;0;0;4;0;1;1
"101306";"gmina wiejska";"gm. Sadkowice";"rawski";"łódzkie";4005;4420;1691;2314;5;11;0;0;0;0;0;0;0;2314;0;0;2314;28;18;10;0;2286;108;54;11;13;3;0;0;10;5;0;0;1;0;1;3;1;3;0;3;148;66;5;13;7;7;2;5;5;2;10;4;7;5;2;6;0;2;335;250;9;6;4;25;5;3;7;1;2;1;2;5;3;5;0;3;4;1602;259;913;90;38;17;1;10;7;20;83;47;4;24;26;14;40;3;6;93;43;7;7;1;3;1;2;5;10;2;2;3;4;0;0;1;0;2;4
"101501";"gmina wiejska";"gm. Bolimów";"skierniewicki";"łódzkie";2861;3152;1022;1839;3;27;0;0;0;0;0;0;0;1839;0;0;1839;26;21;5;0;1813;226;76;10;108;3;2;1;0;0;0;0;2;1;4;2;3;3;4;7;134;60;9;10;5;2;1;6;5;3;8;0;2;4;13;1;3;2;227;119;8;21;8;2;5;5;5;4;8;3;6;5;5;1;2;10;10;1065;213;223;24;23;16;1;14;9;9;69;281;1;13;133;13;14;4;5;161;84;10;20;1;0;2;5;9;2;6;3;1;4;0;1;1;3;9;5
"101502";"gmina wiejska";"gm. Głuchów";"skierniewicki";"łódzkie";4207;4604;1116;3091;11;5;0;0;0;0;0;0;0;3091;0;0;3091;59;41;18;0;3032;105;35;4;35;3;3;2;8;1;0;1;1;1;3;0;0;1;3;4;157;96;4;4;3;5;2;5;4;2;7;4;11;1;1;3;1;4;514;256;2;223;0;5;2;4;1;1;3;1;1;1;4;1;2;5;2;2152;294;1003;188;26;18;9;14;9;14;30;104;8;14;303;15;64;4;35;104;41;12;12;5;2;1;0;10;1;3;5;0;2;0;1;0;1;8;4
"101503";"gmina wiejska";"gm. Godzianów";"skierniewicki";"łódzkie";1901;2082;606;1295;1;1;0;0;0;0;0;0;0;1295;0;0;1295;16;11;5;0;1279;79;18;0;44;1;1;0;0;4;1;0;1;1;1;1;2;2;2;0;111;50;12;1;4;2;3;2;7;1;6;1;0;4;2;5;3;8;118;71;3;18;1;3;3;2;1;2;3;4;2;1;1;0;0;1;2;901;110;139;71;6;2;2;4;3;11;9;93;2;7;425;10;0;0;7;70;27;3;27;1;2;1;0;0;2;1;0;0;1;0;2;0;0;3;2
"101504";"gmina wiejska";"gm. Kowiesy";"skierniewicki";"łódzkie";2161;2415;785;1376;0;22;0;0;0;0;0;0;0;1376;0;0;1376;17;12;5;0;1359;125;40;5;57;2;0;0;4;3;1;0;1;1;3;4;4;0;0;0;114;62;5;2;5;0;4;2;5;0;6;3;12;1;1;0;3;3;240;148;6;14;6;29;1;1;2;4;1;6;6;0;2;2;1;3;8;773;140;244;54;7;4;3;5;48;13;7;109;1;12;107;5;7;4;3;107;54;8;4;4;2;1;0;6;9;3;7;1;1;1;1;1;1;3;5
"101505";"gmina wiejska";"gm. Lipce Reymontowskie";"skierniewicki";"łódzkie";2378;2618;765;1613;3;3;0;0;0;0;0;0;0;1613;0;0;1613;22;17;5;0;1591;133;43;3;67;4;1;2;0;3;0;0;1;1;2;1;0;1;1;3;75;39;6;2;3;2;1;3;3;2;4;2;3;0;0;1;1;3;152;97;4;33;1;1;0;1;2;1;0;1;3;0;5;0;1;0;2;1093;136;297;38;18;9;7;9;35;7;6;90;2;11;417;2;3;3;3;138;35;10;75;0;0;0;0;3;3;1;2;2;2;1;0;0;0;4;3
"101506";"gmina wiejska";"gm. Maków";"skierniewicki";"łódzkie";4367;4786;1418;2948;1;1;0;0;0;0;0;0;0;2949;0;0;2949;45;32;13;0;2904;281;49;10;191;7;2;1;5;1;0;1;0;0;0;0;7;1;1;5;196;84;15;5;15;6;5;3;9;3;6;5;3;3;7;8;5;14;260;159;13;20;6;4;1;4;4;15;3;3;7;0;5;4;1;5;6;1998;151;166;22;21;8;4;10;4;8;18;52;2;10;1503;6;0;3;10;169;60;28;40;2;3;1;0;11;3;3;3;2;2;2;0;1;1;7;6
"101507";"gmina wiejska";"gm. Nowy Kawęczyn";"skierniewicki";"łódzkie";2507;2798;832;1675;1;20;0;0;0;0;0;0;0;1675;0;0;1675;37;31;6;0;1638;176;41;4;117;1;0;1;1;1;1;0;0;0;5;1;2;0;0;1;115;72;7;3;3;0;2;0;2;2;5;1;1;1;5;1;3;7;187;146;2;11;2;1;1;2;3;2;3;5;3;0;2;0;2;1;1;1019;164;223;110;21;7;3;12;11;4;32;200;3;14;187;7;11;1;9;141;65;11;9;1;5;2;2;7;13;1;2;3;4;0;4;2;2;8;4
"101508";"gmina wiejska";"gm. Skierniewice";"skierniewicki";"łódzkie";5271;5838;1768;3503;2;20;0;0;0;0;0;0;0;3501;0;0;3501;62;48;14;0;3439;548;87;22;392;4;3;1;4;6;0;4;2;3;7;2;2;1;2;6;229;110;15;7;12;6;6;5;5;4;7;4;2;3;8;1;14;20;309;167;8;28;4;9;1;5;1;40;3;8;8;4;8;1;2;4;8;2083;403;441;130;33;28;10;19;16;30;33;238;4;20;611;22;10;4;31;270;126;27;35;7;9;2;1;14;12;5;5;5;10;0;3;3;1;5;8
"101509";"gmina wiejska";"gm. Słupia";"skierniewicki";"łódzkie";1848;2042;604;1244;0;8;0;0;0;0;0;0;0;1243;0;0;1243;22;15;7;0;1221;71;35;0;24;4;0;0;1;2;0;2;1;1;0;0;0;0;0;1;67;32;5;3;2;2;3;3;2;1;2;2;2;1;1;3;3;0;153;100;5;30;0;0;1;0;0;2;1;2;1;1;2;0;0;8;0;874;96;221;50;8;7;1;6;6;6;18;59;0;9;371;5;2;3;6;56;23;1;17;0;1;1;1;5;2;0;0;1;0;0;0;1;0;3;2
"101601";"gmina miejska";"m. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";44712;48078;14856;29823;44;100;0;0;0;0;0;0;0;29814;0;3;29811;313;202;111;0;29498;7300;1855;286;126;4265;34;18;108;36;6;10;8;12;51;321;35;19;28;82;1936;677;82;184;49;49;41;49;44;24;495;21;23;22;27;18;41;90;2614;1531;99;71;39;25;161;40;25;7;297;22;28;14;35;94;26;37;63;13289;2313;1650;1387;257;166;77;149;4194;108;144;60;28;1888;551;89;38;71;119;4359;1904;456;125;32;85;1086;27;30;97;74;54;19;52;138;30;34;24;92;28
"101602";"gmina wiejska";"gm. Będków";"tomaszowski";"łódzkie";2449;2684;782;1666;0;3;0;0;0;0;0;0;0;1667;0;0;1667;12;8;4;0;1655;176;68;7;10;44;3;0;6;1;1;0;0;0;1;2;0;1;26;6;134;58;1;2;4;7;6;5;3;4;26;7;2;1;2;1;2;3;169;83;5;1;27;0;7;1;2;1;6;3;2;1;3;23;1;2;1;1060;192;98;136;10;22;9;8;96;4;8;8;2;351;13;1;91;4;7;116;39;42;3;0;7;3;2;2;3;2;1;0;0;0;1;2;2;7;3
"101603";"gmina wiejska";"gm. Budziszewice";"tomaszowski";"łódzkie";1543;1698;489;1054;0;13;0;0;0;0;0;0;0;1054;0;0;1054;26;21;5;0;1028;112;50;6;5;19;1;0;5;2;0;1;1;1;18;1;1;0;0;1;77;29;3;10;2;3;3;2;1;0;8;1;5;0;0;2;2;6;135;97;0;11;4;4;2;1;0;1;2;1;2;0;3;3;0;4;0;645;126;98;140;9;5;2;4;22;3;35;24;2;137;24;5;7;2;0;59;27;12;1;2;6;3;1;1;1;0;1;0;3;0;0;0;0;1;3
"101604";"gmina wiejska";"gm. Czerniewice";"tomaszowski";"łódzkie";3692;4050;1264;2428;2;10;0;0;0;0;0;0;0;2428;0;0;2428;52;38;14;0;2376;139;52;7;18;34;2;1;7;2;1;0;2;2;1;0;2;5;2;1;95;36;7;2;2;3;4;2;4;5;12;1;3;0;1;2;4;7;511;405;9;9;1;4;68;2;1;1;0;2;1;1;4;2;0;1;0;1524;276;552;206;24;18;8;17;128;14;22;13;5;100;97;9;28;1;6;107;45;15;9;2;2;8;4;3;3;1;4;0;1;0;0;0;4;6;4
"101605";"gmina wiejska";"gm. Inowłódz";"tomaszowski";"łódzkie";2873;3176;948;1925;2;24;0;0;0;0;0;0;0;1925;0;0;1925;34;26;8;0;1891;269;80;9;5;146;2;0;11;1;1;1;1;0;6;4;1;0;1;0;106;37;7;16;1;2;0;5;1;0;20;6;0;3;1;3;1;3;297;105;11;5;1;2;153;3;2;0;2;0;0;1;1;6;3;0;2;1041;188;184;281;29;23;3;6;121;5;12;28;0;102;41;7;1;7;3;178;86;20;4;2;11;33;1;1;5;2;2;1;4;3;0;1;0;2;4
"101606";"gmina wiejska";"gm. Lubochnia";"tomaszowski";"łódzkie";5056;5554;1615;3441;3;22;0;0;0;0;0;0;0;3441;0;0;3441;47;31;16;0;3394;254;85;13;8;72;6;2;16;2;3;0;2;1;3;29;4;2;4;2;211;96;7;12;5;6;4;4;9;1;35;7;2;7;3;4;3;6;608;528;11;8;4;9;10;4;0;0;9;3;3;2;3;4;1;3;6;2150;444;288;358;71;44;11;18;285;13;20;30;5;456;59;14;13;7;14;171;77;21;12;4;3;23;0;6;2;2;5;3;2;5;0;0;0;6;7
"101607";"gmina wiejska";"gm. Rokiciny";"tomaszowski";"łódzkie";4446;4899;1368;3078;3;26;0;0;0;0;0;0;0;3074;0;0;3074;39;22;17;0;3035;396;232;35;25;26;11;0;10;5;2;2;1;8;13;5;4;1;6;10;212;84;23;15;4;7;7;9;8;8;16;4;1;4;5;3;7;7;352;158;13;14;13;2;10;5;1;2;8;2;3;3;2;104;2;6;4;1730;478;303;264;53;48;18;23;93;16;35;15;7;234;65;14;33;7;24;345;152;70;22;10;10;6;5;10;17;4;6;3;6;3;1;7;5;8;4
"101608";"gmina wiejska";"gm. Rzeczyca";"tomaszowski";"łódzkie";3501;3855;1271;2230;0;12;0;0;0;0;0;0;0;2230;0;0;2230;32;27;5;0;2198;87;39;6;4;20;0;1;3;1;1;0;1;0;1;3;3;1;1;2;95;47;2;8;5;1;0;0;1;1;11;1;5;1;0;1;3;8;402;127;5;5;1;2;253;0;1;0;2;0;0;1;2;2;0;1;0;1498;245;566;272;17;14;10;13;145;14;14;38;2;69;42;2;20;6;9;116;48;27;6;2;3;4;2;5;3;1;3;1;2;0;0;7;1;1;4
"101609";"gmina wiejska";"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";7875;8709;2338;5537;1;41;1;1;0;0;0;0;1;5538;1;0;5538;78;54;24;0;5460;889;271;37;16;426;11;3;37;4;5;3;2;1;20;37;4;2;3;7;385;131;24;21;9;17;13;12;7;7;101;4;5;4;6;8;7;9;688;376;22;9;27;9;33;4;3;2;38;2;0;2;3;126;10;12;10;2998;484;319;554;41;37;15;38;663;7;16;19;5;683;64;13;10;14;16;500;226;36;26;7;14;83;3;10;18;15;8;1;13;18;4;4;3;11;9
