"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Wojciech Jan KONIECZNY";"Krzysztof Łukasz ŚWIERCZYŃSKI";"Artur Ryszard WARZOCHA"
"bd71-ceaa-f765-9348-b39f-5da3-77fb-914d";"246401";"69";"41";"miasto";"stały";"Szkoła Podstawowa nr 31, ul. Polskiego Czerwonego Krzyża 18, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1989";"2115";"431";"1558";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1557";"0";"0";"1557";"6";"2";"4";"0";"1551";"863";"225";"463"
"0f08-240f-4051-6d36-71de-2205-2ea9-49eb";"246401";"69";"42";"miasto";"stały";"Szkoła Podstawowa nr 30, ul. Ludowa 58, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1380";"1507";"273";"1107";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1104";"0";"0";"1104";"10";"1";"9";"0";"1094";"440";"174";"480"
"c27f-7699-e330-1f82-f134-c91a-e4cd-bb55";"246401";"69";"43";"miasto";"stały";"Szkoła Podstawowa nr 30, ul. Ludowa 58, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"798";"850";"181";"617";"0";"2";"0";"0";"0";"0";"0";"0";"0";"617";"0";"0";"617";"7";"2";"5";"0";"610";"263";"102";"245"
"4b8d-4f43-fafb-294f-4e9c-e6fe-0017-f5a5";"246401";"69";"44";"miasto";"stały";"Szkoła Podstawowa nr 38, ul. Sikorskiego 56, 42-200 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1754";"1931";"302";"1452";"1";"10";"1";"1";"0";"0";"0";"0";"1";"1451";"1";"0";"1451";"15";"6";"9";"0";"1436";"651";"272";"513"
"4e83-147f-7756-7c08-6913-a44c-1555-a951";"246401";"69";"45";"miasto";"stały";"Szkoła Podstawowa nr 38, ul. Sikorskiego 56, 42-200 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1718";"1909";"236";"1482";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1482";"0";"0";"1482";"17";"5";"12";"0";"1465";"862";"260";"343"
"e134-0a6b-ab32-0cfe-ef99-b409-25e2-59f4";"246401";"69";"46";"miasto";"stały";"Miejskie Przedszkole nr 38, ul. Okulickiego 63, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1519";"1635";"319";"1200";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1200";"0";"0";"1200";"20";"4";"16";"0";"1180";"491";"200";"489"
"734f-edfd-1b8c-fc65-091c-07a2-2aab-780a";"246401";"69";"47";"miasto";"stały";"Zespół Szkół Technicznych, Aleja Jana Pawła II 126/130, 42-200 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1536";"1617";"428";"1108";"3";"46";"0";"0";"0";"0";"0";"0";"0";"1108";"0";"0";"1108";"8";"0";"8";"0";"1100";"355";"156";"589"
"d600-aac5-9f14-6343-bada-35ba-5192-9989";"246401";"69";"48";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Baczyńskiego 2a, 42-224 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1739";"1917";"378";"1361";"5";"25";"0";"0";"0";"0";"0";"0";"0";"1360";"0";"0";"1360";"9";"4";"5";"0";"1351";"622";"229";"500"
"5153-b853-bd8b-1094-923d-c70c-50ad-980b";"246401";"69";"49";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Baczyńskiego 2a, 42-224 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1488";"1630";"352";"1136";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1136";"0";"0";"1136";"12";"11";"1";"0";"1124";"521";"175";"428"
"c691-e630-2fe7-6f54-fb45-fc43-1ed2-0483";"246401";"69";"50";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Baczyńskiego 2a, 42-224 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1650";"1780";"393";"1257";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1257";"0";"0";"1257";"21";"13";"8";"0";"1236";"621";"232";"383"
