"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Witold JACHNIK";"Tadeusz Wiktor KOPEĆ";"Hubert Zbigniew MAŚLANKA"
"0b1d-d9f9-03de-2f8e-ff51-15ea-e0b6-55a2";"240302";"79";"11";"miasto";"zakład leczniczy";"Śląskie Centrum Reumatologii, Rehabilitacji i Zapobiegania Niepełnosprawności im. gen. Jerzego Ziętka, ul. Szpitalna 11, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"251";"162";"129";"122";"0";"29";"0";"0";"0";"0";"0";"0";"0";"122";"0";"0";"122";"5";"3";"2";"0";"117";"9";"54";"54"
"fac3-05ae-fcb2-0535-7a3a-6e32-f78b-48e9";"240302";"79";"12";"miasto";"zakład leczniczy";"Śląskie Centrum Rehabilitacji i Prewencji, ul. Zdrojowa 6, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"201";"198";"82";"119";"0";"8";"0";"0";"0";"0";"0";"0";"0";"119";"0";"0";"119";"7";"0";"7";"0";"112";"7";"56";"49"
"f0a3-7a31-b0c5-a372-47b6-d351-f524-866a";"240302";"79";"13";"miasto";"dom pomocy społecznej";"Miejski Dom Spokojnej Starości, ul. Słoneczna 10, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"52";"34";"18";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"34";"4";"0";"4";"0";"30";"1";"6";"23"
"b540-efcf-5d05-6567-a362-9792-6e4c-b987";"240303";"79";"1";"miasto";"stały";"Państwowa Szkoła Muzyczna I stopnia w Cieszynie-Filia w Wiśle, ul. 1 Maja 66, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"506";"594";"173";"333";"2";"47";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"2";"0";"2";"0";"331";"27";"64";"240"
"8aad-976b-9a77-770f-638d-6b52-46f6-e9b4";"240303";"79";"2";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Wiśle, Plac Hoffa 5, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"1051";"1231";"289";"762";"1";"107";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"7";"0";"7";"0";"754";"59";"174";"521"
"c492-5851-0404-9c20-f691-431a-bc84-78cc";"240303";"79";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Wiśle, Plac Hoffa 5, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"999";"1162";"220";"779";"3";"74";"0";"0";"0";"0";"0";"0";"0";"779";"0";"0";"779";"18";"3";"15";"0";"761";"67";"175";"519"
"c21b-bb90-e3a4-ac60-bcb7-c324-3f85-b3cf";"240303";"79";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5 w Wiśle, ul. Jawornik 58, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"1050";"1174";"299";"751";"0";"45";"0";"0";"0";"0";"0";"0";"0";"751";"0";"0";"751";"19";"2";"17";"0";"732";"67";"150";"515"
"a48d-095c-7e02-8e64-930b-0ca7-6803-d00d";"240303";"79";"5";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1 w Wiśle, ul. Kopydło 74, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"1855";"2089";"761";"1094";"2";"35";"0";"0";"0";"0";"0";"0";"0";"1094";"0";"0";"1094";"27";"1";"26";"0";"1067";"93";"245";"729"
"9809-f83d-61dd-5b60-5878-c179-b5ad-6f70";"240303";"79";"6";"miasto";"stały";"Remiza OSP Wisła-Malinka, ul. Malinka 18, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"1303";"1418";"618";"685";"1";"24";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"23";"8";"15";"0";"662";"65";"118";"479"
"cc5e-c6df-8088-ea98-4bb1-14d9-1f5b-e6ac";"240303";"79";"7";"miasto";"stały";"Remiza OSP Wisła-Czarne, ul. Biała Wisełka 22, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"602";"631";"250";"352";"0";"12";"0";"0";"0";"0";"0";"0";"0";"352";"0";"0";"352";"7";"0";"7";"0";"345";"50";"57";"238"
"5470-1de5-9712-1695-4947-70ad-78e9-594b";"240303";"79";"8";"miasto";"stały";"""DWOREK NAD WISŁĄ""-budynek ""B"", ul. Wyzwolenia 65, 43-460 Wisła";"m. Wisła";"cieszyński";"śląskie";"950";"1026";"357";"593";"2";"39";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"14";"4";"10";"0";"579";"52";"113";"414"
"ec06-b284-c593-feeb-c129-3968-4ae8-00ce";"240304";"79";"1";"wieś";"stały";"Świetlica przy Klasztorze oo Franciszkanów w Górkach Wielkich-Sojka, Zofii Kossak 130, 43-436 Górki Wielkie";"gm. Brenna";"cieszyński";"śląskie";"1152";"1268";"348";"804";"0";"11";"0";"0";"0";"0";"0";"0";"0";"804";"0";"0";"804";"10";"3";"7";"0";"794";"96";"405";"293"
"6293-29da-58ae-48d9-a50d-f6da-e1cd-a08b";"240304";"79";"2";"wieś";"stały";"Szkoła Podstawowa w Górkach Wielkich, Szkolna 1, 43-436 Górki Wielkie";"gm. Brenna";"cieszyński";"śląskie";"1250";"1346";"394";"856";"1";"21";"0";"0";"0";"0";"0";"0";"0";"856";"0";"2";"854";"16";"7";"9";"0";"838";"96";"356";"386"
"9756-9ee9-f6c0-ebeb-9602-3df0-8c32-9320";"240304";"79";"3";"wieś";"stały";"Szkoła Podstawowa w Górkach Wielkich, Szkolna 1, 43-436 Górki Wielkie";"gm. Brenna";"cieszyński";"śląskie";"1206";"1277";"406";"800";"0";"4";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"10";"3";"7";"0";"790";"93";"364";"333"
"2191-f3b6-c284-0d29-246e-1a80-af73-a4f8";"240304";"79";"4";"wieś";"stały";"Szkoła Podstawowa Nr 1 w Brennej Leśnicy, Leśnica 103, 43-438 Brenna";"gm. Brenna";"cieszyński";"śląskie";"754";"782";"272";"482";"0";"10";"0";"0";"0";"0";"0";"0";"0";"482";"0";"0";"482";"12";"2";"10";"0";"470";"53";"275";"142"
