"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA"
"c7fa-21d0-0b9b-ae3a-2eb1-8a58-8d04-9aab";"140204";"39";"3";"wieś";"stały";"Szkoła Podstawowa im. P. J. Gołaszewskiego w Gołyminie-Ośrodku z oddziałami gimnazjum Szkoła Filialna w Gostkowie, Gostkowo 2, 06-420 Gołymin-Ośrodek";"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";"1072";"1191";"465";"607";"5";"1";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"20";"6";"14";"0";"587";"448";"75";"64"
"1180-e43b-381a-bbf2-7174-0235-c159-d100";"140205";"39";"1";"wieś";"stały";"Zespół Placówek Oświatowych Szkoła Podstawowa, ul. Szkolna 2, 06-460 Grudusk";"gm. Grudusk";"ciechanowski";"mazowieckie";"886";"975";"354";"532";"0";"1";"0";"0";"0";"0";"0";"0";"0";"532";"0";"0";"532";"19";"5";"14";"0";"513";"291";"163";"59"
"6060-e8b0-745c-f8e9-adf0-7408-2190-31d0";"140205";"39";"2";"wieś";"stały";"Gminny Ośrodek Kultury i Sportu, Plac Grunwaldu 4, 06-460 Grudusk";"gm. Grudusk";"ciechanowski";"mazowieckie";"850";"935";"313";"537";"0";"4";"0";"0";"0";"0";"0";"0";"0";"537";"0";"0";"537";"11";"0";"11";"0";"526";"438";"49";"39"
"c18d-dda9-fd2c-0b67-4242-cb9f-9fd6-c1e3";"140205";"39";"3";"wieś";"stały";"Dom Strażaka, Łysakowo 13, 06-460 Grudusk";"gm. Grudusk";"ciechanowski";"mazowieckie";"900";"991";"376";"524";"1";"1";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"6";"0";"6";"0";"518";"378";"82";"58"
"f561-a60b-9053-7b00-55ff-b2f6-8424-f9f8";"140206";"39";"1";"wieś";"stały";"Szkoła Podstawowa w Ojrzeniu, ul. Przedszkolna 7, 06-456 Ojrzeń";"gm. Ojrzeń";"ciechanowski";"mazowieckie";"1139";"1261";"463";"676";"2";"1";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"23";"1";"22";"0";"653";"407";"160";"86"
"3322-20ee-8d9d-18d2-01d5-5eff-76bc-d1ae";"140206";"39";"2";"wieś";"stały";"Szkoła Podstawowa w Kraszewie, Kraszewo 57A, 06-456 Ojrzeń";"gm. Ojrzeń";"ciechanowski";"mazowieckie";"840";"934";"337";"503";"1";"1";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"18";"1";"17";"0";"485";"345";"86";"54"
"e444-7a9c-4f02-7e42-4d04-a316-5b2d-3060";"140206";"39";"3";"wieś";"stały";"Szkoła Podstawowa w Młocku, Młock 72, 06-456 Ojrzeń";"gm. Ojrzeń";"ciechanowski";"mazowieckie";"1150";"1278";"532";"618";"1";"2";"1";"1";"0";"0";"0";"0";"1";"619";"1";"0";"619";"32";"1";"31";"0";"587";"438";"90";"59"
"b73f-b9a4-2038-f4d1-b90b-956e-13fa-1e8d";"140207";"39";"1";"wieś";"stały";"Urząd Gminy w Opinogórze Górnej, ul. Z. Krasińskiego 4, 06-406 Opinogóra Górna";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";"1012";"1146";"405";"607";"0";"0";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"13";"1";"12";"0";"594";"378";"150";"66"
"66ee-6c40-96e0-da07-5d58-7f2f-d45b-9efe";"140207";"39";"2";"wieś";"stały";"Świetlica Wiejska, Dzbonie 22, 06-406 Opinogóra Górna";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";"700";"776";"274";"426";"1";"0";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"12";"2";"10";"0";"414";"279";"85";"50"
"a3ba-f561-5ffa-a978-e07a-abb6-72cc-68e2";"140207";"39";"3";"wieś";"stały";"Szkoła Podstawowa w Woli Wierzbowskiej, Wola Wierzbowska 27, 06-406 Opinogóra Górna";"gm. Opinogóra Górna";"ciechanowski";"mazowieckie";"526";"583";"210";"316";"0";"1";"0";"0";"0";"0";"0";"0";"0";"316";"0";"0";"316";"10";"2";"8";"0";"306";"230";"37";"39"
