"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jagna Kinga MARCZUŁAJTIS-WALCZAK - nr na liście 1";"Andrzej Stanisław CZERWIŃSKI - nr na liście 2";"Marta Halina FOGLER - nr na liście 3";"Witold Zygmunt KOCHAN - nr na liście 4";"Elżbieta Joanna RUCHAŁA - nr na liście 5";"Piotr Tomasz MUSIAŁ - nr na liście 6";"Waldemar Paweł OLSZYŃSKI - nr na liście 7";"Sylwia Beata LEHNER - nr na liście 8";"Marek Józef JANCZAK - nr na liście 9";"Jan Bolesław KARPIEL - nr na liście 10";"Janusz Ryszard CYMER - nr na liście 11";"Maria Anna SPRAWKA-BAZYDŁO - nr na liście 12";"Halina Maria WĄSOWSKA-SCHIRMER - nr na liście 13";"Bogusław Tadeusz PACHNIOWSKI - nr na liście 14";"Barbara Grażyna CICHAŃSKA - nr na liście 15";"Andrzej LOREK - nr na liście 16";"Stanisław PATER - nr na liście 17";"Danuta Anna BALCERZYK - nr na liście 18";"Jacek Józef GWÓŹDŹ - nr na liście 19";"Jerzy Stanisław MAJKA - nr na liście 20";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej SKUPIEŃ - nr na liście 1";"Rafał Grzegorz GŁĄB - nr na liście 2";"Marzena Maria MATONOG - nr na liście 3";"Kamil Józef WOJTYCZKA - nr na liście 4";"Halina Sylwia MAŚLANKA - nr na liście 5";"Krystian Wojciech LACHNER - nr na liście 6";"Alicja Barbara BALCERAK - nr na liście 7";"Radosław Ryszard LAZAR - nr na liście 8";"Ryszard Jakub WILK - nr na liście 9";"Radosław Maria CZOSNOWSKI - nr na liście 10";"Mariusz Stanisław BOŻYK - nr na liście 11";"Sylwester Andrzej MATUSIK - nr na liście 12";"Marcin Jan MAZGAJ - nr na liście 13";"Marcin KRÓL - nr na liście 14";"Wojciech Piotr JASKÓŁKA - nr na liście 15";"Karolina Agnieszka FLOREK - nr na liście 16";"Maria Magdalena LIS - nr na liście 17";"Małgorzata Stanisława TYLISZCZAK-SŁYŚ - nr na liście 18";"Barbara Maria SZTERLEJA-BELDA - nr na liście 19";"Stanisław DOBROWOLSKI - nr na liście 20";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Urszula Teresa NOWOGÓRSKA - nr na liście 1";"Józefa KOLBRECKA - nr na liście 2";"Iwona Agnieszka TUMIDAJEWICZ - nr na liście 3";"Anatol KRYGOWSKI - nr na liście 4";"Małgorzata Krystyna PÓŁCHŁOPEK - nr na liście 5";"Katarzyna Maria KIEŁBASA - nr na liście 6";"Grzegorz BARAN - nr na liście 7";"Przemysław Marcin PALUCH - nr na liście 8";"Maria Barbara BIAŁOŃ - nr na liście 9";"Andrzej BARNA - nr na liście 10";"Mirosław Stanisław JANUS - nr na liście 11";"Maria BĄK - nr na liście 12";"Irena Barbara POPŁAWSKA - nr na liście 13";"Wioletta Dorota GRABSKA - nr na liście 14";"Krzysztof FILAS - nr na liście 15";"Maria TYLKA - nr na liście 16";"Hubert Jan RAPCIAK - nr na liście 17";"Małgorzata WÓJCIAK - nr na liście 18";"Rafał Marcin CZARNECKI - nr na liście 19";"Stanisław Wojciech PASOŃ - nr na liście 20";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Arkadiusz MULARCZYK - nr na liście 1";"Anna PALUCH - nr na liście 2";"Barbara Halina BARTUŚ - nr na liście 3";"Wiesław Stanisław JANCZYK - nr na liście 4";"Edward SIARKA - nr na liście 5";"Józef Krzysztof LEŚNIAK - nr na liście 6";"Jan Wiesław DUDA - nr na liście 7";"Jan PICZURA - nr na liście 8";"Andrzej Józef GUT-MOSTOWY - nr na liście 9";"Grzegorz Janusz BIEDROŃ - nr na liście 10";"Patryk Tomasz WICHER - nr na liście 11";"Elżbieta Joanna ZIELIŃSKA - nr na liście 12";"Zofia NIKA - nr na liście 13";"Ewa FILIPIAK - nr na liście 14";"Grażyna Katarzyna TYLKA - nr na liście 15";"Tomasz Stanisław WALICKI - nr na liście 16";"Marta ADAMCZYK - nr na liście 17";"Zygmunt Jan PARUCH - nr na liście 18";"Bartosz LEKSANDER - nr na liście 19";"Marcin Marian ZUBEK - nr na liście 20";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jakub Józef BOCHEŃSKI - nr na liście 1";"Barbara Aleksandra ŻYTKOWICZ - nr na liście 2";"Zuzanna Katarzyna JAKOWICKA - nr na liście 3";"Henryk PLATO - nr na liście 4";"Beata Katarzyna CZERSKA - nr na liście 5";"Marzena Beata DRZEWIŃSKA - nr na liście 6";"Eugeniusz ORZECHOWSKI - nr na liście 7";"Grażyna CEMPA-PULIT - nr na liście 8";"Jolanta Maria REICHERT - nr na liście 9";"Stanisław GĄSIENICA-DANIEL - nr na liście 10";"Maria Jolanta ALCHOWŚKA - nr na liście 11";"Iwona Anna SMOLEŃ - nr na liście 12";"Łukasz KOŁODZIEJ - nr na liście 13";"Bartosz Czesław KĘSKA - nr na liście 14";"Jolanta Aleksandra ŻYLIŃSKA - nr na liście 15";"Krzysztof DŁUGOSZ - nr na liście 16";"Danuta PIOTROWSKA - nr na liście 17";"Magdalena MAJERCZAK-KIESZKOWSKA - nr na liście 18";"Dorota Ewa SZLAGOWSKA-BUDACZ - nr na liście 19";"Liczba obwodów"
"121002";"gmina wiejska";"gm. Chełmiec";"nowosądecki";"małopolskie";20192;21513;6245;13947;8;97;1;1;0;0;0;0;1;13944;1;0;13944;160;95;65;0;13784;1428;456;697;13;12;120;20;22;5;17;6;2;3;2;0;4;9;4;5;25;6;921;477;95;11;15;34;20;26;23;75;11;12;11;5;28;11;8;7;7;3;42;734;300;20;16;29;23;56;28;8;5;12;9;14;12;3;4;2;2;7;17;167;9846;3555;294;451;1481;92;925;960;19;456;85;850;273;117;17;10;10;45;157;11;38;855;641;56;22;11;7;3;39;8;4;4;2;17;4;1;4;6;14;0;12;27
"121003";"gmina wiejska";"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";6560;7137;2228;4332;3;80;0;0;0;0;0;0;0;4331;0;0;4331;63;41;22;0;4268;289;140;86;4;3;30;7;4;1;2;0;2;2;2;0;0;2;1;0;3;0;195;110;9;4;4;8;5;5;4;16;2;1;4;1;8;2;3;4;0;0;5;314;101;7;6;3;4;70;12;12;8;1;1;6;2;4;2;1;3;8;9;54;3300;992;115;124;85;30;63;157;13;308;16;107;20;55;12;2;4;10;1170;6;11;170;126;5;6;4;5;1;3;1;0;2;1;2;0;1;1;3;3;1;5;7
"121004";"gmina wiejska";"gm. Grybów";"nowosądecki";"małopolskie";17424;18773;4594;12830;24;69;0;0;0;0;0;0;0;12823;0;0;12823;158;99;59;0;12665;720;264;300;9;36;49;14;11;2;7;7;1;3;1;0;1;4;3;1;2;5;1118;291;48;8;13;24;11;9;11;620;5;1;11;4;14;7;12;4;3;2;20;595;237;18;27;23;20;41;16;7;11;3;10;14;4;6;6;8;0;10;19;115;9889;4138;195;2286;257;206;314;375;15;195;86;524;242;45;10;12;830;57;53;6;43;343;236;19;14;5;9;2;5;6;4;1;3;8;7;1;4;4;6;2;7;15
"121005";"gmina wiejska";"gm. Kamionka Wielka";"nowosądecki";"małopolskie";7227;7774;1949;5278;0;22;0;0;0;0;0;0;0;5278;0;0;5278;62;38;24;0;5216;357;126;162;4;4;18;2;6;2;9;3;1;0;0;1;0;4;1;2;2;10;352;184;38;4;7;17;4;7;9;25;3;4;12;2;5;1;10;2;0;2;16;291;108;10;5;12;7;39;12;9;3;3;8;2;6;2;2;4;2;2;3;52;3956;1628;130;245;188;22;285;275;12;288;74;548;116;13;8;11;10;32;43;8;20;260;205;15;5;3;1;1;3;5;3;2;1;0;2;0;4;5;1;2;2;8
"121006";"gmina wiejska";"gm. Korzenna";"nowosądecki";"małopolskie";10282;11062;3269;7013;15;38;0;0;0;0;0;0;0;7012;0;0;7012;96;60;36;0;6916;343;98;101;4;1;24;3;92;2;4;1;0;0;0;0;0;6;2;1;2;2;358;150;84;9;7;8;5;5;11;38;5;2;6;0;10;2;1;2;0;0;13;460;87;7;10;8;3;229;5;1;3;6;1;2;2;2;4;1;0;4;7;78;5568;2014;116;929;192;28;243;198;9;256;48;262;157;970;10;11;14;24;65;2;20;187;131;13;6;0;3;4;4;2;1;1;2;8;5;0;0;1;2;1;3;9
"121007";"gmina miejsko-wiejska";"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";14172;15268;4451;9701;7;1788;0;0;0;0;0;0;0;9699;0;1;9698;123;79;44;0;9575;2107;1129;485;30;22;166;12;9;9;33;14;4;13;4;0;6;6;5;9;15;136;637;236;55;13;8;37;20;46;6;103;16;4;15;6;31;3;10;4;9;3;12;923;244;25;16;14;387;48;13;13;10;7;1;8;8;5;7;7;5;13;14;78;4889;2309;221;273;184;126;212;222;16;306;82;306;184;14;14;12;21;303;35;10;39;1019;754;58;39;14;12;8;10;15;4;15;3;19;20;2;6;8;9;3;20;18
"121008";"gmina wiejska";"gm. Łabowa";"nowosądecki";"małopolskie";4134;4429;1460;2674;0;30;0;0;0;0;0;0;0;2674;0;0;2674;43;32;11;0;2631;286;60;50;0;0;8;1;0;1;156;2;0;0;0;0;0;1;2;0;1;4;134;66;11;1;0;4;1;10;3;14;3;4;1;2;3;1;3;1;2;2;2;112;41;6;3;1;13;7;3;2;2;2;1;1;0;1;3;4;0;2;1;19;2000;893;96;168;87;148;55;131;6;95;31;158;41;6;10;3;3;49;12;3;5;99;86;4;1;1;0;0;0;1;1;0;0;2;0;0;0;1;0;1;1;5
"121009";"gmina wiejska";"gm. Łącko";"nowosądecki";"małopolskie";11164;12283;3490;7674;4;69;0;0;0;0;0;0;0;7672;0;0;7672;118;81;37;0;7554;507;157;257;7;6;35;9;2;1;8;6;2;0;0;0;1;2;4;1;3;6;505;278;38;8;18;12;7;22;1;51;3;3;4;9;11;11;13;5;3;2;6;575;208;18;9;7;8;18;55;14;2;5;2;4;4;3;1;6;1;1;6;203;5718;2349;393;387;166;102;224;1052;24;278;94;282;174;22;52;10;4;46;26;6;27;249;185;17;5;3;2;5;2;0;1;3;5;3;3;2;3;1;1;0;8;12
"121010";"gmina wiejska";"gm. Łososina Dolna";"nowosądecki";"małopolskie";7696;8232;2224;5472;5;57;0;0;0;0;0;0;0;5472;0;0;5472;62;34;28;0;5410;348;112;112;3;2;91;3;2;1;5;1;4;3;0;0;1;1;3;0;2;2;239;121;20;10;3;8;6;9;3;21;3;4;6;3;7;2;3;2;2;1;5;280;110;8;2;6;7;33;23;7;2;0;0;3;0;1;1;2;2;2;3;68;4392;2072;135;145;566;16;154;226;9;147;72;219;70;21;10;4;3;22;466;6;29;151;112;9;3;2;1;4;6;3;1;0;0;0;1;1;1;3;2;0;2;8
"121011";"gmina miejsko-wiejska";"gm. Muszyna";"nowosądecki";"małopolskie";8496;9474;2724;5772;8;404;0;0;0;0;0;0;0;5771;0;0;5771;79;48;31;0;5692;1219;286;213;6;3;47;11;1;4;19;6;4;4;2;1;3;3;1;3;2;600;409;168;31;10;6;23;9;42;7;47;10;3;3;9;10;3;7;8;4;1;8;349;116;10;7;8;69;15;6;5;7;6;6;4;5;5;0;1;1;6;14;58;3380;1550;100;145;71;47;75;171;6;324;40;161;78;12;12;8;0;558;10;2;10;335;219;29;15;6;10;8;1;3;3;10;0;5;5;1;2;4;8;1;5;14
"121012";"gmina wiejska";"gm. Nawojowa";"nowosądecki";"małopolskie";5953;6362;1955;3998;6;20;0;0;0;0;0;0;0;3997;0;0;3997;53;29;24;0;3944;369;103;166;4;3;29;3;5;1;41;1;1;1;0;1;0;3;2;0;3;2;193;86;14;7;2;9;3;12;5;17;3;7;3;3;3;2;4;2;2;1;8;203;75;3;2;2;8;33;10;2;0;0;5;5;1;0;1;5;1;3;6;41;2954;1376;166;193;183;31;103;169;6;164;18;371;51;29;12;0;5;25;34;2;16;225;175;18;4;0;7;3;0;1;3;5;0;2;3;0;0;1;2;0;1;8
"121013";"gmina miejsko-wiejska";"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";7742;8506;2896;4846;9;173;0;0;0;0;0;0;0;4844;0;0;4844;52;30;22;0;4792;561;219;241;6;2;38;8;5;2;3;5;0;3;2;1;1;2;0;0;6;17;257;116;14;7;6;17;7;10;10;23;4;5;2;4;12;1;4;4;1;1;9;293;82;4;7;6;6;9;4;9;9;5;4;3;1;2;3;5;0;3;9;122;3407;1573;135;237;78;20;133;206;9;284;33;273;130;20;21;2;2;210;26;2;13;274;156;36;3;3;3;34;2;4;7;4;1;2;3;1;1;2;4;4;4;8
"121014";"gmina wiejska";"gm. Podegrodzie";"nowosądecki";"małopolskie";9129;9762;2727;6402;7;27;0;0;0;0;0;0;0;6402;0;0;6402;106;65;41;0;6296;386;106;209;5;5;30;3;4;2;6;2;1;1;2;0;3;0;1;0;5;1;380;171;23;4;3;5;3;16;44;36;2;6;3;1;11;25;6;5;2;1;13;435;184;6;4;9;2;14;140;6;0;5;4;3;2;2;1;1;3;3;5;41;4843;2076;195;149;233;37;393;818;12;244;88;273;132;41;25;11;4;45;42;6;19;252;203;14;6;2;3;3;1;3;2;0;0;5;0;1;0;3;3;1;2;13
"121015";"gmina wiejska";"gm. Rytro";"nowosądecki";"małopolskie";2737;2910;922;1815;1;23;0;0;0;0;0;0;0;1809;0;0;1809;19;13;6;0;1790;172;59;77;2;2;13;1;1;0;10;0;1;2;0;0;0;2;0;0;0;2;99;40;9;2;4;3;3;2;2;15;1;4;0;0;3;1;1;1;2;1;5;98;29;3;0;0;3;2;0;5;0;0;1;0;0;0;0;2;0;1;0;52;1314;611;42;59;54;1;40;218;2;62;10;125;34;5;4;1;0;15;25;0;6;107;73;10;4;2;1;1;4;5;0;0;0;1;4;0;0;2;0;0;0;2
"121016";"gmina miejsko-wiejska";"gm. Stary Sącz";"nowosądecki";"małopolskie";17193;18162;5621;11572;14;85;0;0;0;0;0;0;0;11567;0;1;11566;149;86;63;0;11417;1283;402;648;13;11;86;16;20;6;21;7;1;2;2;0;3;3;7;7;17;11;752;338;56;14;20;18;51;23;11;72;12;10;10;9;20;21;11;9;4;0;43;762;275;18;10;8;12;19;18;16;4;1;6;9;5;8;5;2;0;4;8;334;7909;3157;467;359;403;58;302;1384;13;347;74;814;256;34;18;14;12;40;116;7;34;711;485;127;13;7;6;10;3;11;4;5;1;3;7;3;6;4;5;1;10;15
"121101";"gmina miejska";"m. Nowy Targ";"nowotarski";"małopolskie";24526;25924;9505;15021;13;131;4;4;0;0;0;0;4;15024;4;0;15024;144;78;66;0;14880;3701;2237;479;96;46;283;29;15;241;9;130;6;3;6;49;7;14;9;14;4;24;1380;880;43;38;31;23;21;16;4;79;74;8;10;10;55;19;17;20;3;2;27;957;321;66;24;22;30;30;27;41;32;14;27;137;15;8;38;51;5;19;23;27;7311;1810;1670;147;202;1514;45;147;96;589;47;60;50;16;29;566;22;38;7;40;216;1531;1092;72;67;22;33;15;17;6;12;45;17;21;26;10;4;17;18;9;28;22
"121102";"gmina miejsko-wiejska";"gm. Szczawnica";"nowotarski";"małopolskie";5373;6501;1542;3831;7;689;1;1;0;0;0;0;1;3832;1;0;3832;47;26;21;0;3785;1029;727;103;16;18;80;7;7;4;2;44;3;2;0;0;2;1;1;2;2;8;344;156;21;5;11;33;1;10;1;38;14;2;7;5;15;2;7;8;0;2;6;264;113;14;6;6;17;11;12;12;4;3;3;9;2;4;9;4;1;10;7;17;1845;536;705;83;33;88;18;79;7;142;19;28;16;10;11;20;6;14;6;6;18;303;153;31;24;3;9;2;0;2;5;27;0;7;4;3;2;2;1;16;12;6
"121103";"gmina wiejska";"gm. Czarny Dunajec";"nowotarski";"małopolskie";16522;17404;8593;7929;2;112;0;0;0;0;0;0;0;7928;0;0;7928;130;90;40;0;7798;752;512;60;21;7;23;10;6;15;4;61;1;6;1;4;4;4;1;6;3;3;611;439;18;32;9;10;5;10;4;22;12;2;4;4;16;0;3;14;0;0;7;407;114;85;8;10;12;19;9;18;10;9;8;17;6;9;9;24;3;12;10;15;5832;909;953;83;123;1444;23;109;1112;436;20;73;22;5;12;54;8;16;51;14;365;196;115;8;14;0;6;0;2;3;1;10;4;7;6;0;3;4;2;7;4;23
"121104";"gmina wiejska";"gm. Czorsztyn";"nowotarski";"małopolskie";5487;6049;2139;3348;1;173;0;0;0;0;0;0;0;3348;0;0;3348;36;24;12;0;3312;568;354;89;6;6;39;11;5;6;9;8;1;4;3;3;5;2;6;1;1;9;293;183;10;10;4;9;2;10;3;18;15;2;0;3;9;2;4;3;0;1;5;249;89;21;2;8;27;9;12;13;5;3;8;10;5;1;8;11;0;3;3;11;1990;304;737;48;61;368;17;66;24;236;10;28;14;6;4;26;5;13;4;6;13;212;118;14;13;6;4;3;6;1;3;12;1;5;4;1;4;0;2;7;8;7
"121105";"gmina wiejska";"gm. Jabłonka";"nowotarski";"małopolskie";13376;14317;5276;8100;9;61;0;0;0;0;0;0;0;8100;0;0;8100;114;76;38;0;7986;420;290;37;13;3;18;8;5;10;3;10;8;1;3;1;0;1;0;5;1;3;671;289;10;263;8;11;3;13;3;18;21;3;1;1;12;2;3;3;1;1;5;271;95;13;3;7;10;18;6;12;27;10;2;9;2;0;5;14;1;22;7;8;6473;584;906;59;44;3826;55;149;69;356;34;52;16;11;19;45;3;40;2;135;68;151;93;10;7;3;4;0;3;1;0;6;3;1;7;1;0;1;2;5;4;11
"121106";"gmina wiejska";"gm. Krościenko nad Dunajcem";"nowotarski";"małopolskie";4941;5362;1772;3169;22;128;1;1;0;0;0;0;1;3170;1;0;3170;46;32;14;0;3124;524;326;67;3;8;59;9;2;4;4;15;4;1;3;0;3;4;3;2;1;6;216;139;3;5;6;8;1;0;0;13;6;3;1;1;6;2;2;10;1;0;9;215;88;16;6;2;8;8;8;12;3;2;4;11;3;0;4;8;2;5;10;15;2000;211;1281;33;23;225;6;38;12;65;6;20;11;2;2;21;5;5;3;4;27;169;110;15;5;0;2;4;2;3;2;0;0;0;9;1;2;1;4;7;2;6
"121107";"gmina wiejska";"gm. Lipnica Wielka";"nowotarski";"małopolskie";4199;4530;1664;2535;2;11;0;0;0;0;0;0;0;2535;0;0;2535;53;38;15;0;2482;130;86;8;5;4;6;7;0;0;4;5;1;0;0;0;0;1;1;1;0;1;164;71;6;51;5;1;4;5;0;4;0;2;0;2;2;2;2;1;0;0;6;113;33;11;7;3;0;2;10;6;6;4;2;4;3;0;0;4;0;7;4;7;2020;161;311;27;25;1026;16;40;29;247;14;22;8;2;7;20;1;25;1;11;27;55;30;3;6;2;1;0;0;1;0;2;0;4;2;1;1;0;0;0;2;5
"121108";"gmina wiejska";"gm. Łapsze Niżne";"nowotarski";"małopolskie";6812;7326;3106;3706;1;108;0;0;0;0;0;0;0;3706;0;0;3706;88;60;28;0;3618;361;246;35;9;5;18;8;0;11;0;8;2;2;2;5;2;2;0;2;1;3;247;136;15;9;7;7;1;7;0;13;15;1;1;2;9;5;5;5;1;0;8;263;80;15;6;6;11;6;7;44;11;5;5;24;3;2;3;10;0;3;6;16;2598;284;833;195;43;678;14;68;22;308;14;20;17;5;4;47;1;13;6;4;22;149;78;11;8;6;7;1;3;1;0;6;4;6;3;1;0;1;5;1;7;9
"121109";"gmina wiejska";"gm. Nowy Targ";"nowotarski";"małopolskie";17374;18490;7657;9717;3;77;0;0;0;0;0;0;0;9717;0;0;9717;149;91;58;0;9568;1065;689;137;23;12;51;19;3;48;7;45;1;2;0;5;4;1;3;7;1;7;742;494;22;25;27;11;8;7;4;23;43;7;5;7;25;5;7;10;0;2;10;767;178;64;7;19;11;20;18;247;27;2;10;38;7;8;27;25;2;12;17;28;6620;973;1656;109;116;2016;52;177;139;722;32;101;30;16;30;144;11;25;11;12;248;374;228;17;18;6;16;4;2;4;4;22;3;10;7;3;1;3;10;7;9;21
"121110";"gmina wiejska";"gm. Ochotnica Dolna";"nowotarski";"małopolskie";6140;6518;2341;3799;2;41;0;0;0;0;0;0;0;3797;0;0;3797;66;37;29;0;3731;273;138;79;8;4;19;1;2;6;2;5;0;3;0;1;1;1;0;0;1;2;226;116;13;7;13;10;2;8;4;16;2;1;4;0;14;1;4;4;1;1;5;208;66;10;5;11;6;6;8;13;1;3;2;15;3;2;3;7;1;7;6;33;2934;658;1270;43;71;284;26;188;16;198;23;31;17;7;61;13;2;12;3;0;11;90;54;9;9;1;0;1;0;0;1;5;0;1;2;1;0;1;0;1;4;4
"121111";"gmina wiejska";"gm. Raba Wyżna";"nowotarski";"małopolskie";10629;11181;4515;6114;7;30;0;0;0;0;0;0;0;6114;0;0;6114;59;30;29;0;6055;564;387;57;13;3;24;17;2;6;3;24;3;0;0;3;4;4;2;4;3;5;381;192;13;24;20;7;3;13;3;28;15;4;3;3;18;6;5;16;0;3;5;358;132;24;10;7;7;18;9;21;11;5;6;15;7;2;33;11;2;12;9;17;4512;456;175;36;38;3246;31;59;25;148;13;14;17;5;17;18;4;11;0;175;24;240;141;19;13;3;10;4;2;0;1;7;1;7;5;8;0;5;4;6;4;11
"121112";"gmina miejsko-wiejska";"gm. Rabka-Zdrój";"nowotarski";"małopolskie";12837;13870;4500;8336;21;348;2;2;0;0;0;0;2;8338;2;1;8337;83;44;39;0;8254;1452;1053;154;29;16;59;14;14;8;0;43;15;5;7;3;9;4;5;10;1;3;544;262;24;19;58;15;9;19;4;47;6;3;4;6;16;9;14;14;0;2;13;597;166;31;9;12;20;29;21;14;10;8;5;5;13;5;181;15;7;21;7;18;5075;1171;498;140;89;1344;75;133;49;295;39;34;46;13;57;57;9;21;21;943;41;586;342;54;29;10;26;8;3;5;5;26;7;22;8;8;6;6;3;7;11;13
"121113";"gmina wiejska";"gm. Spytkowice";"nowotarski";"małopolskie";3288;3489;1373;1915;8;12;0;0;0;0;0;0;0;1915;0;0;1915;16;15;1;0;1899;157;112;17;3;0;5;2;1;1;1;10;0;0;0;0;0;1;0;0;2;2;90;48;1;8;4;5;0;3;1;9;2;0;0;0;2;2;0;1;0;1;3;90;29;13;4;2;3;4;3;5;0;2;1;2;2;2;7;2;2;3;2;2;1500;97;29;7;5;459;6;13;2;18;3;2;8;1;1;1;0;2;2;840;4;62;33;7;5;2;1;1;1;1;0;0;2;3;3;0;1;0;0;1;1;5
"121114";"gmina wiejska";"gm. Szaflary";"nowotarski";"małopolskie";7914;8435;3991;3923;2;72;0;0;0;0;0;0;0;3923;0;0;3923;38;21;17;0;3885;376;252;33;12;2;20;8;1;6;1;28;3;0;1;3;2;1;1;0;0;2;305;229;17;4;4;7;2;3;1;9;4;0;8;1;3;0;4;5;0;2;2;209;40;53;3;1;8;9;6;10;12;0;5;14;3;1;4;26;0;1;2;11;2890;427;694;52;43;718;23;122;119;372;13;13;17;3;8;55;4;8;6;8;185;105;62;6;4;5;2;1;4;0;2;4;2;2;5;2;0;2;1;0;1;10
"121701";"gmina miejska";"m. Zakopane";"tatrzański";"małopolskie";20613;24278;4379;16234;28;3061;3;3;0;0;0;0;3;16236;3;0;16236;118;65;53;0;16118;5276;2760;286;469;18;220;30;11;23;15;1218;17;25;11;3;11;6;17;100;9;27;1185;787;36;17;14;21;7;21;13;49;36;2;6;15;33;7;15;69;2;3;32;841;344;92;19;20;29;38;29;32;14;11;5;54;31;8;26;29;5;13;15;27;7226;2283;801;169;110;358;42;214;573;779;57;83;77;40;43;50;9;32;10;12;1484;1590;894;94;104;22;157;16;24;10;7;86;23;20;14;27;10;17;13;20;32;24
"121702";"gmina wiejska";"gm. Biały Dunajec";"tatrzański";"małopolskie";5154;5650;2193;2961;2;176;0;0;0;0;0;0;0;2961;0;0;2961;37;21;16;0;2924;272;187;16;6;3;6;3;1;6;0;32;3;1;1;0;0;1;1;1;1;3;245;224;0;0;1;2;1;2;1;2;0;0;1;2;1;0;1;6;0;0;1;258;17;161;1;0;1;2;2;4;2;0;0;3;2;1;49;5;0;2;1;5;2059;318;489;38;14;279;13;69;281;307;13;8;6;4;4;5;1;5;2;2;201;90;54;3;2;1;5;4;2;2;0;6;1;0;3;1;0;2;0;2;2;8
"121703";"gmina wiejska";"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";9641;10611;3513;6128;2;605;0;0;0;0;0;0;0;6127;0;0;6127;60;29;31;0;6067;944;667;73;32;3;28;8;6;3;4;102;2;0;3;0;3;2;3;3;0;2;389;275;15;7;17;7;0;4;3;8;5;3;4;2;7;3;10;12;1;0;6;356;119;61;10;9;5;9;16;31;8;6;2;11;5;2;29;13;0;8;3;9;4155;804;1152;72;48;517;25;99;382;458;31;53;25;4;7;30;2;17;10;9;410;223;128;13;12;4;13;2;2;5;1;7;5;5;2;4;3;3;5;4;5;10
"121704";"gmina wiejska";"gm. Kościelisko";"tatrzański";"małopolskie";6372;7077;2400;3972;7;312;1;1;0;0;0;0;1;3972;1;0;3972;30;18;12;0;3942;782;426;44;57;2;26;5;1;5;2;191;1;4;0;0;1;0;1;13;0;3;362;273;10;5;4;5;3;5;0;11;7;5;2;3;5;2;3;14;0;1;4;220;80;26;5;4;8;13;12;6;2;1;1;16;1;2;3;23;1;5;5;6;2348;457;216;49;33;117;10;52;783;143;5;19;19;9;6;11;0;7;0;1;411;230;106;30;20;4;14;0;2;2;0;27;4;2;2;0;4;2;4;3;4;4
"121705";"gmina wiejska";"gm. Poronin";"tatrzański";"małopolskie";8210;9177;3225;4984;5;379;0;0;0;0;0;0;0;4985;0;0;4985;65;46;19;0;4920;807;527;46;35;2;30;1;1;8;0;137;0;1;2;0;1;2;2;7;3;2;443;362;7;5;4;5;2;4;1;10;4;0;1;1;9;2;3;20;0;0;3;240;70;73;2;4;1;8;11;9;4;2;7;5;3;2;11;13;1;5;2;7;3246;478;888;46;41;320;23;73;311;446;8;23;12;9;6;12;5;2;0;6;537;184;93;14;13;2;12;4;1;3;0;20;3;3;4;2;2;4;0;4;0;8
