"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar BONKOWSKI";"Dariusz DRELICH";"Stanisław Józef LAMCZYK"
"9be8-d005-3567-0337-36d6-8029-6804-67e4";"220104";"63";"3";"wieś";"stały";"Świetlica wiejska, Gałąźnia Wielka 2a, 77-140 Kołczygłowy";"gm. Kołczygłowy";"bytowski";"pomorskie";"350";"370";"191";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"5";"1";"4";"0";"154";"28";"68";"58"
"6cdf-eb47-a33f-e8eb-97c5-96b1-031e-162c";"220104";"63";"4";"wieś";"stały";"Szkoła Podstawowa, Łubno 22, 77-140 Kołczygłowy";"gm. Kołczygłowy";"bytowski";"pomorskie";"550";"581";"305";"245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"3";"0";"3";"0";"242";"43";"92";"107"
"4838-59b4-cb6e-ba01-00c0-5303-3258-66fc";"220105";"63";"1";"wieś";"stały";"Zespół Szkół, Kaszubska 1, 77-138 Borowy Młyn";"gm. Lipnica";"bytowski";"pomorskie";"653";"677";"246";"407";"0";"7";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"4";"0";"4";"0";"403";"67";"199";"137"
"2b47-8cae-17c6-dea1-d8be-d605-3ced-5a85";"220105";"63";"2";"wieś";"stały";"Budynek gminny, Borzyszkowy 4, 77-130 Lipnica";"gm. Lipnica";"bytowski";"pomorskie";"850";"918";"350";"500";"0";"1";"0";"0";"0";"0";"0";"0";"0";"500";"0";"0";"500";"7";"1";"6";"0";"493";"52";"341";"100"
"d50b-1dce-af64-76f8-fa4e-929d-a415-b36e";"220105";"63";"3";"wieś";"stały";"Zespół Szkół, Jana Pawła II 79, 77-139 Brzeźno Szlacheckie";"gm. Lipnica";"bytowski";"pomorskie";"802";"887";"321";"481";"1";"9";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"7";"1";"6";"0";"474";"55";"273";"146"
"ab9f-5ead-d061-735e-0fdf-f147-199b-86d6";"220105";"63";"4";"wieś";"stały";"Zespół Szkół, Szkolna 4, 77-130 Lipnica";"gm. Lipnica";"bytowski";"pomorskie";"952";"990";"369";"583";"0";"2";"0";"0";"0";"0";"0";"0";"0";"583";"0";"0";"583";"6";"3";"3";"0";"577";"72";"308";"197"
"5607-a6e8-a2dd-dbcd-7761-62b6-26fb-cfc8";"220105";"63";"5";"wieś";"stały";"Sala wiejska, Zapceń 98, 77-130 Lipnica";"gm. Lipnica";"bytowski";"pomorskie";"652";"678";"254";"398";"0";"14";"0";"0";"0";"0";"0";"0";"0";"398";"0";"0";"398";"8";"3";"5";"0";"390";"32";"259";"99"
"628f-1816-327d-9503-5d86-641a-085e-acac";"220106";"63";"1";"miasto";"stały";"Sanus s. c., Osiedle Ceglane 1, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"900";"923";"391";"509";"0";"0";"0";"0";"0";"0";"0";"0";"0";"509";"0";"0";"509";"7";"4";"3";"0";"502";"84";"195";"223"
"ffd0-d05d-58f3-33cb-824d-ca0c-b6ef-7dc7";"220106";"63";"2";"miasto";"stały";"Siedziba Miejsko-Gminnej Komisji ds. Rozwiązywania Problemów Alkoholowych w Miastku, ul. Juliana Tuwima 1, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"850";"915";"334";"516";"4";"3";"0";"0";"0";"0";"0";"0";"0";"516";"0";"0";"516";"12";"3";"9";"0";"504";"98";"172";"234"
"da0d-afb3-de23-d4b4-04f2-fac2-a864-152f";"220106";"63";"3";"miasto";"stały";"Przedszkole Miejskie Nr 3 w Miastku, ul. Juliana Tuwima 2, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"1050";"1101";"465";"585";"0";"2";"0";"0";"0";"0";"0";"0";"0";"585";"0";"0";"585";"15";"1";"14";"0";"570";"105";"198";"267"
"418d-6c99-3bd1-9467-5e97-1043-6742-7db0";"220106";"63";"4";"miasto";"stały";"Państwowa Straż Pożarna w Miastku, ul. Konstytucji 3 Maja 2a, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"950";"1017";"413";"537";"1";"4";"1";"1";"0";"0";"0";"0";"1";"538";"1";"0";"538";"8";"3";"5";"0";"530";"93";"174";"263"
"0407-a8d3-0e2d-226a-80bf-d897-6dda-3e43";"220106";"63";"5";"miasto";"stały";"Przedszkole Nr 1 w Miastku, ul. Koszalińska 19, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"800";"877";"391";"409";"1";"1";"1";"1";"0";"0";"0";"0";"1";"410";"1";"0";"410";"10";"4";"6";"0";"400";"60";"149";"191"
"6e50-8841-bf86-23a4-e8eb-e3ac-01c4-da42";"220106";"63";"6";"miasto";"stały";"Zespół Szkół Ogólnokształcących i Technicznych, ul. Młodzieżowa 3, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"1000";"1067";"379";"621";"0";"5";"0";"0";"0";"0";"0";"0";"0";"621";"0";"0";"621";"8";"3";"5";"0";"613";"105";"212";"296"
"5e0c-f21e-80c1-c7fa-2a7d-2cca-67fb-0020";"220106";"63";"7";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Miastku, ul. Kujawska 1, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"900";"921";"402";"498";"0";"9";"0";"0";"0";"0";"0";"0";"0";"498";"0";"0";"498";"17";"2";"15";"0";"481";"85";"153";"243"
"bd2b-b44a-6b78-8c10-cc9c-7a29-6af4-a58b";"220106";"63";"8";"miasto";"stały";"Centrum Edukacji Wiem, ul. Kaszubska 20, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"1200";"1236";"531";"669";"1";"3";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"16";"3";"13";"0";"653";"128";"201";"324"
"534c-ebab-2507-e2a1-650b-bdc0-3b26-b7f6";"220106";"63";"9";"wieś";"stały";"Szkoła Podstawowa w Dretyniu, Dretyń 26, 77-203 Miastko";"gm. Miastko";"bytowski";"pomorskie";"1002";"1062";"493";"509";"0";"0";"0";"0";"0";"0";"0";"0";"0";"509";"0";"0";"509";"15";"2";"13";"0";"494";"83";"163";"248"
"aeb3-9fc2-421e-bf00-5ffd-a7ff-ef0b-841f";"220106";"63";"10";"wieś";"stały";"Szkoła Podstawowa w Słosinku, Słosinko 4, 77-211 Miastko";"gm. Miastko";"bytowski";"pomorskie";"894";"964";"566";"328";"0";"2";"1";"1";"0";"0";"0";"0";"1";"329";"1";"0";"329";"10";"10";"0";"0";"319";"68";"111";"140"
"0823-4922-4336-d690-a97d-c69a-5df5-e240";"220106";"63";"11";"wieś";"stały";"Szkoła Podstawowa w Świerznie, Świerzno 4, 77-222 Miastko";"gm. Miastko";"bytowski";"pomorskie";"900";"964";"479";"421";"0";"2";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"15";"3";"12";"0";"406";"42";"159";"205"
"5cd8-1030-5ac7-8d7b-4baa-660d-2917-2765";"220106";"63";"12";"wieś";"stały";"Świetlica Wiejska w Trzcinnie, Trzcinno 8a, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"743";"804";"450";"293";"0";"0";"0";"0";"0";"0";"0";"0";"0";"292";"0";"0";"292";"5";"2";"3";"0";"287";"21";"127";"139"
"18cc-4ad0-96cc-d615-985d-19f2-7970-487b";"220106";"63";"13";"wieś";"stały";"Szkoła Podstawowa w Piaszczynie, Piaszczyna 6, 77-207 Miastko";"gm. Miastko";"bytowski";"pomorskie";"850";"909";"508";"342";"0";"1";"0";"0";"0";"0";"0";"0";"0";"342";"0";"0";"342";"11";"0";"11";"0";"331";"61";"151";"119"
"fff9-9b7f-6e5f-918d-8aa4-2076-e8b8-5273";"220106";"63";"14";"wieś";"stały";"Środowiskowy Dom Samopomocy w Miastku, ul. Juliana Tuwima 1, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"849";"904";"390";"459";"0";"4";"1";"1";"0";"0";"0";"0";"1";"460";"1";"0";"460";"7";"1";"6";"0";"453";"64";"156";"233"
"9105-15b3-f87b-1d61-cb49-c362-a8f3-9f58";"220106";"63";"15";"wieś";"stały";"Szkoła Podstawowa Nr 2 w Miastku, ul. Kujawska 1, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"1135";"1250";"507";"628";"0";"4";"0";"0";"0";"0";"0";"0";"0";"628";"0";"0";"628";"20";"7";"13";"0";"608";"93";"188";"327"
"cd5c-1336-d53f-3aa3-a8ac-311e-46d9-25f7";"220106";"63";"16";"miasto";"zakład leczniczy";"Szpital Miejski w Miastku sp z o. o., ul. Wybickiego 30, 77-200 Miastko";"gm. Miastko";"bytowski";"pomorskie";"164";"107";"108";"56";"0";"2";"0";"0";"0";"0";"0";"0";"0";"56";"0";"0";"56";"4";"0";"4";"0";"52";"14";"19";"19"
"c6a5-525f-f0c6-22b8-25fa-26c3-c3c4-9e98";"220107";"63";"1";"wieś";"stały";"Zespół Szkół w Parchowie, Kartuska 19A, 77-124 Parchowo";"gm. Parchowo";"bytowski";"pomorskie";"1343";"1463";"354";"989";"1";"17";"0";"0";"0";"0";"0";"0";"0";"989";"0";"0";"989";"23";"5";"18";"0";"966";"115";"484";"367"
"ca1a-7cab-3952-7ee9-a4c2-30fe-b19c-e1f8";"220107";"63";"2";"wieś";"stały";"Wiejski Dom Kultury w Nakli, Długa 11/6, 77-127 Nakla";"gm. Parchowo";"bytowski";"pomorskie";"701";"753";"228";"473";"0";"3";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"11";"9";"2";"0";"462";"59";"257";"146"
"2822-50a3-81e3-afe9-d633-12f5-734a-be6d";"220107";"63";"3";"wieś";"stały";"Budynek po byłej szkole, Chośnica 7, 77-124 Chośnica";"gm. Parchowo";"bytowski";"pomorskie";"250";"252";"114";"136";"0";"0";"0";"0";"0";"0";"0";"0";"0";"136";"0";"0";"136";"1";"1";"0";"0";"135";"13";"97";"25"
"9fd5-9657-e1b9-9891-59cd-ea5f-411b-4b15";"220107";"63";"4";"wieś";"stały";"Sala wiejska, Żukówko 17A, 77-121 Żukówko";"gm. Parchowo";"bytowski";"pomorskie";"350";"359";"157";"193";"0";"0";"0";"0";"0";"0";"0";"0";"0";"193";"0";"0";"193";"3";"0";"3";"0";"190";"21";"101";"68"
