"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Lucjan BARGIEŁ";"Marek PĘK"
"570d-f7b3-6ad8-9e29-4e0c-09fe-7b22-7d54";"120606";"31";"20";"wieś";"stały";"Szkoła Podstawowa w Tenczynku, ul. Szkolna 6, 32-067 Tenczynek";"gm. Krzeszowice";"krakowski";"małopolskie";"1679";"1837";"440";"1239";"0";"3";"1";"1";"0";"0";"0";"0";"1";"1240";"1";"0";"1240";"51";"16";"35";"0";"1189";"687";"502"
"c5c0-c515-b399-7d2a-f8d2-d476-c444-94eb";"120606";"31";"21";"wieś";"stały";"Dom Gromadzki w Nowej Górze, Nowa Góra 479, 32-065  Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"878";"964";"253";"625";"1";"2";"0";"0";"0";"0";"0";"0";"0";"625";"0";"0";"625";"32";"5";"27";"0";"593";"224";"369"
"cbb7-bc07-5c1d-d0bb-bf6e-de72-269f-5fd7";"120606";"31";"22";"wieś";"stały";"Szkoła Podstawowa w Ostrężnicy, Ostrężnica 47, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"1070";"1169";"383";"687";"0";"0";"0";"0";"0";"0";"0";"0";"0";"687";"0";"0";"687";"14";"4";"10";"0";"673";"254";"419"
"6dfd-ef0c-a765-85b6-1af0-7904-dd6f-00a9";"120606";"31";"23";"wieś";"stały";"Szkoła Podstawowa w Miękini, Miękinia 180, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"911";"1013";"305";"606";"2";"3";"1";"1";"0";"0";"0";"0";"1";"607";"1";"0";"607";"18";"1";"17";"0";"589";"245";"344"
"3d9a-e410-387f-08d2-f029-0352-087a-73f5";"120606";"31";"24";"wieś";"stały";"Szkoła Podstawowa w Zalasiu, Zalas ul. Ludwika Siudy 6, 32-067 Tenczynek";"gm. Krzeszowice";"krakowski";"małopolskie";"828";"917";"318";"510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"17";"13";"4";"0";"493";"182";"311"
"07f0-504c-ce80-d7b0-c3ad-394b-3ba9-b437";"120606";"31";"25";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Czernej, Czerna 110, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"61";"55";"22";"39";"0";"1";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"39";"5";"4";"1";"0";"34";"9";"25"
"e631-3741-95fc-1298-b608-0da9-ce58-1311";"120606";"31";"26";"miasto";"zakład leczniczy";"Ośrodek Rehabilitacji Narządu Ruchu w Krzeszowicach, ul. I. Daszyńskiego 1, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"200";"185";"67";"133";"0";"0";"0";"0";"0";"0";"0";"0";"0";"133";"0";"0";"133";"7";"2";"5";"0";"126";"49";"77"
"7a67-f2b8-e183-c771-f75b-4152-44fb-9dd5";"120607";"31";"1";"wieś";"stały";"GOPS w Liszkach, Liszki 1, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"1390";"1538";"404";"986";"2";"9";"0";"0";"0";"0";"0";"0";"0";"986";"0";"0";"986";"31";"5";"26";"0";"955";"284";"671"
"4d48-0b25-9f70-714f-415a-32a7-080f-d713";"120607";"31";"2";"wieś";"stały";"Szkoła Podstawowa w Rącznej, Rączna 1, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"1420";"1579";"438";"982";"0";"5";"0";"0";"0";"0";"0";"0";"0";"982";"0";"0";"982";"33";"2";"31";"0";"949";"322";"627"
"fab2-83da-6ae6-7558-c426-d793-dfbe-2cf0";"120607";"31";"3";"wieś";"stały";"Szkoła Podstawowa w Jeziorzanach, Jeziorzany 1, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"679";"754";"255";"424";"1";"1";"0";"0";"0";"0";"0";"0";"0";"424";"0";"0";"424";"16";"4";"12";"0";"408";"129";"279"
"f5c4-c290-9c4e-3fd0-c809-a0f7-8a4a-3686";"120607";"31";"4";"wieś";"stały";"Remiza OSP w Ściejowicach, Ściejowice 186, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"659";"721";"190";"469";"1";"3";"0";"0";"0";"0";"0";"0";"0";"469";"0";"0";"469";"11";"5";"6";"0";"458";"181";"277"
"fe88-94cc-4e9c-4ba9-309b-9115-cb28-e19d";"120607";"31";"5";"wieś";"stały";"Szkoła Podstawowa w Kaszowie, Kaszów 185, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"1464";"1626";"460";"1004";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1004";"0";"0";"1004";"27";"4";"23";"0";"977";"273";"704"
"0cf6-78a2-37e5-0381-0696-2172-2fe7-38a1";"120607";"31";"6";"wieś";"stały";"Szkoła Podstawowa w Czułowie, Czułów 188, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"849";"944";"231";"618";"0";"2";"0";"0";"0";"0";"0";"0";"0";"618";"0";"0";"618";"21";"5";"16";"0";"597";"169";"428"
"c1c4-1fdb-e3b0-2a95-ae2e-af24-74d1-f171";"120607";"31";"7";"wieś";"stały";"Szkoła Podstawowa w Mnikowie, Mników 13, 32-084 Morawica";"gm. Liszki";"krakowski";"małopolskie";"880";"982";"187";"693";"0";"3";"0";"0";"0";"0";"0";"0";"0";"693";"0";"0";"693";"22";"6";"16";"0";"671";"190";"481"
"4721-6967-3eec-73aa-d33e-d1da-e8b4-ee73";"120607";"31";"8";"wieś";"stały";"Dom Ludowy w Chrosnej, Chrosna 150, 32-084 Morawica";"gm. Liszki";"krakowski";"małopolskie";"510";"565";"146";"364";"1";"1";"0";"0";"0";"0";"0";"0";"0";"364";"0";"0";"364";"16";"4";"12";"0";"348";"131";"217"
"4f0f-9c8a-325f-5075-1686-2c8a-ecdb-64c2";"120607";"31";"9";"wieś";"stały";"Szkoła Podstawowa w Morawicy, Morawica 1, 32-084  Morawica";"gm. Liszki";"krakowski";"małopolskie";"780";"843";"291";"489";"0";"0";"0";"0";"0";"0";"0";"0";"0";"489";"0";"0";"489";"19";"1";"18";"0";"470";"159";"311"
"605d-50c7-7c0c-2637-a21c-880b-d57b-2457";"120607";"31";"10";"wieś";"stały";"Szkoła Podstawowa w Kryspinowie, Kryspinów 356, 32-060  Liszki";"gm. Liszki";"krakowski";"małopolskie";"1133";"1293";"223";"910";"0";"19";"0";"0";"0";"0";"0";"0";"0";"910";"0";"0";"910";"15";"2";"13";"0";"895";"379";"516"
"989d-41ce-13a2-7eaf-ac32-96c2-8d0c-d94d";"120607";"31";"11";"wieś";"stały";"Szkoła Podstawowa w Cholerzynie, Cholerzyn 205, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"1120";"1245";"267";"853";"0";"4";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"40";"7";"33";"0";"813";"342";"471"
"fc67-2473-1b35-5164-d47b-6144-e132-6090";"120607";"31";"12";"wieś";"stały";"Szkoła Podstawowa w Piekarach, Piekary 100, 32-060 Liszki";"gm. Liszki";"krakowski";"małopolskie";"1138";"1267";"296";"842";"0";"2";"0";"0";"0";"0";"0";"0";"0";"842";"0";"0";"842";"27";"7";"20";"0";"815";"318";"497"
"67a1-cdbb-1a12-b67f-cfed-14b1-3d10-3303";"120608";"31";"1";"wieś";"stały";"Urząd Gminy Michałowice, pl. Józefa Piłsudskiego 1, 32-091 Michałowice";"gm. Michałowice";"krakowski";"małopolskie";"1360";"1530";"205";"1155";"1";"27";"0";"0";"0";"0";"0";"0";"0";"1154";"0";"2";"1152";"50";"15";"35";"0";"1102";"687";"415"
"b4a6-1e86-6f4a-4cb9-61bc-c68a-0df6-7a52";"120608";"31";"2";"wieś";"stały";"Szkoła Podstawowa w Michałowicach, ul. Jana Pawła II 1, 32-091 Michałowice";"gm. Michałowice";"krakowski";"małopolskie";"1353";"1506";"353";"1000";"2";"6";"1";"1";"0";"0";"0";"0";"1";"1001";"1";"0";"1001";"27";"6";"21";"0";"974";"483";"491"
"55eb-e0d4-5311-1a8f-5643-c5a5-8da0-4d2a";"120608";"31";"3";"wieś";"stały";"Szkoła Podstawowa w Michałowicach, ul. Jana Pawła II 1, 32-091 Michałowice";"gm. Michałowice";"krakowski";"małopolskie";"1931";"2145";"420";"1511";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1511";"0";"0";"1511";"36";"8";"28";"0";"1475";"716";"759"
"5ecd-6841-9558-e75e-484e-598f-aa7f-6f11";"120608";"31";"4";"wieś";"stały";"Szkoła Podstawowa w Więcławicach Starych, Więcławice Stare ul. Św. Jakuba 94, 32-091 Michałowice";"gm. Michałowice";"krakowski";"małopolskie";"1568";"1745";"426";"1142";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1141";"0";"0";"1141";"43";"17";"26";"0";"1098";"482";"616"
"bc87-0933-ad0c-a124-08a6-df8e-37ea-20ff";"120608";"31";"5";"wieś";"stały";"Szkoła Podstawowa w Raciborowicach, Raciborowice Jana Długosza 36, 32-091 Michałowice";"gm. Michałowice";"krakowski";"małopolskie";"1090";"1208";"349";"741";"1";"0";"0";"0";"0";"0";"0";"0";"0";"741";"0";"0";"741";"22";"2";"20";"0";"719";"280";"439"
"fdf6-16c5-15ed-9aa5-003c-29ff-f107-08f5";"120609";"31";"1";"wieś";"stały";"Szkoła Podstawowa im. Oskara Kolberga w Bukowie, Buków 1, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"771";"849";"204";"567";"3";"4";"0";"0";"0";"0";"0";"0";"0";"567";"0";"0";"567";"22";"9";"13";"0";"545";"193";"352"
"4025-8cff-a2f1-8481-1730-bd1c-8f74-64d8";"120609";"31";"2";"wieś";"stały";"Budynek starej Szkoły Podstawowej w Chorowicach, Chorowice ul. Doboszyńskiego 48, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"873";"967";"187";"686";"2";"2";"0";"0";"0";"0";"0";"0";"0";"686";"0";"0";"686";"33";"8";"25";"0";"653";"279";"374"
"f398-db5f-de20-b861-11fb-9aea-d78b-100c";"120609";"31";"3";"wieś";"stały";"Szkoła Podstawowa w Gaju, Gaj ul. Szkolna 73, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"2170";"2411";"480";"1690";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1690";"0";"0";"1690";"67";"26";"41";"0";"1623";"729";"894"
"ca18-3af4-36e9-c383-0c41-6f12-d9b7-7081";"120609";"31";"4";"wieś";"stały";"Szkoła Podstawowa im. Marii Konopnickiej w Konarach, Konary ul. Szkolna 13, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"760";"837";"194";"566";"0";"3";"0";"0";"0";"0";"0";"0";"0";"566";"0";"0";"566";"21";"2";"19";"0";"545";"199";"346"
"2a4a-7af8-c3f9-fe29-a704-6ee3-3474-44a7";"120609";"31";"5";"wieś";"stały";"Szkoła Podstawowa w Libertowie, Libertów ul. Jana Pawła II 43, 30-444 Kraków 55";"gm. Mogilany";"krakowski";"małopolskie";"1791";"1973";"346";"1445";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1444";"0";"0";"1444";"47";"10";"37";"0";"1397";"778";"619"
"9710-8e0a-9007-24fb-6b5f-4252-ed46-5478";"120609";"31";"6";"wieś";"stały";"Sala narad w UG Mogilany, ul. Rynek 2, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"1251";"1403";"245";"1006";"1";"21";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"0";"1006";"33";"13";"20";"0";"973";"460";"513"
"5297-61eb-0844-3d46-d9a6-1e16-8d67-d8c3";"120609";"31";"7";"wieś";"stały";"Szkoła Podstawowa we Włosani, Włosań ul. Królowej Polski 142, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"1060";"1165";"287";"773";"1";"2";"0";"0";"0";"0";"0";"0";"0";"773";"0";"0";"773";"28";"11";"17";"0";"745";"304";"441"
"48b6-cb20-92dc-e603-ebf8-cf14-0b18-048a";"120609";"31";"8";"wieś";"stały";"budynek strażnicy OSP w Mogilanach, ul. Krakowska 5, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"1108";"1238";"223";"885";"2";"8";"0";"0";"0";"0";"0";"0";"0";"885";"0";"0";"885";"42";"14";"28";"0";"843";"453";"390"
"6aaa-d44e-77dc-9ed9-c543-7d74-d81c-d852";"120609";"31";"9";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej Bonifraterska Fundacja Dobroczynna w Konarach, Konary ul. Bonifraterska 11, 32-031 Mogilany";"gm. Mogilany";"krakowski";"małopolskie";"43";"39";"13";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"30";"4";"2";"2";"0";"26";"3";"23"
"6fb1-9f97-21fe-60fa-9b55-5e21-65a3-59da";"120610";"31";"1";"miasto";"stały";"Remiza Ochotniczej Straży Pożarnej w Skale, Klub Florian ul. Krakowska 34, 32-043 Skała";"gm. Skała";"krakowski";"małopolskie";"1360";"1491";"376";"984";"0";"3";"0";"0";"0";"0";"0";"0";"0";"984";"0";"0";"984";"35";"17";"18";"0";"949";"360";"589"
"ff70-a164-2c37-2d3f-8223-112c-cd96-595a";"120610";"31";"2";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Skale, ul. Topolowa 25, 32-043 Skała";"gm. Skała";"krakowski";"małopolskie";"1731";"1914";"435";"1296";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1296";"0";"0";"1296";"53";"17";"36";"0";"1243";"477";"766"
"8bca-707f-ba1e-3430-2ffb-c8c0-f61b-0f6e";"120610";"31";"3";"wieś";"stały";"Szkoła Podstawowa w Minodze, Minoga 18, 32-046 Minoga";"gm. Skała";"krakowski";"małopolskie";"1811";"2020";"653";"1158";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"0";"1158";"46";"16";"30";"0";"1112";"405";"707"
"e7b8-6d3a-1b9c-f845-568a-ebf3-5915-9cef";"120610";"31";"4";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Smardzowicach, Smardzowice 6, 32-077 Smardzowice";"gm. Skała";"krakowski";"małopolskie";"972";"1072";"225";"747";"0";"0";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"19";"5";"14";"0";"728";"295";"433"
"eae9-2d52-ba49-c4da-0263-b5fd-8d7c-7cf1";"120610";"31";"5";"wieś";"stały";"Dom Pomocy Społecznej w Ojcowie, Ojców 64, 32-047 ojców";"gm. Skała";"krakowski";"małopolskie";"160";"187";"41";"119";"0";"10";"0";"0";"0";"0";"0";"0";"0";"119";"0";"0";"119";"2";"0";"2";"0";"117";"58";"59"
"e76d-71f8-6b7e-c420-1e36-0ec8-1f65-2ec5";"120610";"31";"6";"wieś";"stały";"Szkoła Podstawowa w Szczodrkowicach, Szczodrkowice 3, 32-043 Skała";"gm. Skała";"krakowski";"małopolskie";"500";"545";"131";"369";"0";"0";"0";"0";"0";"0";"0";"0";"0";"369";"0";"0";"369";"8";"3";"5";"0";"361";"124";"237"
"ed27-3792-b3c4-37d5-0fe5-0380-b29b-c8ea";"120610";"31";"7";"wieś";"stały";"Szkoła Podstawowa w Cianowicach, Cianowice ul. Szkolna 30, 32-043 Skała";"gm. Skała";"krakowski";"małopolskie";"1010";"1129";"307";"703";"0";"2";"0";"0";"0";"0";"0";"0";"0";"703";"0";"0";"703";"20";"7";"13";"0";"683";"273";"410"
"f87a-c739-0934-8f21-1ae6-ec51-2812-6100";"120611";"31";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Komisji Edukacji Narodowej w Skawinie, ul. Mickiewicza 11 a, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1828";"2022";"614";"1214";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1213";"0";"0";"1213";"40";"15";"25";"0";"1173";"526";"647"
"043d-f4ee-d907-2cac-e077-6050-ab92-ab6a";"120611";"31";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Komisji Edukacji Narodowej w Skawinie, ul. Mickiewicza 11 a, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1110";"1204";"295";"815";"3";"5";"0";"0";"0";"0";"0";"0";"0";"815";"0";"0";"815";"35";"12";"23";"0";"780";"400";"380"
"9388-d277-ec37-aada-b10f-8a81-fb3d-8aeb";"120611";"31";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika w Skawinie, ul. Korabnicka 19, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1432";"1602";"357";"1075";"4";"10";"0";"0";"0";"0";"0";"0";"0";"1075";"0";"0";"1075";"31";"10";"21";"0";"1044";"528";"516"
"5c6c-50bc-3642-fb8c-0b19-984e-d67e-ce1e";"120611";"31";"4";"miasto";"stały";"Liceum Ogólnokształcące im. M. Skłodowskiej-Curie w Skawinie, ul. Żwirki i Wigury 17, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1540";"1684";"567";"973";"3";"3";"0";"0";"0";"0";"0";"0";"0";"972";"0";"0";"972";"45";"13";"32";"0";"927";"506";"421"
"d0a8-ccc0-9798-9ae7-788c-784c-385a-c673";"120611";"31";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Kazimierza Wielkiego w Skawinie, ul. Żwirki i Wigury 17, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1599";"1737";"449";"1150";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1150";"0";"0";"1150";"26";"9";"17";"0";"1124";"598";"526"
"6d66-ee86-e0b3-1b7b-e13c-f9e8-4616-6294";"120611";"31";"6";"miasto";"stały";"Zespół Szkół Techniczno-Ekonomicznych w Skawinie, ul. Kopernika 13, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1039";"1144";"252";"787";"1";"2";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"29";"11";"18";"0";"758";"393";"365"
"9c0a-999d-00b0-72ad-7f59-1e71-8dd8-7245";"120611";"31";"7";"miasto";"stały";"Zespół Szkół Techniczno-Ekonomicznych w Skawinie, ul. Kopernika 13, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1840";"2001";"595";"1245";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1245";"0";"0";"1245";"40";"12";"28";"0";"1205";"608";"597"
"ddf6-cc8b-0ad9-3119-c7cc-8d2d-fd54-38ee";"120611";"31";"8";"miasto";"stały";"Spółdzielnia Mieszkaniowa Lokatorsko-Własnościowa w Skawinie, ul. Ogrody 31, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1410";"1548";"449";"961";"3";"5";"0";"0";"0";"0";"0";"0";"0";"961";"0";"0";"961";"28";"12";"16";"0";"933";"428";"505"
"80c6-9400-9ff0-51d9-2ae8-d94e-f71b-08fc";"120611";"31";"9";"miasto";"stały";"Centrum Wspierania Rodziny, Urząd Miasta i Gminy w Skawinie, ul. Popiełuszki 17, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1640";"1804";"500";"1140";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1140";"0";"0";"1140";"47";"7";"40";"0";"1093";"479";"614"
"24c2-0465-6bdd-18a9-3ea2-559a-96a7-d6ff";"120611";"31";"10";"miasto";"stały";"Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im Noblistów Polskich w Skawinie, ul. Witosa 4, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1148";"1247";"358";"790";"1";"4";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"28";"4";"24";"0";"762";"369";"393"
"4243-a71b-ab3d-0869-a49a-7f02-6703-ed20";"120611";"31";"11";"miasto";"stały";"Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im Noblistów Polskich w Skawinie, ul. Witosa 4, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1000";"1101";"277";"723";"3";"3";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"22";"11";"11";"0";"701";"328";"373"
"5aef-9bd3-6ecf-0a9b-df7f-1e3c-fde3-47f4";"120611";"31";"12";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Stanisława Wyspiańskiego w Skawinie, ul. Stanisława Wyspiańskiego 5, 32-050 Skawina";"gm. Skawina";"krakowski";"małopolskie";"1459";"1622";"298";"1161";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1161";"0";"0";"1161";"43";"10";"33";"0";"1118";"571";"547"
"e931-2eac-0e82-df69-cd7b-ae09-6cc4-afad";"120611";"31";"13";"wieś";"stały";"Szkoła Podstawowa im. św Jana Pawła II w Radziszowie, ul. Szkolna 7, 32-052 Radziszów";"gm. Skawina";"krakowski";"małopolskie";"1541";"1706";"401";"1140";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1140";"0";"0";"1140";"43";"8";"35";"0";"1097";"452";"645"
"cd98-91c1-3239-0a39-e00a-653a-4d22-5fd0";"120611";"31";"14";"wieś";"stały";"Dom Ludowy w Woli Radziszowskiej, Wola Radziszowska 590, 32-053 Wola Radziszowska";"gm. Skawina";"krakowski";"małopolskie";"1720";"1919";"587";"1133";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1133";"0";"0";"1133";"33";"33";"0";"0";"1100";"360";"740"
"db27-68ea-babb-9121-922a-1901-1814-485c";"120611";"31";"15";"wieś";"stały";"Zespół Szkolno-Przedszkolny Szkoła Podstawowa im. Batalionów Chłopskich w Krzęcinie, Krzęcin ul. św. Floriana 75, 32-051 Wielkie Drogi";"gm. Skawina";"krakowski";"małopolskie";"1150";"1276";"356";"794";"0";"1";"0";"0";"0";"0";"0";"0";"0";"793";"0";"0";"793";"28";"8";"20";"0";"765";"212";"553"
"29d2-7ae8-1e98-b597-58c6-c06c-61f4-e1fd";"120611";"31";"16";"wieś";"stały";"Dom Ludowy w Jaśkowicach, ul. Kościelna 6, 32-051 Jaśkowice";"gm. Skawina";"krakowski";"małopolskie";"774";"852";"260";"514";"0";"2";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"23";"3";"20";"0";"491";"206";"285"
"6ccc-8323-b5bd-afdd-d9dc-7c34-2fb5-61a1";"120611";"31";"17";"wieś";"stały";"Zespół Placówek Edukacyjno-Opiekuńczo-Wychowawczych w Wielkich Drogach, Wielkie Drogi 192, 32-051 Wielkie Drogi";"gm. Skawina";"krakowski";"małopolskie";"1330";"1463";"439";"890";"23";"0";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"26";"5";"21";"0";"862";"349";"513"
"ae8e-08d4-50c0-d5ff-4370-87fe-6863-2272";"120611";"31";"18";"wieś";"stały";"Szkoła Podstawowa im. Walerego Goetla w Zelczynie, Zelczyna 120, 32-051 Wielkie Drogi";"gm. Skawina";"krakowski";"małopolskie";"710";"792";"163";"547";"1";"3";"0";"0";"0";"0";"0";"0";"0";"547";"0";"0";"547";"28";"11";"17";"0";"519";"219";"300"
"0054-4cbd-e23e-a0d8-75ad-b5c0-e884-89be";"120611";"31";"19";"wieś";"stały";"Dom Ludowy w Pozowicach, Pozowice 170, 32-051 Wielkie Drogi";"gm. Skawina";"krakowski";"małopolskie";"500";"542";"191";"309";"0";"0";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"8";"2";"6";"0";"301";"109";"192"
"46ec-4af0-71c9-e8de-4be7-c425-6e70-9f9a";"120611";"31";"20";"wieś";"stały";"Szkoła Podstawowa im. św. Jadwigi Królowej w Rzozowie, Rzozów 90, 32-052 Radziszów";"gm. Skawina";"krakowski";"małopolskie";"1180";"1301";"377";"803";"2";"3";"0";"0";"0";"0";"0";"0";"0";"802";"0";"0";"802";"26";"6";"20";"0";"776";"298";"478"
"4e7b-4800-a439-dfe3-808d-e15c-6de3-efe7";"120611";"31";"21";"wieś";"stały";"Zespół Placówek Oświatowych im. Jana Brzechwy w Borku Szlacheckim, ul. Szkolna 20, 32-050 Borek Szlachecki";"gm. Skawina";"krakowski";"małopolskie";"990";"1092";"287";"703";"0";"0";"0";"0";"0";"0";"0";"0";"0";"703";"0";"0";"703";"18";"6";"12";"0";"685";"266";"419"
"47c1-f5f4-4989-fee9-801b-f7d5-4b9d-359d";"120611";"31";"22";"wieś";"stały";"Zespół Placówek Oświatowych im. Janusza Korczaka w Kopance, ul. Skawińska 59, 32-050 Kopanka";"gm. Skawina";"krakowski";"małopolskie";"660";"727";"228";"432";"0";"1";"0";"0";"0";"0";"0";"0";"0";"432";"0";"0";"432";"21";"4";"17";"0";"411";"158";"253"
"14dc-d23b-2f07-5929-4a94-e3b5-1423-7db3";"120611";"31";"23";"wieś";"stały";"Szkoła Podstawowa im. św. Jana Pawła II w Radziszowie, ul. Szkolna 7, 32-052 Radziszów";"gm. Skawina";"krakowski";"małopolskie";"1312";"1431";"365";"947";"1";"4";"0";"0";"0";"0";"0";"0";"0";"947";"0";"0";"947";"43";"28";"15";"0";"904";"346";"558"
"24a9-ee54-d8d0-415e-e178-1d5d-e70b-1c90";"120611";"31";"24";"wieś";"stały";"Dom Ludowy w Ochodzy, Ochodza 96, 32-051 Wielkie Drogi";"gm. Skawina";"krakowski";"małopolskie";"640";"709";"191";"449";"0";"1";"0";"0";"0";"0";"0";"0";"0";"449";"0";"0";"449";"11";"4";"7";"0";"438";"161";"277"
"8fb5-2169-f9fc-a509-6c1e-4bd9-e7ca-9b4e";"120611";"31";"25";"wieś";"stały";"Zespół Szkolno-Przedszkolny. Przedszkole Samorządowe im. gen. Stanisława Hallera w Polance Hallera, Polanka Hallera 37, 32-052 Radziszów";"gm. Skawina";"krakowski";"małopolskie";"1022";"1132";"338";"684";"0";"1";"0";"0";"0";"0";"0";"0";"0";"684";"0";"0";"684";"29";"14";"15";"0";"655";"200";"455"
"3c2d-d78b-0455-7972-6699-daf5-e4e1-a156";"120612";"31";"1";"miasto";"stały";"Hala Sportowa w Słomnikach, ul. Św. Jana Pawła II 4, 32-090 Słomniki";"gm. Słomniki";"krakowski";"małopolskie";"1279";"1413";"386";"893";"2";"7";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"39";"9";"30";"0";"854";"360";"494"
