"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Tomasz Paweł GRODZKI";"Małgorzata Anna JACYNA-WITT"
"cf7e-ff8c-0060-861d-d763-a602-8e07-9770";"326201";"97";"123";"miasto";"stały";"Publiczne Przedszkole Nr 74, ul. 26 Kwietnia 3, 71-126 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1258";"1386";"259";"999";"1";"9";"0";"0";"0";"0";"0";"0";"0";"999";"0";"0";"999";"38";"11";"27";"0";"961";"647";"314"
"1741-5f25-3480-bd9b-e4a3-c738-5c84-5ad0";"326201";"97";"124";"miasto";"stały";"Publiczne Przedszkole Nr 74, ul. 26 Kwietnia 3, 71-126 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1585";"1753";"341";"1244";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"53";"6";"47";"0";"1191";"735";"456"
"a143-02a1-fa58-7d97-3716-30f7-27ad-52b4";"326201";"97";"125";"miasto";"stały";"Państwowy Instytut Geologiczny, ul. Wieniawskiego 20, 71-130 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1780";"1948";"331";"1449";"3";"20";"0";"0";"0";"0";"0";"0";"0";"1439";"0";"0";"1439";"46";"13";"33";"0";"1393";"996";"397"
"5193-1189-b0fc-4ca2-19d8-78a6-b078-7eae";"326201";"97";"126";"miasto";"stały";"Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi, ul. Witkiewicza 40, 71-122 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1500";"1669";"350";"1150";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1149";"0";"0";"1149";"25";"14";"11";"0";"1124";"722";"402"
"fb16-df50-50c7-a356-3e57-4576-dfa7-84b0";"326201";"97";"127";"miasto";"stały";"Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi, ul. Witkiewicza 40, 71-122 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1845";"2015";"381";"1464";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1461";"0";"0";"1461";"43";"26";"17";"0";"1418";"988";"430"
"b9f2-585f-90a5-eec2-bc3c-547b-46f5-147b";"326201";"97";"128";"miasto";"stały";"Szkoła Podstawowa Nr 51, ul. Jodłowa 21, 71-114 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"870";"958";"165";"705";"0";"9";"0";"0";"0";"0";"0";"0";"0";"705";"0";"0";"705";"19";"6";"13";"0";"686";"421";"265"
"f889-6abf-7049-44aa-a9c8-7334-d1b2-9940";"326201";"97";"129";"miasto";"stały";"Szkoła Podstawowa Nr 51, ul. Jodłowa 21, 71-114 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"998";"1101";"197";"801";"4";"1";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"35";"11";"24";"0";"766";"516";"250"
"7168-bd5f-398f-19f1-005b-6b1d-da43-38ff";"326201";"97";"130";"miasto";"stały";"VII Liceum Ogólnokształcące, ul. Jana Styki 13, 71-138 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1620";"1779";"404";"1216";"5";"7";"0";"0";"0";"0";"0";"0";"0";"1216";"0";"0";"1216";"42";"19";"23";"0";"1174";"791";"383"
"4a42-f9f7-5d1d-819d-01ee-5f31-2454-cc9c";"326201";"97";"131";"miasto";"stały";"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1630";"1785";"289";"1341";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1331";"0";"0";"1331";"41";"10";"31";"0";"1290";"902";"388"
"788c-265a-883f-cb5c-f4ba-5727-0499-7084";"326201";"97";"132";"miasto";"stały";"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1680";"1838";"275";"1402";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1402";"0";"0";"1402";"45";"17";"28";"0";"1357";"1004";"353"
