"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Eryk MARTYNOWSKI";"Waldemar PAWLAK"
"b0eb-ad32-f0e6-708b-31b5-41ba-648e-8488";"140404";"38";"10";"wieś";"stały";"Była Szkoła Podstawowa w Barciku, Nowy Barcik 47, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"370";"419";"129";"241";"0";"1";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"6";"0";"6";"0";"235";"161";"74"
"7519-21c6-1afa-17d4-5602-1a43-f1fd-4bd0";"140404";"38";"11";"wieś";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej w Czarnowie Filia w Sannikach, ul. Wólczyńska 10, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"25";"25";"2";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"0";"0";"0";"0";"23";"8";"15"
"2991-8836-a1ec-a46c-c86c-410f-198f-5e7c";"140405";"38";"1";"wieś";"stały";"Szkoła Podstawowa w Szczawinie Kościelnym, ul. Jana Pawła II 1, 09-550 Szczawin Kościelny";"gm. Szczawin Kośc.";"gostyniński";"mazowieckie";"1040";"1154";"413";"627";"2";"1";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"19";"3";"16";"0";"608";"317";"291"
"1fed-6bb1-3338-010f-adfb-4774-7f4d-e54c";"140405";"38";"2";"wieś";"stały";"Gminne Centrum Kultury i Rekreacji w Szczawinie Kościelnym, ul. Spółdzielcza 4, 09-550 Szczawin Kościelny";"gm. Szczawin Kośc.";"gostyniński";"mazowieckie";"790";"874";"426";"364";"0";"0";"0";"0";"0";"0";"0";"0";"0";"364";"0";"0";"364";"11";"5";"6";"0";"353";"244";"109"
"ed17-5799-60d9-ecb9-e06d-32c4-905e-9c28";"140405";"38";"3";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Suserzu, Suserz 48, 09-550 Szczawin Kościelny";"gm. Szczawin Kośc.";"gostyniński";"mazowieckie";"980";"1092";"385";"595";"0";"0";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"17";"2";"15";"0";"578";"372";"206"
"1706-6a30-989b-95ae-2105-eb65-30e2-470c";"140405";"38";"4";"wieś";"stały";"Szkoła Podstawowa w Trębkach, Trębki 1, 09-550 Szczawin Kościelny";"gm. Szczawin Kośc.";"gostyniński";"mazowieckie";"830";"932";"372";"458";"0";"2";"0";"0";"0";"0";"0";"0";"0";"458";"0";"0";"458";"21";"1";"20";"0";"437";"282";"155"
"47ca-9a8d-bf59-fe9a-9609-d797-fb18-ef17";"141901";"38";"1";"wieś";"stały";"Zespół Szkół Nr 2, Ciachcin Nowy 54, 09-230 Bielsk";"gm. Bielsk";"płocki";"mazowieckie";"1220";"1345";"533";"687";"2";"0";"0";"0";"0";"0";"0";"0";"0";"687";"0";"0";"687";"11";"3";"8";"0";"676";"455";"221"
"ff04-144b-e967-304f-b246-8cb4-a678-e6f5";"141901";"38";"2";"wieś";"stały";"Budynek po Szkołe Podstawowej w Bielsku, ul. Drobińska 19, 09-230 Bielsk";"gm. Bielsk";"płocki";"mazowieckie";"1940";"2137";"527";"1413";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1413";"0";"0";"1413";"42";"12";"30";"0";"1371";"755";"616"
"9e2f-ceb4-423b-f9ff-4166-04d6-ed24-d884";"141901";"38";"3";"wieś";"stały";"Budynek po Szkole Podstawowej w Bielsku, ul. Drobińska 19, 09-230 Bielsk";"gm. Bielsk";"płocki";"mazowieckie";"880";"973";"406";"474";"0";"0";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"10";"1";"9";"0";"464";"329";"135"
"3190-22d7-b67a-4862-fe39-9463-da3e-5933";"141901";"38";"4";"wieś";"stały";"Budynek po Szkole Podstawowej, Śmiłowo 23, 09-230 Bielsk";"gm. Bielsk";"płocki";"mazowieckie";"340";"383";"155";"185";"1";"0";"0";"0";"0";"0";"0";"0";"0";"185";"0";"0";"185";"5";"0";"5";"0";"180";"124";"56"
