"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz CZELEJ";"Paweł Adam GÓRNIK";"Krzysztof Zbigniew KAMIŃSKI"
"7223-dfb7-d60e-1dde-6228-624a-014c-b1d3";"060701";"15";"4";"miasto";"stały";"Filia Nr 1 Miejskiej Biblioteki Publicznej, Księdza Stanisława Zielińskiego 3, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"2036";"2148";"681";"1355";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1355";"0";"0";"1355";"32";"7";"25";"0";"1323";"721";"97";"505"
"81ce-2f2d-1531-c0f2-5529-226f-9718-621c";"060701";"15";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa nr 5, Księdza Jerzego Popiełuszki 1, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"1940";"2122";"603";"1337";"2";"6";"1";"1";"0";"0";"0";"0";"1";"1337";"1";"0";"1337";"31";"14";"17";"0";"1306";"689";"95";"522"
"17d7-f3c0-6b70-ff8e-fb80-0afa-a5b1-4480";"060701";"15";"6";"miasto";"stały";"Przedszkole Miejskie Nr 2, Jana Matejki 1, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"930";"999";"439";"491";"1";"0";"0";"0";"0";"0";"0";"0";"0";"491";"0";"0";"491";"21";"4";"17";"0";"470";"268";"59";"143"
"7524-8ef3-0889-dfb2-c335-9184-b2e4-1842";"060701";"15";"7";"miasto";"stały";"Zespół Szkół Nr 3, Juliusza Słowackiego 7, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"1930";"2062";"577";"1353";"3";"5";"0";"0";"0";"0";"0";"0";"0";"1353";"0";"1";"1352";"44";"5";"39";"0";"1308";"680";"115";"513"
"3fe6-5f8c-2e67-fd84-2ca6-eaf9-7b75-91b8";"060701";"15";"8";"miasto";"stały";"Integracyjne Przedszkole Publiczne Nr 3, Balladyny 8, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"1291";"1389";"425";"866";"0";"3";"0";"0";"0";"0";"0";"0";"0";"865";"0";"0";"865";"17";"1";"16";"0";"848";"424";"83";"341"
"f981-ced4-8764-15d9-9261-917c-8d43-7865";"060701";"15";"9";"miasto";"stały";"Społeczna Szkoła Podstawowa, Szpitalna 1A, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"968";"1031";"353";"615";"5";"0";"1";"1";"0";"0";"0";"0";"1";"616";"1";"0";"616";"23";"6";"17";"0";"593";"326";"57";"210"
"2924-c066-1bfd-b0ed-a3ce-e434-1ce0-b846";"060701";"15";"10";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 6, Grunwaldzka 2, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"1450";"1540";"558";"892";"1";"4";"0";"0";"0";"0";"0";"0";"0";"892";"0";"0";"892";"26";"10";"16";"0";"866";"512";"62";"292"
"9704-97d0-c7e1-f787-2fe3-a067-1586-58f7";"060701";"15";"11";"miasto";"stały";"Centrum Kultury i Promocji, Aleja Niepodległości 44, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"870";"929";"361";"509";"2";"2";"0";"0";"0";"0";"0";"0";"0";"509";"0";"0";"509";"6";"2";"4";"0";"503";"230";"57";"216"
"cfca-3c0d-f9a5-35e2-ed5a-19db-e7ff-b929";"060701";"15";"12";"miasto";"stały";"Szkoła Podstawowa Nr 3, Urzędowska 435, 23-200 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"812";"880";"309";"503";"1";"2";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"10";"4";"6";"0";"493";"310";"51";"132"
"03ed-4d68-300f-6179-de2c-a8d7-e6a7-81e7";"060701";"15";"13";"miasto";"stały";"Filia Nr 2 Miejskiej Biblioteki Publicznej, Piaskowa 20, 23-200 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"1773";"1923";"667";"1106";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1106";"0";"0";"1106";"34";"8";"26";"0";"1072";"627";"100";"345"
