"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Maria GAWĘDA";"Marek Henryk MIGALSKI"
"7e91-1e4e-e033-66d2-e13c-e116-60d3-e90f";"241103";"72";"3";"miasto";"stały";"Miejski Ośrodek Kultury w Krzanowicach, ul. Zawadzkiego 3, 47-470 Krzanowice";"gm. Krzanowice";"raciborski";"śląskie";"1104";"1211";"564";"540";"0";"1";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"16";"3";"13";"0";"524";"246";"278"
"1264-9af7-b3ef-6f42-d7f9-8a0d-ac57-e6ce";"241103";"72";"4";"miasto";"stały";"OSP Krzanowice, ul. Morawska 20, 47-470 Krzanowice";"gm. Krzanowice";"raciborski";"śląskie";"803";"837";"462";"341";"1";"0";"0";"0";"0";"0";"0";"0";"0";"341";"0";"0";"341";"14";"9";"5";"0";"327";"127";"200"
"b3c2-d7d3-21e1-3cbd-da34-985b-1226-f046";"241103";"72";"5";"wieś";"stały";"Oddział Zamiejscowy Przedszkola w Pietraszynie, Pietraszyn ul. Wesoła 6, 47-470 Krzanowice";"gm. Krzanowice";"raciborski";"śląskie";"355";"318";"209";"146";"0";"0";"0";"0";"0";"0";"0";"0";"0";"146";"0";"0";"146";"2";"0";"2";"0";"144";"74";"70"
"e8cd-dfa3-eac0-980b-cd2c-70de-7946-4de8";"241103";"72";"6";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Wojnowicach, Wojnowice ul. Polna 2, 47-470 Krzanowice";"gm. Krzanowice";"raciborski";"śląskie";"653";"698";"342";"311";"0";"0";"0";"0";"0";"0";"0";"0";"0";"311";"0";"0";"311";"16";"3";"13";"0";"295";"151";"144"
"e6dc-e45d-fe1a-9583-cbfe-1784-e580-db2f";"241104";"72";"1";"wieś";"stały";"Centrum Kultury w Tworkowie, ul. Zamkowa 48, 47-451 Tworków";"gm. Krzyżanowice";"raciborski";"śląskie";"2058";"2191";"1221";"837";"1";"0";"1";"1";"0";"0";"0";"0";"1";"838";"1";"0";"838";"29";"10";"19";"0";"809";"342";"467"
"e307-ae5e-4e41-12e8-83b5-e730-9a4c-a03f";"241104";"72";"2";"wieś";"stały";"Sala Narad Urzędu Gminy w Krzyżanowicach, ul. Główna 5, 47-450 Krzyżanowice";"gm. Krzyżanowice";"raciborski";"śląskie";"1802";"1935";"777";"1025";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"25";"5";"20";"0";"1000";"508";"492"
"5487-fd25-6725-d2d2-007b-c4ad-e76f-df93";"241104";"72";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Zabełkowie, Zabełków ul. Rymera 7, 47-460 Chałupki";"gm. Krzyżanowice";"raciborski";"śląskie";"651";"690";"360";"291";"0";"1";"0";"0";"0";"0";"0";"0";"0";"291";"0";"0";"291";"3";"0";"3";"0";"288";"108";"180"
"4c1a-6962-8ae8-2b29-c7c4-fb93-0d14-2454";"241104";"72";"4";"wieś";"stały";"Szkoła Podstawowa im. Bohaterów Westerplatte w Bieńkowicach, Bieńkowice ul. Szkolna 1, 47-451 Tworków";"gm. Krzyżanowice";"raciborski";"śląskie";"1199";"1326";"602";"597";"0";"5";"0";"0";"0";"0";"0";"0";"0";"597";"0";"0";"597";"11";"3";"8";"0";"586";"300";"286"
"d799-45fc-0531-d626-a686-3f90-a29e-a40a";"241104";"72";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Owsiszczach, Owsiszcze ul. Szkolna 1, 47-450 Krzyżanowice";"gm. Krzyżanowice";"raciborski";"śląskie";"852";"888";"464";"388";"0";"2";"0";"0";"0";"0";"0";"0";"0";"388";"0";"0";"388";"8";"1";"7";"0";"380";"209";"171"
"e17a-1b4d-f004-3fd6-dcbb-80fe-f06e-c062";"241104";"72";"6";"wieś";"stały";"Świetlica w Rudyszwałdzie, Rudyszwałd ul. Główna 31, 47-460 Chałupki";"gm. Krzyżanowice";"raciborski";"śląskie";"600";"608";"350";"250";"0";"0";"0";"0";"0";"0";"0";"0";"0";"250";"0";"0";"250";"5";"0";"5";"0";"245";"129";"116"
