"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew KARCIŃSKI";"Dariusz Zbigniew KLICH";"Kazimierz Adam WIATR"
"f3ef-8b40-27b7-da9b-222e-a948-b6b4-3a26";"120405";"35";"1";"wieś";"stały";"Świetlica Urzędu Gminy w Oleśnie, ul. Długa 21A, 33-210 Olesno";"gm. Olesno";"dąbrowski";"małopolskie";"2247";"2443";"943";"1304";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1305";"0";"0";"1305";"26";"4";"22";"0";"1279";"240";"154";"885"
"4b42-52f6-616d-7450-781b-2803-3ef3-e74a";"120405";"35";"2";"wieś";"stały";"Dom Strażaka w Ćwikowie, Ćwików 75B, 33-264 Ćwików";"gm. Olesno";"dąbrowski";"małopolskie";"623";"679";"262";"361";"0";"0";"0";"0";"0";"0";"0";"0";"0";"361";"0";"0";"361";"6";"1";"5";"0";"355";"39";"25";"291"
"5ece-d9f9-8f29-d2c2-81c2-0661-689f-e316";"120405";"35";"3";"wieś";"stały";"Świetlica Wiejska w Podborzu, Podborze, 33-210 Olesno";"gm. Olesno";"dąbrowski";"małopolskie";"410";"449";"160";"250";"0";"1";"0";"0";"0";"0";"0";"0";"0";"250";"0";"0";"250";"7";"2";"5";"0";"243";"46";"27";"170"
"6a4f-a6b4-b31a-6327-931d-d466-42da-1acc";"120405";"35";"4";"wieś";"stały";"Remiza OSP w Zalipiu, Zalipie 4A, 33-263 Zalipie";"gm. Olesno";"dąbrowski";"małopolskie";"531";"573";"242";"289";"0";"2";"0";"0";"0";"0";"0";"0";"0";"289";"0";"0";"289";"7";"2";"5";"0";"282";"43";"29";"210"
"ffe1-9aef-b426-8e32-291c-60fd-d5b0-043c";"120405";"35";"5";"wieś";"stały";"Szkoła Podstawowa w Wielopolu, Wielopole 1, 33-210 Olesno";"gm. Olesno";"dąbrowski";"małopolskie";"502";"541";"227";"275";"0";"0";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"3";"0";"3";"0";"272";"52";"31";"189"
"54e1-1bba-acd7-9c3f-e173-187a-d662-4e19";"120405";"35";"6";"wieś";"stały";"Remiza OSP w Pilczy Żelichowskiej, Pilcza Żelichowska 72A, 33-264 Ćwików";"gm. Olesno";"dąbrowski";"małopolskie";"392";"424";"165";"227";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"0";"0";"0";"0";"227";"24";"13";"190"
"5090-a912-03a2-a20b-2913-271b-629f-345a";"120405";"35";"7";"wieś";"stały";"Remiza OSP w Dąbrówkach Breńskich, Dąbrówki Breńskie 151B, 33-210 Olesno";"gm. Olesno";"dąbrowski";"małopolskie";"518";"562";"218";"300";"2";"0";"0";"0";"0";"0";"0";"0";"0";"300";"0";"0";"300";"4";"0";"4";"0";"296";"39";"31";"226"
"2712-7a74-90f9-6c88-bca4-2288-9705-38b1";"120405";"35";"8";"wieś";"stały";"Budynek szkoły w Oleśnicy, Oleśnica, 33-200 Dąbrowa Tarnowska";"gm. Olesno";"dąbrowski";"małopolskie";"559";"606";"213";"346";"0";"2";"0";"0";"0";"0";"0";"0";"0";"346";"0";"0";"346";"11";"4";"7";"0";"335";"75";"22";"238"
"7ed4-de7f-8233-13e5-9e85-fc7d-0383-0945";"120406";"35";"1";"wieś";"stały";"Szkoła Podstawowa w Zarzeczu Dużym, ul. Mickiewicza 39, 33-207 Radgoszcz";"gm. Radgoszcz";"dąbrowski";"małopolskie";"976";"1068";"422";"554";"1";"2";"0";"0";"0";"0";"0";"0";"0";"554";"0";"0";"554";"18";"3";"15";"0";"536";"87";"38";"411"
"8027-40da-89c6-443b-f816-26af-417f-c30b";"120406";"35";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Radgoszczy, Pl. Św. Kazimierza 10, 33-207 Radgoszcz";"gm. Radgoszcz";"dąbrowski";"małopolskie";"1498";"1629";"544";"953";"0";"8";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"24";"1";"23";"0";"929";"115";"61";"753"
"629e-618c-07f0-f37b-74a9-e9f7-4ec4-1bb7";"120406";"35";"3";"wieś";"stały";"Budynek Integracji Społeczności Wiejskiej w Żdżarach, Żdżary ul. Tarnowska 104, 33-207 Radgoszcz";"gm. Radgoszcz";"dąbrowski";"małopolskie";"500";"538";"199";"301";"1";"0";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"6";"0";"6";"0";"295";"38";"24";"233"
"57a3-682b-ea8e-7974-01fc-d9b4-12cb-0976";"120406";"35";"4";"wieś";"stały";"Wiejski Dom Kultury w Radgoszczy-Narożnikach, ul. Narożniki 75, 33-207 Radgoszcz";"gm. Radgoszcz";"dąbrowski";"małopolskie";"228";"248";"85";"143";"1";"1";"0";"0";"0";"0";"0";"0";"0";"143";"0";"0";"143";"6";"0";"6";"0";"137";"19";"11";"107"
