"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław Wojciech OBREMSKI";"Dariusz Paweł STASIAK";"Bogdan Andrzej ZDROJEWSKI"
"e741-bdb5-4ec6-6435-c214-5b5e-b77c-2e00";"021303";"6";"10";"wieś";"stały";"Świetlica Wiejska w Potaszni, Potasznia 12, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"599";"676";"315";"284";"2";"1";"0";"0";"0";"0";"0";"0";"0";"284";"0";"0";"284";"5";"2";"3";"0";"279";"171";"34";"74"
"074e-b666-0c6f-0180-0db6-f91a-7405-8e2a";"021303";"6";"11";"wieś";"stały";"Szkoła Podstawowa w Nowym Zamku, Nowe Grodzisko 9, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"300";"335";"109";"191";"0";"3";"0";"0";"0";"0";"0";"0";"0";"191";"0";"0";"191";"2";"1";"1";"0";"189";"97";"39";"53"
"3cc3-d819-4ad6-3cf6-778e-d999-3ab7-b58e";"021303";"6";"12";"wieś";"stały";"Świetlica Wiejska we Wszewilkach, Wszewilki 51, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"899";"1021";"345";"554";"0";"4";"0";"0";"0";"0";"0";"0";"0";"554";"0";"0";"554";"10";"1";"9";"0";"544";"223";"94";"227"
"6483-7bdf-a817-52ca-b2d4-66fc-40a1-ed33";"021303";"6";"13";"wieś";"stały";"Szkoła Podstawowa w Dunkowej, Dunkowa 1, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"800";"916";"406";"394";"0";"0";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"7";"2";"5";"0";"387";"224";"63";"100"
"5439-1e1f-acc3-f919-210c-7d50-4efa-21c8";"021303";"6";"14";"wieś";"stały";"Szkoła Podstawowa w Sułowie, Sułów ul. Szkolna 6, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"1600";"1735";"625";"975";"0";"4";"0";"0";"0";"0";"0";"0";"0";"975";"0";"0";"975";"17";"5";"12";"0";"958";"470";"129";"359"
"4a1e-6fb6-3821-ec26-acc0-4265-0618-c9d5";"021303";"6";"15";"wieś";"stały";"Świetlica Wiejska w Sławoszowicach, Sławoszowice ul. 3 Maja 12a, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"800";"893";"312";"488";"0";"7";"0";"0";"0";"0";"0";"0";"0";"488";"0";"0";"488";"11";"3";"8";"0";"477";"202";"78";"197"
"2cdc-5430-4cbc-7097-a67b-ed3d-9010-4130";"021303";"6";"16";"wieś";"stały";"Świetlica Wiejska w Piękocinie, Piękocin 38, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"500";"594";"161";"339";"0";"3";"0";"0";"0";"0";"0";"0";"0";"339";"0";"0";"339";"5";"2";"3";"0";"334";"192";"54";"88"
"f2d2-f291-6d12-796f-a8f8-3944-b06b-a3b1";"021303";"6";"17";"wieś";"stały";"Świetlica Wiejska w Olszy, Olsza 3a, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"400";"386";"212";"188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"188";"0";"0";"188";"3";"1";"2";"0";"185";"92";"26";"67"
"21c4-55fd-a889-b4da-bf8a-756e-c310-de7f";"021303";"6";"18";"wieś";"stały";"Nadleśnictwo Państwowe w Miliczu, ul. Trzebnicka 18, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"900";"1018";"372";"528";"1";"3";"0";"0";"0";"0";"0";"0";"0";"528";"0";"0";"528";"8";"3";"5";"0";"520";"232";"94";"194"
"02f3-1cf9-f0fe-b1aa-da1f-a680-5e64-3038";"021303";"6";"19";"miasto";"zakład leczniczy";"Wielospecjalistyczny Szpital w Miliczu, ul. Grzybowa 1, 56-300 Milicz";"gm. Milicz";"milicki";"dolnośląskie";"200";"199";"127";"73";"0";"1";"0";"0";"0";"0";"0";"0";"0";"73";"0";"0";"73";"1";"0";"1";"0";"72";"33";"7";"32"
