"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK"
"f69c-b65d-c637-9046-0ba8-70c9-3e70-2537";"300403";"94";"3";"wieś";"stały";"Szkoła Podstawowa im prof. Józefa Zwierzyckiego w Krobi, ul. prof. Józefa Zwierzyckiego 1, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"1660";"1827";"711";"949";"4";"0";"0";"0";"0";"0";"0";"0";"0";"949";"0";"0";"949";"14";"1";"13";"0";"935";"627";"83";"225"
"87e2-1c40-c97c-38e6-a041-8e1b-8cc5-a02e";"300403";"94";"4";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Fenrycha w Pudliszkach z klasami integracyjnymi, ul. Szkolna 20, 63-842 Pudliszki";"gm. Krobia";"gostyński";"wielkopolskie";"1770";"1917";"760";"1010";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1009";"0";"0";"1009";"23";"7";"16";"0";"986";"472";"80";"434"
"62e4-435b-65d6-bb32-1f58-d182-1d7a-eaeb";"300403";"94";"5";"wieś";"stały";"Stara Szkoła w Chwałkowie, Chwałkowo 43, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"610";"665";"369";"241";"0";"0";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"4";"0";"4";"0";"237";"129";"22";"86"
"7bf7-d7ca-34fb-960e-51db-3a6f-5558-fbc1";"300403";"94";"6";"wieś";"stały";"Szkoła Podstawowa im. Ziemi Biskupiańskiej w Starej Krobi, Stara Krobia 71, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"690";"753";"297";"393";"0";"0";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"8";"0";"8";"0";"385";"244";"30";"111"
"7f0b-fc2c-1ac6-ecb5-bee7-9467-96e3-01cb";"300403";"94";"7";"wieś";"stały";"Szkoła Podstawowa w Nieparcie, Niepart 45, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"720";"784";"411";"309";"0";"0";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"7";"1";"6";"0";"302";"186";"31";"85"
"20f4-a0c7-6c25-35b4-c296-0af6-c5e1-394a";"300403";"94";"8";"wieś";"stały";"Szkoła Podstawowa Filialna w Ciołkowie z klasami integracyjnymi, Ciołkowo 20, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"640";"700";"333";"307";"0";"0";"0";"0";"0";"0";"0";"0";"0";"307";"0";"0";"307";"9";"4";"5";"0";"298";"159";"34";"105"
"c670-625c-7191-1cf5-286c-2512-df8a-4210";"300403";"94";"9";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Chumiętkach, Chumiętki 22, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"100";"96";"66";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"34";"2";"0";"2";"0";"32";"19";"5";"8"
"a349-625b-415f-4560-fb8a-ad8b-ebf4-48e5";"300404";"94";"1";"wieś";"stały";"Szkoła Podstawowa w Pępowie, ul. Powstańców Wielkopolskich 44 (hol starego budynku), 63-830 Pępowo";"gm. Pępowo";"gostyński";"wielkopolskie";"1340";"1463";"433";"907";"2";"4";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"21";"3";"18";"0";"886";"410";"96";"380"
"3b0f-e6b3-af01-7cbd-fe7e-e9a6-683b-43f9";"300404";"94";"2";"wieś";"stały";"Szkoła Podstawowa w Pępowie, ul. Powstańców Wielkopolskich 44 (hol nowego budynku-byłe gimnazjum), 63-830 Pępowo";"gm. Pępowo";"gostyński";"wielkopolskie";"1010";"1109";"402";"608";"1";"0";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"17";"6";"11";"0";"590";"311";"53";"226"
"dc51-893c-bfda-130d-5af6-6bd5-7602-5e56";"300404";"94";"3";"wieś";"stały";"Szkoła Podstawowa w Skoraszewicach nr 15a, Skoraszewice 15a, 63-830 Pępowo";"gm. Pępowo";"gostyński";"wielkopolskie";"960";"1059";"345";"615";"0";"1";"0";"0";"0";"0";"0";"0";"0";"615";"0";"0";"615";"20";"3";"17";"0";"595";"358";"35";"202"
