"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BURY";"Wojciech Jan GÓRSKI";"Krzysztof Stefan MICHAŁKIEWICZ"
"3e44-acb3-16b0-3fdd-cd22-d2cd-0426-f557";"066301";"16";"33";"miasto";"stały";"Szkoła Podstawowa nr 31 im. Lotników Polskich, ul. Lotnicza 1, 20-322 Lublin";"m. Lublin";"Lublin";"lubelskie";"889";"986";"343";"546";"0";"5";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"8";"3";"5";"0";"538";"214";"45";"279"
"4202-7a7a-ee38-9c52-56b3-f96e-779c-ab7e";"066301";"16";"34";"miasto";"stały";"Szkoła Podstawowa nr 31 im. Lotników Polskich, ul. Lotnicza 1, 20-322 Lublin";"m. Lublin";"Lublin";"lubelskie";"1271";"1372";"378";"893";"0";"4";"0";"0";"0";"0";"0";"0";"0";"892";"0";"0";"892";"14";"7";"7";"0";"878";"335";"85";"458"
"12c2-2acf-d88c-fae3-9905-796a-4c9a-0794";"066301";"16";"35";"miasto";"stały";"Dzielnicowy Dom Kultury BRONOWICE, ul. Krańcowa 106, 20-320 Lublin";"m. Lublin";"Lublin";"lubelskie";"1606";"1723";"581";"1025";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"23";"10";"13";"0";"1002";"426";"86";"490"
"a74b-ce70-b65d-a01a-b194-bd0d-c52d-79d2";"066301";"16";"36";"miasto";"stały";"Administracja Osiedla „POGODNA”, ul. Zimowa 5, 20-337 Lublin";"m. Lublin";"Lublin";"lubelskie";"1560";"1676";"423";"1137";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1137";"0";"0";"1137";"16";"7";"9";"0";"1121";"517";"73";"531"
"bcce-548b-dbf3-3e02-4e74-32a8-766a-876b";"066301";"16";"37";"miasto";"stały";"Szkoła Podstawowa nr 33 im. 27. Wołyńskiej Dywizji Piechoty Armii Krajowej, ul. Pogodna 19, 20-337 Lublin";"m. Lublin";"Lublin";"lubelskie";"1681";"1807";"602";"1079";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1079";"0";"0";"1079";"19";"5";"14";"0";"1060";"479";"100";"481"
"25ef-9f66-82ad-cd20-5237-8a11-ce88-ba55";"066301";"16";"38";"miasto";"stały";"Szkoła Podstawowa nr 33 im. 27. Wołyńskiej Dywizji Piechoty Armii Krajowej, ul. Pogodna 19, 20-337 Lublin";"m. Lublin";"Lublin";"lubelskie";"1091";"1198";"399";"692";"2";"13";"0";"0";"0";"0";"0";"0";"0";"692";"0";"0";"692";"4";"2";"2";"0";"688";"349";"55";"284"
"ee6e-4e1a-db9b-1da5-a8aa-b875-9b8c-cca8";"066301";"16";"39";"miasto";"stały";"VIII Liceum Ogólnokształcące im. Zofii Nałkowskiej, ul. Słowicza 5, 20-336 Lublin";"m. Lublin";"Lublin";"lubelskie";"973";"1011";"234";"739";"0";"13";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"13";"6";"7";"0";"726";"368";"50";"308"
"9d5d-9a0d-fb79-d6e4-994e-984a-0b01-53a7";"066301";"16";"40";"miasto";"stały";"Dom Pomocy Społecznej „Betania”, al. Kraśnicka 223, 20-718 Lublin";"m. Lublin";"Lublin";"lubelskie";"750";"705";"186";"564";"0";"0";"0";"0";"0";"0";"0";"0";"0";"564";"0";"0";"564";"6";"3";"3";"0";"558";"352";"38";"168"
"0018-9952-1d8a-4b5b-5931-b026-91fd-fb93";"066301";"16";"41";"miasto";"stały";"Dzielnicowy Dom Kultury „Węglin”, ul. Judyma 2a, 20-716 Lublin";"m. Lublin";"Lublin";"lubelskie";"716";"782";"116";"600";"1";"12";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"10";"2";"8";"0";"590";"337";"32";"221"
"98e8-8e2f-f865-27d9-6a01-045d-e1d4-294c";"066301";"16";"42";"miasto";"stały";"Dzielnicowy Dom Kultury „Węglin”, ul. Judyma 2a, 20-716 Lublin";"m. Lublin";"Lublin";"lubelskie";"1317";"1408";"386";"931";"1";"5";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"19";"8";"11";"0";"912";"416";"70";"426"
"42e6-4c39-2c3e-c798-0523-117a-d93d-0916";"066301";"16";"43";"miasto";"stały";"Siedziba Rady i Zarządu Dzielnicy SZEROKIE, ul. Nałęczowska 94, 20-831 Lublin";"m. Lublin";"Lublin";"lubelskie";"1220";"1341";"214";"1006";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"0";"1006";"19";"4";"15";"0";"987";"553";"71";"363"
