"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert DOWHAN";"Zbigniew KOŚCIK"
"78ee-a0d5-80d2-3a49-1e65-da6e-2da6-f191";"080805";"20";"4";"miasto";"stały";"Internat Specjalnego Ośrodka Szkolno-Wychowawczego, ul. Sobieskiego 19, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"590";"641";"172";"418";"0";"1";"0";"0";"0";"0";"0";"0";"0";"418";"0";"0";"418";"14";"4";"10";"0";"404";"258";"146"
"c62e-4964-feac-e137-d64f-d03f-cde7-c94e";"080805";"20";"5";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Gen. Sikorskiego 11, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1190";"1284";"517";"673";"1";"9";"0";"0";"0";"0";"0";"0";"0";"673";"0";"0";"673";"17";"1";"16";"0";"656";"414";"242"
"68ba-f4b4-fb94-d6fc-c71b-e4c6-561c-dc72";"080805";"20";"6";"miasto";"stały";"Szkoła Podstawowa nr 2, Park Chopina 1, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1970";"2124";"859";"1111";"1";"17";"0";"0";"0";"0";"0";"0";"0";"1111";"0";"0";"1111";"51";"5";"46";"0";"1060";"630";"430"
"9ad1-7742-502b-e1f9-019d-8d76-7383-df10";"080805";"20";"7";"miasto";"stały";"Świebodziński Dom Kultury, ul. J. Piłsudskiego 39/41, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1010";"1099";"356";"654";"0";"2";"0";"0";"0";"0";"0";"0";"0";"654";"0";"6";"648";"26";"4";"22";"0";"622";"391";"231"
"e636-c004-1334-3042-026d-1b78-33d4-7635";"080805";"20";"8";"miasto";"stały";"Publiczne Przedszkole nr 5, Osiedle Łużyckie 30, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1010";"1094";"306";"704";"0";"2";"0";"0";"0";"0";"0";"0";"0";"704";"0";"0";"704";"11";"4";"7";"0";"693";"499";"194"
"40a0-ae8b-2fc5-cd67-920c-af9d-d6ea-553a";"080805";"20";"9";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Łużycka 33, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"2280";"2415";"842";"1438";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1438";"0";"0";"1438";"33";"14";"19";"0";"1405";"854";"551"
"ca9a-74bc-cf2d-27ab-a0ab-2cdf-9c9a-b427";"080805";"20";"10";"miasto";"stały";"Szkoła Podstawowa nr 6, Osiedle Łużyckie 28, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1209";"1279";"392";"816";"0";"6";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"20";"3";"17";"0";"797";"510";"287"
"52da-123c-9e17-6667-6f9e-124c-1cba-c80f";"080805";"20";"11";"miasto";"stały";"Państwowa Szkoła Muzyczna, Sulechowska 15, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1670";"1771";"508";"1162";"6";"8";"1";"1";"0";"0";"0";"0";"1";"1163";"1";"0";"1163";"43";"13";"30";"0";"1120";"752";"368"
"9cab-ecf6-307e-e0b3-d186-977e-0f74-4b3d";"080805";"20";"12";"wieś";"stały";"Szkoła Podstawowa, Gościkowo 9, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"880";"931";"405";"475";"0";"5";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"28";"5";"23";"0";"446";"228";"218"
"db7a-9d5d-98c6-9e3f-23b4-4114-0ace-d77d";"080805";"20";"13";"wieś";"stały";"Świetlica Wiejska, Rusinów 39, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"520";"556";"262";"258";"1";"0";"0";"0";"0";"0";"0";"0";"0";"258";"0";"0";"258";"8";"1";"7";"0";"250";"135";"115"
"1a17-5cf5-ffd7-9dd9-9872-0c88-1dfd-67ec";"080805";"20";"14";"wieś";"stały";"Świetlica Wiejska, Lubinicko 63, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"900";"979";"454";"446";"0";"0";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"21";"10";"11";"0";"425";"257";"168"
"492c-49d2-fcfa-e48e-b343-f0ee-e352-f9c0";"080805";"20";"15";"wieś";"stały";"Świetlica Wiejska, Glińsk 80A, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"390";"374";"204";"186";"0";"1";"0";"0";"0";"0";"0";"0";"0";"186";"0";"0";"186";"4";"0";"4";"0";"182";"75";"107"
"939f-7198-03e5-44fd-8253-5ab3-5acc-50d5";"080805";"20";"16";"wieś";"stały";"Świetlica Wiejska, Rzeczyca 44, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"530";"580";"210";"320";"0";"0";"0";"0";"0";"0";"0";"0";"0";"320";"0";"0";"320";"5";"2";"3";"0";"315";"159";"156"
"bc1d-0cee-d58b-8791-dbcc-e6ef-3b39-a132";"080805";"20";"17";"wieś";"stały";"Świetlica Wiejska, Rosin 17, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"620";"672";"319";"301";"0";"4";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"14";"1";"13";"0";"287";"129";"158"
"5bf3-5ad2-98be-6e80-717a-1de6-66cf-19a7";"080805";"20";"18";"wieś";"stały";"Świetlica Wiejska, Chociule 22, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"640";"699";"290";"350";"1";"2";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"14";"2";"12";"0";"336";"185";"151"
"e70d-17fa-164d-15bc-e0ae-e126-e69f-d205";"080805";"20";"19";"wieś";"stały";"Świetlica Wiejska, Wilkowo 19, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1250";"1370";"526";"724";"0";"3";"0";"0";"0";"0";"0";"0";"0";"724";"0";"0";"724";"31";"5";"26";"0";"693";"434";"259"
"b235-46c9-7957-f1ad-c86b-34be-abf3-33e3";"080805";"20";"20";"miasto";"zakład leczniczy";"""Nowy Szpital"" w Świebodzinie Sp. z o. o., Młyńska 6, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"80";"28";"74";"6";"0";"3";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"6";"0";"0";"0";"0";"6";"4";"2"
"022c-62ec-6c15-309e-61ee-fcfb-2ba1-d336";"080805";"20";"21";"miasto";"zakład leczniczy";"Ośrodek dla Osób Uzależnionych SP ZOZ ""Nowy Dworek"", Nowy Dworek 46, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"250";"217";"165";"85";"0";"1";"0";"0";"0";"0";"0";"0";"0";"85";"0";"0";"85";"2";"0";"2";"0";"83";"59";"24"
"7a5b-be4e-e8bf-5974-0ad7-6194-e5f1-a6f5";"080806";"20";"1";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Długa 1, 66-210 Zbąszynek";"gm. Zbąszynek";"świebodziński";"lubuskie";"1210";"1315";"378";"832";"0";"3";"0";"0";"0";"0";"0";"0";"0";"832";"0";"0";"832";"33";"14";"19";"0";"799";"522";"277"
"8685-b3c6-0c80-be22-6e33-7bfb-f7c1-dfbb";"080806";"20";"2";"miasto";"stały";"Szkoła Podstawowa, Plac Wolności 1, 66-210 Zbąszynek";"gm. Zbąszynek";"świebodziński";"lubuskie";"1200";"1295";"407";"793";"2";"6";"1";"1";"0";"0";"0";"0";"1";"794";"1";"0";"794";"26";"11";"15";"0";"768";"478";"290"
"0dd2-70a9-12e8-5b20-620d-f525-30b5-9b91";"080806";"20";"3";"miasto";"stały";"Szkoła Podstawowa, ul. Sportowa 1, 66-210 Zbąszynek";"gm. Zbąszynek";"świebodziński";"lubuskie";"1260";"1356";"378";"882";"0";"5";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"26";"7";"19";"0";"856";"571";"285"
"327d-a9ad-ba2b-bca1-68e5-8dc0-f605-c6a2";"080806";"20";"4";"wieś";"stały";"Centrum Kultury i Folkloru, Dąbrówka Wielkopolska ul. Piastowska 37, 66-210 Zbąszynek";"gm. Zbąszynek";"świebodziński";"lubuskie";"1210";"1325";"440";"770";"1";"6";"0";"0";"0";"0";"0";"0";"0";"769";"0";"0";"769";"25";"6";"19";"0";"744";"466";"278"
"a702-1707-0f5c-e88e-9ae7-e04b-bd98-10e3";"080806";"20";"5";"wieś";"stały";"Sala Wiejska, Kosieczyn ul. Główna 40, 66-210 Zbąszynek";"gm. Zbąszynek";"świebodziński";"lubuskie";"990";"1059";"466";"524";"0";"0";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"17";"4";"13";"0";"507";"298";"209"
"ed7a-c899-2f32-81db-5e8e-9637-ca8b-d26b";"080901";"20";"1";"miasto";"stały";"Gminny Ośrodek Kultury w Babimoście, ul. Gagarina 21, 66-110 Babimost";"gm. Babimost";"zielonogórski";"lubuskie";"1380";"1509";"463";"917";"1";"8";"0";"0";"0";"0";"0";"0";"0";"917";"0";"0";"917";"39";"17";"22";"0";"878";"604";"274"
"de16-9106-1d9d-548c-f844-1c19-f51f-7da5";"080901";"20";"2";"miasto";"stały";"Gminny Ośrodek Kultury w Babimoście (wejście od ulicy Konstytucji 3 Maja), ul. Gagarina 21, 66-110 Babimost";"gm. Babimost";"zielonogórski";"lubuskie";"1430";"1586";"465";"965";"1";"7";"0";"0";"0";"0";"0";"0";"0";"965";"0";"0";"965";"36";"12";"24";"0";"929";"593";"336"
"2fee-99d7-f6bd-cdc8-f6ed-4658-77dd-6bb9";"080901";"20";"3";"wieś";"stały";"Sala Wiejska w Nowym Kramsku, Nowe Kramsko ul. Gromadzka 4, 66-111 Babimost";"gm. Babimost";"zielonogórski";"lubuskie";"1000";"1115";"390";"610";"0";"21";"0";"0";"0";"0";"0";"0";"0";"610";"0";"0";"610";"16";"1";"15";"0";"594";"321";"273"
"59a7-b055-c79a-97bf-c332-6c71-60ad-3a7f";"080901";"20";"4";"wieś";"stały";"Sala Wiejska w Podmoklach Małych, Podmokle Małe 82, 66-110 Babimost";"gm. Babimost";"zielonogórski";"lubuskie";"630";"692";"242";"388";"0";"0";"0";"0";"0";"0";"0";"0";"0";"388";"0";"0";"388";"21";"1";"20";"0";"367";"195";"172"
"db78-795c-93d9-e07e-5db0-d73b-0c8e-adf1";"080902";"20";"1";"wieś";"stały";"Gminny Ośrodek Kultury, Bojadła ul. Boczna 1a, 66-130";"gm. Bojadła";"zielonogórski";"lubuskie";"1300";"1411";"603";"697";"1";"4";"0";"0";"0";"0";"0";"0";"0";"697";"0";"0";"697";"23";"12";"11";"0";"674";"382";"292"
"6cd5-e305-77d2-7aa1-b458-0f82-01de-cac2";"080902";"20";"2";"wieś";"stały";"Szkoła Podstawowa, Klenica ul. Bolesława Chrobrego 68, 66-133";"gm. Bojadła";"zielonogórski";"lubuskie";"800";"881";"356";"444";"2";"2";"0";"0";"0";"0";"0";"0";"0";"444";"0";"0";"444";"29";"3";"26";"0";"415";"241";"174"
"63a7-44b5-1e3d-45d7-5f7f-8914-4328-0579";"080902";"20";"3";"wieś";"stały";"Dom Pomocy Społecznej, Bełcze 19, 66-130";"gm. Bojadła";"zielonogórski";"lubuskie";"280";"314";"159";"121";"0";"2";"0";"0";"0";"0";"0";"0";"0";"121";"0";"0";"121";"8";"0";"8";"0";"113";"47";"66"
"12a1-3f58-ba3c-d466-d840-4d0c-c785-a196";"080903";"20";"1";"miasto";"stały";"Miejsko Gminny Ośrodek Kultury, ul. B. Chrobrego 5, 66-016 Czerwieńsk";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"1568";"1685";"527";"1041";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1041";"0";"0";"1041";"25";"7";"18";"0";"1016";"700";"316"
"e112-781c-3c63-c4ca-99cc-842b-425e-6040";"080903";"20";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Graniczna 5A, 66-016 Czerwieńsk";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"1427";"1553";"536";"891";"0";"5";"0";"0";"0";"0";"0";"0";"0";"891";"0";"0";"891";"22";"5";"17";"0";"869";"592";"277"
"3b6e-12fe-6a62-e28f-b0a8-8c13-c1f8-494d";"080903";"20";"3";"miasto";"stały";"Szkoła Podstawowa, Nietków ul. J. Kasprowicza 76, 66-016 Czerwieńsk";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"970";"1060";"406";"564";"1";"2";"0";"0";"0";"0";"0";"0";"0";"564";"0";"1";"563";"17";"3";"14";"0";"546";"283";"263"
"ae07-f6b6-d108-4d17-234d-810b-39e0-dd7a";"080903";"20";"4";"wieś";"stały";"Szkoła Podstawowa, Leśniów Wielki 54, 66-016 Czerwieńsk";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"730";"807";"333";"397";"0";"3";"0";"0";"0";"0";"0";"0";"0";"397";"0";"0";"397";"18";"2";"16";"0";"379";"229";"150"
"dfcb-d817-2cd2-601a-bb6c-ca7d-66b3-4f34";"080903";"20";"5";"wieś";"stały";"Wiejski Dom Kultury, Nietkowice, 66-100 Sulechów 1";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"880";"952";"520";"360";"0";"5";"0";"0";"0";"0";"0";"0";"0";"360";"0";"0";"360";"8";"1";"7";"0";"352";"173";"179"
"3167-4d0d-8c2e-fcf8-ce98-bd4c-5005-e15f";"080903";"20";"6";"wieś";"stały";"Wiejski Dom Kultury, Płoty ul. Szkolna 1A, 66-016 Czerwieńsk";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"1040";"1153";"289";"751";"0";"3";"0";"0";"0";"0";"0";"0";"0";"751";"0";"0";"751";"25";"12";"13";"0";"726";"541";"185"
"cf4d-d6b7-cb63-4866-31ce-2b26-36c6-ec9d";"080903";"20";"7";"wieś";"stały";"Wiejski Dom Kultury, Laski, 66-016 Czerwieńsk";"gm. Czerwieńsk";"zielonogórski";"lubuskie";"370";"412";"91";"279";"0";"0";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"8";"2";"6";"0";"271";"120";"151"
"f5c1-4190-23a1-bdaf-452a-4fab-4072-6fbe";"080904";"20";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny, ul. Kościelna 45, 66-120 Kargowa";"gm. Kargowa";"zielonogórski";"lubuskie";"1690";"1830";"669";"1021";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1021";"0";"0";"1021";"38";"10";"28";"0";"983";"609";"374"
"7d35-6fc9-541a-6698-0ba5-84f0-46ce-5bb0";"080904";"20";"2";"miasto";"stały";"Gminne Centrum Kultury Biblioteka Publiczna im. Eugeniusza Paukszty, ul. Słodowa 2, 66-120 Kargowa";"gm. Kargowa";"zielonogórski";"lubuskie";"1850";"2043";"754";"1096";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1096";"0";"0";"1096";"29";"6";"23";"0";"1067";"666";"401"
"bf5d-0bea-ab9e-eea2-b1bb-613c-24fb-073a";"080904";"20";"3";"wieś";"stały";"Świetlica Wiejska, Smolno Wielkie 106, 66-120 Kargowa";"gm. Kargowa";"zielonogórski";"lubuskie";"640";"710";"240";"400";"1";"7";"0";"0";"0";"0";"0";"0";"0";"400";"0";"0";"400";"9";"0";"9";"0";"391";"224";"167"
"009e-fe09-fffd-4455-e363-27d8-273d-12c4";"080905";"20";"1";"miasto";"stały";"Urząd Miejski, ul. Słowackiego 11, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"2020";"2189";"760";"1258";"0";"3";"1";"1";"0";"0";"0";"0";"1";"1261";"1";"0";"1261";"36";"30";"6";"0";"1225";"766";"459"
"c89f-6746-3bad-21f9-8965-ae20-579c-5f65";"080905";"20";"2";"miasto";"stały";"Miejsko Gminny Ośrodek Kultury Sportu i Rekreacji, ul. Pocztowa 7, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"1630";"1748";"620";"1009";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1010";"0";"0";"1010";"33";"3";"30";"0";"977";"628";"349"
"38cf-2fb7-c9a6-e8a7-91b0-ee4b-e395-c2b0";"080905";"20";"3";"miasto";"stały";"Szkoła Podstawowa nr. 1 im. Janusza Korczaka, ul. Marcinkowskiego 2, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"620";"681";"258";"362";"0";"2";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"10";"0";"10";"0";"352";"205";"147"
"839b-5d68-59e8-6ec2-5ed3-835e-e69d-a830";"080905";"20";"4";"wieś";"stały";"Niepubliczny Zespół Szkolno-Przedszkolny Pro Novo, Bogaczów ul. Szkolna 4, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"530";"578";"236";"294";"0";"4";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"19";"1";"18";"0";"275";"173";"102"
"f86e-6049-d8dd-2b31-2eb0-f2cc-7a05-5ae1";"080905";"20";"5";"wieś";"stały";"Budynek po byłej Szkole Podstawowej, Drągowina ul. Lipowa 24, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"640";"694";"331";"309";"0";"1";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"17";"6";"11";"0";"292";"163";"129"
"a1a1-abd4-4af1-5bbe-5481-e83f-8da5-64d3";"080905";"20";"6";"wieś";"stały";"Szkoła Podstawowa, Niwiska ul. Akacjowa 1, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"1209";"1336";"573";"636";"0";"0";"0";"0";"0";"0";"0";"0";"0";"636";"0";"0";"636";"28";"6";"22";"0";"608";"353";"255"
"5523-8b6e-2ccd-f34f-77ae-9742-a88c-81b5";"080905";"20";"7";"wieś";"zakład karny";"Zakład Karny w Krzywańcu, Krzywaniec, 66-010 Nowogród Bobrzański";"gm. Nowogród Bobrzański";"zielonogórski";"lubuskie";"759";"775";"392";"367";"0";"0";"0";"0";"0";"0";"0";"0";"0";"367";"0";"0";"367";"17";"0";"17";"0";"350";"295";"55"
"42dc-0739-5913-dc66-935f-ce84-5bbf-a4fd";"080906";"20";"1";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Piaskowa 53, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"1800";"1928";"586";"1214";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1214";"0";"0";"1214";"37";"12";"25";"0";"1177";"702";"475"
"29fb-d521-0bf7-be83-964d-d748-43ed-22e2";"080906";"20";"2";"wieś";"stały";"Ośrodek Pomocy Społecznej Centrum Usług Socjalnych, Kruszyna 53a, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"2348";"2525";"849";"1499";"5";"3";"0";"0";"0";"0";"0";"0";"0";"1499";"0";"0";"1499";"50";"9";"41";"0";"1449";"919";"530"
"a102-bcd9-ea59-25ce-75f5-8855-5df0-8ac0";"080906";"20";"3";"miasto";"stały";"Przedszkole nr 6, ul. Kościuszki 16, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"1470";"1587";"492";"978";"5";"4";"0";"0";"0";"0";"0";"0";"0";"978";"0";"0";"978";"28";"6";"22";"0";"950";"604";"346"
"b4f1-5dab-b762-07a1-7a66-02a2-638e-70a1";"080906";"20";"4";"miasto";"stały";"Biblioteka Publiczna Gminy Sulechów, ul. Jana Pawła II 52, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"1620";"1755";"657";"961";"2";"3";"0";"0";"0";"0";"0";"0";"0";"963";"0";"1";"962";"24";"4";"20";"0";"938";"550";"388"
"cbad-8da2-481f-63d0-acc5-7b06-555e-35ab";"080906";"20";"5";"miasto";"stały";"Szkoła Podstawowa nr 1 im. gen. Józefa Bema, ul. Styczniowa 23, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"2530";"2739";"871";"1659";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1659";"0";"2";"1657";"61";"18";"43";"0";"1596";"1017";"579"
"dd84-d3c0-6766-5c71-eea4-3e22-8e7c-1b26";"080906";"20";"6";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Janusza Kusocińskiego, Piaskowa 52, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"1800";"1931";"571";"1229";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1229";"0";"0";"1229";"35";"9";"26";"0";"1194";"811";"383"
"0d2d-ccd2-4e7d-85b9-65af-1baf-8cd7-eee1";"080906";"20";"7";"wieś";"stały";"Świetlica wiejska, Klępsk 34A, 66-111 Babimost";"gm. Sulechów";"zielonogórski";"lubuskie";"530";"559";"266";"264";"0";"2";"0";"0";"0";"0";"0";"0";"0";"264";"0";"0";"264";"4";"0";"4";"0";"260";"157";"103"
"5e5d-6fe9-ba92-a3ea-2c95-7d25-f891-5528";"080906";"20";"8";"wieś";"stały";"Szkoła Podstawowa im. Leona Kruczkowskiego, Cigacice Plac Szkolny 10, 66-131 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"1050";"1134";"388";"662";"3";"0";"0";"0";"0";"0";"0";"0";"0";"662";"0";"0";"662";"30";"8";"22";"0";"632";"436";"196"
"ae5e-88b2-6d3f-083e-923d-01f6-a8bf-6a59";"080906";"20";"9";"wieś";"stały";"Sala wiejska, Buków 20, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"590";"636";"283";"306";"0";"1";"0";"0";"0";"0";"0";"0";"0";"307";"0";"0";"307";"17";"3";"14";"0";"290";"146";"144"
"e570-47b0-4e1a-8103-c83e-c2cf-fe01-47b5";"080906";"20";"10";"wieś";"stały";"Szkoła Podstawowa, Kije 141A, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"710";"781";"319";"391";"0";"1";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"11";"3";"8";"0";"380";"242";"138"
"3040-39bd-4241-492c-af6a-f9d8-228e-57c7";"080906";"20";"11";"wieś";"stały";"Budynek po gimnazjum, Pomorsko Bolesława Chrobrego 51, 66-105 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"460";"506";"214";"246";"0";"3";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"9";"4";"5";"0";"237";"135";"102"
"1f63-c902-c3b8-c9d8-bc92-bcd4-6142-397c";"080906";"20";"12";"wieś";"stały";"Szkoła Podstawowa, Kalsk 65, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"600";"655";"230";"370";"0";"12";"0";"0";"0";"0";"0";"0";"0";"370";"0";"0";"370";"20";"2";"18";"0";"350";"219";"131"
"93ac-673a-5016-811e-6380-2370-5544-3911";"080906";"20";"13";"wieś";"stały";"Szkoła Podstawowa, Brody Jagielnicka 97, 66-105 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"480";"533";"255";"225";"0";"6";"0";"0";"0";"0";"0";"0";"0";"225";"0";"0";"225";"14";"3";"11";"0";"211";"120";"91"
"3b75-b591-0aa0-9501-79e5-776a-7218-fe31";"080906";"20";"14";"miasto";"stały";"Urząd Miejski Sulechów, Plac Ratuszowy 6, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"2218";"2442";"660";"1558";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1558";"0";"1";"1557";"57";"12";"45";"0";"1500";"959";"541"
"a00a-400c-5a28-7a03-d7f9-0969-8993-b06c";"080906";"20";"15";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Sulechowie, ul. Zwycięstwa 1, 66-100 Sulechów";"gm. Sulechów";"zielonogórski";"lubuskie";"120";"69";"75";"45";"0";"1";"0";"0";"0";"0";"0";"0";"0";"45";"0";"0";"45";"8";"1";"7";"0";"37";"27";"10"
"bf33-cfee-cf0f-0fdf-6070-c7bd-ade3-410c";"080907";"20";"1";"wieś";"stały";"Szkoła Podstawowa w Świdnicy, ul. Ogrodowa 36, 66-008 Świdnica";"gm. Świdnica";"zielonogórski";"lubuskie";"1550";"1704";"467";"1083";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1083";"0";"0";"1083";"26";"2";"24";"0";"1057";"729";"328"
"710b-614a-e6fa-e830-85a7-fcac-b047-0ddf";"080907";"20";"2";"wieś";"stały";"Sala Wiejska, Słone ul. Słoneczna 42, 66-008 Świdnica";"gm. Świdnica";"zielonogórski";"lubuskie";"1150";"1276";"310";"840";"0";"2";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"20";"12";"8";"0";"820";"552";"268"
"9ad1-8eff-6d95-310e-85f6-0018-55b9-cde4";"080907";"20";"3";"wieś";"stały";"Sala Wiejska, Letnica 10, 66-008 Świdnica";"gm. Świdnica";"zielonogórski";"lubuskie";"1150";"1254";"464";"683";"0";"4";"0";"0";"0";"0";"0";"0";"0";"685";"0";"2";"683";"32";"11";"21";"0";"651";"420";"231"
"d551-5de4-199a-45cd-99e3-1587-ed07-d952";"080907";"20";"4";"wieś";"stały";"Sala Wiejska, Wilkanowo Szkolna 3, 66-008 Świdnica";"gm. Świdnica";"zielonogórski";"lubuskie";"860";"910";"197";"663";"0";"0";"0";"0";"0";"0";"0";"0";"0";"663";"0";"0";"663";"26";"9";"17";"0";"637";"467";"170"
"3a6a-bfa1-4d06-499d-8096-0ce9-cfad-0de2";"080908";"20";"1";"wieś";"stały";"Sala gimnastyczna w Trzebiechowie, ul. Parkowa 3, 66-132 Trzebiechów";"gm. Trzebiechów";"zielonogórski";"lubuskie";"1050";"1145";"461";"587";"0";"3";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"34";"9";"25";"0";"555";"358";"197"
"965d-1db0-628b-d2b3-ea3a-aa10-b980-b669";"080908";"20";"2";"wieś";"stały";"Dom Pomocy Społecznej w Trzebiechowie, ul. Sulechowska 1, 66-132 Trzebiechów";"gm. Trzebiechów";"zielonogórski";"lubuskie";"50";"50";"24";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"3";"0";"3";"0";"23";"5";"18"
