"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Stefan BOROWSKI";"Cezary Andrzej JURKIEWICZ"
"3096-6c8c-e004-1c6a-84fe-d8a3-1d43-e1fc";"146507";"42";"431";"miasto";"stały";"Szkoła Podstawowa nr 163, Praga-Południe ul. Tarnowiecka 4, 04-161 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1856";"2219";"82";"1774";"0";"18";"1";"1";"0";"0";"0";"0";"1";"1775";"1";"3";"1772";"49";"13";"36";"0";"1723";"1342";"381"
"ca74-5e13-91dc-63bc-1b35-fa28-26e4-c776";"146507";"42";"432";"miasto";"stały";"Zespół Szkół Gastronomiczno-Hotelarskich, Praga-Południe ul. Majdańska 30/36, 04-161 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1429";"1800";"227";"1202";"0";"22";"0";"0";"0";"0";"0";"0";"0";"1201";"0";"0";"1201";"37";"10";"27";"0";"1164";"780";"384"
"3fb4-a664-1896-bfdf-c7fa-923a-6375-59b0";"146507";"42";"433";"miasto";"stały";"Zespół Szkół Gastronomiczno-Hotelarskich, Praga-Południe ul. Majdańska 30/36, 04-173 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1628";"1792";"184";"1444";"1";"22";"0";"0";"0";"0";"0";"0";"0";"1444";"0";"0";"1444";"43";"16";"27";"0";"1401";"912";"489"
"e7d8-c1cb-5486-6b0b-0b46-5897-c6c7-1057";"146507";"42";"434";"miasto";"stały";"Zespół Szkół nr 5, Praga-Południe ul. Szczawnicka 1, 04-161 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1556";"1871";"142";"1414";"2";"26";"1";"1";"0";"0";"0";"0";"1";"1415";"1";"0";"1415";"54";"21";"33";"0";"1361";"948";"413"
"7939-196c-236a-f7e9-b87e-1d67-72a0-c809";"146507";"42";"435";"miasto";"stały";"Zespół Szkół nr 5, Praga-Południe ul. Szczawnicka 1, 04-174 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1235";"1421";"130";"1105";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1105";"0";"0";"1105";"25";"10";"15";"0";"1080";"717";"363"
"efb0-42b1-c0cc-2620-df11-d266-2170-70d1";"146507";"42";"436";"miasto";"stały";"Szkoła Podstawowa nr 246, Praga-Południe ul. Białowieska 22, 04-110 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1669";"1740";"416";"1253";"1";"15";"1";"1";"0";"0";"0";"0";"1";"1254";"1";"0";"1254";"40";"12";"28";"0";"1214";"814";"400"
"6fe3-9dc1-3ec5-4899-3c1c-b82a-e246-b3f4";"146507";"42";"437";"miasto";"stały";"XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego, Praga-Południe ul. Międzyborska 64/70, 04-110 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1890";"2102";"471";"1419";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1419";"0";"0";"1419";"33";"5";"28";"0";"1386";"885";"501"
"9b1a-ce70-31d3-6ac1-9bb6-fb19-a399-db7b";"146507";"42";"438";"miasto";"stały";"Szkoła Podstawowa nr 60, Praga-Południe ul. Zbaraska 3, 04-089 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1618";"1831";"279";"1339";"1";"23";"0";"0";"0";"0";"0";"0";"0";"1336";"0";"0";"1336";"40";"9";"31";"0";"1296";"813";"483"
"7f4a-7e6a-b336-a619-093d-0468-8827-d764";"146507";"42";"439";"miasto";"stały";"Medyczna Szkoła Policealna Nr 4, Praga-Południe ul. Grenadierów 30A, 04-089 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1426";"1688";"169";"1257";"4";"29";"1";"1";"0";"0";"0";"0";"1";"1258";"1";"0";"1258";"33";"7";"26";"0";"1225";"821";"404"
"e2cf-430a-bffe-0d96-4ddd-7c8e-aa1a-6e2b";"146507";"42";"440";"miasto";"stały";"XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta, Praga-Południe ul. Fundamentowa 38/42, 04-063 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"2537";"2740";"397";"2140";"0";"27";"0";"0";"0";"0";"0";"0";"0";"2140";"0";"0";"2140";"53";"13";"40";"0";"2087";"1379";"708"
"f70b-9c9a-c929-c6da-ab86-7369-20e9-c4d4";"146507";"42";"441";"miasto";"stały";"Przedszkole nr 220, Praga-Południe ul. Walewska 7, 04-068 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1260";"1402";"259";"1001";"1";"34";"0";"0";"0";"0";"0";"0";"0";"1001";"0";"1";"1000";"28";"6";"22";"0";"972";"666";"306"
"1604-216c-26b7-e8be-0405-8a9f-3f6d-516f";"146507";"42";"442";"miasto";"stały";"Szkoła Podstawowa nr 120, Praga-Południe ul. Międzyborska 64/70, 04-014 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1000";"1122";"183";"817";"0";"17";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"23";"5";"18";"0";"794";"517";"277"
"bdc1-df8a-65f9-2c3d-77c3-4ccb-e38d-5dd4";"146507";"42";"443";"miasto";"stały";"XLVII Liceum Ogólnokształcące im. Stanisława Wyspiańskiego, Praga-Południe ul. Międzyborska 64/70, 04-062 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1130";"1279";"276";"854";"0";"14";"0";"0";"0";"0";"0";"0";"0";"854";"0";"0";"854";"17";"0";"17";"0";"837";"465";"372"
"6a66-a00e-0044-fe07-8c0f-8bcb-491d-c22d";"146507";"42";"444";"miasto";"stały";"Szkoła Podstawowa nr 279, Praga-Południe ul. Cyrklowa 1, 04-036 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1761";"2090";"58";"1703";"0";"34";"0";"0";"0";"0";"0";"0";"0";"1693";"0";"1";"1692";"32";"10";"22";"0";"1660";"1219";"441"
"c1da-bc7c-6562-1cf7-13da-6c66-a1b7-2510";"146507";"42";"445";"miasto";"stały";"Szkoła Podstawowa nr 279, Praga-Południe ul. Cyrklowa 1, 04-036 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1748";"1898";"367";"1381";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1378";"0";"0";"1378";"31";"9";"22";"0";"1347";"845";"502"
"af0f-326d-a56b-ec1b-84cc-f75c-146a-8139";"146507";"42";"446";"miasto";"stały";"Przedszkole nr 54, Praga-Południe ul. Bracławska 8A, 04-022 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1651";"1832";"276";"1375";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1375";"0";"0";"1375";"31";"10";"21";"0";"1344";"848";"496"
"cbf9-4f67-2656-75a8-6dc2-c551-5b39-784d";"146507";"42";"447";"miasto";"stały";"ZHR, Praga-Południe ul. Jakubowska 18, 04-010 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1046";"952";"255";"791";"0";"27";"0";"0";"0";"0";"0";"0";"0";"791";"0";"0";"791";"36";"13";"23";"0";"755";"560";"195"
"4f7a-9c3b-ec3f-73f1-55a7-fc41-1346-a7fc";"146507";"42";"448";"miasto";"stały";"Szkoła Podstawowa 373, Praga-Południe ul. Angorska 2, 04-010 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1328";"1577";"82";"1246";"0";"55";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"40";"12";"28";"0";"1204";"859";"345"
"0ca3-ce89-e0e1-94b9-c0f8-d2a9-46c1-3f77";"146507";"42";"449";"miasto";"stały";"Zespół Szkół nr 21, Praga-Południe ul. Saska 78, 04-044 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1483";"1669";"229";"1254";"4";"26";"0";"0";"0";"0";"0";"0";"0";"1254";"0";"0";"1254";"37";"15";"22";"0";"1217";"814";"403"
"3605-1aeb-c123-b32d-43c1-e8f4-1c9d-f619";"146507";"42";"450";"miasto";"stały";"Zespół Szkół nr 21, Praga-Południe ul. Saska 78, 04-044 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1580";"1631";"302";"1278";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1278";"0";"1";"1277";"33";"11";"22";"0";"1244";"901";"343"
"63bc-c60b-3856-d010-d031-fb14-70fc-0f23";"146507";"42";"451";"miasto";"stały";"XXXV Liceum Ogólnokształcące im. Bolesława Prusa, Praga-Południe ul. Zwycięzców 7/9, 04-044 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"2090";"2369";"384";"1706";"1";"50";"0";"0";"0";"0";"0";"0";"0";"1694";"0";"0";"1694";"40";"7";"33";"0";"1654";"1167";"487"
"7e6c-10aa-308c-97bb-93f6-2d2f-2d79-d2f9";"146507";"42";"452";"miasto";"stały";"Szkoła Podstawowa nr 168, Praga-Południe ul. Zwycięzców 44, 03-902 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1409";"1520";"210";"1199";"2";"26";"0";"0";"0";"0";"0";"0";"0";"1199";"0";"0";"1199";"25";"14";"11";"0";"1174";"817";"357"
