"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Józef ALEXANDROWICZ";"Marcin Rafał BOSACKI"
"e2ae-26ef-47c1-6339-e201-c518-613c-de4e";"306401";"91";"61";"miasto";"stały";"Zespół Szkół z Oddziałami Sportowymi nr 1 im. Jana Kochanowskiego, os. Pod Lipami 106, 61-638 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1613";"1874";"134";"1479";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1477";"0";"0";"1477";"51";"9";"42";"0";"1426";"300";"1126"
"db69-bd3c-f43b-fe7c-285e-6142-e6b6-00b6";"306401";"91";"62";"miasto";"stały";"Zespół Szkół z Oddziałami Sportowymi nr 1 im. Jana Kochanowskiego, os. Pod Lipami 106, 61-638 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1540";"1787";"179";"1361";"1";"31";"1";"1";"0";"0";"0";"0";"1";"1360";"1";"0";"1360";"43";"8";"35";"0";"1317";"361";"956"
"3ef4-82cf-34a0-c8af-3502-2010-2933-8ff3";"306401";"91";"63";"miasto";"stały";"Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie, os. Przyjaźni 127, 61-689 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1729";"1967";"232";"1484";"1";"24";"0";"0";"0";"0";"0";"0";"0";"1484";"0";"0";"1484";"42";"18";"24";"0";"1442";"382";"1060"
"af07-e020-07a0-6057-fa8d-68d2-0910-154c";"306401";"91";"64";"miasto";"stały";"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-689 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1852";"2174";"162";"1690";"1";"20";"1";"1";"0";"0";"1";"0";"0";"1690";"0";"1";"1689";"63";"16";"47";"0";"1626";"445";"1181"
"8000-2dc1-2527-610b-e010-4cd7-d413-aaf0";"306401";"91";"65";"miasto";"stały";"Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie, os. Przyjaźni 127, 61-689 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1020";"1217";"104";"916";"0";"10";"0";"0";"0";"0";"0";"0";"0";"916";"0";"0";"916";"32";"7";"25";"0";"884";"246";"638"
"62c7-73b6-d939-23ec-f8c8-308a-e0f4-a4f9";"306401";"91";"66";"miasto";"stały";"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-689 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1090";"1275";"143";"946";"2";"25";"0";"0";"0";"0";"0";"0";"0";"945";"0";"0";"945";"30";"8";"22";"0";"915";"259";"656"
"713b-ba1f-f76f-1ad2-a0df-3bfc-c6ff-6e32";"306401";"91";"67";"miasto";"stały";"Przedszkole nr 129 im. Małych Przyjaciół, os. Przyjaźni 135, 61-689 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1340";"1576";"164";"1176";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1175";"0";"1";"1174";"49";"10";"39";"0";"1125";"317";"808"
"622d-35d5-faf2-26e4-becb-5f12-786b-e39d";"306401";"91";"68";"miasto";"stały";"Zespół Szkół Zawodowych nr 2 im. Janusza Korczaka, ul. Żniwna 1, 61-663 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1699";"2012";"141";"1558";"3";"41";"0";"0";"0";"0";"0";"0";"0";"1558";"0";"0";"1558";"50";"11";"39";"0";"1508";"371";"1137"
"c642-d355-f062-d7c3-0633-45aa-6721-53a2";"306401";"91";"69";"miasto";"stały";"Zespół Szkół Łączności im. Mikołaja Kopernika, ul. Przełajowa 4, 61-622 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1910";"1897";"309";"1601";"4";"37";"0";"0";"0";"0";"0";"0";"0";"1594";"0";"6";"1588";"47";"11";"36";"0";"1541";"355";"1186"
"cf3c-9c38-9dfb-8c38-b20e-15d7-6f03-e849";"306401";"91";"70";"miasto";"stały";"Zespół Szkół Łączności im. Mikołaja Kopernika, ul. Przełajowa 4, 61-622 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1251";"1236";"238";"1013";"3";"22";"0";"0";"0";"0";"0";"0";"0";"1013";"0";"0";"1013";"40";"15";"25";"0";"973";"225";"748"
"15d6-9288-d650-72ec-b0c9-58e0-57e4-56e9";"306401";"91";"71";"miasto";"stały";"Zespół Szkół Łączności im. Mikołaja Kopernika, ul. Przełajowa 4, 61-622 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1380";"1526";"106";"1274";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1274";"0";"4";"1270";"31";"11";"20";"0";"1239";"192";"1047"
"de05-c00c-6fe6-7007-3ecd-0182-9c4d-c7f4";"306401";"91";"72";"miasto";"stały";"Szkoła Podstawowa nr 82 im. księcia Przemysła I, ul. Krakowska 10, 61-889 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1660";"1961";"284";"1376";"0";"31";"0";"0";"0";"0";"0";"0";"0";"1376";"0";"0";"1376";"52";"11";"41";"0";"1324";"391";"933"
"7231-5381-2b39-8fbf-17f3-9105-c2d3-1122";"306401";"91";"73";"miasto";"stały";"III Liceum Ogólnokształcące im. św. Jana Kantego, ul. Strzelecka 10, 61-845 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1320";"1564";"364";"956";"1";"39";"1";"1";"0";"0";"0";"0";"1";"957";"1";"0";"957";"37";"9";"28";"0";"920";"273";"647"
"4441-a523-fab4-1ed9-e4c2-00f9-d301-5fc1";"306401";"91";"74";"miasto";"stały";"Zespół Szkół Budownictwa nr 1, ul. Rybaki 17, 61-883 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1470";"1757";"319";"1151";"1";"43";"0";"0";"0";"0";"0";"0";"0";"1152";"0";"3";"1149";"51";"11";"40";"0";"1098";"280";"818"
"308b-8293-8719-d59d-07f4-1b2e-9f29-9831";"306401";"91";"75";"miasto";"stały";"Szkoła Podstawowa nr 75 im. Powstańców Wielkopolskich, ul. Powstańców Wielkopolskich 3, 61-895 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1159";"1471";"268";"891";"0";"88";"0";"0";"0";"0";"0";"0";"0";"891";"0";"0";"891";"28";"5";"23";"0";"863";"235";"628"
"38a6-8ab4-1662-f36d-ca06-328e-a1ab-4685";"306401";"91";"76";"miasto";"stały";"Szkoła Podstawowa nr 75 im. Powstańców Wielkopolskich, ul. Powstańców Wielkopolskich 3, 61-895 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1350";"1617";"307";"1043";"4";"23";"0";"0";"0";"0";"0";"0";"0";"1042";"0";"0";"1042";"48";"18";"30";"0";"994";"304";"690"
"f3bd-1666-0279-54b8-df87-29b0-ac14-5d45";"306401";"91";"77";"miasto";"stały";"Zespół Szkół Zawodowych nr 6 im. Joachima Lelewela, ul. Działyńskich 4/5, 61-727 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1387";"1517";"298";"1089";"0";"21";"0";"0";"0";"0";"0";"0";"0";"1089";"0";"0";"1089";"41";"12";"29";"0";"1048";"296";"752"
"4f69-7963-0a98-dcb9-fc39-a0cf-5465-d949";"306401";"91";"78";"miasto";"stały";"Zespół Szkół Komunikacji im. Hipolita Cegielskiego, ul. Aleksandra Fredry 13, 61-701 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1469";"1842";"310";"1159";"2";"83";"0";"0";"0";"0";"0";"0";"0";"1159";"0";"0";"1159";"43";"7";"36";"0";"1116";"311";"805"
"f5a3-e96c-fd4d-095e-6feb-dd7b-47a3-6b98";"306401";"91";"79";"miasto";"stały";"Muzeum Archeologiczne, ul. Wodna 27, 61-781 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1410";"1718";"323";"1087";"2";"85";"0";"0";"0";"0";"0";"0";"0";"1087";"0";"19";"1068";"38";"9";"29";"0";"1030";"310";"720"
"2abf-f560-9428-3991-5574-4c32-9da1-ec1e";"306401";"91";"80";"miasto";"stały";"Poznańskie Centrum Świadczeń, ul. Wszystkich Świętych 1, 61-843 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1470";"1809";"307";"1163";"2";"30";"1";"1";"0";"0";"0";"0";"1";"1162";"1";"0";"1162";"50";"12";"38";"0";"1112";"229";"883"
"5795-203e-25d8-b42b-8f23-2f1c-6bde-1fd0";"306401";"91";"81";"miasto";"stały";"Zespół Dziennych Domów Pomocy Filia nr 4 „Klub Starówka”, ul. Wielka 1 - 6, 61-774 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1390";"1654";"354";"1036";"1";"52";"0";"0";"0";"0";"0";"0";"0";"1036";"0";"1";"1035";"34";"6";"28";"0";"1001";"261";"740"
"eb90-3dc3-a8ac-2c07-cc14-8c2b-cb61-3b25";"306401";"91";"82";"miasto";"stały";"Zespół Szkół Mistrzostwa Sportowego nr 2, al. Niepodległości 32, 61-714 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1240";"1484";"167";"1073";"3";"50";"0";"0";"0";"0";"0";"0";"0";"1073";"0";"0";"1073";"42";"13";"29";"0";"1031";"262";"769"
"42e3-f309-5c2b-b7ce-991a-5be1-ab98-b630";"306401";"91";"83";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4, ul. Garbary 82, 61-758 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1460";"1836";"86";"1374";"0";"52";"0";"0";"0";"0";"0";"0";"0";"1374";"0";"0";"1374";"54";"12";"42";"0";"1320";"265";"1055"
"3d2d-9b57-13bd-f287-3bcc-1f53-0f89-b67f";"306401";"91";"84";"miasto";"stały";"Poznańska Ogólnokształcąca Szkoła Muzyczna I stopnia nr 2 im. Tadeusza Szeligowskiego, ul. Bydgoska 4, 61-127 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"990";"1111";"286";"704";"0";"21";"0";"0";"0";"0";"0";"0";"0";"704";"0";"0";"704";"21";"2";"19";"0";"683";"261";"422"
"23e8-d8a7-a129-f231-a45f-358f-d90c-d70c";"306401";"91";"85";"miasto";"stały";"Szkoła Podstawowa nr 85 im. Kawalerów Maltańskich, ul. Piotra Tomickiego 16, 61-116 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1800";"2086";"433";"1367";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1367";"0";"0";"1367";"57";"24";"33";"0";"1310";"375";"935"
"0156-eab7-584c-d0b1-1f38-83cf-2fba-c44c";"306401";"91";"86";"miasto";"stały";"Szkoła Podstawowa nr 85 im. Kawalerów Maltańskich, ul. Piotra Tomickiego 16, 61-116 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1479";"1653";"343";"1136";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1136";"0";"0";"1136";"66";"51";"15";"0";"1070";"250";"820"
"0f58-0144-4592-cfeb-1387-244b-9c56-70b9";"306401";"91";"87";"miasto";"stały";"Szkoła Podstawowa nr 45 im. Okrętu Rzeczypospolitej Polskiej Poznań, ul. Główna 42, 61-007 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1820";"2225";"259";"1561";"0";"32";"0";"0";"0";"0";"0";"0";"0";"1560";"0";"0";"1560";"67";"22";"45";"0";"1493";"385";"1108"
"ecbb-a85c-af46-1ca8-e5f2-010b-711d-0758";"306401";"91";"88";"miasto";"stały";"Szkoła Podstawowa nr 45 im. Okrętu Rzeczypospolitej Polskiej Poznań, ul. Harcerska 3, 61-011 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1359";"1546";"467";"892";"0";"15";"0";"0";"0";"0";"0";"0";"0";"892";"0";"0";"892";"23";"6";"17";"0";"869";"294";"575"
"e2db-ccd8-fc70-79d5-2baa-4062-fc75-506f";"306401";"91";"89";"miasto";"stały";"Szkoła Podstawowa nr 46 im. Marii Dąbrowskiej, ul. Inowrocławska 19, 61-044 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1680";"1880";"274";"1406";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1406";"0";"0";"1406";"35";"3";"32";"0";"1371";"461";"910"
"f7d7-f11c-cd78-06cc-8605-d223-689e-68d7";"306401";"91";"90";"miasto";"stały";"Szkoła Podstawowa nr 46 im. Marii Dąbrowskiej, ul. Inowrocławska 19, 61-044 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1590";"1828";"490";"1100";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1100";"0";"0";"1100";"48";"11";"37";"0";"1052";"330";"722"
"e3b7-9e37-0fb7-d61c-fe18-0d3d-8146-7a66";"306401";"91";"91";"miasto";"stały";"Szkoły Katolickiego Stowarzyszenia Wychowawców im. bł. Natalii Tułasiewicz, ul. Mińska 32, 61-049 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1669";"1883";"174";"1495";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1495";"0";"1";"1494";"45";"17";"28";"0";"1449";"440";"1009"
"9c56-55e5-2b17-9e04-cda8-518b-991c-2ada";"306401";"91";"92";"miasto";"stały";"Szkoła Podstawowa nr 55 im. Jurija Gagarina, ul. Szpaków 1, 61-065 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1540";"1696";"311";"1229";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1229";"0";"0";"1229";"28";"28";"0";"0";"1201";"362";"839"
"c2bc-e094-ec87-f03c-0a6c-29f9-80bd-ab59";"306401";"91";"93";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7, ul. Leszka 42, 61-062 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1860";"2071";"322";"1538";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1538";"0";"0";"1538";"19";"7";"12";"0";"1519";"496";"1023"
"5c01-12b3-b9ac-023a-553b-1188-a40c-3f25";"306401";"91";"94";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7, ul. Leszka 42, 61-062 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1889";"2151";"352";"1537";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1537";"0";"0";"1537";"40";"11";"29";"0";"1497";"497";"1000"
"6fa1-ada2-d1ec-1ddc-beb9-37f8-5e44-9df7";"306401";"91";"95";"miasto";"stały";"Szkoła Podstawowa nr 55 im. Jurija Gagarina, ul. Szpaków 1, 61-065 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1710";"1892";"305";"1405";"0";"5";"1";"1";"0";"0";"0";"0";"1";"1406";"1";"0";"1406";"53";"17";"36";"0";"1353";"379";"974"
"33e7-3eda-56ad-7ad6-e2d7-7fff-b04a-6795";"306401";"91";"96";"miasto";"stały";"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1650";"1866";"247";"1403";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1403";"0";"0";"1403";"41";"11";"30";"0";"1362";"396";"966"
"b1db-7f7e-23b0-41d2-e02d-cf5d-58ac-8330";"306401";"91";"97";"miasto";"stały";"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1870";"2083";"183";"1685";"0";"17";"0";"0";"0";"0";"0";"0";"0";"1685";"0";"0";"1685";"46";"13";"33";"0";"1639";"428";"1211"
"eb70-b62a-fe6b-b9b1-368e-675a-30a0-7c91";"306401";"91";"98";"miasto";"stały";"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1945";"2224";"276";"1669";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1668";"0";"0";"1668";"27";"19";"8";"0";"1641";"476";"1165"
"ae54-1740-8019-031a-02fd-922c-d9dc-535d";"306401";"91";"99";"miasto";"stały";"Liceum Ogólnokształcące Mistrzostwa Sportowego, os. Tysiąclecia 43, 61-255 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1980";"2220";"269";"1711";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1711";"0";"0";"1711";"47";"12";"35";"0";"1664";"478";"1186"
"1b2d-7130-f887-5324-0f91-da75-e4a9-2328";"306401";"91";"100";"miasto";"stały";"Liceum Ogólnokształcące Mistrzostwa Sportowego, os. Tysiąclecia 43, 61-255 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1319";"1495";"147";"1172";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1172";"0";"0";"1172";"30";"8";"22";"0";"1142";"370";"772"
"f976-c050-593f-29fe-704a-8b6e-8347-c1e4";"306401";"91";"101";"miasto";"stały";"Szkoła Podstawowa nr 51 im. Bronisława Szwarca, os. Lecha 37, 61-294 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1976";"2204";"308";"1672";"1";"24";"0";"0";"0";"0";"0";"0";"0";"1671";"0";"0";"1671";"53";"0";"53";"0";"1618";"458";"1160"
"16cb-be78-98a3-df65-a1d2-1bb9-9cc2-cded";"306401";"91";"102";"miasto";"stały";"Szkoła Podstawowa nr 51 im. Bronisława Szwarca, os. Lecha 37, 61-294 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1970";"2213";"303";"1665";"1";"18";"0";"0";"0";"0";"0";"0";"0";"1665";"0";"0";"1665";"57";"9";"48";"0";"1608";"486";"1122"
"827d-fb63-d997-3909-4e90-026e-d1e7-e66a";"306401";"91";"103";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 4 im. ks. prof. Józefa Tischnera, os. Czecha 59, 61-288 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1911";"2139";"285";"1626";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1622";"0";"0";"1622";"49";"11";"38";"0";"1573";"479";"1094"
"98e7-6dd7-e482-d643-4fc8-9ed2-b41d-5a48";"306401";"91";"104";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 4 im. ks. prof. Józefa Tischnera, os. Czecha 59, 61-288 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1800";"2029";"251";"1549";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1547";"0";"2";"1545";"45";"8";"37";"0";"1500";"438";"1062"
"fc21-98cf-73c9-c64c-0404-3c05-b6d2-6bbb";"306401";"91";"105";"miasto";"stały";"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1620";"1811";"233";"1387";"0";"16";"1";"1";"0";"0";"0";"0";"1";"1388";"1";"0";"1388";"51";"16";"35";"0";"1337";"411";"926"
"640f-f9e4-e8e2-4476-0e49-d922-1563-fd55";"306401";"91";"106";"miasto";"stały";"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1770";"2002";"178";"1592";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1592";"0";"0";"1592";"26";"5";"21";"0";"1566";"422";"1144"
"d393-0549-c367-679b-550d-09a2-79ce-a2e0";"306401";"91";"107";"miasto";"stały";"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1632";"1819";"159";"1473";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1472";"0";"0";"1472";"41";"15";"26";"0";"1431";"408";"1023"
"6864-497e-afdc-a2e1-b3f6-9038-d01e-c5e7";"306401";"91";"108";"miasto";"stały";"Centrum Sportowe, ul. Katowicka 95, 61-131 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1830";"2140";"31";"1799";"1";"45";"0";"0";"0";"0";"0";"0";"0";"1798";"0";"0";"1798";"36";"17";"19";"0";"1762";"305";"1457"
"362c-6ae7-4bc2-7e71-683a-0a98-9d51-ce0a";"306401";"91";"109";"miasto";"stały";"Politechnika Poznańska, ul. Jana Pawła II 28, 61-131 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"2284";"2501";"221";"2062";"1";"93";"0";"0";"0";"0";"0";"0";"0";"2063";"0";"1";"2062";"66";"13";"53";"0";"1996";"375";"1621"
"9cca-b901-ae65-8e3b-5f93-d41d-c41a-fff8";"306401";"91";"110";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Bolesława Krzywoustego, os. Piastowskie 27, 61-149 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1810";"2106";"277";"1533";"3";"25";"0";"0";"0";"0";"0";"0";"0";"1532";"0";"0";"1532";"69";"12";"57";"0";"1463";"440";"1023"
"84e9-df20-04a6-7d68-59b1-64a8-2a16-d6ca";"306401";"91";"111";"miasto";"stały";"Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi im. Szarych Szeregów, os. Jagiellońskie 128, 61-223 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1643";"1904";"224";"1419";"4";"13";"0";"0";"0";"0";"0";"0";"0";"1418";"0";"0";"1418";"54";"11";"43";"0";"1364";"431";"933"
"d216-0069-97c0-84b3-936c-90a0-4f02-3c3d";"306401";"91";"112";"miasto";"stały";"Szkoła Podstawowa nr 19 im. Stanisława Staszica, os. Oświecenia 1, 61-205 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1668";"1844";"218";"1450";"1";"27";"1";"1";"0";"0";"0";"0";"1";"1451";"1";"0";"1451";"44";"12";"32";"0";"1407";"405";"1002"
"17a5-f9e9-c4e7-8307-e85c-94e6-3913-2f41";"306401";"91";"113";"miasto";"stały";"Szkoła Podstawowa nr 19 im. Stanisława Staszica, os. Oświecenia 1, 61-205 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1633";"1853";"245";"1388";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1388";"0";"0";"1388";"38";"7";"31";"0";"1350";"405";"945"
"f3b3-ecf0-2414-5565-8de8-271a-5106-4036";"306401";"91";"114";"miasto";"stały";"Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi im. Szarych Szeregów, os. Jagiellońskie 128, 61-223 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1776";"2043";"251";"1525";"3";"17";"0";"0";"0";"0";"0";"0";"0";"1525";"0";"0";"1525";"41";"21";"20";"0";"1484";"440";"1044"
"0da5-f06f-bc44-2249-9b39-5267-edbd-625b";"306401";"91";"115";"miasto";"stały";"Szkoła Podstawowa nr 20 im. Stefana Batorego, os. Rzeczypospolitej 44, 61-395 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1679";"1894";"239";"1440";"3";"8";"2";"2";"0";"0";"0";"0";"2";"1442";"2";"0";"1442";"47";"23";"24";"0";"1395";"470";"925"
"7e98-289d-d8b2-b44d-25b8-d565-fc14-7a66";"306401";"91";"116";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 14 im. Władysława Łokietka, os. Piastowskie 65, 61-156 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1749";"2049";"229";"1520";"3";"20";"1";"1";"0";"0";"0";"0";"1";"1521";"1";"0";"1521";"60";"12";"48";"0";"1461";"471";"990"
"5559-372c-ac2d-c231-1848-4f0c-9a97-c5b7";"306401";"91";"117";"miasto";"stały";"XIV Liceum Ogólnokształcące im. Kazimierza Wielkiego, os. Piastowskie 106, 61-164 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"2078";"2379";"314";"1764";"0";"25";"1";"1";"1";"0";"0";"0";"0";"1764";"0";"0";"1764";"75";"42";"33";"0";"1689";"506";"1183"
"ad8f-d929-7437-a6aa-81dd-1a67-b191-11f2";"306401";"91";"118";"miasto";"stały";"Szkoła Podstawowa nr 20 im. Stefana Batorego, os. Rzeczypospolitej 44, 61-395 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1815";"2044";"268";"1545";"2";"13";"0";"0";"0";"0";"0";"0";"0";"1545";"0";"0";"1545";"47";"15";"32";"0";"1498";"517";"981"
"6491-3233-9a79-6ea3-5e73-8a8e-2053-75ae";"306401";"91";"119";"miasto";"stały";"Zespół Szkół Salezjańskich, os. Bohaterów II Wojny Światowej 29, 61-387 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1943";"2206";"340";"1603";"2";"83";"0";"0";"0";"0";"0";"0";"0";"1603";"0";"0";"1603";"58";"10";"48";"0";"1545";"512";"1033"
"1422-be74-7bab-b912-46f8-ed6b-a480-7460";"306401";"91";"120";"miasto";"stały";"Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej, os. Armii Krajowej 100, 61-381 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1819";"2017";"276";"1543";"3";"18";"0";"0";"0";"0";"0";"0";"0";"1542";"0";"0";"1542";"53";"9";"44";"0";"1489";"505";"984"
"ad0d-cfe3-9100-a0ce-c9c3-42ac-0439-99dc";"306401";"91";"121";"miasto";"stały";"Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej, os. Armii Krajowej 100, 61-381 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1798";"2014";"275";"1523";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1523";"0";"0";"1523";"60";"14";"46";"0";"1463";"455";"1008"
"f433-4f61-fef5-80e2-3e3e-69be-0ff9-4e21";"306401";"91";"122";"miasto";"stały";"Zespół Szkół z Oddziałami Integracyjnymi nr 1, os. Stare Żegrze 1, 61-249 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1719";"1946";"207";"1512";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1513";"0";"0";"1513";"43";"28";"15";"0";"1470";"426";"1044"
"c44c-c574-bd3b-9a10-e4f8-ecbc-8a0b-3534";"306401";"91";"123";"miasto";"stały";"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1810";"2028";"270";"1540";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1535";"0";"1";"1534";"50";"11";"39";"0";"1484";"413";"1071"
"b6a1-22ee-17f6-31c0-586c-f60e-0051-798c";"306401";"91";"124";"miasto";"stały";"Zespół Szkół z Oddziałami Integracyjnymi nr 1, os. Stare Żegrze 1, 61-249 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1690";"1915";"161";"1528";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1527";"0";"0";"1527";"51";"6";"45";"0";"1476";"424";"1052"
