"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek Henryk BUBEL";"Andrzej MACIEJEWSKI";"Jarosław Marek SŁOMA";"Lidia Ewa STAROŃ"
"f264-4e08-e416-3569-7dc9-39f3-60f9-db77";"281401";"86";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Feliksa Nowowiejskiego w Barczewie, ul. Wojska Polskiego 36, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"920";"1012";"373";"547";"0";"14";"0";"0";"0";"0";"0";"0";"0";"547";"0";"0";"547";"5";"2";"3";"0";"542";"14";"100";"121";"307"
"862c-233b-24ee-51d0-011a-56c3-73ba-881c";"281401";"86";"2";"miasto";"stały";"Urząd Stanu Cywilnego, ul. Kopernika 10, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"690";"743";"232";"458";"0";"0";"0";"0";"0";"0";"0";"0";"0";"458";"0";"0";"458";"7";"0";"7";"0";"451";"21";"89";"111";"230"
"2967-7ae0-1671-20c9-7f29-86ae-da84-2576";"281401";"86";"3";"miasto";"stały";"Przedszkole Miejskie w Barczewie, ul. Słowackiego 7, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"880";"950";"315";"565";"0";"4";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"6";"0";"6";"0";"559";"9";"78";"171";"301"
"04a2-7159-37f9-2743-10fc-0279-48c8-d3d3";"281401";"86";"4";"miasto";"stały";"Centrum Kulturalno-Biblioteczne w Barczewie, ul. Słowackiego 5, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"1132";"1219";"393";"739";"1";"5";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"10";"4";"6";"0";"729";"24";"129";"162";"414"
"6c81-f9e5-b535-860c-d211-6e4f-a35d-b6ce";"281401";"86";"5";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Ziemi Warmińskiej w Barczewie wchodząca w skład Zespołu Szkół w Barczewie (hol główny), ul. Północna 14, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"668";"759";"329";"339";"0";"4";"0";"0";"0";"0";"0";"0";"0";"339";"0";"0";"339";"9";"1";"8";"0";"330";"10";"71";"81";"168"
"17a7-730f-8901-b393-26a7-c3ec-ca94-c8c6";"281401";"86";"6";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Ziemi Warmińskiej w Barczewie wchodząca w skład Zespołu Szkół w Barczewie (hala sportowa), ul. Północna 14, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"761";"838";"234";"527";"0";"0";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"6";"2";"4";"0";"521";"13";"95";"105";"308"
"f8af-dfdd-2d1c-8893-22c9-0fcc-a3be-cc7e";"281401";"86";"7";"wieś";"stały";"Szkoła Filialna w Barczewku wchodząca w skład Zespołu Szkolno-Przedszkolnego w Łęgajnach, Barczewko 35, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"620";"687";"297";"323";"0";"11";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"10";"3";"7";"0";"313";"5";"37";"71";"200"
"4961-8e1f-a6a2-4b6c-3eb4-17e3-31a4-01aa";"281401";"86";"8";"wieś";"stały";"Niepubliczny Zespół Szkół i Placówek w Kronowie, Kronowo 6, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"330";"363";"161";"169";"0";"0";"0";"0";"0";"0";"0";"0";"0";"169";"0";"0";"169";"3";"0";"3";"0";"166";"7";"37";"39";"83"
"cb96-1bf9-21c2-5fbf-3985-4e3c-e8b6-d320";"281401";"86";"9";"wieś";"stały";"Niepubliczny Zespół Szkół i Placówek w Lamkowie, Lamkowo 29, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"420";"463";"229";"191";"0";"2";"0";"0";"0";"0";"0";"0";"0";"191";"0";"0";"191";"2";"1";"1";"0";"189";"8";"43";"25";"113"
"3b1c-84a4-ed86-3bd2-a039-d056-af0f-2504";"281401";"86";"10";"wieś";"stały";"Niepubliczny Zespół Szkół i Placówek w Wipsowie, Wipsowo 63, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"640";"715";"266";"374";"0";"16";"0";"0";"0";"0";"0";"0";"0";"374";"0";"0";"374";"3";"0";"3";"0";"371";"15";"73";"75";"208"
"90e3-b213-d7f9-18ef-5be7-d0e4-1754-db04";"281401";"86";"11";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Łęgajnach, Łęgajny ul. Ogrodowa 7, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"950";"1067";"362";"588";"0";"6";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"10";"0";"10";"0";"578";"20";"106";"117";"335"
"b554-f728-b39d-ac19-4226-01d8-a334-6ec9";"281401";"86";"12";"wieś";"stały";"Stacja Doświadczalna Oceny Odmian w Wrócikowie, Wrócikowo 16, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"489";"546";"157";"332";"0";"4";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"5";"0";"5";"0";"327";"10";"59";"92";"166"
"5295-7dc9-0f14-e6f3-40aa-eb06-0b91-f57e";"281401";"86";"13";"wieś";"stały";"Świetlica wiejska w Skajbotach, Skajboty 32, 11-010 Barczewo";"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";"250";"275";"115";"135";"0";"1";"0";"0";"0";"0";"0";"0";"0";"135";"0";"0";"135";"2";"0";"2";"0";"133";"1";"16";"34";"82"
