"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Radosław SAŁATA";"Michał SEWERYŃSKI";"Andrzej URBANIAK";"Jacek WALCZAK"
"724e-fa62-cd3c-2152-e6bb-9e36-fd9d-0b9f";"101401";"27";"23";"miasto";"stały";"Szkoła Podstawowa Nr 6 im. Janiny Majkowskiej, Uniejowska 199, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1338";"1438";"470";"868";"0";"2";"0";"0";"0";"0";"0";"0";"0";"868";"0";"0";"868";"9";"8";"1";"0";"859";"86";"422";"33";"318"
"e8e0-792c-8da9-5cd9-a23f-cb53-128b-c8f8";"101401";"27";"24";"miasto";"zakład leczniczy";"Szpital Wojewódzki im. Prymasa Kardynała Stefana Wyszyńskiego w Sieradzu, Armii Krajowej 7, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"584";"396";"475";"109";"0";"4";"0";"0";"0";"0";"0";"0";"0";"109";"0";"0";"109";"1";"0";"1";"0";"108";"10";"60";"7";"31"
"874a-f1a9-03f6-2a37-de2d-bfd5-4f3b-a871";"101401";"27";"25";"miasto";"zakład leczniczy";"Szpital Wojewódzki im. Prymasa Kardynała Stefana Wyszyńskiego w Sieradzu, Nenckiego 2, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"146";"123";"89";"57";"0";"3";"0";"0";"0";"0";"0";"0";"0";"57";"0";"0";"57";"3";"1";"2";"0";"54";"1";"37";"4";"12"
"37bb-244d-88cc-0de8-c3ae-18d7-0d51-7a50";"101401";"27";"26";"miasto";"zakład karny";"Zakład Karny Sieradz, Orzechowa 5, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"760";"695";"441";"319";"0";"0";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"14";"2";"12";"0";"304";"54";"83";"23";"144"
"9fb5-358c-9664-0c96-8057-c097-512b-dd43";"101401";"27";"27";"miasto";"zakład karny";"Zakład Karny Sieradz, Torowa 2, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"126";"122";"76";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"3";"1";"2";"0";"47";"8";"10";"4";"25"
"696f-5ebc-bb63-ccd2-9708-ca41-adc3-7f56";"101402";"27";"1";"miasto";"stały";"Szkoła Podstawowa w Błaszkach Hala Sportowa, Szkolna 1, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"1581";"1725";"556";"1025";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"25";"9";"16";"0";"1000";"150";"473";"67";"310"
"0912-f050-8c61-38cc-a258-57c1-c71d-64e9";"101402";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Łubnej-Jakusy, Łubna-Jakusy 28A, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"708";"781";"247";"462";"0";"0";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"9";"1";"8";"0";"453";"46";"308";"14";"85"
"f469-2158-24db-dec9-169f-a8f9-be20-8d67";"101402";"27";"3";"miasto";"stały";"Publiczne Gimnazjum w Błaszkach, Pomorska 6, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"1406";"1524";"571";"835";"0";"1";"0";"0";"0";"0";"0";"0";"0";"835";"0";"0";"835";"19";"3";"16";"0";"816";"125";"491";"53";"147"
"ef23-931b-c1c2-a580-34aa-e77f-eca8-f286";"101402";"27";"4";"wieś";"stały";"Strażnica OSP Wojków, Wojków 46, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"1362";"1495";"577";"785";"0";"3";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"20";"4";"16";"0";"765";"99";"486";"45";"135"
"3719-84dd-cf21-84f6-c4fe-1aec-07be-a940";"101402";"27";"5";"wieś";"stały";"Wiejska Świetlica w Brończynie, Brończyn 49, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"630";"682";"234";"396";"0";"0";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"24";"5";"19";"0";"372";"48";"212";"21";"91"
"f955-fa41-017e-5b8c-fa9a-4065-7d3f-5910";"101402";"27";"6";"wieś";"stały";"Szkoła Podstawowa w Kwaskowie, Kwasków 5, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"626";"690";"186";"440";"0";"5";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"14";"1";"13";"0";"426";"78";"255";"28";"65"
"666d-35bf-101a-2a0c-0db5-95f9-c459-c5a4";"101402";"27";"7";"wieś";"stały";"Wiejska Świetlica Środowiskowo Rekreacyjna w Sędzimirowicach, Sędzimirowice 10, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"734";"803";"320";"414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"414";"0";"0";"414";"26";"15";"11";"0";"388";"86";"224";"25";"53"
"de17-12ac-fe3c-fa37-71f3-5fe5-36ff-7227";"101402";"27";"8";"wieś";"stały";"Szkoła Podstawowa w Kalinowej, Kalinowa 86, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"826";"903";"358";"468";"1";"1";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"12";"2";"10";"0";"456";"91";"265";"29";"71"
"7ee6-51a5-e018-b8b2-ea25-e2df-de4c-da6a";"101402";"27";"9";"miasto";"stały";"Publiczne Gimnazjum w Błaszkach, Pomorska 6, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"632";"689";"255";"377";"0";"4";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"10";"7";"3";"0";"366";"40";"209";"32";"85"
"edbc-d6de-113d-832a-68f4-3160-c083-37a5";"101402";"27";"10";"wieś";"stały";"Szkoła Podstawowa w Gruszczycach, Gruszczyce 45, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"1328";"1449";"466";"862";"1";"3";"0";"0";"0";"0";"0";"0";"0";"862";"0";"0";"862";"23";"11";"12";"0";"839";"127";"444";"51";"217"
"9dc7-6a07-8d2a-cd7d-acfe-2aaa-4ebb-2e65";"101402";"27";"11";"wieś";"stały";"Szkoła Podstawowa w Domaniewie, Domaniew 53, 98-235 Błaszki";"gm. Błaszki";"sieradzki";"łódzkie";"828";"905";"354";"474";"0";"0";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"19";"4";"15";"0";"454";"85";"269";"33";"67"
"0463-23e6-7888-d63f-9873-0ced-c669-4b13";"101403";"27";"1";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Brąszewicach, Sieradzka 90, 98-277 Brąszewice";"gm. Brąszewice";"sieradzki";"łódzkie";"1327";"1448";"528";"799";"0";"4";"0";"0";"0";"0";"0";"0";"0";"799";"0";"0";"799";"11";"3";"8";"0";"788";"104";"518";"23";"143"
"55fa-4d80-2496-816c-ed5d-7778-4baf-cd3f";"101403";"27";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa SPSK im. Św. Mikołaja w Chajewie, Chajew 44, 98-277 Brąszewice";"gm. Brąszewice";"sieradzki";"łódzkie";"415";"456";"121";"294";"0";"5";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"5";"3";"2";"0";"289";"40";"195";"9";"45"
"d457-78ee-af7c-71c5-3701-1419-92a8-f11c";"101403";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Godynicach, Godynice 17, 98-277 Brąszewice";"gm. Brąszewice";"sieradzki";"łódzkie";"926";"997";"327";"599";"0";"1";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"599";"15";"6";"9";"0";"584";"93";"382";"16";"93"
"f3cd-940c-a0ab-e485-f639-b9d6-82a4-4f90";"101403";"27";"4";"wieś";"stały";"Szkoła Podstawowa w Żurawiu, Żuraw 18, 98-277 Brąszewice";"gm. Brąszewice";"sieradzki";"łódzkie";"522";"566";"196";"326";"0";"1";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"3";"1";"2";"0";"323";"28";"245";"8";"42"
"021e-7ff1-087b-1378-db41-1df5-f920-e5a9";"101404";"27";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Brzeźniu, Bronisławów ul. Szkolna 2, 98-275 Brzeźnio";"gm. Brzeźnio";"sieradzki";"łódzkie";"1086";"1172";"329";"757";"1";"1";"0";"0";"0";"0";"0";"0";"0";"757";"0";"0";"757";"20";"4";"16";"0";"737";"96";"327";"36";"278"
"0308-bb48-8218-5df4-10d0-79d3-f8bb-6272";"101404";"27";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Brzeźniu, Bronisławów ul. Szkolna 2, 98-275 Brzeźnio";"gm. Brzeźnio";"sieradzki";"łódzkie";"1029";"1122";"381";"648";"0";"1";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"4";"1";"3";"0";"644";"75";"317";"25";"227"
"401c-a627-ca02-7643-3311-ad0c-6fb8-f35a";"101404";"27";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Barczewie, Barczew 3, 98-275 Brzeźnio";"gm. Brzeźnio";"sieradzki";"łódzkie";"932";"1012";"354";"578";"0";"7";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"21";"8";"13";"0";"557";"44";"305";"28";"180"
"e7b6-f8ed-c250-6dc6-f6e2-4cfc-a8c3-7a25";"101404";"27";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Jana Pawła II w Kliczkowie Wielkim, Kliczków Wielki 45a, 98-275 Brzeźnio";"gm. Brzeźnio";"sieradzki";"łódzkie";"850";"926";"307";"543";"0";"1";"0";"0";"0";"0";"0";"0";"0";"543";"0";"0";"543";"9";"2";"7";"0";"534";"39";"373";"20";"102"
"7712-93a2-c8b3-c67e-95ed-4719-ae95-52b2";"101404";"27";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Juliana Tuwima w Ostrowie, Ostrów 21, 98-275 Brzeźnio";"gm. Brzeźnio";"sieradzki";"łódzkie";"715";"789";"276";"439";"0";"7";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"19";"5";"14";"0";"420";"54";"239";"21";"106"
"1082-729b-eb7c-f2f7-5318-3596-2eb5-647e";"101405";"27";"1";"wieś";"stały";"Zespół Szkół w Burzeninie, Sieradzka 11, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"1313";"1440";"440";"873";"0";"13";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"10";"3";"7";"0";"863";"117";"419";"46";"281"
"3575-64ea-7488-7972-9adc-8850-3dea-9cb7";"101405";"27";"2";"wieś";"stały";"Remiza OSP w Grabówce, Grabówka 30A, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"530";"585";"200";"330";"0";"0";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"3";"1";"2";"0";"327";"35";"211";"22";"59"
"af40-7384-0bef-0e46-05e1-8d98-f8dd-833a";"101405";"27";"3";"wieś";"stały";"Świetlica Wiejska w Niechmirowie, Niechmirów 47, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"674";"724";"315";"359";"0";"0";"0";"0";"0";"0";"0";"0";"0";"359";"0";"0";"359";"5";"2";"3";"0";"354";"33";"193";"41";"87"
"3858-7c81-a940-8149-b4d7-6a6f-c9b1-6c8d";"101405";"27";"4";"wieś";"stały";"Remiza OSP w Szczawnie, Szczawno 8a, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"338";"370";"130";"208";"0";"2";"0";"0";"0";"0";"0";"0";"0";"208";"0";"0";"208";"8";"3";"5";"0";"200";"30";"111";"9";"50"
"ac96-3a7d-08af-88df-d3bc-3631-e0cc-2dac";"101405";"27";"5";"wieś";"stały";"Remiza OSP w Woli Będkowskiej, Wola Będkowska 40, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"476";"524";"239";"237";"0";"0";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"3";"0";"3";"0";"234";"29";"153";"10";"42"
"357f-086d-3b5a-506c-0aca-bc8f-c9f6-9053";"101405";"27";"6";"wieś";"stały";"Świetlica Wiejska w Witowie, Witów Wspólna 84, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"690";"752";"299";"391";"1";"0";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"5";"1";"4";"0";"386";"27";"233";"13";"113"
"a6f5-8fde-b01d-b907-0605-672e-bf9c-3c6a";"101405";"27";"7";"wieś";"dom pomocy społecznej";"Dom Opieki Społecznej w Sieradzu Filia w Witowie, Witów Wspólna 74, 98-260 Burzenin";"gm. Burzenin";"sieradzki";"łódzkie";"21";"20";"9";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"12";"0";"0";"0";"0";"12";"0";"7";"4";"1"
"26bf-960a-fc5e-80c4-68d0-7e93-ef24-594c";"101406";"27";"1";"wieś";"stały";"Szkoła Podstawowa w Goszczanowie, Kaliska 5, 98-215 Goszczanów";"gm. Goszczanów";"sieradzki";"łódzkie";"1275";"1410";"514";"761";"0";"6";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"9";"7";"2";"0";"752";"78";"419";"50";"205"
"7cba-1667-0c7e-d9aa-60e8-343d-489d-5219";"101406";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Chlewie, Chlewo 51A, 98-215 Goszczanów";"gm. Goszczanów";"sieradzki";"łódzkie";"1113";"1230";"497";"616";"1";"8";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"15";"5";"10";"0";"601";"72";"389";"35";"105"
"acce-865f-a9d1-a40d-a626-50da-8ab3-c382";"101406";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Lipiczu, Lipicze 44, 98-215 Goszczanów";"gm. Goszczanów";"sieradzki";"łódzkie";"475";"528";"233";"242";"0";"0";"0";"0";"0";"0";"0";"0";"0";"242";"0";"0";"242";"3";"0";"3";"0";"239";"21";"147";"18";"53"
"45df-09ae-ccf8-1e3f-6a55-814e-0175-7146";"101406";"27";"4";"wieś";"stały";"Świetlica Wiejska w Poniatowie, Poniatów 8, 98-215 Goszczanów";"gm. Goszczanów";"sieradzki";"łódzkie";"566";"617";"236";"330";"2";"0";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"5";"1";"4";"0";"325";"48";"177";"17";"83"
"47a8-5950-e528-0d34-f813-d038-b16f-01f0";"101406";"27";"5";"wieś";"stały";"Szkoła Podstawowa w Kaszewie, Kaszew 29, 98-215 Goszczanów";"gm. Goszczanów";"sieradzki";"łódzkie";"549";"604";"274";"275";"0";"5";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"6";"0";"6";"0";"269";"22";"185";"13";"49"
"1852-3fc0-73a4-da7e-9c48-9615-edf4-9102";"101407";"27";"1";"wieś";"stały";"Urząd Gminy w Klonowej (sala posiedzeń), ul. Ks. Józefa Dalaka 2, 98-273 Klonowa";"gm. Klonowa";"sieradzki";"łódzkie";"722";"783";"294";"428";"3";"5";"0";"0";"0";"0";"0";"0";"0";"428";"0";"0";"428";"4";"0";"4";"0";"424";"39";"259";"12";"114"
"d92c-61b4-36d0-3649-fa2e-4299-21d9-c8d1";"101407";"27";"2";"wieś";"stały";"Gminny Ośrodek Kultury w Klonowej, ul. Czajkowska 1b, 98-273 Klonowa";"gm. Klonowa";"sieradzki";"łódzkie";"571";"625";"220";"351";"0";"2";"0";"0";"0";"0";"0";"0";"0";"351";"0";"0";"351";"15";"3";"12";"0";"336";"22";"222";"30";"62"
"16d8-d193-0351-1543-218b-aeb9-be1b-111a";"101407";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Kuźnicy Błońskiej, Kuźnica Błońska 9, 98-273 Klonowa";"gm. Klonowa";"sieradzki";"łódzkie";"310";"344";"140";"170";"0";"2";"0";"0";"0";"0";"0";"0";"0";"170";"0";"0";"170";"5";"1";"4";"0";"165";"7";"132";"10";"16"
"6ed7-8dc7-bb98-c54d-ca7a-d0a8-061b-7937";"101407";"27";"4";"wieś";"stały";"Strażnica OSP w Owieczkach, Owieczki 35, 98-273 Klonowa";"gm. Klonowa";"sieradzki";"łódzkie";"502";"550";"184";"318";"0";"2";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"1";"1";"0";"0";"317";"20";"234";"20";"43"
"991d-7ab1-ecf0-633e-4b3d-5d26-29b5-9669";"101408";"27";"1";"wieś";"stały";"Szkoła Podstawowa, Dąbrowa Wielka 19, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"878";"971";"315";"563";"0";"6";"0";"0";"0";"0";"0";"0";"0";"563";"0";"0";"563";"11";"3";"8";"0";"552";"55";"318";"13";"166"
"6f1d-680b-c0e7-88f1-ac8d-32a1-f3dc-0935";"101408";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Charłupi Małej, Charłupia Mała Szkolna 15, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"1573";"1737";"422";"1151";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1151";"0";"0";"1151";"13";"1";"12";"0";"1138";"120";"712";"44";"262"
"b045-87a9-dd53-9f55-3214-d0ca-1449-43c0";"101408";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Chojnem, Chojne Główna 1, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"1840";"2006";"598";"1242";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1240";"0";"0";"1240";"17";"2";"15";"0";"1223";"127";"652";"46";"398"
"e399-ece1-4c06-8310-464d-acfc-ae40-fb95";"101408";"27";"4";"wieś";"stały";"Szkoła Podstawowa, Kłocko 11, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"1040";"1140";"366";"674";"0";"0";"0";"0";"0";"0";"0";"0";"0";"674";"0";"0";"674";"7";"2";"5";"0";"667";"66";"381";"28";"192"
"158e-9b2b-7b6a-6e60-950b-faed-e870-2b9a";"101408";"27";"5";"wieś";"stały";"Remiza OSP, Ruda 106D, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"1008";"1096";"351";"657";"0";"0";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"7";"1";"6";"0";"650";"57";"396";"20";"177"
"6c2e-d044-23d0-6cc9-94b3-2774-4c2f-2d65";"101408";"27";"6";"wieś";"stały";"Szkoła Podstawowa, Rzechta 84, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"1178";"1307";"314";"864";"0";"6";"0";"0";"0";"0";"0";"0";"0";"864";"0";"0";"864";"18";"6";"12";"0";"846";"93";"399";"25";"329"
"9a39-d4e7-b5bd-9a17-709b-54b1-f7aa-0745";"101408";"27";"7";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Biskupicach, Biskupice 72, 98-200 Sieradz";"gm. Sieradz";"sieradzki";"łódzkie";"51";"51";"32";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"19";"1";"0";"1";"0";"18";"1";"11";"2";"4"
"aaf6-9b38-3409-17de-0dbb-44e9-7b32-3c76";"101409";"27";"1";"miasto";"stały";"Szkoła Podstawowa im. kpt. pil. Stanisława Skarżyńskiego w Warcie, Świętojańska 5/sala A, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"1140";"1236";"424";"716";"0";"7";"0";"0";"0";"0";"0";"0";"0";"716";"0";"0";"716";"9";"8";"1";"0";"707";"91";"362";"21";"233"
"64b0-2798-e5c8-42fb-4fc0-25d4-8ef9-5b25";"101409";"27";"2";"miasto";"stały";"Szkoła Podstawowa im. kpt. pil. Stanisława Skarżyńskiego w Warcie, Świętojańska 5/sala B, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"1235";"1339";"392";"843";"1";"4";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"9";"3";"6";"0";"834";"103";"443";"19";"269"
"23d6-5bc5-81fc-97e1-0e41-f76c-12f1-7256";"101409";"27";"3";"wieś";"stały";"Dom Ludowy, Małków 75, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"672";"731";"281";"391";"0";"0";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"8";"4";"4";"0";"383";"54";"220";"25";"84"
"7d06-640f-942c-7931-12d4-a718-e6c8-cf62";"101409";"27";"4";"wieś";"stały";"Szkoła Podstawowa, Jakubice 15, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"627";"681";"259";"368";"0";"0";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"4";"0";"4";"0";"364";"32";"274";"6";"52"
"d510-2a10-1d5d-3796-1105-b79c-82b2-15e3";"101409";"27";"5";"wieś";"stały";"Szkoła Podstawowa, Cielce 16, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"997";"1101";"390";"607";"2";"4";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"8";"1";"7";"0";"599";"86";"396";"28";"89"
"2744-b9e3-cfb2-8f21-c659-af8c-9fb8-df4f";"101409";"27";"6";"wieś";"stały";"Szkoła Podstawowa, Jeziorsko 46, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"686";"762";"284";"402";"0";"1";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"8";"2";"6";"0";"394";"45";"244";"14";"91"
"3700-6618-011d-7dd1-bf16-7205-268d-be50";"101409";"27";"7";"wieś";"stały";"Szkoła Podstawowa, Ustków 26, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"594";"660";"242";"352";"0";"0";"0";"0";"0";"0";"0";"0";"0";"352";"0";"0";"352";"10";"0";"10";"0";"342";"35";"210";"24";"73"
"9395-e251-8a65-dfd2-f656-ecc8-edde-5565";"101409";"27";"8";"wieś";"stały";"OSP, Proboszczowice 35A, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"622";"679";"242";"380";"0";"0";"0";"0";"0";"0";"0";"0";"0";"380";"0";"0";"380";"4";"0";"4";"0";"376";"43";"239";"13";"81"
"4f00-3ec8-43cf-9a3b-8ad9-30fa-6fdd-86b5";"101409";"27";"9";"wieś";"stały";"Szkoła Podstawowa im. Władysława Łokietka w Rossoszycy, Rossoszyca ul. Sieradzka 7, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"1319";"1447";"469";"850";"0";"0";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"14";"6";"8";"0";"836";"68";"489";"36";"243"
"4f7c-68fc-d74d-0c69-adf2-8b41-4cf8-af1b";"101409";"27";"10";"wieś";"stały";"Szkoła Podstawowa, Włyń 10, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"760";"836";"276";"484";"0";"3";"0";"0";"0";"0";"0";"0";"0";"484";"0";"0";"484";"8";"0";"8";"0";"476";"41";"311";"16";"108"
"7602-25ab-c2fa-2786-1078-dac5-24ce-d83b";"101409";"27";"11";"wieś";"stały";"Szkoła Podstawowa, Raczków 23B, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"600";"660";"224";"376";"0";"0";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"7";"3";"4";"0";"369";"61";"218";"18";"72"
"5acc-be47-adce-5b89-c749-bea3-1af2-1c28";"101409";"27";"12";"miasto";"zakład leczniczy";"Centrum Psychiatryczne w Warcie, Sieradzka 3, 98-290 Warta";"gm. Warta";"sieradzki";"łódzkie";"462";"68";"404";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"58";"1";"0";"1";"0";"57";"4";"40";"1";"12"
"163c-6d47-073a-f315-382f-ee3c-7228-6de3";"101410";"27";"1";"wieś";"stały";"Publiczne Przedszkole we Wróblewie, Wróblew 55b, 98-285 Wróblew";"gm. Wróblew";"sieradzki";"łódzkie";"1606";"1750";"540";"1066";"0";"3";"1";"1";"0";"0";"0";"0";"1";"1066";"1";"0";"1066";"24";"6";"18";"0";"1042";"122";"633";"42";"245"
"e5f3-9e97-3594-234f-5e27-0508-f180-c7fe";"101410";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Słomkowie Mokrym, Słomków Mokry 23, 98-285 WRÓBLEW";"gm. Wróblew";"sieradzki";"łódzkie";"1107";"1218";"417";"690";"0";"4";"0";"0";"0";"0";"0";"0";"0";"690";"0";"0";"690";"16";"3";"13";"0";"674";"103";"400";"26";"145"
"b4fd-726a-df22-be8d-48dd-2cc1-95d2-8ab0";"101410";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Charłupi Wielkiej, Charłupia Wielka 116, 98-285 Wróblew";"gm. Wróblew";"sieradzki";"łódzkie";"1164";"1278";"466";"698";"0";"3";"0";"0";"0";"0";"0";"0";"0";"698";"0";"0";"698";"20";"7";"13";"0";"678";"60";"413";"34";"171"
"d256-f17d-6d0a-6621-3818-5dad-39d6-c01e";"101410";"27";"4";"wieś";"stały";"Szkoła Podstawowa w Wągłczewie, Wągłczew 4, 98-285 Wróblew";"gm. Wróblew";"sieradzki";"łódzkie";"583";"635";"160";"423";"0";"0";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"8";"5";"3";"0";"415";"64";"250";"21";"80"
"50df-6db3-a018-c5a8-2d79-de26-4227-9e65";"101411";"27";"1";"miasto";"stały";"Szkoła Podstawowa w Złoczewie, Burzenińska 4/6, 98-270 Złoczew";"gm. Złoczew";"sieradzki";"łódzkie";"1391";"1510";"510";"881";"0";"0";"0";"0";"0";"0";"0";"0";"0";"881";"0";"0";"881";"23";"10";"13";"0";"858";"102";"447";"27";"282"
"cae5-a9b0-13fc-963e-1d35-ba53-ca62-7a1e";"101411";"27";"2";"miasto";"stały";"Publiczne Gminazjum w Złoczewie, Szkolna 18, 98-270 Złoczew";"gm. Złoczew";"sieradzki";"łódzkie";"1113";"1214";"393";"720";"1";"13";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"15";"7";"8";"0";"705";"83";"373";"23";"226"
"9b38-b77c-a844-0a04-f99c-6772-4007-7399";"101411";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Broszkach, Broszki 4, 98-270 Złoczew";"gm. Złoczew";"sieradzki";"łódzkie";"340";"375";"141";"199";"1";"0";"0";"0";"0";"0";"0";"0";"0";"199";"0";"0";"199";"1";"0";"1";"0";"198";"20";"133";"14";"31"
