"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin BEŁBOT";"Sławomir Piotr RYBICKI";"Józef Franciszek WÓJCIK"
"da83-2ce3-ad24-9366-7101-a7c5-9bd0-145f";"221107";"64";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Dworcowa 2, 84-123 Połchowo";"gm. Puck";"pucki";"pomorskie";"997";"1073";"288";"709";"0";"4";"0";"0";"0";"0";"0";"0";"0";"709";"0";"0";"709";"15";"3";"12";"0";"694";"259";"333";"102"
"844a-779e-05f1-d5e6-0aba-254f-4f00-c637";"221107";"64";"4";"wieś";"stały";"Szkoła Podstawowa, Połczyno ul. Szkolna 21, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"997";"1092";"285";"712";"0";"4";"0";"0";"0";"0";"0";"0";"0";"712";"0";"0";"712";"18";"5";"13";"0";"694";"263";"332";"99"
"d556-5bfd-ed88-ad08-ac63-d62f-e44b-4b91";"221107";"64";"5";"wieś";"stały";"Szkoła Podstawowa, ul. Żarnowiecka 22, 84-107 Starzyno";"gm. Puck";"pucki";"pomorskie";"1744";"1881";"651";"1093";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1092";"0";"0";"1092";"22";"3";"19";"0";"1070";"526";"437";"107"
"1a7c-6e73-b7bf-631d-a943-9ece-c039-4e74";"221107";"64";"6";"wieś";"stały";"Wiejski Dom Kultury, Strzelno ul. Bałtycka 14, 84-103 Łebcz";"gm. Puck";"pucki";"pomorskie";"798";"853";"294";"504";"0";"3";"0";"0";"0";"0";"0";"0";"0";"504";"0";"0";"504";"14";"6";"8";"0";"490";"290";"138";"62"
"86d8-9139-e5da-0243-4ca1-d980-61ef-ea8d";"221107";"64";"7";"wieś";"stały";"Dom Kaszubski, Swarzewo ul. Ks. Pronobisa 11, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"757";"817";"220";"538";"0";"6";"0";"0";"0";"0";"0";"0";"0";"538";"0";"0";"538";"20";"5";"15";"0";"518";"213";"225";"80"
"741a-4534-a38a-052b-61bc-2c36-480f-eef1";"221107";"64";"8";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Żelistrzewo ul. Szkolna 1, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"1895";"2070";"483";"1412";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1412";"0";"0";"1412";"24";"11";"13";"0";"1388";"525";"661";"202"
"8db2-c986-b7b5-97a0-37d1-98e5-ef75-b18a";"221107";"64";"9";"wieś";"stały";"Szkoła Podstawowa, Rekowo Górne ul. Wiktora Czapiewskiego 1, 84-123 Połchowo";"gm. Puck";"pucki";"pomorskie";"898";"948";"292";"606";"0";"5";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"11";"1";"10";"0";"595";"188";"320";"87"
"7429-3265-5632-619a-b460-c6d4-50ec-de67";"221107";"64";"10";"wieś";"stały";"Wiejski Klub Kultury, Celbowo 4, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"900";"962";"370";"530";"0";"0";"0";"0";"0";"0";"0";"0";"0";"530";"0";"0";"530";"10";"5";"5";"0";"520";"266";"172";"82"
"dbac-14a0-9ec9-8503-2a8f-f621-f7d4-8e18";"221107";"64";"11";"wieś";"stały";"Szkoła Podstawowa, ul. Pucka 27, 84-103 Łebcz";"gm. Puck";"pucki";"pomorskie";"1348";"1467";"540";"808";"0";"0";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"17";"1";"16";"0";"791";"357";"333";"101"
"c1af-b0dc-c053-f5b8-e3b4-781b-c4c4-1c47";"221107";"64";"12";"wieś";"stały";"Szkoła Podstawowa, Gnieżdżewo ul. Dworcowa 6, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"899";"939";"338";"561";"0";"0";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"11";"4";"7";"0";"550";"298";"204";"48"
"4840-4455-948c-1d4e-b114-ffd0-4b65-dde6";"221107";"64";"13";"wieś";"stały";"Park Kulturowy Osada Łowców Fok, Rzucewo 24, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"650";"723";"275";"375";"0";"5";"0";"0";"0";"0";"0";"0";"0";"375";"0";"0";"375";"5";"0";"5";"0";"370";"140";"170";"60"
"3c34-b2a7-5768-cc64-f09e-0e91-6faf-bc50";"221107";"64";"14";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Smolno ul. Pucka 46, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"650";"702";"249";"401";"0";"1";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"6";"3";"3";"0";"395";"156";"181";"58"
"5d79-2d39-b138-8e36-f58c-52b1-d24f-e9eb";"221107";"64";"15";"wieś";"stały";"Szkoła Podstawowa, Darzlubie ul. Pucka 74, 84-100 Puck";"gm. Puck";"pucki";"pomorskie";"649";"670";"254";"395";"0";"2";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"8";"2";"6";"0";"387";"183";"150";"54"
"922a-e9bd-680e-e9bf-2c70-3f64-7578-01ad";"221107";"64";"16";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Mieroszyno ul. Szkolna 2, 84-103 Łebcz";"gm. Puck";"pucki";"pomorskie";"649";"728";"198";"451";"0";"7";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"6";"1";"5";"0";"445";"237";"157";"51"
