"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zygmunt Mieczysław FRANKIEWICZ";"Krystian Karol PROBIERZ"
"f30d-0d12-35ed-5eb8-21dc-7b31-91a3-19a5";"240503";"70";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Powstańców Śląskich 41, 44-186 Gierałtowice";"gm. Gierałtowice";"gliwicki";"śląskie";"1100";"1201";"323";"777";"0";"1";"0";"0";"0";"0";"0";"0";"0";"777";"0";"0";"777";"23";"3";"20";"0";"754";"436";"318"
"fc6c-5159-bdb7-8b91-01fe-1d11-bc58-d81c";"240503";"70";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Szkolna 4, 44-178 Przyszowice";"gm. Gierałtowice";"gliwicki";"śląskie";"1200";"1341";"304";"896";"0";"3";"0";"0";"0";"0";"0";"0";"0";"896";"0";"0";"896";"15";"6";"9";"0";"881";"489";"392"
"a0c8-fb4a-c011-f380-4877-2cae-5e5b-ad6b";"240503";"70";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Szkolna 4, 44-178 Przyszowice";"gm. Gierałtowice";"gliwicki";"śląskie";"1200";"1342";"276";"924";"1";"6";"0";"0";"0";"0";"0";"0";"0";"924";"0";"0";"924";"28";"12";"16";"0";"896";"508";"388"
"413e-8d3c-9bdd-68bb-dfc2-75a6-1736-141a";"240503";"70";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Zwycięstwa 44, 44-177 Paniówki";"gm. Gierałtowice";"gliwicki";"śląskie";"2000";"2219";"399";"1601";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1601";"0";"0";"1601";"34";"15";"19";"0";"1567";"731";"836"
"69de-0905-e8ce-efd1-13e6-d3f0-aaea-0d87";"240503";"70";"6";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Chudów ul. Szkolna 52, 44-177 Paniówki";"gm. Gierałtowice";"gliwicki";"śląskie";"1200";"1307";"344";"856";"1";"1";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"18";"8";"10";"0";"838";"395";"443"
"95a9-1eca-6b89-19e0-7e0b-f148-d0c5-5f0c";"240504";"70";"1";"wieś";"stały";"Świetlica Wiejska w Nieborowicach, Nieborowice ul. Główna 50, 44-144 Żernica";"gm. Pilchowice";"gliwicki";"śląskie";"800";"869";"187";"613";"0";"2";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"8";"2";"6";"0";"605";"372";"233"
"14b5-a949-43bd-7493-7804-cf25-f811-54ae";"240504";"70";"2";"wieś";"stały";"""Młynówka"" w Leboszowicach, Leboszowice ul. Smolnicka 6A, 44-145 Pilchowice";"gm. Pilchowice";"gliwicki";"śląskie";"280";"313";"67";"213";"0";"0";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"3";"0";"3";"0";"210";"134";"76"
"061c-174f-48db-15d9-1842-f62b-c34c-3076";"240504";"70";"3";"wieś";"stały";"Sala w budynku przy ul. Damrota 5 w Pilchowicach, ul. Damrota 5, 44-145 Pilchowice";"gm. Pilchowice";"gliwicki";"śląskie";"2250";"2478";"824";"1426";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1413";"0";"0";"1413";"25";"20";"5";"0";"1388";"925";"463"
"71d1-b771-23e7-4222-2e55-7151-774c-1909";"240504";"70";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Stanicy, Stanica ul. Gliwicka 18, 44-145 Pilchowice";"gm. Pilchowice";"gliwicki";"śląskie";"1100";"1214";"479";"621";"0";"0";"0";"0";"0";"0";"0";"0";"0";"621";"0";"0";"621";"19";"3";"16";"0";"602";"303";"299"
"0e96-5db7-9624-2153-a09f-3e47-7b3d-5f05";"240504";"70";"5";"wieś";"stały";"Świetlica Wiejska w Wilczy, ul. Karola Miarki 123, 44-189 Wilcza";"gm. Pilchowice";"gliwicki";"śląskie";"1450";"1597";"452";"998";"0";"1";"1";"1";"0";"0";"0";"0";"1";"998";"1";"0";"998";"20";"3";"17";"0";"978";"429";"549"
