"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof KWIATKOWSKI";"Marek Sławomir MARKIEWICZ";"Małgorzata Krystyna NIEWIADOMSKA-CUDAK"
"3cd4-f4f1-45a6-693f-e8b7-a308-2163-e9cd";"106101";"24";"302";"miasto";"zakład karny";"Zakład Karny Nr 2 w Łodzi, ul. Kraszewskiego 1/5, 93-161 Łódź";"m. Łódź";"Łódź";"łódzkie";"287";"205";"154";"133";"0";"1";"0";"0";"0";"0";"0";"0";"0";"133";"0";"0";"133";"10";"3";"7";"0";"123";"40";"41";"42"
"a90e-e7ce-fee5-1453-c17b-8af6-4dbf-c452";"106101";"24";"312";"miasto";"dom pomocy społecznej";"Centrum Rehabilitacyjno-Opiekuńcze Dom Pomocy Społecznej w Łodzi, ul. Przybyszewskiego 255/267, 92-338 Łódź";"m. Łódź";"Łódź";"łódzkie";"596";"564";"400";"196";"0";"0";"0";"0";"0";"0";"0";"0";"0";"196";"0";"0";"196";"18";"0";"18";"0";"178";"43";"103";"32"
"163c-32ec-a40a-988f-45b5-d1dd-2611-a460";"106101";"24";"313";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej Uniwersytecki Szpital Kliniczny im. Wojskowej Akademii Medycznej Uniwersytetu Medycznego w Łodzi Centralny Szpital Weteranów, ul. Pieniny 30, 92-115 Łódź";"m. Łódź";"Łódź";"łódzkie";"167";"141";"128";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"39";"1";"0";"1";"0";"38";"10";"18";"10"
"3251-4c9d-7f03-f96f-0d1b-9ee2-9760-3db8";"106101";"24";"314";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej Centralny Szpital Kliniczny Uniwersytetu Medycznego w Łodzi Kliniki Psychiatryczne, ul. Czechosłowacka 8/10, 92-216 Łódź";"m. Łódź";"Łódź";"łódzkie";"184";"120";"129";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"0";"0";"55";"1";"0";"1";"0";"54";"21";"26";"7"
"182b-bcba-a064-3112-eaf0-e29a-906f-0b3b";"106101";"24";"315";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej Centralny Szpital Kliniczny Uniwersytetu Medycznego w Łodzi Centrum Kliniczno-Dydaktyczne, ul. Pomorska 251, 92-213 Łódź";"m. Łódź";"Łódź";"łódzkie";"366";"281";"208";"158";"0";"2";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"3";"0";"3";"0";"155";"41";"73";"41"
"e24d-4696-f2eb-3feb-4b11-91cf-c331-abe8";"106101";"24";"316";"miasto";"zakład leczniczy";"Miejskie Centrum Medyczne im. dr. Karola Jonschera w Łodzi, ul. Milionowa 14, 93-113 Łódź";"m. Łódź";"Łódź";"łódzkie";"287";"154";"209";"78";"0";"1";"0";"0";"0";"0";"0";"0";"0";"78";"0";"0";"78";"4";"0";"4";"0";"74";"23";"31";"20"
"b5f7-fb57-147b-0434-950d-062f-fa24-0c61";"106101";"24";"317";"miasto";"zakład karny";"Zakład Karny Nr 1 w Łodzi, ul. Beskidzka 54, 91-612 Łódź";"m. Łódź";"Łódź";"łódzkie";"551";"501";"379";"172";"0";"0";"0";"0";"0";"0";"0";"0";"0";"172";"0";"0";"172";"8";"0";"8";"0";"164";"62";"31";"71"
"b574-ef0c-44dc-4cbc-08bd-3c08-96d5-3134";"";"44";"89";"zagranica";"zagranica";"Al Asad Air Base (AAAB), Al Asad, Republika Iraku";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"baef-dd2d-5baa-ead8-92bb-be2c-9a51-a1e2";"";"44";"119";"zagranica";"zagranica";"Novo Selo, Camp Maréshal de Lattre de Tassigny Novo Selo/Maxhunaj, Novo Selo/Maxhunaj, Republika Kosowa";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"8a16-233c-3cec-586f-4c5b-9e39-863f-1b4c";"";"44";"87";"zagranica";"zagranica";"Irbil, Agencja Konsularna RP Junction of Texas and Hawaii Street, 250, American Village, Khanzad, Irbil, Irbil, Republika Iraku";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"fa31-6795-b9fb-c775-0559-2e68-10de-652d";"";"44";"88";"zagranica";"zagranica";"At-Taji, Camp Taji Joint Operations Base in Taji, At-Taji, Republika Iraku";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"36ff-c714-1fd9-06a0-b9e4-4cb3-2031-a154";"";"44";"186";"zagranica";"zagranica";"Krajowa, Cercul Militar Craiova Strada Marin Sorescu nr 2 200642 Craiova, Craiova, Rumunia";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"77ff-e659-096f-60b8-dd11-2683-a7fa-42a7";"";"44";"1";"zagranica";"zagranica";"Airfield Building 13982 Disney&California Loop (South), APO AE09354, Bagram, Islamska Republika Afganistanu";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
