"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar Jerzy KRASKA";"Janina Ewa ORZEŁOWSKA"
"ff9d-4f76-bf1a-eafe-e8a7-06ae-6e10-d69d";"141006";"48";"3";"wieś";"stały";"Szkoła Podstawowa w Starych Szpakach, Stare Szpaki 36, 08-205 Stara Kornica";"gm. Stara Kornica";"łosicki";"mazowieckie";"571";"623";"193";"378";"0";"5";"0";"0";"0";"0";"0";"0";"0";"378";"0";"0";"378";"5";"1";"4";"0";"373";"233";"140"
"2fb4-1696-1290-7753-6b17-8c70-5cc5-015d";"141006";"48";"4";"wieś";"stały";"Szkoła Podstawowa im. Marii Konopnickiej w Kobylanach, Kobylany 114, 08-205 Stara Kornica";"gm. Stara Kornica";"łosicki";"mazowieckie";"503";"537";"189";"314";"1";"0";"1";"1";"1";"0";"0";"0";"0";"314";"0";"0";"314";"10";"1";"9";"0";"304";"209";"95"
"f407-19b5-6916-15e1-81ff-5cba-ec0d-4aaa";"141006";"48";"5";"wieś";"stały";"Punkt Filialny w Koszelówce, Koszelówka 55, 08-205 Stara Kornica";"gm. Stara Kornica";"łosicki";"mazowieckie";"666";"722";"286";"380";"2";"0";"0";"0";"0";"0";"0";"0";"0";"380";"0";"0";"380";"8";"1";"7";"0";"372";"264";"108"
"05cb-bd49-07f5-1e00-0de1-4772-a531-b925";"142601";"48";"1";"wieś";"stały";"Wiejski Dom Kultury w Domanicach, Domanice 52, 08-113 Domanice";"gm. Domanice";"siedlecki";"mazowieckie";"559";"611";"176";"383";"0";"0";"0";"0";"0";"0";"0";"0";"0";"383";"0";"0";"383";"10";"3";"7";"0";"373";"248";"125"
"5ffb-6675-836c-19b0-7868-1055-394e-c891";"142601";"48";"2";"wieś";"stały";"Szkoła Podstawowa w Domanicach-Kolonii, Domanice-Kolonia 18, 08-113 Domanice";"gm. Domanice";"siedlecki";"mazowieckie";"651";"707";"205";"446";"0";"0";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"5";"1";"4";"0";"441";"303";"138"
"5e11-3ac5-fdba-49b3-7a6e-d6bd-8f98-5008";"142601";"48";"3";"wieś";"stały";"Szkoła Podstawowa w Olszycu Szlacheckim, Olszyc Szlachecki 25, 08-113 Domanice";"gm. Domanice";"siedlecki";"mazowieckie";"699";"753";"242";"457";"0";"2";"0";"0";"0";"0";"0";"0";"0";"457";"0";"0";"457";"11";"2";"9";"0";"446";"345";"101"
"a980-672d-a580-d7b8-c735-7b98-e31e-7738";"142602";"48";"1";"wieś";"stały";"Szkoła Podstawowa w Nowym Bartkowie, Nowy Bartków 19, 08-108 Korczew";"gm. Korczew";"siedlecki";"mazowieckie";"489";"538";"203";"286";"4";"1";"0";"0";"0";"0";"0";"0";"0";"286";"0";"0";"286";"9";"1";"8";"0";"277";"169";"108"
"7e90-63eb-e613-439e-f0e3-93d1-504c-7791";"142602";"48";"2";"wieś";"stały";"Świetlica w Czaplach Górnych, Czaple Górne 26b, 08-108 Korczew";"gm. Korczew";"siedlecki";"mazowieckie";"340";"372";"122";"218";"0";"0";"0";"0";"0";"0";"0";"0";"0";"218";"0";"0";"218";"7";"1";"6";"0";"211";"138";"73"
"97db-745e-b0ee-3288-b7f0-03c3-a107-cdbc";"142602";"48";"3";"wieś";"stały";"Zespół Placówek Oświatowych w Korczewie, ul. Szkolna 4, 08-108 Korczew";"gm. Korczew";"siedlecki";"mazowieckie";"723";"813";"280";"443";"3";"16";"0";"0";"0";"0";"0";"0";"0";"443";"0";"0";"443";"11";"6";"5";"0";"432";"185";"247"
"de31-0879-6904-3d5b-3ee8-29bd-c78d-5031";"142602";"48";"4";"wieś";"stały";"Szkoła Podstawowa w Drażniewie, Drażniew 53, 08-108 Korczew";"gm. Korczew";"siedlecki";"mazowieckie";"450";"500";"171";"279";"0";"3";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"6";"0";"6";"0";"273";"160";"113"
"29c8-7afc-3a69-97f8-d4ea-e06e-11c5-62ec";"142603";"48";"1";"wieś";"stały";"Urząd Gminy w Kotuniu, Siedlecka 56C, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"1744";"1911";"629";"1115";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1113";"0";"0";"1113";"37";"6";"31";"0";"1076";"587";"489"
"508d-4ddd-b596-70a3-7cb2-17a3-2fa1-1e2e";"142603";"48";"2";"wieś";"stały";"Świetlica Wiejska Żeliszew Podkościelny, Żeliszew Podkościelny 11, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"1080";"1184";"430";"650";"0";"2";"0";"0";"0";"0";"0";"0";"0";"650";"0";"0";"650";"22";"4";"18";"0";"628";"408";"220"
"cb64-5cd2-abee-12ba-010a-d9e7-bc7f-679f";"142603";"48";"3";"wieś";"stały";"Zespół Szkół Bojmie, Bojmie 33, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"812";"895";"310";"502";"2";"8";"0";"0";"0";"0";"0";"0";"0";"502";"0";"0";"502";"9";"7";"2";"0";"493";"300";"193"
"ce1a-cf6b-6e19-dff9-0a4d-610a-8214-e6b1";"142603";"48";"4";"wieś";"stały";"Przedszkole Niepubliczne „Leśne Skrzaty” Koszewnica, Koszewnica 36, 08-130 Kotuń";"gm. Kotuń";"siedlecki";"mazowieckie";"811";"900";"311";"500";"2";"5";"0";"0";"0";"0";"0";"0";"0";"500";"0";"0";"500";"13";"4";"9";"0";"487";"341";"146"
