"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Konrad Stanisław RĘKAS";"Rafał Artur STACHURA";"Józef ZAJĄC"
"871c-a2f3-2d66-0725-7f02-d01d-38e6-a937";"060311";"18";"8";"wieś";"stały";"Budynek po Szkole Podstawowej, Bezek 59, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"710";"783";"368";"342";"0";"3";"0";"0";"0";"0";"0";"0";"0";"342";"0";"0";"342";"8";"1";"7";"0";"334";"27";"68";"239"
"d9f8-7717-e0c0-e6fb-f6e5-e8e4-8f80-135a";"060311";"18";"9";"miasto";"stały";"Sala posiedzeń w Urzędzie Miejskim w Siedliszczu, ul. Szpitalna 15A, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"1280";"1413";"579";"701";"0";"16";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"30";"5";"25";"0";"671";"55";"197";"419"
"611b-c97c-7598-adb9-1541-5968-f4cf-187e";"060312";"18";"1";"wieś";"stały";"Gminna Biblioteka Publiczna w Wierzbicy Filia w Ochoży, Ochoża 50, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"210";"228";"107";"103";"0";"4";"0";"0";"0";"0";"0";"0";"0";"103";"0";"0";"103";"3";"1";"2";"0";"100";"11";"23";"66"
"0aa3-3dbe-f9b4-3ce9-df96-f579-0a29-422c";"060312";"18";"2";"wieś";"stały";"Wiejski Dom Kultury w Olchowcu, Olchowiec 39a, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"310";"337";"135";"175";"0";"0";"0";"0";"0";"0";"0";"0";"0";"175";"0";"0";"175";"7";"0";"7";"0";"168";"10";"25";"133"
"3344-e753-a8e6-97ec-a127-33fd-2ffb-5b10";"060312";"18";"3";"wieś";"stały";"Wiejski Dom Kultury w Syczynie, Syczyn 62, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"330";"366";"166";"164";"0";"1";"0";"0";"0";"0";"0";"0";"0";"164";"0";"0";"164";"4";"1";"3";"0";"160";"13";"28";"119"
"05a0-910e-8be8-6a70-374d-1607-71ce-78ff";"060312";"18";"4";"wieś";"stały";"Urząd Gminy Wierzbica, Wierzbica-Osiedle ul. Włodawska 1, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"1910";"2051";"831";"1079";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1079";"0";"0";"1079";"11";"2";"9";"0";"1068";"57";"239";"772"
"3752-bbb4-8f3f-315d-83af-6efa-8bc3-d6e9";"060312";"18";"5";"wieś";"stały";"Wiejski Dom Kultury w Chylinie, Chylin 31a, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"251";"271";"108";"143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"143";"0";"0";"143";"1";"0";"1";"0";"142";"9";"24";"109"
"7902-48fc-6494-ddbd-6627-8645-eced-7ea1";"060312";"18";"6";"wieś";"stały";"Szkoła Filialna w Wólce Tarnowskiej, Wólka Tarnowska 53b, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"530";"571";"295";"235";"1";"0";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"7";"0";"7";"0";"228";"16";"58";"154"
"85e2-5d8e-fb96-0c59-cc89-06b9-21db-5380";"060312";"18";"7";"wieś";"stały";"Szkoła Podstawowa w Święcicy, Święcica 58, 22-150 Wierzbica";"gm. Wierzbica";"chełmski";"lubelskie";"230";"266";"97";"133";"0";"6";"0";"0";"0";"0";"0";"0";"0";"133";"0";"0";"133";"2";"1";"1";"0";"131";"10";"18";"103"
"ab44-08c5-2bdd-499c-8b18-159b-8ea3-ed92";"060313";"18";"1";"wieś";"stały";"Remiza OSP, Turowiec 35, 22-120 Wojsławice";"gm. Wojsławice";"chełmski";"lubelskie";"580";"640";"305";"275";"0";"4";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"4";"0";"4";"0";"271";"15";"47";"209"
"be1e-eee1-aea4-64d4-d7a6-40d4-0e7f-4a9c";"060313";"18";"2";"wieś";"stały";"Remizo-świetlica, Nowy Majdan 70, 22-120 Wojsławice";"gm. Wojsławice";"chełmski";"lubelskie";"370";"401";"147";"223";"0";"1";"0";"0";"0";"0";"0";"0";"0";"223";"0";"0";"223";"5";"2";"3";"0";"218";"11";"26";"181"
"5bd3-346e-91c8-23c9-413b-ff6b-c5e7-eadb";"060313";"18";"3";"wieś";"stały";"Dom Kultury, Uchańska 9, 22-120 Wojsławice";"gm. Wojsławice";"chełmski";"lubelskie";"1171";"1265";"503";"668";"2";"5";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"12";"2";"10";"0";"656";"34";"136";"486"
"1cd7-6c2e-7e7a-b35c-d256-2b09-030d-6172";"060313";"18";"4";"wieś";"stały";"Remiza OSP, Stary Majdan 40, 22-120 Wojsławice";"gm. Wojsławice";"chełmski";"lubelskie";"290";"311";"180";"110";"0";"1";"0";"0";"0";"0";"0";"0";"0";"110";"0";"0";"110";"3";"0";"3";"0";"107";"13";"38";"56"
"c96d-4898-c9ab-a5b6-e6ee-4326-6704-7355";"060313";"18";"5";"wieś";"stały";"Ośrodek Trzech Kultur, Majdan Ostrowski 100, 22-120 Wojsławice";"gm. Wojsławice";"chełmski";"lubelskie";"510";"552";"277";"233";"0";"1";"0";"0";"0";"0";"0";"0";"0";"233";"0";"0";"233";"5";"0";"5";"0";"228";"14";"41";"173"
"3849-439d-edba-0e85-223d-4837-918b-bc9c";"060314";"18";"1";"wieś";"stały";"Świetlica wiejska, Roztoka 14, 22-114 Żmudź";"gm. Żmudź";"chełmski";"lubelskie";"480";"528";"233";"247";"1";"1";"0";"0";"0";"0";"0";"0";"0";"247";"0";"0";"247";"7";"0";"7";"0";"240";"13";"38";"189"
"386b-a568-e309-771b-be5a-b654-1b3e-6c49";"060314";"18";"2";"wieś";"stały";"Szkoła Podstawowa w Żmudzi, Kasztanowa 7, 22-114 Żmudź";"gm. Żmudź";"chełmski";"lubelskie";"1148";"1262";"540";"608";"4";"4";"0";"0";"0";"0";"0";"0";"0";"608";"0";"0";"608";"14";"5";"9";"0";"594";"37";"152";"405"
"f903-784e-fc22-3c4b-b95d-7b7f-e3ff-d3f2";"060314";"18";"3";"wieś";"stały";"Budynek byłej szkoły w Leszczanach, Leszczany ul. Szkolna 2, 22-114 Żmudź";"gm. Żmudź";"chełmski";"lubelskie";"700";"755";"383";"317";"0";"1";"0";"0";"0";"0";"0";"0";"0";"317";"0";"0";"317";"7";"1";"6";"0";"310";"24";"72";"214"
"ca9a-fceb-c18d-8050-e211-cd1b-3946-d494";"060315";"18";"1";"wieś";"stały";"Świetlica wiejska, Rybie 14a, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"420";"451";"238";"182";"0";"0";"0";"0";"0";"0";"0";"0";"0";"182";"0";"0";"182";"2";"0";"2";"0";"180";"11";"25";"144"
"8b1d-adf1-3776-6622-f2ef-622b-8395-25aa";"060315";"18";"2";"miasto i wieś";"stały";"Budynek Gminnej Biblioteki Publicznej, ul. Zwierzyńskiego 8C, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"1309";"1426";"580";"729";"0";"6";"1";"1";"0";"0";"0";"0";"1";"730";"1";"0";"730";"14";"6";"8";"0";"716";"74";"214";"428"
"f8fb-3f4f-dcba-6798-ffdc-45b4-d3d3-238c";"060315";"18";"3";"wieś";"stały";"Świetlica wiejska, Siedliszczki 1a, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"780";"868";"402";"378";"0";"0";"0";"0";"0";"0";"0";"0";"0";"378";"0";"0";"378";"6";"0";"6";"0";"372";"18";"64";"290"
"aff1-5123-8ded-f7a0-a47a-9b2b-ab7d-db89";"060315";"18";"4";"wieś";"stały";"Świetlica wiejska, Leonów 56, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"720";"794";"371";"349";"0";"2";"0";"0";"0";"0";"0";"0";"0";"349";"0";"0";"349";"15";"2";"13";"0";"334";"26";"51";"257"
"653a-ca18-6372-0954-46db-d010-3e4a-b310";"060315";"18";"5";"wieś";"stały";"Szkoła Podstawowa, Zawadówka 45, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"309";"335";"161";"148";"0";"1";"0";"0";"0";"0";"0";"0";"0";"148";"0";"0";"148";"7";"1";"6";"0";"141";"13";"48";"80"
"db83-6a25-069c-dbfe-468b-385a-1a5b-effd";"060315";"18";"6";"wieś";"stały";"Dom przyjęć, Marysin 3, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"410";"452";"223";"187";"0";"4";"0";"0";"0";"0";"0";"0";"0";"187";"0";"0";"187";"2";"1";"1";"0";"185";"14";"60";"111"
"b5b6-0bd1-e391-453e-08ca-2246-1e70-1d8d";"060315";"18";"7";"miasto i wieś";"stały";"Gminny Ośrodek Kultury, ul. Fabryczna 13, 22-360 Rejowiec";"gm. Rejowiec";"chełmski";"lubelskie";"721";"799";"358";"363";"0";"0";"0";"0";"0";"0";"0";"0";"0";"363";"0";"0";"363";"10";"2";"8";"0";"353";"29";"107";"217"
"df62-5201-1084-b771-406b-8542-485d-9cb8";"060601";"18";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 5 im. Orląt Lwowskich w Krasnymstawie, ul. Mostowa 14, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"840";"899";"344";"496";"1";"2";"0";"0";"0";"0";"0";"0";"0";"496";"0";"0";"496";"6";"2";"4";"0";"490";"51";"235";"204"
"c130-2b31-acd3-3593-b5bc-2ed9-15a2-9642";"060601";"18";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa nr 5 im. Orląt Lwowskich w Krasnymstawie, ul. Mostowa 14, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"1320";"1301";"665";"655";"3";"10";"0";"0";"0";"0";"0";"0";"0";"655";"0";"0";"655";"17";"4";"13";"0";"638";"61";"220";"357"
"b93c-4f76-5652-f1d2-643a-9f5d-dba3-e49d";"060601";"18";"3";"miasto";"stały";"Strażnica OSP Zastawie, ul. Stokowa 74a, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"721";"768";"350";"371";"0";"1";"0";"0";"0";"0";"0";"0";"0";"371";"0";"0";"371";"7";"2";"5";"0";"364";"31";"119";"214"
"4d66-7142-3cef-8f14-d234-382d-549f-0c0c";"060601";"18";"4";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy im. Janiny Doroszewskiej, ul. PCK 2, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"720";"778";"332";"388";"4";"3";"0";"0";"0";"0";"0";"0";"0";"388";"0";"0";"388";"9";"4";"5";"0";"379";"32";"135";"212"
"bd6f-df08-d1e0-5307-d27d-9d98-30b8-5e7f";"060601";"18";"5";"miasto";"stały";"Okręgowa Spółdzielnia Mleczarska, ul. Borowa 4, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"920";"1023";"361";"559";"1";"0";"0";"0";"0";"0";"0";"0";"0";"559";"0";"0";"559";"5";"5";"0";"0";"554";"51";"219";"284"
"b843-3cee-f41a-db86-4c78-d790-bd1c-49f4";"060601";"18";"6";"miasto";"stały";"Publiczna Szkoła Podstawowa nr 4 im. Jana Pawła II w Krasnymstawie, ul. Marszałka Piłsudskiego 21, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"790";"851";"294";"496";"0";"1";"0";"0";"0";"0";"0";"0";"0";"496";"0";"0";"496";"14";"0";"14";"0";"482";"43";"200";"239"
"4a60-50b2-2edd-32be-f848-ac99-93cf-05de";"060601";"18";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 im. Adama Mickiewicza w Krasnymstawie, ul. Poniatowskiego 37, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"991";"1060";"367";"624";"0";"2";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"11";"1";"10";"0";"613";"48";"223";"342"
"636d-7950-dc06-c1ac-d731-cc8e-c72d-73e8";"060601";"18";"8";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 im. Adama Mickiewicza w Krasnymstawie, ul. Poniatowskiego 37, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"750";"795";"217";"533";"1";"3";"0";"0";"0";"0";"0";"0";"0";"533";"0";"0";"533";"6";"6";"0";"0";"527";"39";"249";"239"
"a376-5c68-1722-f392-e5bb-87d3-96a6-8d7f";"060601";"18";"9";"miasto";"stały";"Krasnostawski Dom Kultury, ul. Okrzei 10, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"961";"1034";"355";"606";"0";"10";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"11";"6";"5";"0";"595";"42";"251";"302"
"7fd6-be93-8d67-d987-4e67-1ac8-7359-4dc1";"060601";"18";"10";"miasto";"stały";"Krasnostawski Dom Kultury, ul. Okrzei 10, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"821";"890";"347";"474";"0";"0";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"5";"0";"5";"0";"469";"30";"209";"230"
"f372-fe41-8102-0415-55e3-36a7-4a44-d9f6";"060601";"18";"11";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Okrzei 23, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"1090";"1175";"398";"692";"4";"2";"0";"0";"0";"0";"0";"0";"0";"692";"0";"0";"692";"20";"4";"16";"0";"672";"50";"290";"332"
"9388-bf34-578e-50b6-0e2b-4680-3f40-3c57";"060601";"18";"12";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Okrzei 23, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"850";"915";"344";"506";"0";"0";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"12";"2";"10";"0";"494";"40";"171";"283"
"0550-0cf5-e16f-2480-4e80-af69-7e1a-56f2";"060601";"18";"13";"miasto";"stały";"Przedszkole nr 8 im. Teatralna Ósemka, ul. Tokarzewskiego 49, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"1080";"1124";"421";"659";"0";"5";"0";"0";"0";"0";"0";"0";"0";"659";"0";"0";"659";"18";"6";"12";"0";"641";"54";"301";"286"
"77e8-776c-2df1-8f0d-a72d-ad38-f2cd-a4fa";"060601";"18";"14";"miasto";"stały";"Społeczna Szkoła Podstawowa im. Hetmana Jana Zamoyskiego Towarzystwa Wiedzy Powszechnej w Krasnymstawie, ul. Odrodzenia 45, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"1230";"1322";"385";"845";"1";"5";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"22";"9";"13";"0";"823";"70";"369";"384"
"1788-719c-a3ea-aaeb-0aee-d945-9dcf-b972";"060601";"18";"15";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 4 im. Jana Pawła II w Krasnymstawie, Marszałka Piłsudskiego 21, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"911";"987";"383";"528";"0";"2";"0";"0";"0";"0";"0";"0";"0";"528";"0";"0";"528";"10";"6";"4";"0";"518";"54";"203";"261"
"21c4-6f9c-2705-c16e-4985-7ce6-b391-7e97";"060601";"18";"16";"miasto";"zakład leczniczy";"Szpital SP ZOZ, Głowackiego 3, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"200";"148";"131";"69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"69";"0";"0";"69";"5";"0";"5";"0";"64";"4";"14";"46"
"ea8a-ef2d-b93a-a723-532f-ff2e-c670-d32f";"060601";"18";"17";"miasto";"areszt śledczy";"Areszt Śledczy, Poniatowskiego 27, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"270";"261";"189";"81";"0";"0";"0";"0";"0";"0";"0";"0";"0";"81";"0";"0";"81";"3";"0";"3";"0";"78";"24";"35";"19"
"0432-7416-81ca-6332-e061-c109-281d-8068";"060601";"18";"18";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, Kwiatowa 1, 22-300 Krasnystaw";"m. Krasnystaw";"krasnostawski";"lubelskie";"140";"132";"99";"41";"0";"0";"0";"0";"0";"0";"0";"0";"0";"41";"0";"0";"41";"11";"0";"11";"0";"30";"12";"5";"13"
"1422-8e6b-a163-eaec-9a34-a2ad-e96f-bfbb";"060602";"18";"1";"wieś";"stały";"Świetlica Wiejska w Fajsławicach, Fajsławice 107, 21-060 Fajsławice";"gm. Fajsławice";"krasnostawski";"lubelskie";"1020";"1129";"356";"664";"2";"36";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"19";"3";"16";"0";"645";"83";"162";"400"
"7703-946a-68a4-35ef-d3b8-b0f3-449a-7914";"060602";"18";"2";"wieś";"stały";"Remiza OSP w Suchodołach, Suchodoły 105, 21-060 Fajsławice";"gm. Fajsławice";"krasnostawski";"lubelskie";"571";"623";"203";"368";"2";"2";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"9";"1";"8";"0";"359";"27";"61";"271"
"6038-a713-e743-5c42-7b67-9d01-b25b-2d14";"060602";"18";"3";"wieś";"stały";"Remiza OSP w Siedliskach Drugich, Siedliska Drugie, 21-060 Fajsławice";"gm. Fajsławice";"krasnostawski";"lubelskie";"929";"1025";"333";"596";"6";"0";"0";"0";"0";"0";"0";"0";"0";"596";"0";"0";"596";"9";"2";"7";"0";"587";"46";"85";"456"
"5a53-33e3-23da-bd84-0ae4-3778-1c24-a70b";"060602";"18";"4";"wieś";"stały";"Budynek po b. Szkole Podstawowej w Boniewie, Boniewo 43, 21-060 Fajsławice";"gm. Fajsławice";"krasnostawski";"lubelskie";"430";"472";"181";"249";"0";"0";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"5";"1";"4";"0";"244";"29";"54";"161"
"b902-0d45-f8ae-ed25-bac6-c795-edfe-749a";"060602";"18";"5";"wieś";"stały";"Remiza OSP w Woli Idzikowskiej, Wola Idzikowska 42, 21-060 Fajsławice";"gm. Fajsławice";"krasnostawski";"lubelskie";"510";"560";"163";"347";"2";"0";"0";"0";"0";"0";"0";"0";"0";"347";"0";"0";"347";"6";"0";"6";"0";"341";"34";"53";"254"
"0873-8a8f-6a35-6f5e-61e5-82b0-360a-ee34";"060603";"18";"1";"wieś";"stały";"Centrum Społeczno-Kulturalne, Gorzków-Osada Nadrzeczna 4, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"870";"942";"400";"470";"3";"1";"0";"0";"0";"0";"0";"0";"0";"470";"0";"0";"470";"10";"1";"9";"0";"460";"60";"135";"265"
"31f7-8237-b1f1-5013-1a50-5eb9-4b42-debf";"060603";"18";"2";"wieś";"stały";"Remiza OSP, Orchowiec 180, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"470";"519";"239";"231";"1";"0";"1";"1";"0";"0";"0";"0";"1";"232";"1";"0";"232";"9";"1";"8";"0";"223";"25";"44";"154"
"44a0-233f-ca0d-0e67-dd1a-3320-3544-3279";"060603";"18";"3";"wieś";"stały";"Remizo-świetlica, Wielkopole 55, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"390";"433";"175";"215";"0";"1";"0";"0";"0";"0";"0";"0";"0";"215";"0";"0";"215";"5";"1";"4";"0";"210";"15";"68";"127"
"a7fe-1812-a2bd-0dfd-7535-495c-86c8-008b";"060603";"18";"4";"wieś";"stały";"Remiza OSP, Piaski Szlacheckie 25A, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"230";"256";"103";"127";"2";"2";"0";"0";"0";"0";"0";"0";"0";"127";"0";"0";"127";"1";"0";"1";"0";"126";"11";"17";"98"
"d68c-7979-e64a-50d0-c511-59cb-c513-26e0";"060603";"18";"5";"wieś";"stały";"Remiza OSP, Borów 114, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"480";"524";"205";"275";"1";"1";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"5";"0";"5";"0";"270";"24";"39";"207"
"f9a7-a9b9-19d5-46d5-4d12-bd07-9919-c0f5";"060603";"18";"6";"wieś";"stały";"Remiza OSP, Antoniówka 38, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"90";"100";"41";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"0";"0";"49";"2";"1";"1";"0";"47";"5";"10";"32"
"b282-349e-8357-34c7-e210-d794-3f9f-b492";"060603";"18";"7";"wieś";"stały";"Świetlica Wiejska, Bobrowe 84, 22-315 Gorzków";"gm. Gorzków";"krasnostawski";"lubelskie";"160";"172";"50";"110";"1";"3";"0";"0";"0";"0";"0";"0";"0";"110";"0";"0";"110";"0";"0";"0";"0";"110";"4";"30";"76"
"d2a4-9614-190b-16c4-c25c-2613-4ea4-d591";"060604";"18";"1";"wieś";"stały";"Izbica, Gminna 4, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"1378";"1499";"613";"765";"2";"12";"0";"0";"0";"0";"0";"0";"0";"765";"0";"0";"765";"26";"4";"22";"0";"739";"79";"240";"420"
"2e17-f4df-510a-e742-0ae6-7c3e-ebdc-4688";"060604";"18";"2";"wieś";"stały";"Wólka Orłowska Wiejski Dom Kultury, Wólka Orłowska 133, 22-375";"gm. Izbica";"krasnostawski";"lubelskie";"520";"575";"237";"283";"1";"1";"0";"0";"0";"0";"0";"0";"0";"283";"0";"0";"283";"2";"1";"1";"0";"281";"33";"98";"150"
"7820-6969-e68c-752d-4596-61d4-1511-cd08";"060604";"18";"3";"wieś";"stały";"Orłów Drewniany Zespół Szkół, Orłów Drewniany 60A, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"600";"655";"269";"331";"0";"0";"0";"0";"0";"0";"0";"0";"0";"331";"0";"0";"331";"7";"1";"6";"0";"324";"49";"78";"197"
"e167-5b8c-5c71-d64e-3d54-62b9-00d5-dba7";"060604";"18";"4";"wieś";"stały";"Stryjów Strażnica OSP, Stryjów 176, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"620";"679";"265";"355";"1";"1";"0";"0";"0";"0";"0";"0";"0";"355";"0";"0";"355";"6";"3";"3";"0";"349";"46";"69";"234"
"72e2-2ccf-3148-b6aa-2077-5800-d786-2675";"060604";"18";"5";"wieś";"stały";"Tarnogóra Samorządowy Ośrodek Kultury i Sportu, Tarnogóra Krakowskie Przedmieście 72, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"790";"869";"381";"409";"2";"1";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"9";"1";"8";"0";"400";"55";"101";"244"
"d572-c49c-e368-0dc7-7fb5-0d7c-dd53-ffc3";"060604";"18";"6";"wieś";"stały";"Tarnogóra-Kolonia Szkoła Podstawowa, Tarnogóra-Kolonia 72, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"500";"540";"224";"276";"3";"5";"0";"0";"0";"0";"0";"0";"0";"276";"0";"0";"276";"5";"1";"4";"0";"271";"23";"59";"189"
"4580-e778-1d1b-4552-2860-5e0d-f254-dea2";"060604";"18";"7";"wieś";"stały";"Tarzymiechy Pierwsze Szkoła Podstawowa, Tarzymiechy Pierwsze 72, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"679";"741";"274";"405";"0";"3";"0";"0";"0";"0";"0";"0";"0";"405";"0";"0";"405";"6";"1";"5";"0";"399";"33";"53";"313"
"35f1-8917-eb14-831e-373f-55dc-a0f1-4930";"060604";"18";"8";"wieś";"stały";"Wirkowice Drugie Szkoła Podstawowa, Wirkowice Drugie 20, 22-375";"gm. Izbica";"krasnostawski";"lubelskie";"720";"794";"352";"368";"1";"0";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"10";"0";"10";"0";"358";"31";"43";"284"
"b2c4-c194-e117-8347-8d9d-02ca-93fc-e541";"060604";"18";"9";"wieś";"stały";"Dworzyska Strażnica OSP, Dworzyska 60, 22-375 Izbica";"gm. Izbica";"krasnostawski";"lubelskie";"400";"431";"167";"233";"0";"1";"0";"0";"0";"0";"0";"0";"0";"233";"0";"0";"233";"11";"1";"10";"0";"222";"43";"48";"131"
"bafb-b283-0a16-b16d-2123-44b9-70ee-0d75";"060605";"18";"1";"wieś";"stały";"Zakład Hodowlano-Produkcyjny Stadnina Koni Białka-Biurowiec, Białka 6, 22-300 Krasnystaw";"gm. Krasnystaw";"krasnostawski";"lubelskie";"289";"306";"157";"132";"1";"1";"0";"0";"0";"0";"0";"0";"0";"132";"0";"0";"132";"1";"0";"1";"0";"131";"17";"45";"69"
"3f35-e7f6-19c0-70e4-2664-3176-af36-c445";"060605";"18";"2";"wieś";"stały";"Wiejski Dom Kultury w Niemienicach, Niemienice 57, 22-300 Krasnystaw";"gm. Krasnystaw";"krasnostawski";"lubelskie";"272";"299";"108";"164";"0";"6";"0";"0";"0";"0";"0";"0";"0";"164";"0";"0";"164";"5";"0";"5";"0";"159";"8";"51";"100"
"a34e-fa91-7551-2b13-af6a-f685-a7a3-d827";"060605";"18";"3";"wieś";"stały";"Szkoła Podstawowa nr 3 w Krasnymstawie, ul. Krakowskie Przedmieście 38, 22-300 Krasnystaw";"gm. Krasnystaw";"krasnostawski";"lubelskie";"290";"306";"123";"167";"0";"0";"0";"0";"0";"0";"0";"0";"0";"167";"0";"0";"167";"3";"2";"1";"0";"164";"16";"56";"92"
"1501-4171-b308-97c1-89a7-ae5e-8512-2a34";"060605";"18";"4";"wieś";"stały";"Szkoła Podstawowa w Jaślikowie, Jaślików 31, 22-300 Krasnystaw";"gm. Krasnystaw";"krasnostawski";"lubelskie";"389";"425";"179";"210";"0";"1";"0";"0";"0";"0";"0";"0";"0";"210";"0";"0";"210";"4";"0";"4";"0";"206";"15";"42";"149"
