"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOMARNICKI";"Janusz MAKSYMOWICZ";"Marek Tomasz SURMACZ";"Anna SYNOWIEC"
"b438-fbae-c73b-8aef-dd61-3e05-66e2-a045";"080105";"21";"6";"wieś";"stały";"Szkoła Podstawowa w Baczynie, ul. Szkolna 1, 66-432 Baczyna";"gm. Lubiszyn";"gorzowski";"lubuskie";"1310";"1477";"428";"882";"0";"3";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"18";"11";"7";"0";"864";"372";"32";"223";"237"
"dd00-5642-2a65-86b3-2732-36bf-98f0-6167";"080105";"21";"7";"wieś";"stały";"Sala wiejska w Brzeźnie, Brzeźno 7, 66-433 Lubiszyn";"gm. Lubiszyn";"gorzowski";"lubuskie";"460";"513";"239";"221";"0";"1";"0";"0";"0";"0";"0";"0";"0";"221";"0";"0";"221";"2";"1";"1";"0";"219";"63";"22";"78";"56"
"cc81-7ef8-7164-2f22-5acb-6ab8-bc49-99fd";"080106";"21";"1";"wieś";"stały";"Sala Wiejska w Czechowie, Czechów Kalinowa 34, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"420";"457";"115";"305";"1";"2";"0";"0";"0";"0";"0";"0";"0";"305";"0";"0";"305";"4";"0";"4";"0";"301";"105";"18";"93";"85"
"88e1-457a-aa96-821a-9e67-1138-4f13-89aa";"080106";"21";"2";"wieś";"stały";"Szkoła Podstawowa w Wawrowie, Wawrów 46E, 66-400 Gorzów Wielkopolski";"gm. Santok";"gorzowski";"lubuskie";"1230";"1362";"424";"806";"0";"3";"0";"0";"0";"0";"0";"0";"0";"806";"0";"0";"806";"9";"3";"6";"0";"797";"274";"11";"193";"319"
"1421-d187-2d30-a70e-4959-9099-7094-df38";"080106";"21";"3";"wieś";"stały";"Szkoła Podstawowa w Janczewie, Janczewo 27, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"1050";"1166";"312";"738";"0";"4";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"15";"8";"7";"0";"723";"275";"34";"150";"264"
"6f13-a055-4f7b-ae9a-ca97-9c73-9500-69a0";"080106";"21";"4";"wieś";"stały";"Sala Wiejska w Gralewie, Gralewo 48A, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"710";"781";"308";"402";"0";"1";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"15";"2";"13";"0";"387";"116";"19";"143";"109"
"5c9f-b564-504f-6152-62cf-4fd1-1ac7-8900";"080106";"21";"5";"wieś";"stały";"Gminna Biblioteka Publiczna w Santoku, Gorzowska 35, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"690";"748";"284";"406";"1";"2";"0";"0";"0";"0";"0";"0";"0";"406";"0";"0";"406";"6";"1";"5";"0";"400";"121";"13";"130";"136"
"f437-9fcd-76a5-bab4-aa8b-2ff2-1045-3535";"080106";"21";"6";"wieś";"stały";"Sala Wiejska w Starym Polichnie, Stare Polichno Szkolna 9, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"520";"577";"226";"294";"0";"0";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"7";"3";"4";"0";"287";"60";"10";"88";"129"
"dfb3-30bb-aa98-24fa-ebe2-4ac5-2a58-0dbd";"080106";"21";"7";"wieś";"stały";"Sala Wiejska w Ludzisławicach, Ludzisławice 26A, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"270";"293";"155";"115";"0";"0";"0";"0";"0";"0";"0";"0";"0";"115";"0";"0";"115";"4";"1";"3";"0";"111";"26";"3";"45";"37"
"aac9-6dd3-5ad2-0c5a-c175-341a-7e56-f9d9";"080106";"21";"8";"wieś";"stały";"Sala Wiejska w Lipkach Wielkich, Lipki Wielkie Szosowa 72, 66-431 Santok";"gm. Santok";"gorzowski";"lubuskie";"1210";"1300";"578";"632";"0";"2";"0";"0";"0";"0";"0";"0";"0";"632";"0";"0";"632";"9";"1";"8";"0";"623";"205";"31";"175";"212"
