"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jacek PROTAS - nr na liście 1";"Bernadeta Justyna HORDEJUK - nr na liście 2";"Elżbieta Kazimiera GELERT - nr na liście 3";"Piotr CIEŚLIŃSKI - nr na liście 4";"Ewa Barbara DEMBEK - nr na liście 5";"Katarzyna KRÓLAK - nr na liście 6";"Marian JANICKI - nr na liście 7";"Leszek Jan DZIĄG - nr na liście 8";"Elżbieta ZABŁOCKA - nr na liście 9";"Antoni CZYŻYK - nr na liście 10";"Ryszard KOWALSKI - nr na liście 11";"Krystyna JANCZEWSKA - nr na liście 12";"Marek BORKOWSKI - nr na liście 13";"Angelika Jolanta DOMAŃSKA - nr na liście 14";"Łukasz PIŚKIEWICZ - nr na liście 15";"Miron SYCZ - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej Piotr WYRĘBEK - nr na liście 1";"Kaja Ewelina SZYNKIELEWSKA - nr na liście 2";"Krystian Maciej ŁOŻYŃSKI - nr na liście 3";"Tomasz Jacek KACZKOWSKI - nr na liście 4";"Marek HUL - nr na liście 5";"Agnieszka Maria POŁEĆ - nr na liście 6";"Teresa Genowefa RUKSZTEŁŁO - nr na liście 7";"Marika ZENOWICZ - nr na liście 8";"Genowefa Grażyna SZCZEPAŃSKA - nr na liście 9";"Marek CHRAPAN - nr na liście 10";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Zbigniew ZIEJEWSKI - nr na liście 1";"Piotr ŻUCHOWSKI - nr na liście 2";"Dariusz FREJNIK - nr na liście 3";"Edward Mieczysław PIETRULEWICZ - nr na liście 4";"Paweł SZAKIEWICZ - nr na liście 5";"Małgorzata Dorota SOWICKA - nr na liście 6";"Monika Barbara MARCHALEWSKA - nr na liście 7";"Robert Jan HUSZCZA - nr na liście 8";"Katarzyna GRANACKA - nr na liście 9";"Andrzej Janusz WIŚNIEWSKI - nr na liście 10";"Anetta Krystyna SŁOMCZYŃSKA-KĄDZIOŁKA - nr na liście 11";"Wioletta JASKÓLSKA - nr na liście 12";"Adam Jacek ŻYLIŃSKI - nr na liście 13";"Ewa NISIEWICZ - nr na liście 14";"Krzysztof GROBLEWSKI - nr na liście 15";"Stanisław ŻELICHOWSKI - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Leonard Seweryn KRASULSKI - nr na liście 1";"Jerzy Zbigniew WILK - nr na liście 2";"Zbigniew BABALSKI - nr na liście 3";"Marcin KAZIMIERCZUK - nr na liście 4";"Monika Anna MODZELEWSKA-KOZIOŁ - nr na liście 5";"Damian Jan GODZIŃSKI - nr na liście 6";"Paweł Andrzej KOWSZYŃSKI - nr na liście 7";"Adam OŁDAKOWSKI - nr na liście 8";"Anna WĘGŁOWSKA - nr na liście 9";"Karolina Ewa GOIK - nr na liście 10";"Anna PIĄTEK - nr na liście 11";"Grażyna KAMIŃSKA - nr na liście 12";"Jolanta Wiesława ANDRUSZKIEWICZ - nr na liście 13";"Robert GONTARZ - nr na liście 14";"Grzegorz KIEROZALSKI - nr na liście 15";"Jacek Roman PAWLIK - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Monika Walentyna FALEJ - nr na liście 1";"Andrzej Jan ZIELONKA - nr na liście 2";"Emilia BARTKOWSKA - nr na liście 3";"Ryszard KLIM - nr na liście 4";"Daniel Adrian ZDANOWSKI - nr na liście 5";"Sylwia PIEKART - nr na liście 6";"Janusz PASJAK - nr na liście 7";"Jakub Przemysław GIEREJ - nr na liście 8";"Robert KOLIŃSKI - nr na liście 9";"Milena FALKOWSKA-HOJAN - nr na liście 10";"Piotr PACYNO - nr na liście 11";"Urszula Klara PĄGOWSKA - nr na liście 12";"Wincenty Marian PRZYBOROWSKI - nr na liście 13";"Mirosław Józef SZULC - nr na liście 14";"Paweł WÓJCIK - nr na liście 15";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Wojciech Adam PENKALSKI - nr na liście 1";"Agnieszka FALKOWSKA - nr na liście 2";"Stanisław Czesław JASINA - nr na liście 3";"Agnieszka Anna KUCIŃSKA - nr na liście 4";"Krzysztof KĘPIŃSKI - nr na liście 5";"Anita KOWALSKA - nr na liście 6";"Tomasz ORŁOWSKI - nr na liście 7";"Monika Marcjanna LEWANDOWSKA - nr na liście 8";"Jarosław DREWA - nr na liście 9";"Jolanta KWAŚNIEWSKA - nr na liście 10";"Piotr Roman BANACH - nr na liście 11";"Ryszard NAŁĘCZ - nr na liście 12";"Anna ŁOŻYŃSKA - nr na liście 13";"Mariusz Wojciech ZAORSKI - nr na liście 14";"Anna SYCZ - nr na liście 15";"Liczba obwodów"
"280408";"gmina wiejska";"gm. Rychliki";"elbląski";"warmińsko-mazurskie";2763;3005;1563;1200;2;6;0;0;0;0;0;0;0;1200;0;0;1200;24;19;5;0;1176;279;121;9;69;20;1;4;2;0;3;3;1;0;4;4;1;37;48;25;7;1;3;3;3;0;3;2;1;169;78;8;6;5;9;11;7;5;6;2;1;3;2;10;3;13;526;96;261;22;27;23;3;10;9;10;6;26;9;9;7;3;5;126;44;32;9;6;4;1;3;3;2;1;3;6;0;0;12;28;3;1;6;3;1;1;2;1;0;4;0;0;0;1;5;3
"280409";"gmina miejsko-wiejska";"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";4658;5134;2203;2455;1;10;0;0;0;0;0;0;0;2455;0;1;2454;49;32;17;0;2405;609;161;9;228;45;5;12;2;3;8;46;5;2;1;6;64;12;146;64;34;7;9;6;5;5;7;3;6;235;64;18;3;17;41;22;4;11;4;7;5;7;3;17;0;12;1004;287;415;24;29;56;15;57;16;15;7;43;9;10;2;2;17;346;94;167;16;8;2;9;1;2;6;2;1;3;8;13;14;65;19;2;8;5;4;4;4;3;0;5;3;1;1;2;4;7
"280701";"gmina miejska";"m. Iława";"iławski";"warmińsko-mazurskie";24836;26767;9013;15823;9;113;5;5;0;0;0;0;5;15828;5;1;15827;188;121;67;0;15639;4927;872;3012;170;303;125;144;18;12;61;32;15;11;58;31;9;54;935;451;101;69;41;34;65;6;103;31;34;1814;304;563;24;14;24;44;20;6;17;15;5;23;687;16;7;45;5745;1359;576;1507;137;204;116;222;55;521;60;247;129;68;421;31;92;1868;775;435;250;18;97;45;13;18;22;38;26;23;19;20;69;350;47;58;4;28;24;33;10;18;4;35;28;7;21;6;27;19
"280702";"gmina miejska";"m. Lubawa";"iławski";"warmińsko-mazurskie";6917;7513;2440;4477;7;20;0;0;0;0;0;0;0;4476;0;0;4476;66;50;16;0;4410;1003;285;227;26;96;46;19;6;2;12;9;6;1;253;10;2;3;352;120;13;79;14;6;8;1;92;9;10;638;145;319;11;6;10;22;9;2;42;5;4;4;36;4;1;18;1926;347;78;730;42;55;34;20;17;42;19;124;37;18;318;10;35;385;172;52;53;9;32;8;3;6;9;11;4;5;3;7;11;106;14;18;4;28;1;3;2;3;0;12;4;0;7;0;10;4
"280703";"gmina wiejska";"gm. Iława";"iławski";"warmińsko-mazurskie";8834;9681;3907;4927;0;43;0;0;0;0;0;0;0;4927;0;0;4927;109;79;30;0;4818;1111;201;740;22;58;18;25;6;0;9;6;5;4;2;6;0;9;312;151;26;35;26;14;15;2;16;15;12;675;163;331;8;3;12;4;17;4;4;8;3;5;95;6;0;12;2247;413;211;509;64;62;15;35;21;630;39;86;41;26;41;24;30;398;139;91;56;4;22;11;2;5;7;18;4;5;2;5;27;75;21;8;1;2;2;9;2;2;0;13;6;2;1;0;6;12
"280704";"gmina miejsko-wiejska";"gm. Kisielice";"iławski";"warmińsko-mazurskie";4336;4739;2200;2136;6;11;0;0;0;0;0;0;0;2136;0;0;2136;67;47;20;0;2069;454;39;368;14;9;4;3;1;1;1;0;4;2;2;3;0;3;111;58;5;11;8;7;4;0;5;4;9;263;97;109;1;1;9;3;2;1;3;2;3;1;24;3;1;3;1069;271;150;127;59;59;24;15;23;100;44;61;44;14;46;3;29;148;60;37;19;2;11;1;1;2;1;1;0;3;0;3;7;24;6;2;0;1;2;4;2;0;0;3;0;0;3;0;1;7
"280705";"gmina wiejska";"gm. Lubawa";"iławski";"warmińsko-mazurskie";7467;8193;3056;4411;1;11;0;0;0;0;0;0;0;4410;0;0;4410;108;68;40;0;4302;406;126;81;13;55;25;10;5;1;9;2;2;2;69;5;0;1;312;120;18;72;18;18;8;5;38;6;9;741;301;224;15;3;11;11;17;2;82;5;1;8;17;7;6;31;2576;433;103;1047;69;61;68;22;17;118;34;121;42;36;358;17;30;195;82;30;28;7;9;7;1;3;1;5;1;3;4;5;9;72;16;8;1;8;3;2;6;3;1;8;2;3;5;1;5;8
"280706";"gmina miejsko-wiejska";"gm. Susz";"iławski";"warmińsko-mazurskie";8870;9618;4500;4370;8;23;0;0;0;0;0;0;0;4370;0;1;4369;99;86;13;0;4270;949;198;565;33;33;30;15;10;3;9;3;6;3;14;10;3;14;341;178;25;19;25;23;25;5;12;20;9;434;131;157;6;3;10;16;8;6;4;4;3;6;35;8;4;33;2017;409;183;384;63;57;22;63;30;44;455;78;32;17;135;9;36;367;158;80;36;5;21;16;1;7;6;7;1;5;4;4;16;162;10;6;2;5;110;7;1;4;0;7;2;1;3;1;3;11
"280707";"gmina miejsko-wiejska";"gm. Zalewo";"iławski";"warmińsko-mazurskie";5005;5507;2646;2359;0;38;0;0;0;0;0;0;0;2359;0;0;2359;65;38;27;0;2294;510;153;143;54;34;10;58;3;2;6;6;5;4;8;5;0;19;162;77;20;18;19;6;7;1;7;4;3;362;59;68;4;11;5;8;8;4;1;8;1;7;144;3;0;31;1019;267;171;193;45;63;18;22;15;45;14;41;18;9;75;4;19;195;62;37;33;6;9;6;0;2;1;10;4;4;0;8;13;46;11;7;1;7;1;3;0;5;1;5;1;1;0;0;3;4
"280901";"gmina miejska";"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";11262;12149;4161;7101;7;64;0;0;0;0;0;0;0;7100;0;0;7100;96;70;26;0;7004;3239;2540;10;43;558;6;7;2;1;2;1;3;5;2;7;0;52;405;316;21;10;15;13;7;3;10;5;5;363;88;31;10;9;8;14;4;10;3;12;2;131;5;7;0;29;2195;506;188;110;55;41;14;12;219;16;10;52;15;142;11;7;797;667;350;99;35;10;30;29;4;3;7;4;4;4;4;22;62;135;21;10;2;4;3;9;6;8;2;20;1;33;1;1;14;11
"280902";"gmina wiejska";"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";2470;2689;1193;1277;2;9;2;2;0;0;0;0;2;1279;2;0;1279;36;28;8;0;1243;245;197;0;0;37;2;4;0;0;1;0;1;0;0;1;0;2;92;74;5;1;1;2;2;0;3;3;1;129;39;9;2;2;6;7;3;12;2;1;3;21;1;2;1;18;662;43;10;10;6;2;2;2;37;4;1;6;4;26;0;1;508;86;46;7;8;1;3;5;1;1;1;0;1;1;1;1;9;29;4;3;0;0;1;1;1;4;1;1;0;10;1;0;2;4
"280903";"gmina wiejska";"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";4890;5330;2604;2286;1;40;0;0;0;0;0;0;0;2286;0;1;2285;62;50;12;0;2223;796;598;3;6;149;3;1;1;0;1;0;2;0;0;0;0;32;138;95;7;7;9;5;4;0;5;2;4;170;41;12;3;8;10;11;2;17;3;4;3;39;3;1;0;13;953;152;84;55;90;24;4;8;67;10;4;23;14;54;2;1;361;119;62;12;10;1;6;5;1;0;4;2;1;0;1;2;12;47;6;2;2;1;5;8;0;1;0;0;0;10;1;1;10;8
"280904";"gmina wiejska";"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";2562;2804;1362;1200;0;10;0;0;0;0;0;0;0;1200;0;0;1200;29;18;11;0;1171;324;162;2;2;137;4;1;0;0;3;1;0;0;2;1;1;8;60;42;2;1;3;2;6;0;1;2;1;120;40;13;1;6;11;11;3;2;4;1;3;9;2;6;1;7;569;103;119;62;36;23;6;7;97;17;4;22;9;8;2;3;51;80;50;5;11;0;3;1;2;3;0;0;2;1;0;2;0;18;1;2;0;0;1;1;4;3;0;2;1;1;0;0;2;3
"280905";"gmina miejsko-wiejska";"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";8740;9412;4101;4639;12;15;0;0;0;0;0;0;0;4639;0;0;4639;94;69;25;0;4545;1339;827;7;25;307;10;30;2;3;13;4;1;3;2;5;2;98;280;194;19;5;12;11;12;1;8;7;11;300;106;21;2;2;39;18;9;5;8;10;8;13;8;9;5;37;1954;626;286;144;120;58;27;30;131;25;22;98;66;47;15;9;250;534;149;58;31;5;10;213;5;7;1;6;3;6;2;10;28;138;22;14;23;5;5;3;7;9;1;17;4;2;2;2;22;8
"281201";"gmina miejska";"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";7681;8268;2865;4814;10;32;0;0;0;0;0;0;0;4814;0;1;4813;74;56;18;0;4739;1163;271;109;7;31;681;4;1;1;14;5;3;3;21;3;2;7;172;95;12;26;9;6;9;0;11;3;1;977;816;65;17;3;9;8;5;3;4;5;0;3;19;2;1;17;1859;389;83;451;25;39;319;27;22;24;23;224;21;12;171;6;23;502;180;43;46;5;162;14;2;2;4;4;2;2;5;14;17;66;18;7;0;3;1;4;5;3;0;12;4;1;3;0;5;7
"281202";"gmina wiejska";"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";6771;7400;2964;3807;2;28;0;0;0;0;0;0;0;3807;0;0;3807;120;96;24;0;3687;484;63;27;2;5;358;1;2;1;4;0;5;1;5;0;1;9;117;74;4;15;4;0;5;2;9;1;3;1015;943;23;2;2;0;5;2;1;5;4;1;3;7;1;1;15;1602;361;105;424;60;60;111;20;38;23;13;223;25;15;73;7;44;444;67;13;17;0;328;2;2;1;1;1;1;0;0;5;6;25;4;4;1;1;0;3;1;5;1;3;0;0;0;0;2;7
"281203";"gmina wiejska";"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";4481;4905;1923;2558;4;12;0;0;0;0;0;0;0;2558;0;0;2558;63;51;12;0;2495;213;56;23;7;15;77;6;3;1;6;2;2;2;8;4;1;0;88;38;6;21;4;3;4;1;7;1;3;414;316;40;10;4;5;3;2;2;7;5;0;3;4;2;1;10;1607;260;69;545;35;34;75;16;17;24;6;210;45;12;237;5;17;125;39;10;21;0;21;4;1;4;4;2;1;1;5;5;7;48;5;5;0;2;0;6;3;0;3;8;0;1;8;0;7;6
"281204";"gmina wiejska";"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";6281;6886;2571;3710;3;23;0;0;0;0;0;0;0;3710;0;0;3710;75;57;18;0;3635;365;95;36;4;20;181;5;2;3;3;3;4;2;6;0;1;0;212;118;12;30;9;13;5;1;11;4;9;732;584;81;6;3;5;4;6;2;5;6;1;2;3;1;4;19;1995;368;82;534;32;35;216;16;13;20;6;480;32;13;114;5;29;269;90;22;28;5;83;6;0;0;3;5;1;0;4;15;7;62;14;6;1;5;0;6;1;0;1;9;8;0;2;2;7;5
"281205";"gmina wiejska";"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";5752;6295;2461;3291;2;11;0;0;0;0;0;0;0;3291;0;0;3291;79;55;24;0;3212;401;93;71;11;13;189;2;1;0;5;4;2;1;3;2;0;4;160;79;15;19;6;7;12;1;13;3;5;650;539;51;5;1;4;4;8;1;7;5;0;6;8;1;0;10;1658;350;82;407;46;37;221;21;16;35;16;212;39;22;128;4;22;275;104;14;23;3;82;6;1;1;1;8;7;0;5;10;10;68;20;7;1;7;1;8;4;4;1;8;0;2;1;0;4;8
"281501";"gmina miejska";"m. Ostróda";"ostródzki";"warmińsko-mazurskie";23523;25401;8342;15181;17;123;1;1;0;1;0;0;0;15181;0;0;15181;214;162;52;0;14967;5179;2446;683;209;611;69;294;23;6;32;10;609;17;34;39;11;86;905;506;84;56;49;25;58;15;40;27;45;1088;441;149;36;19;39;47;44;14;23;16;9;52;66;25;15;93;4925;460;174;3378;70;82;28;96;36;52;22;111;50;52;125;139;50;2453;1204;506;196;25;86;59;15;14;27;50;93;18;19;27;114;417;64;59;15;45;12;29;21;18;6;77;11;9;8;5;38;19
"281502";"gmina wiejska";"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";3016;3319;1587;1429;0;14;0;0;0;0;0;0;0;1429;0;0;1429;36;25;11;0;1393;205;98;21;5;26;13;9;7;1;6;3;3;0;5;3;1;4;106;49;6;10;3;8;4;2;4;13;7;172;51;44;11;2;6;2;4;1;9;3;3;4;1;1;10;20;767;114;48;252;25;13;10;9;1;15;6;24;17;6;213;5;9;120;45;20;11;6;3;7;1;0;1;6;2;3;0;4;11;23;6;1;1;1;2;1;0;1;0;4;1;0;0;1;4;4
"281503";"gmina wiejska";"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";3907;4305;2235;1672;2;11;0;0;0;0;0;0;0;1672;0;0;1672;54;43;11;0;1618;287;156;18;11;21;8;37;2;0;9;0;9;0;8;3;0;5;75;26;18;8;4;3;4;0;7;5;0;246;83;80;11;1;8;7;8;2;5;0;1;3;5;3;1;28;796;151;53;281;34;20;11;17;8;17;13;44;23;16;81;16;11;163;85;18;14;3;9;7;5;2;1;4;1;2;2;4;6;51;9;6;0;6;0;3;4;4;0;14;0;0;0;0;5;4
"281504";"gmina wiejska";"gm. Łukta";"ostródzki";"warmińsko-mazurskie";3268;3600;1631;1637;1;35;0;0;0;0;0;0;0;1637;0;0;1637;34;26;8;0;1603;423;230;20;21;29;10;56;1;2;7;5;10;2;5;9;1;15;126;63;14;8;6;5;9;2;7;3;9;249;119;22;3;5;10;12;22;3;6;2;1;5;6;3;1;29;554;84;59;230;16;22;8;13;10;7;8;29;10;15;31;4;8;202;118;10;13;4;18;5;0;3;2;7;1;2;2;6;11;49;6;9;0;0;1;1;12;3;1;5;0;4;1;2;4;3
"281505";"gmina wiejska";"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";4493;4879;2414;2079;2;9;0;0;0;0;0;0;0;2079;0;0;2079;42;31;11;0;2037;484;248;38;36;32;7;99;1;1;2;1;1;3;3;4;1;7;107;56;15;4;8;2;10;0;3;4;5;290;131;29;0;8;8;17;47;2;2;1;1;6;7;4;2;25;852;180;109;253;20;57;10;23;12;15;11;24;19;11;76;6;26;261;93;29;21;3;11;9;4;4;2;63;1;3;5;8;5;43;8;6;0;1;0;1;7;3;0;6;1;0;0;0;10;4
"281506";"gmina miejsko-wiejska";"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";3921;4275;2038;1883;6;19;0;0;0;0;0;0;0;1883;0;1;1882;35;29;6;0;1847;464;195;25;53;24;7;105;2;2;12;6;5;3;3;1;0;21;119;50;11;8;3;13;16;1;4;6;7;196;65;32;2;3;4;19;39;2;5;4;2;4;2;4;0;9;849;148;75;422;21;34;4;23;11;18;10;29;11;12;9;13;9;177;88;14;16;3;6;5;3;5;0;11;5;1;2;7;11;42;5;12;0;2;1;3;4;2;1;4;2;2;2;1;1;5
"281507";"gmina miejsko-wiejska";"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";3613;3979;1698;1915;2;29;0;0;0;0;0;0;0;1915;0;0;1915;52;30;22;0;1863;647;174;43;19;19;4;361;3;1;3;2;5;3;4;0;1;5;113;72;11;1;10;3;4;1;3;2;6;168;61;23;6;6;11;4;17;6;1;3;0;9;3;2;2;14;688;110;55;370;22;18;5;7;7;15;3;5;9;19;26;8;9;216;101;46;22;2;4;3;2;2;1;5;9;4;1;1;13;31;7;2;0;2;1;0;4;1;1;6;0;1;3;0;3;5
"281508";"gmina miejsko-wiejska";"gm. Morąg";"ostródzki";"warmińsko-mazurskie";17474;18855;7688;9786;8;60;1;1;0;0;0;0;1;9785;1;0;9785;220;156;64;0;9565;3277;1073;106;298;129;19;1469;10;2;21;9;5;3;23;12;4;94;485;277;42;27;39;23;26;6;12;18;15;1063;468;62;15;7;15;35;341;10;10;4;5;18;11;9;12;41;3558;729;483;1298;169;114;42;93;70;85;26;141;66;78;61;37;66;943;484;118;100;16;24;17;6;15;10;38;9;15;7;46;38;239;19;19;7;2;1;4;142;7;0;17;1;2;1;3;14;22
"281509";"gmina wiejska";"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";11270;12392;5141;6129;3;98;1;1;0;0;0;0;1;6130;1;0;6130;151;106;45;0;5979;1440;734;145;107;197;20;77;6;7;14;10;74;3;18;10;3;15;455;227;37;50;34;13;34;6;22;17;15;774;344;118;16;16;25;39;41;9;16;15;12;16;30;12;9;56;2394;296;105;1492;69;45;27;19;22;36;11;91;35;43;37;32;34;732;352;135;68;12;16;20;8;3;11;16;24;5;5;16;41;184;29;15;6;21;5;14;10;14;2;35;10;5;2;5;11;15
"286101";"gmina miejska";"m. Elbląg";"Elbląg";"warmińsko-mazurskie";84237;90392;29957;54280;55;331;9;9;2;0;0;0;7;54273;7;2;54271;478;273;205;0;53793;18724;4809;231;7764;2078;132;182;52;60;88;2034;36;67;61;146;654;330;2940;1507;450;127;149;142;247;36;85;82;115;3372;835;247;64;895;327;328;65;63;65;44;45;60;36;135;25;138;19215;4542;9155;348;339;596;114;2514;167;230;119;397;170;172;109;36;207;8395;2588;3517;360;604;118;134;33;62;279;93;51;79;24;117;336;1147;235;152;83;76;48;59;37;54;23;137;64;25;24;7;123;62
