"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEŃKOWSKI Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"JACKOWSKI Jan Maria - KWW JANA MARII JACKOWSKIEGO";"JANOWSKI Gabriel - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
3;"Szkoła Podstawowa w Bogurzynie, Bogurzyn 84, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;216;138;38
4;"Świetlica Wiejska w Wojnówce, Wojnówka 3, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;128;103;38
5;"Świetlica Wiejska w Modle, Modła 62B, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;107;101;26
6;"Świetlica Wiejska w Podkrajewie, Podkrajewo 19D, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;90;77;48
7;"Szkoła Podstawowa w Głużku, Głużek 69, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;129;100;25
8;"Świetlica Wiejska w Żurominku, Żurominek 64, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;92;47;19
9;"Świetlica Wiejska w Kowalewie, Kowalewo 78, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;76;43;29
10;"Świetlica Wiejska w Nowej Otoczni, Nowa Otocznia 3, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;118;67;44
1;"Kasa Rolniczego Ubezpieczenia Społecznego Placówka Terenowa, ul. Zajazd 4, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;156;333;77
2;"Przedszkole Nr 1, ul. Kolejowa 5, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;253;388;71
3;"Zespół Szkół Nr 2 im. L. Rutkowskiego, ul. ks. Jerzego Popiełuszki 14, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;165;224;61
4;"Przedsiębiorstwo Gospodarki Komunalnej Sp. z o. o. w Płońsku, ul. A. Mickiewicza 4, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;167;247;50
5;"Zakład Gospodarki Mieszkaniowej w Płońsku (Biblioteka Pedagogiczna), ul. Warszawska 7, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;268;355;57
6;"Szkoła Podstawowa Nr 1 im. Bolesława Chrobrego, ul. Wolności 4, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;181;274;52
7;"Miejskie Centrum Kultury, ul. Płocka 50, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;205;403;74
8;"Szkoła Podstawowa Nr 2 im. Jana Walerego Jędrzejewicza, ul. Szkolna 30, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;172;366;58
9;"Punkt Profilaktyki Uzależnień i Pomocy Rodzinie, ul. Świętego Maksymiliana Kolbe 9, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;292;524;84
10;"Przedszkole Nr 2 im. Przyjaciół Kubusia Puchatka, ul. Zacisze 6, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;206;277;64
11;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Młodzieżowa 11A, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;232;356;73
12;"Szkoła Podstawowa nr 4 im. Papieża Jana Pawła II, ul. Grunwaldzka 67B, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;214;259;53
13;"Szkoła Podstawowa Nr 4 im. Papieża Jana Pawła II, ul. ks. Romualda Jaworskiego 25, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;226;311;56
14;"Przedszkole nr 4 ""Pod Zielonym Listkiem"", ul. Z. Padlewskiego 3, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;209;261;50
15;"Zespół Szkół Nr 1 im. Stanisława Staszica, ul. Henryka Sienkiewicza 8, 09-100 Płońsk";142001;"m. Płońsk";"płoński";"mazowieckie";1;1;342;398;102
