"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRASKA Waldemar Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIĘCKOWSKI Paweł Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BORKOWSKI Krzysztof Wawrzyniec - KWW KW BORKOWSKIEGO PAKT SENACKI";"WYRZYKOWSKI Paweł Stanisław - KW ZJEDNOCZENI"
3;"Świetlica wiejska w Żelkowie, Żelków ul. Wspólna 35, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;216;57;74;25
4;"Szkoła Podstawowa w Dąbrówce-Stany, Dąbrówka-Stany ul. Bohdana Arcta 4, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;248;31;60;30
5;"Świetlica wiejska w Dąbrówce-Ług, Dąbrówka-Ług ul. Prymasa Stefana Wyszyńskiego 19, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;405;88;148;49
6;"Niepubliczna Szkoła Podstawowa w Gołąbku, Gołąbek ul. Szkolna 26, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;199;40;49;19
7;"Świetlica wiejska w Czerniejewie, Czerniejew 95, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;156;24;33;8
8;"Świetlica wiejska w Dąbrówce-Wyłazy, Dąbrówka-Wyłazy ul. Klonowa 44, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;104;25;57;18
9;"Świetlica wiejska w Nowakach, Nowaki 47A, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;116;29;50;9
10;"Świetlica wiejska w Ozorowie, Ozorów 65A, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;183;27;76;17
11;"Świetlica wiejska w Teodorowie, Teodorów 71, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;112;45;84;11
12;"Świetlica wiejska w Trzcińcu, Trzciniec 103, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;150;23;36;4
13;"Świetlica wiejska w Wólce Kobylej, Wólka Kobyla 48, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;155;27;39;8
14;"Świetlica wiejska w Żebraku, Żebrak 33, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;106;6;34;3
1;"Urząd Gminy w Suchożebrach, ul. Aleksandry Ogińskiej 11, 08-125 Suchożebry";142610;"gm. Suchożebry";"siedlecki";"mazowieckie";1;1;770;172;300;74
2;"Zespół Oświatowy w Krynicy, Krynica 33, 08-125 Suchożebry";142610;"gm. Suchożebry";"siedlecki";"mazowieckie";1;1;235;44;70;15
3;"Zespół Oświatowy w Krześlinie, Krześlin 67, 08-125 Suchożebry";142610;"gm. Suchożebry";"siedlecki";"mazowieckie";1;1;251;26;116;20
4;"Zespół Szkół Publicznych w Suchożebrach, ul. Siedlecka 6, 08-125 Suchożebry";142610;"gm. Suchożebry";"siedlecki";"mazowieckie";1;1;236;83;133;41
1;"Gminny Ośrodek Pielęgnacji Tradycji Kulinarnych w Wólce Wiśniewskiej, Wólka Wiśniewska 60, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;347;50;231;31
2;"Wiejski Dom Integracji w Borkach-Paduchach, Borki-Paduchy 92, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;251;43;196;13
3;"Gminny Ośrodek Kultury w Wiśniewie, ul. Batalionów Chłopskich 2, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;425;80;257;39
4;"Szkoła Podstawowa w Radomyśli, Radomyśl 46, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;248;59;77;17
5;"Szkoła Podstawowa w Śmiarach, Śmiary 68, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;215;39;77;20
6;"Wiejski Dom Kultury w Mroczkach, Mroczki 23A, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;144;27;23;17
7;"Świetlica wiejska w Starych Okninach, Stare Okniny 45, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;130;29;51;15
8;"Świetlica wiejska w Wiśniewie-Kolonii, Wiśniew-Kolonia 27A, 08-112 Wiśniew";142611;"gm. Wiśniew";"siedlecki";"mazowieckie";1;1;111;22;84;13
1;"Zespół Szkół w Wodyniach, ul. Siedlecka 7, 08-117 Wodynie";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;284;52;121;24
2;"Zespół Szkół w Wodyniach, ul. Siedlecka 7, 08-117 Wodynie";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;173;25;38;8
3;"Zespół Szkół w Seroczynie, ul. Siedlecka 11, 08-116 Seroczyn";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;344;51;90;32
4;"Zespół Szkół w Seroczynie, ul. Siedlecka 11, 08-116 Seroczyn";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;119;24;20;6
5;"Szkoła Podstawowa w Rudzie Wolińskiej, Ruda Wolińska 44, 08-117 Wodynie";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;229;32;68;23
6;"Pawilon turystyczny w Woli Wodyńskiej, Wola Wodyńska 109A, 08-117 Wodynie";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;179;26;51;8
7;"Budynek Ochotniczej Straży Pożarnej w Kołodziążu, Kołodziąż 39, 08-116 Seroczyn";142612;"gm. Wodynie";"siedlecki";"mazowieckie";1;1;82;16;17;7
