"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
16;"Świetlica Wiejska w Żerominie, ul. Tuszyńska 13D, 95-080 Żeromin";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;72;40;76
17;"Przedszkole Miejskie Nr 3 w Garbowie, ul. Kruszowska 13, 95-080 Garbów";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;43;14;68
18;"Remiza OSP w Głuchowie, ul. Długa 116, 95-080 Głuchów";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;76;26;76
19;"Remiza OSP w Jutroszewie, Jutroszew 82, 95-080 Jutroszew";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;112;24;32
20;"Remiza OSP w Szczukwinie, ul. Gliniana 121, 95-080 Szczukwin";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;126;29;46
21;"Pawilon D szpitala, ul. Szpitalna 5, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;44;5;37
22;"Hol główny Centrum, ul. Poddębina 9a, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;8;3;27
1;"Szkoła Podstawowa Nr 1 w Brzezinach, ul. Stanisława Moniuszki 21, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;501;136;563
2;"Muzeum Regionalne w Brzezinach, ul. Józefa Piłsudskiego 49, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;362;126;499
3;"Przedszkole Nr 1 w Brzezinach, ul. Konstytucji 3 Maja 1, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;302;83;418
4;"Szkoła Podstawowa nr 3 w Brzezinach, ul. Bohaterów Warszawy 4, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;337;63;427
5;"Zespół Szkół Ponadpodstawowych w Brzezinach, ul. Konstytucji 3 Maja 5, 95-060 Brzeziny";102101;"m. Brzeziny";"brzeziński";"łódzkie";1;1;412;163;681
