"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DULSKI Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"BRZEZIN Gustaw Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ORZECHOWSKA Bogusława - KW PRAWO I SPRAWIEDLIWOŚĆ";"FIAŁKOWSKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DĄBROWSKI Tomasz Kiejstut - KOMITET WYBORCZY WOLNOŚCIOWCY"
1;"Świetlica Wiejska (Sala OSP) w Rumianie, Rumian 38, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;11;94;132;27;5
2;"Lokalne Centrum Aktywności Społecznej w Hartowcu, Hartowiec 109A, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;8;124;169;34;8
3;"Lokalne Centrum Aktywności Społecznej w Żabinach, Żabiny 91, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;21;173;172;37;4
4;"Świetlica Wiejska w Koszelewach, Koszelewy 85, 13-206 Płośnica";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;9;81;114;24;9
5;"Świetlica Wiejska (Dzienny Dom Seniora) w Rybnie, ul. Lubawska 12, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;48;327;321;54;14
6;"Świetlica Wiejska w Tuczkach, Tuczki 28, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;13;104;149;22;5
7;"Świetlica Wiejska (Klub Seniora) w Dębieniu, Dębień 9, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;8;85;153;32;8
8;"Sala narad Rady Gminy Rybno (dawna sala OSP) w Rybnie, ul. Lubawska 15, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;42;400;278;79;15
9;"Świetlica Wiejska (Dzienny Dom Seniora) w Jeglii, Jeglia 11, 13-220 Rybno";280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";1;1;8;61;93;20;4
1;"Przedszkole Miejskie Nr 3, ul. Tadeusza Kościuszki 22A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;74;842;349;165;58
2;"Przedszkole Miejskie Nr 3, ul. Tadeusza Kościuszki 22A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;53;470;321;79;37
3;"Szkoła Podstawowa nr 1 im. Mikołaja Kopernika, ul. Tadeusza Kościuszki 2A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;53;551;335;73;39
4;"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Polskich Olimpijczyków, ul. Niepodległości 11A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;57;471;305;59;47
5;"Iławskie Przedsiębiorstwo Budowlane, ul. Lubawska 3, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;97;908;555;108;78
6;"Szkoła Podstawowa Nr 3 z Oddziałami Intergracyjnymi im. Polskich Olimpijczyków, ul. Niepodległości 11A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;23;291;174;35;21
7;"Ośrodek Psychoedukacji, Profilaktyki Uzależnień i Pomocy Rodzinie, ul. Chełmińska 1, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;57;570;364;60;42
8;"Przedszkole Miejskie Nr 4 im. Kubusia Puchatka, ul. Jarosława Dąbrowskiego 17B, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;55;817;353;86;46
9;"Przedszkole Miejskie Nr 6, ul. Wiejska 3, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;84;539;419;85;42
10;"Przedszkole Miejskie Nr 4 im. Kubusia Puchatka, ul. Jarosława Dąbrowskiego 17B, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;22;395;273;53;30
11;"Miejski Ośrodek Pomocy Społecznej, ul. Grunwaldzka 6A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;42;391;277;86;46
12;"Szkoła Podstawowa Nr 4 im. Polskich Podróżników, ul. Marii Skłodowskiej-Curie 31, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;52;556;406;86;35
13;"Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi im. Marii Konopnickiej, ul. gen. Władysława Andersa 7, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;49;674;374;83;62
14;"Szkoła Podstawowa Nr 4 im. Polskich Podróżników, ul. Marii Skłodowskiej-Curie 31, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;70;652;434;97;60
15;"Przedszkole Miejskie Nr 5, ul. gen. Władysława Andersa 8A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;52;603;318;78;42
16;"Osiedlowy Dom Kultury, ul. Marii Skłodowskiej-Curie 26A, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;31;369;253;45;28
17;"Dom Pomocy Społecznej, ul. Jarosława Dąbrowskiego 15B, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;4;4;6;6;0
18;"Powiatowy Szpital im. Władysława Biegańskiego, ul. gen. Władysława Andersa 3, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;3;37;36;3;5
19;"Zakład Karny, ul. 1 Maja 14, 14-200 Iława";280701;"m. Iława";"iławski";"warmińsko-mazurskie";1;1;61;456;129;130;57
1;"Szkoła Podstawowa w Lubawie ul. Rzepnikowskiego 7, ul. Rzepnikowskiego 7, 14-260 Lubawa";280702;"m. Lubawa";"iławski";"warmińsko-mazurskie";1;1;100;841;499;150;33
2;"Kino „ Pokój” w Lubawie ul. Kupnera 27, ul. Kupnera 27, 14-260 Lubawa";280702;"m. Lubawa";"iławski";"warmińsko-mazurskie";1;1;88;756;469;162;34
3;"Miejski Ośrodek Kultury w Lubawie ul. Rzepnikowskiego 44, ul. Rzepnikowskiego 44, 14-260 Lubawa";280702;"m. Lubawa";"iławski";"warmińsko-mazurskie";1;1;64;451;415;90;26
4;"Szkoła Podstawowa w Lubawie ul. Św. Barbary 45, ul. Świętej Barbary 45, 14-260 Lubawa";280702;"m. Lubawa";"iławski";"warmińsko-mazurskie";1;1;56;552;463;114;30
1;"Gminny Ośrodek Kultury w Lasecznie, Laseczno 39A, 14-202 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;19;157;167;44;8
2;"Świetlica Wiejska w Wikielcu, Wikielec 17B, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;73;516;340;83;33
3;"Szkoła Podstawowa w Ząbrowie, Ząbrowo ul. Szkolna 19, 14-202 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;50;325;281;67;14
4;"Szkoła Podstawowa w Gałdowie, Gałdowo 24, 14-202 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;12;91;180;35;18
5;"Świetlica Wiejska w Siemianach, Siemiany 29D, 14-230 Zalewo";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;22;162;107;35;10
6;"Szkoła Podstawowa w Rudzienicach, Rudzienice ul. Szkolna 2, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;19;188;158;56;17
7;"Świetlica Wiejska we Frednowach, Frednowy 45, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;17;169;159;44;14
8;"Szkoła Podstawowa we Franciszkowie, Franciszkowo 18, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;25;149;107;36;6
9;"Świetlica Wiejska w Woli Kamieńskiej, Wola Kamieńska 27, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;37;407;177;43;11
10;"Świetlica Wiejska w Nowej Wsi, Nowa Wieś ul. Olsztyńska 13, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;44;383;148;64;15
11;"Świetlica Wiejska w Ławicach, Ławice 11A, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;48;263;265;59;28
12;"Szkoła Podstawowa w Gromotach, Gromoty 20, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;12;60;83;26;3
13;"Świetlica Wiejska w Mątykach, Mątyki 61A, 14-200 Iława";280703;"gm. Iława";"iławski";"warmińsko-mazurskie";1;1;9;61;85;16;7
1;"Zespół Szkół w Kisielicach, ul. Aleja Wojska Polskiego 2, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;27;300;202;53;17
2;"Zespół Szkół w Kisielicach, ul. Aleja Wojska Polskiego 2, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;15;184;214;35;11
3;"Świetlica Wiejska w Łodygowie, Łodygowo 3B, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;10;63;111;15;2
4;"Świetlica Wiejska w Jędrychowie, Jędrychowo 52A, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;11;65;91;16;10
5;"Szkoła Podstawowa w Goryniu, Goryń 88, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;12;157;153;20;16
6;"Świetlica Wiejska w Klimach, Klimy 42, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;8;44;71;18;3
7;"Szkoła Podstawowa w Łęgowie, Łęgowo 75, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;9;108;133;25;13
8;"Świetlica Wiejska w Ogrodzieńcu, Ogrodzieniec 7D, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;6;73;56;9;2
9;"Świetlica Wiejska w Butowie, Butowo 28, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;11;59;90;5;3
10;"Świetlica Wiejska w Truplu, Trupel 18, 14-220 Kisielice";280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";1;1;11;45;45;11;6
1;"Urząd Gminy Lubawa w Fijewie, Fijewo 73, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;31;234;211;52;13
2;"Szkoła Podstawowa w Prątnicy, Prątnica 9, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;41;291;466;105;32
3;"Szkoła Podstawowa w Rumienicy, Rumienica 29, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;12;63;158;47;4
4;"Szkoła Podstawowa w Złotowie, Złotowo 66, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;26;151;209;67;5
5;"Szkoła Podstawowa w Grabowie-Wałdykach, Grabowo 117, 14-229 Rożental";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;17;175;195;53;7
6;"Szkoła Podstawowa w Rożentalu, Rożental 140A, 14-229 Rożental";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;28;266;381;67;22
7;"Szkoła Podstawowa w Kazanicach, Kazanice 83A, 14-229 Rożental";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;16;139;175;25;7
8;"Szkoła Podstawowa w Sampławie, Sampława 4, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;42;359;401;120;23
9;"Szkoła Podstawowa w Tuszewie, Tuszewo 24, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;17;154;121;46;7
10;"Szkoła Podstawowa w Byszwałdzie, Byszwałd 7, 14-260 Lubawa";280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";1;1;21;110;154;60;11
1;"Środowiskowy Dom Samopomocy, ul. Kościelna 1, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;31;238;193;59;27
2;"Zespół Szkół, ul. Wiejska 1, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;59;413;276;115;21
3;"Suski Ośrodek Kultury, ul. Józefa Wybickiego 10, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;49;460;353;71;20
4;"Świetlica, ul. Koszarowa 15A, 14-240 Susz";280706;"gm. Susz";"iławski";"warmińsko-mazurskie";1;1;40;185;237;50;12
