"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
23;"Zespół Szkół Samochodowych, ul. Tadeusza Rejtana 18, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;107;473;454;138
24;"Zespół Szkół Nr 2 im. Sybiraków, ul. Królowej Jadwigi 29, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;63;257;243;64
25;"Zespół Szkół Nr 2 im. Sybiraków, ul. Królowej Jadwigi 29, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;70;265;315;71
26;"Zespół Szkół Nr 2 im. Sybiraków, ul. Królowej Jadwigi 29, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;84;457;320;97
27;"Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi, ul. Rokitniańczyków 26, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;122;636;553;181
28;"Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi, ul. Rokitniańczyków 26, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;98;411;447;147
29;"Stowarzyszenie Rodziców i Przyjaciół Dzieci Niepełnosprawnych Ruchowo i Umysłowo ""Nadzieja"", ul. Jana Freislera 10, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;107;447;498;117
30;"Szkoła Podstawowa Nr 15, ul. 29 Listopada 22, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;52;216;264;66
31;"Szkoła Podstawowa Nr 15, ul. 29 Listopada 22, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;85;356;452;174
32;"Szkoła Podstawowa Nr 15, ul. 29 Listopada 22, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;66;312;302;130
33;"Szkoła Podstawowa Nr 16 z Oddziałami Integracyjnymi, ul. gen. Tadeusza Bora-Komorowskiego 7, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;114;459;617;169
34;"Państwowa Szkoła Muzyczna I i II stopnia im. F. Chopina, ul. Nawojowska 213, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;113;471;772;223
35;"Siedziba Zarządów Osiedli ""Gorzków"" i ""Wojska Polskiego"", ul. Jana Freislera 4a, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;65;336;267;91
36;"Zespół Szkół Elektryczno – Mechanicznych, ul. Bolesława Limanowskiego 4, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;75;234;347;83
37;"Szkoła Podstawowa Nr 7 z Oddziałami Dwujęzycznymi, ul. gen. Stefana Grota-Roweckiego 15, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;75;414;411;114
38;"Szkoła Podstawowa Nr 8 z Oddziałami Integracyjnymi, al. Aleje Stefana Batorego 76, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;84;337;340;108
39;"Miejskie Przedszkole Nr 4 z Oddziałami Integracyjnymi, ul. Podhalańska 7, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;53;244;271;73
40;"Filia Szkoły Podstawowej Nr 2, ul. Władysława Barbackiego 34A, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;75;424;269;101
41;"Szkoła Podstawowa Nr 9, ul. Grzegorza Piramowicza 16, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;125;401;512;155
42;"Szkoła Podstawowa Nr 9, ul. Grzegorza Piramowicza 16, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;94;60;319;305
43;"Szkoła Podstawowa Nr 9, ul. Grzegorza Piramowicza 16, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;86;346;582;131
44;"Szkoła Podstawowa Nr 14, ul. Towarowa 6, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;58;196;475;119
45;"Szkoła Podstawowa Nr 17, ul. Mała Poręba 57, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;140;448;830;215
46;"Zakład Ubezpieczeń Społecznych, ul. Henryka Sienkiewicza 77, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;72;277;254;63
47;"Spółdzielnia Mieszkaniowa ""BESKID"", ul. Bogusławy Agaty Konstanty 12A, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;58;506;264;114
48;"Dom Pomocy Społecznej, ul. Emilii Plater 20, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;2;7;30;2
49;"Dom Pomocy Społecznej, ul. Nawojowska 155, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;3;1;15;2
50;"Dom Pomocy Społecznej, ul. Nawojowska 159, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;0;5;27;3
51;"Szpital Specjalistyczny im. J. Śniadeckiego, ul. Młyńska 10, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;10;37;106;7
52;"Centrum Kardiologii Inwazyjnej, Elektroterapii i Angiologii, ul. Jana Kilińskiego 68, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;0;1;5;1
53;"Zakład Karny, ul. Pijarska 1, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;22;98;52;73
