"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa Nr 1, ul. Węgierska 6, 33-330 Grybów";121001;"m. Grybów";"nowosądecki";"małopolskie";1;1;54;142;619;73
2;"Urząd Miejski, ul. Rynek 12, 33-330 Grybów";121001;"m. Grybów";"nowosądecki";"małopolskie";1;1;72;267;507;106
3;"Zespół Szkół Zawodowych, ul. Armii Krajowej 19, 33-330 Grybów";121001;"m. Grybów";"nowosądecki";"małopolskie";1;1;56;236;358;44
4;"Liceum Ogólnokształcące, ul. Kościuszki 18, 33-330 Grybów";121001;"m. Grybów";"nowosądecki";"małopolskie";1;1;45;132;528;86
1;"Szkoła Podstawowa, ul. Marcinkowicka 9, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;83;319;439;109
2;"Szkoła Podstawowa, Świniarsko 132, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;51;130;289;59
3;"Szkoła Podstawowa, Trzetrzewina 193, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;25;71;177;34
4;"Szkoła Podstawowa, Marcinkowice 132, 33-393 Marcinkowice";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;65;208;507;110
5;"Szkoła Podstawowa, Klęczany 1a, 33-394 Klęczany";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;49;135;314;55
6;"Szkoła Podstawowa, Chomranice 12, 33-394 Klęczany";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;37;155;433;80
