"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TYRALSKA Gaja Gabriela - KW BEZPARTYJNI SAMORZĄDOWCY";"KRZYŻANOWSKI Marcin Rafał - KW PRAWO I SPRAWIEDLIWOŚĆ";"SCHETYNA Grzegorz Juliusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
97;"Zespół Szkół Ekonomiczno-Ogólnokształcących, ul. Drukarska 50, 53-312 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;211;307;670
98;"Liceum Ogólnokształcące nr VIII, ul. Jantarowa 5, 53-330 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;149;251;581
99;"Liceum Ogólnokształcące nr VIII, ul. Jantarowa 5, 53-330 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;167;256;609
100;"Liceum Ogólnokształcące nr VIII, ul. Zaporoska 71, 53-415 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;200;269;664
101;"Liceum Ogólnokształcące nr VIII, ul. Zaporoska 71, 53-415 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;146;233;379
102;"Szkoła Podstawowa nr 76 z Oddziałami Sportowymi, ul. Wandy 13, 53-320 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;170;203;630
103;"Szkoła Podstawowa nr 76 z Oddziałami Sportowymi, ul. Wandy 13, 53-320 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;178;234;619
104;"Szkoła Podstawowa nr 81, ul. Jastrzębia 26, 53-148 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;190;258;840
105;"Szkoła Podstawowa Nr 81, ul. Jastrzębia 26, 53-148 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;177;374;750
106;"Szkoła Podstawowa Nr 81, ul. Jastrzębia 26, 53-148 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;129;198;608
107;"Szkoła Podstawowa nr 4, ul. Powstańców Śląskich 210 - 218, 53-140 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;164;329;760
108;"Liceum Ogólnokształcące nr V, ul. Jacka Kuronia 14, 50-550 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;281;421;1263
109;"Zespół Szkolno-Przedszkolny nr 19, ul. Januszowicka 35 - 37, 53-135 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;132;268;770
110;"Ośrodek Postaw Twórczych Zamek, ul. Działkowa 15, 50-538 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;269;320;1170
111;"Zespół Szkolno-Przedszkolny nr 21, ul. Kłodzka 40, 50-536 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;354;334;1197
112;"Zespół Szkół nr 2, ul. Borowska 105, 50-551 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;293;354;1126
113;"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;240;409;801
114;"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;235;416;832
115;"Zespół Szkolno-Przedszkolny nr 21, ul. Kłodzka 40, 50-536 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;407;390;1414
116;"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;204;286;905
117;"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;202;293;783
118;"Dzienny Dom Pomocy Społecznej ""Na Ciepłej"", ul. Ciepła 15b, 50-524 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;224;356;720
119;"Szkoła Podstawowa nr 73, ul. Gliniana 30, 50-525 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;182;316;562
120;"Zespół Szkół Logistycznych, ul. Jana Władysława Dawida 9 - 11, 50-527 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;274;314;863
121;"Zespół Szkół Gastronomicznych, ul. Kamienna 86, 50-547 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;198;291;634
122;"Zespół Szkolno-Przedszkolny nr 17, ul. Wieczysta 105, 50-550 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;225;300;760
123;"Zespół Szkół Logistycznych, ul. Jana Władysława Dawida 9 - 11, 50-527 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;194;335;721
124;"Szkoła Podstawowa nr 77, ul. św. Jerzego 4, 50-518 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;276;428;796
125;"Szkoła Podstawowa nr 77, ul. św. Jerzego 4, 50-518 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;202;329;656
126;"Zespół Szkół nr 2, ul. Borowska 105, 50-551 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;248;382;766
127;"Zespół Szkolno-Przedszkolny nr 17, ul. Wieczysta 105, 50-550 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;233;427;714
128;"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;413;317;1189
129;"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;549;444;1878
130;"PGNiG Obrót Detaliczny sp. z o. o. Region Dolnośląski-budynek G, ul. Gazowa 3, 50-513 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;455;376;1535
131;"Szkoła Podstawowa Nr 96, ul. Krakowska 2, 50-425 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;267;272;880
132;"Szkoła Podstawowa Nr 96, ul. Krakowska 2, 50-425 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;159;250;541
133;"Liceum Ogólnokształcące nr IV, ul. Stacha Świstackiego 12 - 14, 50-430 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;296;342;825
134;"Liceum Ogólnokształcące nr IV, ul. Stacha Świstackiego 12 - 14, 50-430 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;281;384;826
135;"Zespół Szkół Teleinformatycznych i Elektronicznych (Budynek Hali Sportowej), ul. Stanisława Worcella 20 - 26, 50-448 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;299;328;828
136;"Muzeum Etnograficzne, ul. gen. Romualda Traugutta 111/113, 50-419 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;192;315;682
137;"Szkoła Podstawowa nr 2, ul. Komuny Paryskiej 36 - 38, 50-451 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;202;182;592
138;"Szermiercza Sportowa Szkoła Podstawowa nr 85, ul. gen. Romualda Traugutta 37, 50-416 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;204;235;673
139;"Liceum Ogólnokształcące nr XIII, ul. gen. Józefa Haukego-Bosaka 33 - 37, 50-447 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;208;270;537
140;"Zespół Szkół Teleinformatycznych i Elektronicznych, ul. gen. Józefa Haukego-Bosaka 21, 50-447 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;172;195;492
141;"Zespół Szkół Ekonomiczno-Administracyjnych, ul. Stanisława Worcella 3, 50-448 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;255;388;664
142;"Szkoła Podstawowa nr 99, ul. Bytomska 7, 52-024 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;515;448;1591
143;"Szkoła Podstawowa nr 99, ul. Bytomska 7, 52-024 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;297;366;1044
144;"Brochowskie Centrum Aktywności Lokalnej we Wrocławiu, ul. Koreańska 1A, 52-121 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;321;450;863
145;"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;250;449;926
146;"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;329;504;1000
147;"Rada Osiedla Jagodno, ul. Jagodzińska 15, 52-129 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;344;284;1290
148;"Rada Osiedla Jagodno, ul. Jagodzińska 15, 52-129 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;472;201;2029
149;"Świetlica ""Cztery Pory Roku-Zima"", ul. Ryszarda Wagnera 3, 52-129 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;275;237;1189
150;"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;254;436;1272
151;"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;299;176;1181
152;"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;183;252;975
153;"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;186;213;1071
154;"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;150;271;886
155;"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;262;294;1290
156;"Rada Osiedla Krzyki-Partynice, ul. Wiosenna 14, 53-017 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;254;402;1154
157;"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;222;344;1153
158;"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;312;304;1662
159;"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;375;355;1337
160;"Szkoła Podstawowa nr 61, ul. Skarbowców 8, 53-025 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;243;379;1135
161;"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;466;310;1794
162;"Szkoła Podstawowa nr 61, ul. Skarbowców 8, 53-025 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;264;188;1207
163;"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;279;403;1139
164;"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;384;239;1341
165;"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;282;233;924
166;"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;305;298;1243
167;"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;303;297;1124
168;"Zespół Szkolno-Przedszkolny nr 9, ul. Mariana Morelowskiego 43, 52-429 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;198;336;1156
287;"Zakład Opiekuńczo-Leczniczy o Profilu Rehabilitacyjnym Zgromadzenia Sióstr Św. Elżbiety, ul. św. Józefa 2/4, 50-329 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;4;46;12
288;"Areszt Śledczy, ul. Świebodzka 1, 50-046 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;81;58;359
289;"Dolnośląskie Centrum Onkologii, Pulmonologii i Hematologii we Wrocławiu, ul. Grabiszyńska 105, 53-439 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;14;50;49
290;"Oddział Zewnętrzny Aresztu Śledczego we Wrocławiu, ul. Fiołkowa 38, 53-239 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;79;42;301
295;"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wrocławiu, Klinika Hematologii, Nowotworów Krwi i Transplantacji Szpiku, Sala Nyska, wyb. Ludwika Pasteura 4, 50-367 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;15;25;39
296;"Dolnośląskie Centrum Onkologii, Pulmonologii i Hematologii we Wrocławiu, pl. Ludwika Hirszfelda 12, 53-413 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;12;36;42
297;"4. Wojskowy Szpital Kliniczny z Polikliniką SP ZOZ we Wrocławiu, ul. Rudolfa Weigla 5, 53-114 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;20;70;84
298;"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wrocławiu-budynek H, sala wykładowa, pom. nr 3. 48, ul. Borowska 213, 50-556 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;19;44;67
299;"Uniwersytecki Szpital Kliniczny im. Jana Mikulicza-Radeckiego we Wrocławiu-budynek J, sala wykładowa im. prof. Tadeusza Kaniowskiego, pom. 1. 182, ul. Borowska 213, 50-556 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;32;49;94
300;"ORPEA Polska Sp. z o. o., ul. Dyrekcyjna 5 - 7, 50-528 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;8;17;45
301;"Dom Pomocy Społecznej ""Samarytanin"", ul. Świątnicka 25/27, 52-018 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;4;34;20
302;"Szpital Specjalistyczny im. A. Falkiewicza budynek Ginekologiczno-Położniczy ""Sala Konferencyjna"", ul. Warszawska 2, 52-114 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;5;11;18
303;"Dom Pomocy Społecznej, ul. Karmelkowa 25, 52-437 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;2;76;12
