"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
86;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;307;669
87;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;392;982
88;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;338;722
89;"Szkoła Podstawowa Nr 21, ul. Batalionu ""Skała"" AK 12, 31-273 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;354;774
90;"Szkoła Podstawowa Nr 21, ul. Batalionu ""Skała"" AK 12, 31-273 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;402;999
91;"Szkoła Podstawowa Nr 21, ul. Batalionu ""Skała"" AK 12, 31-273 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;468;1668
92;"Samorządowe Przedszkole Nr 165, ul. Wincentego Danka 1, 31-229 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;396;1024
93;"Szkoła Podstawowa Nr 67, ul. Kaczorówka 4, 31-264 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;537;1351
94;"Zespół Szkolno-Przedszkolny Nr 14, ul. Stawowa 179, 31-346 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;519;1258
95;"Zespół Szkolno-Przedszkolny Nr 14, ul. Stawowa 179, 31-346 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;328;1274
96;"Publiczna Katolicka Szkoła Podstawowa im. św. Joanny Beretty Molli, ul. Stelmachów 137, 31-349 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;328;1584
97;"Szkoła Podstawowa Nr 119, ul. Bolesława Czerwieńskiego 1, 31-319 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;261;1062
98;"Szkoła Podstawowa Nr 119, ul. Bolesława Czerwieńskiego 1, 31-319 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;257;985
99;"Szkoła Podstawowa Nr 119, ul. Bolesława Czerwieńskiego 1, 31-319 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;385;670
100;"Szkoła Podstawowa Nr 119, ul. Bolesława Czerwieńskiego 1, 31-319 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;252;561
