"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
170;"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;204;906
171;"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;209;1069
172;"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;275;1246
173;"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;197;836
174;"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;451;1169
175;"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;357;1374
176;"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;368;829
177;"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;365;766
178;"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;333;631
179;"Szkoła Podstawowa Nr 40, ul. Pszczelna 13, 30-385 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;381;1212
180;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 151, ul. Wacława Lipińskiego 2, 30-349 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;309;803
181;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 151, ul. Wacława Lipińskiego 2, 30-349 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;296;875
182;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 151, ul. Wacława Lipińskiego 2, 30-349 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;328;647
183;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 151, ul. Wacława Lipińskiego 2, 30-349 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;375;981
184;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 158, ul. Strąkowa 3a, 30-410 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;424;707
185;"Miejskie Przedsiębiorstwo Komunikacyjne S. A., ul. Jana Brożka 3, 30-347 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;364;618
186;"Łódzki Instytut Technologiczny, ul. Zakopiańska 9, 30-418 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;332;767
187;"Szkoła Podstawowa Nr 56, ul. Aleksandra Fredry 65, 30-605 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;448;1098
188;"Szkoła Podstawowa Nr 56, ul. Aleksandra Fredry 65, 30-605 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;457;567
189;"Centrum Kultury Podgórza Centrum Sztuki Współczesnej „Solvay”, ul. Zakopiańska 62, 30-418 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;160;347
190;"Szkoła Podstawowa Nr 49, ul. Józefa Montwiłła-Mireckiego 29, 30-426 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;365;1043
191;"Szkoła Podstawowa Nr 49, ul. Józefa Montwiłła-Mireckiego 29, 30-426 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;333;1017
192;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 6, ul. Niecała 8, 30-425 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;428;1014
193;"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, 30-436 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;328;675
