"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MARANDA Marcin - KW BEZPARTYJNI SAMORZĄDOWCY";"KONIECZNY Wojciech Jan - KW NOWA LEWICA";"POHORECKA Monika Sylwia - KW PRAWO I SPRAWIEDLIWOŚĆ";"BIEŃKOWSKA Małgorzata Beata - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
13;"IV LO im. H. Sienkiewicza, al. Aleja Najświętszej Maryi Panny 56, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;37;216;159;42
14;"Urząd Miasta Częstochowy, ul. Jerzego Waszyngtona 5, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;70;351;197;52
15;"Szkoła Podstawowa nr 14, ul. Jerzego Waszyngtona 62, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;89;452;213;62
16;"Szkoła Podstawowa nr 39, ul. Mikołaja Kopernika 79/87, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;112;455;257;81
17;"VII LO im. M. Kopernika, ul. Feliksa Nowowiejskiego 18, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;105;513;261;99
18;"Oddział Eksploatacji ZGM TBS sp. z o. o., ul. Feliksa Nowowiejskiego 26, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;77;340;188;56
19;"Szkoła Podstawowa nr 9, ul. Jana III Sobieskiego 15, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;123;447;251;84
20;"Szkoła Podstawowa nr 9, ul. Jana III Sobieskiego 15, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;136;617;359;123
21;"Szkoła Podstawowa nr 33, ul. Seweryna Goszczyńskiego 9/11, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;136;442;272;83
22;"Szkoła Podstawowa nr 33, ul. Seweryna Goszczyńskiego 9/11, 42-217 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;108;429;312;83
23;"Miejskie Przedszkole nr 35, ul. 1 Maja 5, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;231;556;300;109
24;"Zespół Szkół Ekonomicznych, ul. św. Augustyna 28/30, 42-226 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;46;248;169;49
25;"Zespół Szkolno-Przedszkolny nr 5, ul. św. Barbary 32, 42-226 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;136;500;620;117
26;"Zespół Szkół Gastronomicznych, ul. Stanisława Worcella 1, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;59;235;135;46
27;"Zespół Szkół Gastronomicznych, ul. Stanisława Worcella 1, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;70;468;246;79
28;"VIII LO Samorządowe, ul. Stanisława Worcella 22, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;86;412;202;66
29;"Szkoła Podstawowa nr 1, ul. Księżycowa 6, 42-202 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;69;376;202;74
30;"Miejskie Przedszkole nr 11, ul. kpt. Jerzego Kurpińskiego-Ponurego 6, 42-215 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;94;467;323;81
31;"Szkoła Podstawowa nr 42, al. Aleja Armii Krajowej 68a, 42-215 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;57;351;226;70
32;"Szkoła Podstawowa nr 42, al. Aleja Armii Krajowej 68a, 42-215 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;63;288;219;45
33;"Szkoła Podstawowa nr 42, al. Aleja Armii Krajowej 68a, 42-215 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;87;402;271;65
34;"Hala sportowo-widowiskowo Polonia, ul. Dekabrystów 43, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;100;403;281;95
35;"II LO im. R. Traugutta, ul. Jana Kilińskiego 62, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;37;201;123;51
36;"Szkoła Podstawowa nr 41, ul. Okólna 31/39, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;130;672;348;91
37;"Szkoła Podstawowa nr 41, ul. Okólna 31/39, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;97;823;278;91
38;"Miejskie Przedszkole nr 12, ul. Władysława Broniewskiego 18, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;85;513;329;96
39;"Miejskie Przedszkole nr 42, ul. Polskiego Czerwonego Krzyża 16, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;124;588;379;98
40;"Szkoła Podstawowa nr 31, ul. Polskiego Czerwonego Krzyża 18, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;103;647;470;113
41;"Szkoła Podstawowa nr 31, ul. Polskiego Czerwonego Krzyża 18, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;117;949;388;129
42;"Szkoła Podstawowa nr 30, ul. Ludowa 58, 42-215 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;109;597;421;106
43;"Szkoła Podstawowa nr 30, ul. Ludowa 58, 42-215 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;85;359;206;77
44;"Szkoła Podstawowa nr 38, ul. gen. Władysława Sikorskiego 56, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;147;802;447;124
45;"Szkoła Podstawowa nr 38, ul. gen. Władysława Sikorskiego 56, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;219;1402;377;217
46;"Miejskie Przedszkole nr 38, ul. gen. Leopolda Okulickiego 63, 42-218 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;122;658;433;101
47;"Zespół Szkół Technicznych, al. Aleja Jana Pawła II 126/130, 42-200 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;81;461;506;85
48;"Szkoła Podstawowa nr 2, ul. Krzysztofa Kamila Baczyńskiego 2a, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;129;700;383;117
49;"Szkoła Podstawowa nr 2, ul. Krzysztofa Kamila Baczyńskiego 2a, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;131;633;327;115
50;"Szkoła Podstawowa nr 2, ul. Krzysztofa Kamila Baczyńskiego 2a, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;131;713;358;105
51;"Szkoła Podstawowa nr 48, ul. Leona Schillera 5, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;119;637;369;96
52;"Szkoła Podstawowa nr 48, ul. Leona Schillera 5, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;107;539;369;89
53;"Szkoła Podstawowa nr 48, ul. Leona Schillera 5, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;58;360;183;48
54;"Szkoła Podstawowa nr 48, ul. Leona Schillera 5, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;102;577;374;99
55;"Miejskie Przedszkole nr 15, ul. prof. Kazimierza Michałowskiego 32, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;26;193;71;23
56;"Miejskie Przedszkole nr 16, ul. Stefana Starzyńskiego 9, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;101;549;408;119
57;"Szkoła Podstawowa nr 50, ul. Stefana Starzyńskiego 10, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;96;593;353;64
58;"Szkoła Podstawowa nr 50, ul. Stefana Starzyńskiego 10, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;160;960;369;171
59;"Szkoła Podstawowa nr 50, ul. Stefana Starzyńskiego 10, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;118;527;311;80
60;"Szkoła Podstawowa nr 50, ul. Stefana Starzyńskiego 10, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;96;512;345;83
61;"Szkoła Podstawowa nr 54, ul. Jerzego Kukuczki 30, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;93;474;284;75
62;"Szkoła Podstawowa nr 54, ul. Jerzego Kukuczki 30, 42-224 Częstochowa";246401;"m. Częstochowa";"Częstochowa";"śląskie";1;1;87;349;243;77
