"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZEGORCZYK Hubert - KW PRAWO I SPRAWIEDLIWOŚĆ";"BORUSEWICZ Bogdan Michał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZOSTAK Artur - KW POLSKA PARTIA PIRATÓW"
141;"Szkoła Podstawowa Nr 79, Gdańsk ul. Kołobrzeska 49, 80-391 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;320;845;112
142;"XXI Liceum Ogólnokształcące z Oddziałami Sportowymi, Gdańsk ul. Kołobrzeska 75, 80-396 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;368;1417;152
143;"XXI Liceum Ogólnokształcące z Oddziałami Sportowymi, Gdańsk ul. Kołobrzeska 75, 80-396 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;375;851;127
144;"XXI Liceum Ogólnokształcące z Oddziałami Sportowymi, Gdańsk ul. Kołobrzeska 77, 80-396 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;403;1177;155
145;"Zespół Szkół Kreowania Wizerunku, Gdańsk ul. Prezydenta Lecha Kaczyńskiego 35, 80-365 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;323;1120;95
146;"Szkoła Podstawowa Nr 44, Gdańsk ul. Jagiellońska 24, 80-366 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;244;661;80
147;"Zespół Szkolno-Przedszkolny Nr 1, Gdańsk ul. Jagiellońska 5, 80-371 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;347;930;91
148;"Zespół Szkolno-Przedszkolny Nr 1, Gdańsk ul. Jagiellońska 5, 80-371 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;299;974;133
149;"Zespół Szkolno-Przedszkolny Nr 1, Gdańsk ul. Jagiellońska 14, 80-371 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;315;842;94
150;"Zespół Szkolno-Przedszkolny Nr 1, Gdańsk ul. Jagiellońska 14, 80-371 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;295;693;92
151;"Wojewódzka i Miejska Biblioteka Publiczna Biblioteka bez Barier, Gdańsk ul. Czerwony Dwór 21, 80-376 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;310;1150;121
152;"Wojewódzka i Miejska Biblioteka Publiczna Biblioteka przy Rynku, Gdańsk ul. Czerwony Dwór 21, 80-376 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;313;1167;112
153;"Zespół Szkół Specjalnych Nr 2, Gdańsk ul. Zgody II 6, 80-380 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;363;1732;163
154;"Zespół Szkół Specjalnych Nr 2, Gdańsk ul. Zgody II 6, 80-380 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;439;1340;162
155;"Osiedlowy Dom Kultury PSM ""KOLEJARZ"", Gdańsk ul. Kołobrzeska 25E, 80-390 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;334;1408;182
156;"Szkoła Podstawowa Nr 46, Gdańsk ul. Arkońska 17, 80-387 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;173;1035;462
157;"Szkoła Podstawowa Nr 82, Gdańsk ul. Radarowa 26, 80-298 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;466;1566;171
158;"Zespół Szkolno-Przedszkolny nr 9, Gdańsk ul. mjr. Mieczysława Słabego 6, 80-298 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;357;1394;163
159;"Pozytywna Szkoła Podstawowa, Gdańsk ul. Azaliowa 18, 80-177 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;400;1635;212
160;"Szkoła Podstawowa Nr 84, Gdańsk ul. Otomińska 72, 80-178 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;296;1629;136
161;"Szkoła Podstawowa Nr 83, Gdańsk ul. Stokłosy 1, 80-298 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;604;1429;228
162;"Szkoła Podstawowa Nr 60, Gdańsk ul. Chłopska 64, 80-350 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;326;969;91
163;"Szkoła Podstawowa Nr 60, Gdańsk ul. Chłopska 64, 80-350 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;334;1000;117
164;"Szkoła Podstawowa Nr 77, Gdańsk ul. Orłowska 13, 80-347 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;595;1694;194
165;"Zespół Szkół Sportowych i Mistrzostwa Sportowego, Gdańsk ul. Subisława 22, 80-354 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;343;945;115
166;"Zespół Szkół Sportowych i Mistrzostwa Sportowego, Gdańsk ul. Subisława 22, 80-354 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;315;952;118
167;"Szkoła Podstawowa Nr 89, Gdańsk ul. Szyprów 3, 80-335 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;345;1000;116
168;"Szkoła Podstawowa Nr 89, Gdańsk ul. Szyprów 3, 80-335 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;351;951;98
169;"Zespół Szkół Architektury Krajobrazu i Handlowo-Usługowych, Gdańsk ul. Józefa Czyżewskiego 31, 80-336 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;259;783;86
170;"RSM ""BUDOWLANI"" Klub Osiedlowy AD-REM, Gdańsk ul. Józefa Czyżewskiego 12, 80-336 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;307;950;93
171;"Akademia Wychowania Fizycznego i Sportu, Gdańsk ul. Kazimierza Górskiego 1, 80-336 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;342;923;128
172;"Szkoła Podstawowa Nr 23, Gdańsk ul. Opacka 7, 80-330 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;259;1097;98
173;"Przedszkole Niepubliczne Fregata, Gdańsk ul. Cystersów 13, 80-330 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;210;646;92
174;"V Liceum Ogólnokształcące, Gdańsk ul. Polanki 130, 80-322 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;223;697;90
175;"Szkoła Podstawowa Nr 35 z Oddziałami Sportowymi, Gdańsk ul. Stanisława Wąsowicza 30, 80-318 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;264;935;97
176;"Regionalne Centrum Informacji i Wspomagania Organizacji Pozarządowych, Gdańsk ul. Wita Stwosza 23, 80-312 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;168;669;61
177;"Uniwersytet Gdański Wydział Prawa i Administracji, Gdańsk ul. Jana Bażyńskiego 6, 80-309 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;93;434;47
178;"Gdańska Szkoła Szermierki, Gdańsk ul. VII Dwór 7, 80-301 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;502;1664;173
179;"Szkoła Podstawowa Nr 81, Gdańsk ul. prof. Michała Siedleckiego 14, 80-299 Gdańsk 24";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;423;1524;185
180;"Szkoła Podstawowa Nr 81, Gdańsk ul. prof. Michała Siedleckiego 14, 80-299 Gdańsk 24";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;342;1415;155
181;"Szkoła Podstawowa Nr 81, Gdańsk ul. prof. Michała Siedleckiego 14, 80-299 Gdańsk 24";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;443;1592;163
182;"Zespół Szkół Ogólnokształcących Nr 2, Gdańsk ul. Wodnika 57, 80-299 Gdańsk 24";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;341;1798;193
183;"Zespół Szkół Ogólnokształcących Nr 2, Gdańsk ul. Wodnika 57, 80-299 Gdańsk 24";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;360;1794;190
184;"Morska Szkoła Podstawowa Gdańsk-Południe, Gdańsk ul. Srebrna 11, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;360;1393;239
185;"Areszt Śledczy Oddział Zewnętrzny, Gdańsk ul. Siennicka 23, 80-758 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;60;289;50
186;"Areszt Śledczy, Gdańsk ul. Kurkowa 12, 80-803 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;91;622;68
187;"COPERNICUS PL Sp. z o. o. Szpital im. Mikołaja Kopernika, Gdańsk ul. Nowe Ogrody 1-6, 80-803 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;23;74;9
188;"SP ZOZ Ministerstwa Spraw Wewnętrznych i Administracji w Gdańsku, Gdańsk ul. Kartuska 4/6, 80-104 Gdańsk 18";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;11;16;0
189;"COPERNICUS PL Sp. z o. o. Szpital im. Mikołaja Kopernika, Gdańsk ul. Powstańców Warszawskich 1/2, 80-152 Gdańsk 18";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;4;12;1
190;"Uniwersyteckie Centrum Kliniczne, Gdańsk ul. Mariana Smoluchowskiego 17, 80-214 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;90;283;23
191;"Dom Pomocy Społecznej „Ostoja”, Gdańsk ul. Hoża 4, 80-628 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;6;5;2
192;"Wojewódzki Szpital Psychiatryczny im. prof. Tadeusza Bilikiewicza, Gdańsk ul. Srebrniki 17, 80-282 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;44;86;9
193;"Uniwersyteckie Centrum Kliniczne, Gdańsk al. Aleja Zwycięstwa 30, 80-219 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;8;20;5
194;"COPERNICUS PL Sp. z o. o. Szpital Św. Wojciecha, Gdańsk al. Aleja Jana Pawła II 50, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;39;122;12
195;"Stowarzyszenie Domu Opieki „Złota Jesień”, Gdańsk ul. Franciszka Hynka 12, 80-465 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;26;20;2
196;"Centrum Pomocowe Caritas im. Jana Pawła II, Gdańsk ul. Fromborska 24, 80-389 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;25;26;3
197;"Dom Pomocy Społecznej „Polanki”, Gdańsk ul. Polanki 121, 80-308 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;28;17;5
198;"Centrum Opieki Serenus Oddział Fundacji Laurentius, Gdańsk ul. Przemyska 17, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;15;23;0
199;"7 Szpital Marynarki Wojennej z Przychodnią SP ZOZ, Gdańsk ul. Polanki 117, 80-308 Gdańsk 5";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;13;54;0
200;"Społeczny Dom Studenta, Gdańsk ul. Dębowa 7, 80-204 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;30;244;37
201;"Dom Studencki nr 3, Gdańsk ul. Do Studzienki 32, 80-227 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;9;66;32
202;"Dom Studencki nr 8, Gdańsk ul. Stanisława Wyspiańskiego 5A, 80-432 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;8;81;28
1;"Szkoła Podstawowa z Oddziałami Sportowymi Nr 7 im. Tadeusza Kościuszki, ul. Jana Jerzego Haffnera 55, 81-715 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;184;511;55
2;"Państwowa Galeria Sztuki, pl. Plac Zdrojowy 2, 81-720 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;146;506;50
3;"Urząd Miasta Sopotu, ul. Tadeusza Kościuszki 18, 81-704 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;132;500;56
4;"Pomorskie Centrum Reumatologiczne im. dr Jadwigi Titz-Kosko Zakład Rehabilitacji Leczniczej, pl. Plac Zdrojowy 3, 81-720 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;187;628;66
5;"Centrum Kształcenia Ustawicznego im. Bohaterów Wybrzeża, ul. Tadeusza Kościuszki 22 - 24, 81-704 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;210;574;52
6;"Zespół Szkół Specjalnych Nr 5 im. Marii Grzegorzewskiej, ul. Kazimierza Wielkiego 14, 81-780 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;251;874;78
7;"Muzeum Sopotu, ul. Księcia Józefa Poniatowskiego 8, 81-724 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;245;789;75
8;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 8 im. Jana Matejki, ul. Józefa Golca 3, 81-743 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;234;921;84
9;"Przedszkole Nr 8, ul. Jana z Kolna 3, 81-746 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;309;1426;120
10;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 1 (wejście od ul. Bocznej), ul. Armii Krajowej 50/54, 81-843 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;299;849;83
11;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 1 (wejście od ul. Armii Krajowej i ul. Bocznej), ul. Armii Krajowej 50/54, 81-843 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;193;717;71
12;"Dom Pomocy Społecznej, ul. Adama Mickiewicza 49, 81-866 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;222;671;49
13;"II Liceum Ogólnokształcące im. Bolesława Chrobrego, ul. Aleja Niepodległości 751, 81-838 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;260;857;89
14;"Uniwersytet Gdański, ul. Armii Krajowej 119/121, 81-824 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;186;830;70
15;"Przedszkole Nr 2 im. Jana Brzechwy, ul. 23 Marca 90, 81-820 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;329;885;93
16;"Sopockie Ognisko Plastyczne, ul. Księżycowa 3b, 81-821 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;228;667;75
17;"Spółdzielnia Mieszkaniowa im. J. I. Kraszewskiego, ul. Józefa Kraszewskiego 31, 81-815 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;254;926;79
18;"Zespół Szkół Technicznych, ul. Wejherowska 1, 81-814 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;155;457;45
19;"Niepubliczna Szkoła Podstawowa Las Academy, ul. Kujawska 50/52, 81-862 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;265;778;81
20;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 9 im. Gen. Władysława Sikorskiego, ul. Oskara Kolberga 15, 81-881 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;250;770;65
21;"Przedszkole z Oddziałami Integracyjnymi Nr 12, ul. Oskara Kolberga 8, 81-881 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;282;739;77
22;"Pomorskie Centrum Reumatologiczne im. dr Jadwigi Titz-Kosko w Sopocie Sp. z o. o., ul. Grunwaldzka 1 - 3, 81-759 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;9;31;3
23;"Pomorskie Centrum Reumatologiczne im. dr Jadwigi Titz-Kosko w Sopocie Sp. z o. o., ul. 23 Marca 93, 81-820 Sopot";226401;"m. Sopot";"Sopot";"pomorskie";1;1;17;22;1
