"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KŁOSOWSKI Tomasz Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"TYSZKIEWICZ Wadim - KWW WADIM TYSZKIEWICZ - PAKT SENACKI"
2;"Dom Dziennego Pobytu Seniora, ul. Okrzei 9, 68-320 Jasień";81104;"gm. Jasień";"żarski";"lubuskie";1;1;260;687
3;"Szkoła Podstawowa w Wicinie, Wicina 15, 68-320 Jasień";81104;"gm. Jasień";"żarski";"lubuskie";1;1;75;121
4;"Świetlica Wiejska, Lisia Góra 27, 68-320 Jasień";81104;"gm. Jasień";"żarski";"lubuskie";1;1;204;331
5;"Świetlica Wiejska, Guzów 3, 68-320 Jasień";81104;"gm. Jasień";"żarski";"lubuskie";1;1;89;151
1;"Zespół Szkolno-Przedszkolny, ul. Szkolna 7, 68-213 Lipinki Łużyckie";81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";1;1;149;370
2;"Świetlica Wiejska w Lipinkach Łużyckich, ul. Główna 21, 68-213 Lipinki Łużyckie";81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";1;1;121;324
3;"Świetlica Wiejska, Grotów 26, 68-213 Lipinki Łużyckie";81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";1;1;74;112
4;"Świetlica wiejska, Pietrzyków 14, 68-213 Lipinki Łużyckie";81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";1;1;92;111
5;"Świetlica Wiejska, Zajączek 12a, 68-213 Lipinki Łużyckie";81105;"gm. Lipinki Łużyckie";"żarski";"lubuskie";1;1;97;122
1;"Urząd Miejski w Lubsku (Ratusz), pl. Plac Wolności 1, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;333;778
2;"Biblioteka-Centrum Kultury im. Jana Raka, pl. Plac Jana Pawła II 1, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;144;351
3;"Sala Gimnastyczna ZST, ul. Lubelska 10, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;340;972
4;"Zespół Szkół Technicznych, ul. Powstańców Wielkopolskich 2, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;210;408
5;"Szkoła Podstawowa Nr 1, ul. Strzelecka 1, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;199;525
6;"Szkoła Podstawowa Nr 2, ul. Bohaterów 6, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;257;700
7;"Biblioteka-Centrum Kultury im. Jana Raka, al. Aleja Wojska Polskiego 2, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;261;697
8;"Świetlica wiejska, Mierków 49, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;158;234
9;"Szkoła Podstawowa, Górzyn 1, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;253;490
10;"OSP, Stara Woda 29, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;204;363
11;"Dom Pomocy Społecznej, ul. Zamkowa 27, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;32;15
12;"Świetlica wiejska, Dłużek 77 A, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;50;88
13;"Świetlica wiejska, Grabków 37 A, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;80;141
14;"Oddział Zewnętrzny w Lubsku, ul. Nowa 2, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;14;39
15;"Zakład Pielęgnacyjno-Opiekuńczy, ul. Poznańska 2, 68-300 Lubsko";81106;"gm. Lubsko";"żarski";"lubuskie";1;1;2;0
1;"Świetlica Wiejska, Lipna 38B, 68-132 Przewóz";81107;"gm. Przewóz";"żarski";"lubuskie";1;1;139;101
2;"Sala Sportowa, ul. Pocztowa 5, 68-132 Przewóz";81107;"gm. Przewóz";"żarski";"lubuskie";1;1;121;372
3;"Świetlica Wiejska, Piotrów 49A, 68-132 Przewóz";81107;"gm. Przewóz";"żarski";"lubuskie";1;1;192;170
4;"Świetlica Wiejska, Mielno 36C, 68-132 Przewóz";81107;"gm. Przewóz";"żarski";"lubuskie";1;1;32;88
5;"Świetlica Wiejska, Sanice ul. Młyńska 4A, 68-132 Przewóz";81107;"gm. Przewóz";"żarski";"lubuskie";1;1;83;98
6;"Świetlica Wiejska, Straszów 18, 68-132 Przewóz";81107;"gm. Przewóz";"żarski";"lubuskie";1;1;51;84
1;"Szkoła Podstawowa im. Orła Białego w Trzebielu, ul. Szkolna 5, 68-212 Trzebiel";81108;"gm. Trzebiel";"żarski";"lubuskie";1;1;326;771
2;"Świetlica wiejska, Dębinka 57, 68-212 Trzebiel";81108;"gm. Trzebiel";"żarski";"lubuskie";1;1;86;110
3;"Szkoła Podstawowa im Jana Pawła II w Niwicy, Niwica 17, 68-210 Nowe Czaple";81108;"gm. Trzebiel";"żarski";"lubuskie";1;1;244;268
4;"Szkoła Podstawowa im. Łuku Mużakowa w Nowych Czaplach, ul. Wolności 6a, 68-210 Nowe Czaple";81108;"gm. Trzebiel";"żarski";"lubuskie";1;1;217;330
5;"Szkoła Podstawowa im Orląt Lwowskich w Żarkach Wielkich, Żarki Wielkie ul. Kościelna 25, 68-210 Nowe Czaple";81108;"gm. Trzebiel";"żarski";"lubuskie";1;1;145;220
1;"Ośrodek Pomocy Społecznej w Tuplicach, ul. Parkowa 17, 68-219 Tuplice";81109;"gm. Tuplice";"żarski";"lubuskie";1;1;346;765
2;"Świetlica Środowiskowa, Drzeniów 22, 68-300 Lubsko";81109;"gm. Tuplice";"żarski";"lubuskie";1;1;114;219
1;"Remiza Strażacka, Bieniów ul. Górna 2B, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;274;383
2;"Szkoła Podstawowa, Lubanice 20, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;272;428
3;"Świetlica Wiejska, Mirostowice Dolne ul. Plac Kościelny 19, 68-206 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;197;390
4;"Szkoła Podstawowa, Olbrachtów 40, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;193;494
5;"Szkoła Podstawowa, Sieniawa Żarska 40, 68-213 Lipinki Łużyckie";81110;"gm. Żary";"żarski";"lubuskie";1;1;196;374
6;"Szkoła Podstawowa, Złotnik 14, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;183;234
7;"Świetlica Wiejska, Marszów 35, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;189;332
8;"Zespół Szkół w Grabiku, Grabik 102, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;160;398
9;"Świetlica Wiejska, Bogumiłów 14, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;51;72
10;"Świetlica Wiejska, Kadłubia 27, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;98;210
11;"Świetlica Wiejska, Lubomyśl 8, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;75;148
12;"Świetlica Wiejska, Łaz 58a, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;129;226
13;"Świetlica Wiejska, Miłowice 15, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;51;98
14;"Świetlica Wiejska, Mirostowice Górne 54 B, 68-200 Żary";81110;"gm. Żary";"żarski";"lubuskie";1;1;95;150
1;"Szkoła Podstawowa im. Franciszka Niewidziajły, ul. Odrodzonego Wojska Polskiego 16, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;454;965
2;"Szkoła Podstawowa im. Franciszka Niewidziajły, ul. Odrodzonego Wojska Polskiego 14, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;226;540
3;"Świetlica Wiejska, Lubogoszcz 6, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;117;224
4;"Sala Wiejska, Stare Strącze 191, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;226;405
5;"Sala Wiejska, Krzepielów 136A, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;108;188
6;"Dom Kultury, Ciosaniec 19, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;181;227
7;"Remiza OSP, Łupice ul. Szkolna 13, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;178;217
8;"Sala Wiejska, Lipinki 53, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;103;161
9;"Dom Kultury, Śmieszkowo 20, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;130;189
10;"Świetlica Wiejska, Krążkowo 94, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;93;140
11;"Świetlica Wiejska, Przybyszów 65a, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;81;95
12;"Sala Wiejska, Kuźnica Głogowska 1B, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;75;205
13;"Świetlica Wiejska, Gola 39, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;59;66
14;"Świetlica Wiejska, Radzyń ul. Sportowa 1a, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;90;276
15;"Świetlica Wiejska, Wróblów 9 B, 67-410 Sława";81201;"gm. Sława";"wschowski";"lubuskie";1;1;54;90
1;"Świetlica Miejska w Szlichtyngowie, ul. Głogowska 1, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;328;370
2;"Szkoła Podstawowa im. Danuty Siedzikówny ""Inki"" w Starych Drzewcach, Stare Drzewce 55, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;164;126
3;"Szkoła Podstawowa im. Wojska Polskiego w Jędrzychowicach, Kowalewo 62a, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;67;60
4;"Szkoła Podstawowa im. Jana Pawła II, ul. Daszyńskiego 16, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;259;241
5;"Świetlica Wiejska w Goli, Gola 68, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;109;105
6;"Świetlica Wiejska w Jędrzychowicach, Jędrzychowice 15, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;145;112
7;"Świetlica Wiejska w Nowych Drzewcach, Nowe Drzewce 42, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;61;67
8;"Świetlica Wiejska w Zamysłowie, Zamysłów 15, 67-407 Szlichtyngowa";81202;"gm. Szlichtyngowa";"wschowski";"lubuskie";1;1;96;77
1;"Szkoła Podstawowa Nr 1, ul. Kazimierza Wielkiego 10, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;392;601
2;"Biblioteka Publiczna, pl. Farny 3, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;381;527
3;"Budynek po Gimnazjum Nr 1, ul. Kopernika 7, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;433;744
4;"Centrum Kultury i Rekreacji, ul. Daszyńskiego 2, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;279;452
5;"Szkoła Podstawowa Nr 2, ul. Wolsztyńska 4, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;391;732
6;"Przedszkole Nr 5, ul. Targowa 8, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;167;330
7;"Szkoła Podstawowa Nr 3, ul. Zacisze 1, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;350;743
8;"Sala Wiejska, Przyczyna Górna 51, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;139;170
9;"Szkoła Podstawowa, Łysiny 2, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;81;134
10;"Sala Wiejska, Hetmanice 34C, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;83;78
11;"Szkoła Podstawowa, Osowa Sień 45 f, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;221;256
12;"Centrum Animacji Kultury, Dębowa Łęka 18, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;134;147
13;"Sala Wiejska, Olbrachcice 40B, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;110;97
14;"Sala Wiejska, Siedlnica 134, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;170;208
15;"Sala Wiejska, Konradowo 41, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;167;139
16;"Sala Wiejska, Kandlewo 67, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;101;66
17;"Sala Wiejska, Lgiń 74, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;126;149
18;"Sala Wiejska, Nowa Wieś 11 A, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;49;91
19;"Sala Wiejska, Przyczyna Dolna 25 C, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;55;165
20;"Sala Wiejska, Tylewice 13, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;109;153
21;"Nowy Szpital we Wschowie, ul. ks. Kostki 33, 67-400 Wschowa";81203;"gm. Wschowa";"wschowski";"lubuskie";1;1;18;11
