"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
2;"Szkoła Podstawowa Nr 4 im. Józefa Lompy, ul. gen. Władysława Sikorskiego 8a, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;435;876
3;"Przedszkole Nr 4, ul. Jana Kużaja 15, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;236;249
4;"Szkoła Podstawowa Nr 2 im. Jana Pawła II, ul. Szymały 36, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;527;687
5;"Szkoła Podstawowa Nr 1 im. Adama Mickiewicza, ul. Krzywa 18, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;474;715
6;"Centrum Kultury ""Karolinka"", pl. Jana Pawła II 2, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;579;741
7;"Miejski Ośrodek Sportu i Rekreacji, Hala sportowa, ul. ks. dr. Józefa Knosały 16, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;744;801
8;"Liceum Ogólnokształcące im. Powstańców Śląskich, pl. Jana Pawła II 8, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;472;580
1;"Zespół Szkolno-Przedszkolny Nr 2, ul. Jagodowa 72, 42-609 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;331;376
2;"Szkoła Podstawowa Nr 13, ul. Armii Krajowej 1, 42-609 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;448;736
3;"Szkoła Podstawowa Nr 13, ul. Armii Krajowej 1, 42-609 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;347;475
4;"Szkoła Podstawowa Nr 13, ul. Armii Krajowej 1, 42-609 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;289;516
5;"Zespół Szkolno-Przedszkolny Nr 1, ul. Juliusza Słowackiego 34, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;355;524
6;"Szkoła Podstawowa Nr 5, ul. Leśna 23, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;378;847
7;"Szkoła Podstawowa Nr 5, ul. Leśna 23, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;500;995
8;"Szkoła Podstawowa Nr 10, ul. Zaciszna 17, 42-606 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;409;828
9;"Szkoła Podstawowa Nr 10, ul. Zaciszna 17, 42-606 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;424;813
10;"Szkoła Podstawowa Nr 11, ul. Józefa Korola 38a, 42-605 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;426;745
11;"Szkoła Podstawowa Nr 11, ul. Józefa Korola 38a, 42-605 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;496;810
