"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
124;"Miejski Dom Kultury ""Koszutka"" Filia ""Dąb"", ul. Krzyżowa 1, 40-111 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;520;352;228
125;"Miejski Dom Kultury ""Koszutka"" Filia ""Dąb"", ul. Krzyżowa 1, 40-111 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;500;336;184
126;"XIV Liceum Ogólnokształcące, ul. Józefowska 32, 40-144 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;589;296;225
127;"Miejski Dom Kultury ""Koszutka"" Filia ""Dąb"", ul. Krzyżowa 1, 40-111 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;467;310;187
128;"Miejskie Przedszkole nr 47, ul. Słoneczna 60, 40-136 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;625;297;284
129;"Zespół Szkolno-Przedszkolny nr 23, ul. Kazimiery Iłłakowiczówny 13, 40-134 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;616;257;233
130;"Zespół Szkolno-Przedszkolny nr 23, ul. Kazimiery Iłłakowiczówny 13, 40-134 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;418;195;151
131;"Komunalny Zakład Gospodarki Mieszkaniowej Świetlica, ul. Michała Grażyńskiego 5, 40-126 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;517;169;181
132;"Miejska Biblioteka Publiczna, Filia nr 11, ul. Michała Grażyńskiego 47, 40-126 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;746;313;262
133;"Zespół Szkolno-Przedszkolny nr 17, ul. Ordona 3d, 40-164 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;641;312;226
134;"IV Liceum Ogólnokształcące, ul. Katowicka 54, 40-165 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;636;211;202
135;"IV Liceum Ogólnokształcące, ul. Katowicka 54, 40-165 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;436;206;167
136;"IV Liceum Ogólnokształcące, ul. Katowicka 54, 40-165 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;467;209;217
137;"Miejska Biblioteka Publiczna Filia nr 16, ul. Wincentego Wajdy 21, 40-175 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;801;406;331
138;"Szkoła Podstawowa nr 39 Specjalna, ul. ks. Franciszka Ścigały 17, 40-208 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;562;384;290
139;"Miejski Dom Kultury ""Bogucice-Zawodzie"", ul. Leopolda Markiefki 44a, 40-213 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;356;265;174
140;"Zespół Szkolno-Przedszkolny nr 4, ul. W. Wróblewskiego 42 - 44, 40-216 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;625;388;299
141;"Zespół Szkolno-Przedszkolny nr 19, ul. Słowiańska 1, 40-216 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;678;429;271
142;"Zespół Szkolno-Przedszkolny nr 5, al. Aleja Walentego Roździeńskiego 82, 40-203 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;507;234;175
143;"Zespół Szkolno-Przedszkolny nr 5, al. Aleja Walentego Roździeńskiego 82, 40-203 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;347;223;161
144;"X Liceum Ogólnokształcące, ul. Karola Miarki 6, 40-224 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;372;222;129
145;"Zespół Szkół nr 1, ul. Stanisława Staszica 2, 40-230 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;854;428;296
146;"Zespół Szkół nr 1, ul. Stanisława Staszica 2, 40-230 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;355;218;150
