"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIAŁOOKA-KOSTENECKA Danuta Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBICKI Sławomir Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
97;"Szkoła Podstawowa nr 33, ul. Cypriana Godebskiego 8, 81-134 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;345;1170
98;"V Liceum Ogólnokształcące, ul. Arendta Dickmana 14, 81-109 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;318;874
99;"Zespół Szkolno-Przedszkolny nr 6, ul. Zielona 53, 81-197 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;249;928
100;"Centrum Kształcenia Zawodowego i Ustawicznego nr 2, ul. płk. Stanisława Dąbka 207, 81-167 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;247;637
101;"Specjalny Ośrodek Szkolno-Wychowawczy nr 1, ul. płk. Stanisława Dąbka 277, 81-155 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;213;600
102;"Centrum Kształcenia Zawodowego i Ustawicznego nr 2, ul. płk. Stanisława Dąbka 207, 81-167 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;368;944
103;"Szkoła Podstawowa nr 6, ul. Cechowa 22, 81-194 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;441;1080
104;"Przedszkole nr 18, ul. Krawiecka 35, 81-178 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;393;1029
105;"Szkoła Podstawowa nr 39, ul. adm. J. Unruga 88, 81-181 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;504;1170
106;"Szkoła Podstawowa nr 39, ul. adm. J. Unruga 88, 81-181 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;255;574
107;"Szkoła Podstawowa nr 39, ul. adm. J. Unruga 88, 81-181 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;294;782
108;"Szkoła Podstawowa nr 44, ul. mjr. Henryka Sucharskiego 10, 81-157 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;458;1056
109;"Zespół Szkolno-Przedszkolny nr 5, ul. Wiceadmirała Kazimierza Porębskiego 21, 81-185 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;408;793
110;"Przedszkole nr 29, ul. adm. J. Unruga 53, 81-181 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;367;1116
111;"Zespół Szkolno-Przedszkolny nr 5, ul. Wiceadmirała Kazimierza Porębskiego 21, 81-185 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;308;645
112;"Przedszkole nr 49, ul. kadm. Włodzimierza Brunona Steyera 2, 81-185 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;386;970
113;"Firma Samochodowa KAJA, ul. adm. J. Unruga 182, 81-153 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;412;828
114;"Firma Samochodowa KAJA, ul. adm. J. Unruga 182, 81-153 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;331;710
115;"Szpital Św. Wincentego a Paulo, ul. Wójta Radtkego 1, 81-348 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;22;45
116;"Szpital Morski im. PCK, ul. Powstania Styczniowego 1, 81-519 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;38;64
117;"Uniwersyteckie Centrum Medycyny Morskiej i Tropikalnej, ul. Powstania Styczniowego 9B, 81-519 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;8;17
118;"Dom Pomocy Społecznej, ul. Pawia 31, 81-078 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;13;26
