"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
5;"Szkoła Podstawowa, Stary Lipowiec 47a, 23-414 Majdan Stary";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;8;115;16;10;3;11
6;"OSP Płusy, Płusy 21B, 23-415 Księżpol";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;8;143;24;40;7;24
7;"OSP Rogale, Rogale 39B, 23-415 Księżpol";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;13;137;21;34;1;21
1;"Szkoła Podstawowa im. por. Edwarda Błaszczaka ps. „GROM"" w Chmielku, Chmielek 81, 23-412 Łukowa";60209;"gm. Łukowa";"biłgorajski";"lubelskie";1;1;57;414;60;98;10;54
2;"Szkoła Podstawowa im. Jana Pawła II w Łukowej, Łukowa 341, 23-412 Łukowa";60209;"gm. Łukowa";"biłgorajski";"lubelskie";1;1;42;573;63;114;7;56
3;"Gminny Ośrodek Kultury w Łukowej, Łukowa 569A, 23-412 Łukowa";60209;"gm. Łukowa";"biłgorajski";"lubelskie";1;1;33;340;49;88;6;38
1;"Szkoła Podstawowa w Obszy, Obsza 70A, 23-413 Obsza";60210;"gm. Obsza";"biłgorajski";"lubelskie";1;1;45;334;81;100;10;59
2;"Szkoła Podstawowa im. Prymasa Tysiąclecia Ks. Kardynała Stefana Wyszyńskiego w Babicach, Babice 108A, 23-413 Obsza";60210;"gm. Obsza";"biłgorajski";"lubelskie";1;1;26;321;45;38;14;43
3;"Szkoła Podstawowa im. Marii Konopnickiej w Olchowcu, Olchowiec 31, 23-413 Obsza";60210;"gm. Obsza";"biłgorajski";"lubelskie";1;1;17;174;26;25;4;20
4;"Szkoła Podstawowa im. Jana Pawła II w Zamchu, Zamch 117, 23-413 Obsza";60210;"gm. Obsza";"biłgorajski";"lubelskie";1;1;34;456;81;53;9;66
1;"Szkoła Podstawowa w Lipinach Dolnych, Lipiny Dolne 156a, 23-423 Potok Górny";60211;"gm. Potok Górny";"biłgorajski";"lubelskie";1;1;31;425;59;97;5;62
2;"Szkoła Podstawowa w Lipinach Górnych, Lipiny Górne-Borowina 1a, 23-423 Potok Górny";60211;"gm. Potok Górny";"biłgorajski";"lubelskie";1;1;27;219;46;63;2;41
3;"Urząd Gminy w Potoku Górnym, Potok Górny 116, 23-423 Potok Górny";60211;"gm. Potok Górny";"biłgorajski";"lubelskie";1;1;44;431;54;76;8;74
4;"Szkoła Podstawowa w Szyszkowie, Szyszków 27a, 23-423 Potok Górny";60211;"gm. Potok Górny";"biłgorajski";"lubelskie";1;1;31;627;96;70;6;77
