"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
16;"Szkoła Podstawowa im. Marszałka Józefa Piłsudskiego w Prusach, Prusy ul. Niepodległości 12, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;198;186;29;49
17;"Świetlica Wiejska w Krzysztoforzycach, Krzysztoforzyce ul. Parkowa 6, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;237;187;22;34
18;"Świetlica Wiejska w Czulicach, Czulice 50, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;156;63;9;27
19;"Remiza Ochotniczej Straży Pożarnej w Rawałowicach, Rawałowice 1A, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;104;77;9;16
20;"Filia Samorządowego Żłobka ""Małe Misie"" w Głębokiej, Głęboka 1A, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;125;97;13;18
1;"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;251;444;33;31
2;"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;264;405;25;49
3;"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;213;317;16;30
4;"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;232;301;31;38
5;"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;212;387;17;37
6;"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice";120606;"gm. Krzeszowice";"krakowski";"małopolskie";1;1;257;418;21;48
