"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JEMIELITY Ewa Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRUPIŃSKI Rafał Szymon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
149;"Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci i Młodzieży Niepełnosprawnej im. Zbigniewa Tylewicza, ul. Augustyna Szamarzewskiego 78/82, 60-569 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;239;837
150;"Szkoła Podstawowa nr 70 im. Mikołaja Kopernika, ul. Piękna 37, 60-591 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;329;1042
151;"Zespół Szkół Geodezyjno-Drogowych im. Rudolfa Modrzejewskiego, ul. Szamotulska 33, 60-365 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;261;760
152;"Regionalne Centrum Krwiodawstwa i Krwiolecznictwa, ul. Marcelińska 44, 60-354 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;200;720
153;"Zespół Szkół Elektrycznych nr 2 im. ks. Piotra Wawrzyniaka, ul. Świt 25, 60-375 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;292;1079
154;"Zespół Szkół Elektrycznych nr 2 im. ks. Piotra Wawrzyniaka, ul. Świt 25, 60-375 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;355;952
155;"Zespół Szkół Specjalnych nr 101 im. Jana Brzechwy, ul. Swoboda 41, 60-389 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;286;851
156;"Zespół Szkół Specjalnych nr 101 im. Jana Brzechwy, ul. Swoboda 41, 60-389 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;342;1000
157;"Szkoła Podstawowa nr 91 z Oddziałami Dwujęzycznymi im. Józefa Wybickiego, ul. Promyk 4, 60-393 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;291;807
158;"Szkoła Podstawowa nr 88 im. Poznańskich Koziołków, ul. Swoboda 53, 60-389 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;336;910
159;"Zespół Szkół Gastronomicznych im. Karola Libelta, ul. Podkomorska 49, 60-326 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;311;986
160;"Zespół Szkół Gastronomicznych im. Karola Libelta, ul. Podkomorska 49, 60-326 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;301;846
161;"Szkoła Podstawowa nr 90 im. hr. Władysława Zamoyskiego, ul. Józefa Chociszewskiego 56, 60-261 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;372;1457
162;"Szkoła Podstawowa nr 80 im. Kornela Makuszyńskiego, ul. Pogodna 84, 60-137 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;318;1087
163;"XI Liceum Ogólnokształcące im. Jadwigi i Wacława Zembrzuskich, ul. Piotra Ściegiennego 134, 60-304 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;285;991
164;"Szkoła Podstawowa nr 7 im. Erazma z Rotterdamu, ul. Galileusza 14, 60-159 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;315;1230
165;"International School of Poznań, ul. Edmunda Taczanowskiego 18, 60-147 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;290;894
166;"Szkoła Podstawowa nr 7 im. Erazma z Rotterdamu, ul. Galileusza 14, 60-159 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;316;1024
167;"Szkoła Podstawowa nr 7 im. Erazma z Rotterdamu, ul. Galileusza 14, 60-159 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;303;1006
168;"Szkoła Podstawowa nr 72 z Oddziałami Dwujęzycznymi i Sportowymi im. Mikołaja Kopernika, ul. Izaaka Newtona 2, 60-161 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;399;1129
169;"Szkoła Podstawowa nr 80 im. Kornela Makuszyńskiego, ul. Pogodna 84, 60-137 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;330;1102
170;"Szkoła Podstawowa nr 10 im. Arkadego Fiedlera, ul. Piotra Ściegiennego 10, 60-128 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;179;1180
171;"Szkoła Podstawowa nr 10 im. Arkadego Fiedlera, ul. Piotra Ściegiennego 10, 60-128 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;290;945
172;"Szkoła Podstawowa nr 10 im. Arkadego Fiedlera, ul. Bosa 9, 60-125 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;364;1636
173;"Szkoła Podstawowa nr 10 im. Arkadego Fiedlera, ul. Bosa 9, 60-125 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;301;797
174;"Szkoła Podstawowa nr 4 im. Armii Poznań, ul. Rawicka 12/14, 60-113 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;346;855
175;"Przedszkole nr 67 im. Marii Konopnickiej, ul. Słowicza 15, 60-121 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;362;850
176;"Publiczna Szkoła Podstawowa nr 52 SPECTO, ul. Fabianowo 29, 60-005 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;296;833
177;"Dom Kultury „Stokrotka”, ul. Cyniowa 11, 60-175 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;376;1033
178;"Szkoła Podstawowa nr 78 im. prof. Wiktora Degi, ul. Żonkilowa 34, 60-175 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;372;1154
179;"Szkoła Podstawowa nr 54 im. Jana Kasprowicza, ul. Małoszyńska 38, 60-176 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;264;730
180;"Liceum Plastyczne im. Piotra Potworowskiego w Poznaniu, ul. Junikowska 35, 60-163 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;311;866
181;"Liceum Plastyczne im. Piotra Potworowskiego w Poznaniu, ul. Junikowska 35, 60-163 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;293;1236
182;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Jawornicka 1, 60-161 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;392;1244
183;"Szkoła Podstawowa nr 54 im. Jana Kasprowicza, ul. Małoszyńska 38, 60-176 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;259;1798
184;"Szkoła Podstawowa nr 58 im. Jerzego Kukuczki, ul. Ławica 3, 60-186 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;331;1289
185;"Szkoła Podstawowa nr 58 im. Jerzego Kukuczki, ul. Ławica 3, 60-186 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;260;1049
186;"Szkoła Podstawowa nr 74 im. Mikołaja Kopernika, ul. Trybunalska 17/25, 60-325 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;228;1928
187;"Szkoła Podstawowa nr 58 im. Jerzego Kukuczki, ul. Ławica 3, 60-186 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;323;1166
188;"Szkoła Podstawowa nr 28 im. Kornela Makuszyńskiego, ul. Chojnicka 57, 60-480 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;331;1040
189;"Szkoła Podstawowa nr 57 im. Józefa Kostrzewskiego, ul. Leśnowolska 35, 60-452 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;406;1463
190;"Szkoła Podstawowa nr 57 im. Józefa Kostrzewskiego, ul. Leśnowolska 35, 60-452 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;458;1167
191;"Szkoła Podstawowa nr 57 im. Józefa Kostrzewskiego, ul. Leśnowolska 35, 60-452 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;375;1211
192;"Przedszkole nr 121, ul. Biskupińska 65, 60-463 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;422;1772
193;"Szkoła Podstawowa nr 1, ul. Hezjoda 15, 60-461 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;317;1443
194;"Szkoła Podstawowa nr 1, ul. Hezjoda 15, 60-461 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;446;2065
195;"Szkoła Podstawowa nr 62 im. gen. Stanisława Taczaka, ul. Druskienicka 32, 60-476 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;358;1286
196;"Szkoła Podstawowa nr 62 im. gen. Stanisława Taczaka, ul. Druskienicka 32, 60-476 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;236;1548
197;"Szkoła Podstawowa nr 62 im. gen. Stanisława Taczaka, ul. Druskienicka 32, 60-476 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;344;1214
198;"Szkoła Podstawowa nr 62 im. gen. Stanisława Taczaka, ul. Druskienicka 32, 60-476 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;338;1340
199;"Piątkowska Szkoła Społeczna Szkoła Podstawowa im. dr Wandy Błeńskiej, ul. Franciszka Stróżyńskiego 16, 60-688 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;388;1754
200;"Przedszkole nr 148 „Mali Europejczycy”, os. Bolesława Chrobrego 121, 60-681 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;428;1336
201;"XV Liceum Ogólnokształcące im. prof. Wiktora Degi, os. Bolesława Chrobrego 107, 60-681 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;356;1043
202;"Przedszkole nr 189, os. Bolesława Śmiałego 105, 60-682 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;401;1406
203;"Zespół Szkolno-Przedszkolny nr 8, os. Bolesława Śmiałego 107, 60-682 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;337;1132
204;"XV Liceum Ogólnokształcące im. prof. Wiktora Degi, os. Bolesława Chrobrego 107, 60-681 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;355;1192
205;"XV Liceum Ogólnokształcące im. prof. Wiktora Degi, os. Bolesława Chrobrego 107, 60-681 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;361;1499
206;"Zespół Szkolno-Przedszkolny nr 11, os. Bolesława Chrobrego 105, 60-681 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;316;1152
207;"Zespół Szkolno-Przedszkolny nr 11, os. Bolesława Chrobrego 105, 60-681 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;309;1217
208;"Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia, os. Stefana Batorego 101, 60-687 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;298;1292
209;"Zespół Szkolno-Przedszkolny nr 8, os. Bolesława Śmiałego 107, 60-682 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;315;1138
210;"Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia, os. Stefana Batorego 101, 60-687 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;354;1115
211;"Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia, os. Stefana Batorego 101, 60-687 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;288;1185
212;"Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia, os. Stefana Batorego 101, 60-687 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;295;1648
213;"Zespół Szkół Zakonu Pijarów im. św. Józefa Kalasancjusza, os. Jana III Sobieskiego 114, 60-688 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;349;1049
214;"Zespół Szkolno-Przedszkolny nr 6, os. Jana III Sobieskiego 105, 60-688 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;319;1329
215;"Zespół Szkolno-Przedszkolny nr 6, os. Jana III Sobieskiego 105, 60-688 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;299;1060
216;"Zespół Szkół Zakonu Pijarów im. św. Józefa Kalasancjusza, os. Jana III Sobieskiego 114, 60-688 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;349;962
217;"Zespół Szkolno-Przedszkolny nr 1, os. Władysława Łokietka 104, 61-616 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;328;1456
218;"Zespół Szkolno-Przedszkolny nr 1, os. Władysława Łokietka 104, 61-616 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;339;1054
219;"Szkoła Podstawowa nr 48 im. gen. Oswalda Franka, ul. Sarmacka 105, 61-616 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;303;921
220;"Szkoła Podstawowa nr 48 im. gen. Oswalda Franka, ul. Sarmacka 105, 61-616 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;344;918
221;"Szkoła Podstawowa nr 48 im. gen. Oswalda Franka, ul. Sarmacka 105, 61-616 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;184;1571
222;"Szkoła Podstawowa nr 48 im. gen. Oswalda Franka, ul. Sarmacka 105, 61-616 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;168;699
223;"Szkoła Podstawowa nr 60 im. Wojciecha Bogusławskiego, ul. Boranta 2, 61-608 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;418;2124
224;"Szkoła Podstawowa nr 60 im. Wojciecha Bogusławskiego, ul. Boranta 2, 61-608 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;228;1584
225;"Zespół Szkolno-Przedszkolny nr 9, ul. Umultowska 114, 61-614 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;260;1063
226;"Zespół Szkolno-Przedszkolny nr 9, ul. Umultowska 114, 61-614 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;371;1338
227;"Siedziba Rady Osiedla Morasko-Radojewo, ul. Morasko 57, 61-680 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;376;1533
228;"Centrum Medyczne HCP Sp. z o. o., ul. 28 Czerwca 1956 r. 194, 61-485 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;71;159
229;"Ortopedyczno-Rehabilitacyjny Szpital Kliniczny im. Wiktora Degi Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu, ul. 28 Czerwca 1956 r. 135/147, 61-545 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;39;64
230;"Dom Pomocy Społecznej im. bł. Edmunda Bojanowskiego w Poznaniu, ul. Mieczysława Niedziałkowskiego 22, 61-578 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;4;10
231;"Szpital Św. Rodziny Specjalistycznego Zespołu Opieki Zdrowotnej nad Matką i Dzieckiem w Poznaniu, ul. Kazimierza Jarochowskiego 18, 60-235 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;6;10
232;"Uniwersytecki Szpital Kliniczny, ul. Grunwaldzka 16/18, 60-780 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;15;33
233;"Zakład Opiekuńczo-Leczniczy Wielospecjalistycznego Szpitala Miejskiego im. Józefa Strusia z Zakładem Opiekuńczo-Leczniczym SP ZOZ w Poznaniu, ul. Grunwaldzka 16/18, 60-780 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;4;7
234;"Dom Studencki „Eskulap” Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu, ul. Stanisława Przybyszewskiego 39, 60-356 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;16;112
235;"Ginekologiczno-Położniczy Szpital Kliniczny im. Heliodora Święcickiego Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu, ul. Polna 33, 60-535 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;24;121
236;"Szpital Miejski im. Franciszka Raszei w Poznaniu, ul. Adama Mickiewicza 2, 60-834 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;18;50
237;"Dom Pomocy Społecznej w Poznaniu, ul. Ugory 18/20, 61-623 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;38;21
238;"Szpital Wojewódzki w Poznaniu, ul. Juraszów 7/19, 60-479 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;75;110
239;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji w Poznaniu im. prof. Ludwika Bierkowskiego, ul. Dojazd 34, 60-631 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;24;32
240;"Dom Studencki „Zbyszko” Uniwersytetu im. Adama Mickiewicza w Poznaniu, ul. Piątkowska 80, 60-649 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;18;79
241;"Dom Studencki Danuśka, ul. Piątkowska 94/3 B, 60-649 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;2;44
242;"Uniwersytecki Szpital Kliniczny, ul. Długa 1/2, 61-848 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;21;42
243;"Wielkopolskie Centrum Onkologii im. Marii Skłodowskiej-Curie, ul. Garbary 15, 61-866 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;29;35
244;"Areszt Śledczy w Poznaniu, ul. Młyńska 1, 61-729 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;61;401
245;"Dom Pomocy Społecznej w Poznaniu, ul. Stanisława Konarskiego 11/13, 61-114 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;23;16
246;"Zakład Opiekuńczo-Leczniczy i Rehabilitacji Medycznej Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Mogileńska 42, 61-044 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;33;54
247;"Wielospecjalistyczny Szpital Miejski im. Józefa Strusia z Zakładem Opiekuńczo-Leczniczym Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Szwajcarska 3, 61-285 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;35;82
248;"Dom Pomocy Społecznej w Poznaniu, ul. Mińska 14, 61-049 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;44;6
249;"Zakład Leczniczy-Hospicjum Palium Uniwersyteckiego Szpitala Klinicznego w Poznaniu, os. Rusa 55, 61-245 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;2;6
250;"Dom Pomocy Społecznej w Poznaniu, ul. Pokrzywno 1, 61-315 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;40;2
251;"Dom Pomocy Społecznej w Poznaniu, ul. Ludwika Zamenhofa 142a, 61-655 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;14;22
252;"Dom Studencki nr 6 Politechniki Poznańskiej, ul. św. Rocha 11b, 61-142 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;6;49
253;"Uniwersytecki Szpital Kliniczny w Poznaniu-Uniwersyteckie Centrum Onkologii, ul. Augustyna Szamarzewskiego 84, 60-659 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;39;67
254;"Wielkopolskie Centrum Pulmonologii i Torakochirurgii im. Eugenii i Janusza Zeylandów w Poznaniu, ul. Augustyna Szamarzewskiego 62, 60-569 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;44;59
255;"Szpital Kliniczny im. Karola Jonschera Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu, ul. Szpitalna 27/33, 60-572 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;7;18
256;"Uniwersytecki Szpital Kliniczny w Poznaniu, ul. Stanisława Przybyszewskiego 49, 60-355 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;52;101
257;"Dom Pomocy Społecznej w Poznaniu, ul. Sielska 13, 60-129 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;22;9
258;"Oddział Zewnętrzny Aresztu Śledczego w Poznaniu, ul. Nowosolska 37, 60-171 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;21;127
259;"Dom Pomocy Społecznej w Poznaniu, ul. Żołnierzy Wyklętych 26, 60-461 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;23;18
260;"Szpital Wojewódzki w Poznaniu Filia nr 3-Wielkopolskie Centrum Rehabilitacji, ul. Sanatoryjna 2, 60-480 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;44;51
