"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Dominik - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚWILSKI Ryszard Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOBYLARZ Andrzej Sławomir - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
7;"Remizo-Świetlica w Leśnej Jani, Leśna Jania 14A, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;32;59;47
8;"Wiejskie Centrum Historyczno-Edukacyjne we Frący, Frąca 26A, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;43;52;41
1;"Publiczna Szkoła Podstawowa w Dąbrówce, Dąbrówka ul. Hermanowska 4, 83-212 Bobowo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;85;242;147
2;"Publiczna Szkoła Podstawowa w Jabłowie, ul. Szkolna 5, 83-211 Jabłowo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;97;174;154
3;"Świetlica Wiejska w Owidzu, Owidz ul. Szkolna 13, 83-211 Jabłowo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;76;189;115
4;"Świetlica Wiejska w Kolinczu, Kolincz ul. Główna 52, 83-211 Jabłowo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;99;267;146
5;"Świetlica Wiejska w Lipinkach Szlacheckich, Lipinki Szlacheckie ul. Jana Pawła II 40, 83-211 Jabłowo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;56;132;92
6;"Remiza Ochotniczej Straży Pożarnej w Klonówce, Klonówka ul. Floriana Ceynowy 3a, 83-130 Pelplin";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;33;63;71
7;"Zespół Kształcenia i Wychowania w Rywałdzie, Rywałd ul. Szkolna 4, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;92;238;144
8;"Świetlica Wiejska w Zdunach, Zduny 44B, 83-115 Swarożyn";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;49;146;90
9;"Świetlica Wiejska, Szpęgawsk ul. Kasztanowa 15, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;40;101;80
10;"Publiczna Szkoła Podstawowa w Trzcińsku, Trzcińsk 14, 83-209 Godziszewo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;64;141;98
11;"Publiczna Szkoła Podstawowa w Kokoszkowach, ul. Szkolna 24, 83-207 Kokoszkowy";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;152;664;215
12;"Świetlica Wiejska w Linowcu, Linowiec ul. Spacerowa 3, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;47;89;78
13;"Świetlica Wiejska w Kręgu, Krąg 44A, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;135;362;183
14;"Świetlica Wiejska w Nowej Wsi Rzecznej, Nowa Wieś Rzeczna ul. Rzeczna 18, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;83;348;142
15;"Publiczna Szkoła Podstawowa w Rokocinie, Rokocin ul. Parkowa 2, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;143;368;230
16;"Świetlica Wiejska w Sucuminie, Sucumin 29, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;63;116;128
17;"Publiczna Szkoła Podstawowa w Suminie, Sumin 38, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;87;122;122
18;"Świetlica Wiejska w Koteżach, Koteże ul. Jana Wróblewskiego 5, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;88;232;169
19;"Świetlica Wiejska w Janowie, Janowo ul. Długa 5a, 83-211 Jabłowo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;50;154;73
20;"Świetlica Wiejska w Siwiałce, Siwiałka 1a, 83-209 Godziszewo";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;28;107;44
21;"Dom Pomocy Społecznej im. dr. Józefa Marcelego Kopicza w Szpęgawsku, Szpęgawsk ul. Kasztanowa 23, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;9;4;14
22;"Centrum Rehabilitacyjno-Lecznicze Medpharma w Nowej Wsi Rzecznej, Nowa Wieś Rzeczna ul. Leśna 1A, 83-200 Starogard Gdański";221312;"gm. Starogard Gdański";"starogardzki";"pomorskie";1;1;9;18;22
1;"Publiczna Szkoła Podstawowa, ul. Skarszewska 19, 83-206 Kleszczewo Kościerskie";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;145;215;251
2;"Publiczna Szkoła Podstawowa, ul. Sportowa 8, 83-251 Pinczyn";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;143;380;355
3;"Publiczna Szkoła Podstawowa, ul. Szkolna 3a, 83-224 Borzechowo";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;107;274;188
4;"Publiczna Szkoła Podstawowa, ul. Kościerska 39, 83-210 Zblewo";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;180;366;319
5;"Gminny Ośrodek Kultury, ul. Główna 40, 83-210 Zblewo";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;218;552;428
6;"Publiczna Szkoła Podstawowa, Bytonia ul. Kasztelańska 3, 83-210 Zblewo";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;106;157;142
7;"Wiejski Dom Kultury, ul. Semlińska 1B, 83-251 Pinczyn";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;150;230;323
8;"Świetlica wiejska w Semlinie, ul. Spacerowa 2, 83-206 Semlin";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;53;83;103
9;"Świetlica wiejska w Miradowie, Miradowo 33, 83-210 Zblewo";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;35;54;62
10;"Świetlica wiejska w Radziejewie, Radziejewo 15a, 83-224 Borzechowo";221313;"gm. Zblewo";"starogardzki";"pomorskie";1;1;57;50;49
1;"Szkoła Podstawowa Nr 7, ul. Stoczniowców 15A, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;243;770;371
2;"Klub Rodzinny ""Zatorze"", ul. Elżbiety 19B, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;216;439;303
3;"Szkoła Podstawowa Nr 5, ul. Obrońców Westerplatte 18, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;186;572;293
4;"Forum Inicjatyw Społecznych, ul. Łazienna 5, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;172;501;255
5;"Fabryka Sztuk, ul. 30-go Stycznia 4, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;155;560;206
6;"Zespół Szkół Branżowych, ul. Czyżykowska 17, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;152;642;223
7;"Szkoła Podstawowa Nr 10 z Oddziałami Integracyjnymi, ul. Marii Konopnickiej 11, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;194;811;279
8;"Szkoła Podstawowa Nr 1, ul. Czyżykowska 69, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;229;712;342
9;"Szkoła Podstawowa Nr 1, ul. Czyżykowska 69, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;178;593;353
10;"Świetlica na Osiedlu Wincentego Witosa, ul. ks. Władysława Młyńskiego 4, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;274;1126;337
11;"Zespół Placówek Specjalnych, ul. Grunwaldzka 1, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;163;627;269
12;"Sportowa Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi, ul. Gdańska 2, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;204;717;371
13;"Szkoła Podstawowa Nr 11, ul. Saperska 12, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;189;662;313
14;"Szkoła Podstawowa Nr 11, ul. Saperska 12, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;236;716;365
15;"Ośrodek Opiekuńczy, ul. Niepodległości 10, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;203;743;376
16;"Szkoła Podstawowa Nr 4, ul. Władysława Jagiełły 8, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;155;690;330
17;"Szkoła Podstawowa Nr 8, ul. Armii Krajowej 70, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;191;601;228
18;"Szkoła Podstawowa Nr 8, ul. Armii Krajowej 70, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;129;493;227
19;"Przedszkole Nr 8 z Oddziałami Integracyjnymi, ul. Jodłowa 6, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;187;686;367
20;"Szkoła Podstawowa Nr 12, ul. Topolowa 23, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;177;924;367
21;"Przedszkole Niepubliczne ""Jarzębinka"", ul. Jarzębinowa 4, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;143;547;275
22;"Szkoła Podstawowa Nr 4, ul. Władysława Jagiełły 8, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;213;687;369
23;"Warsztaty Terapii Zajęciowej, ul. Wigury 84, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;147;655;256
24;"Niepubliczne Przedszkole i Żłobek Bajkowe, ul. Szewczyka Dratewki 3, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;149;619;144
25;"Niepubliczne Przedszkole i Żłobek Bajkowe, ul. Szewczyka Dratewki 3, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;202;812;180
26;"Szpitale Tczewskie S. A., ul. 30-go Stycznia 57/58, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;7;17;10
27;"Szpitale Tczewskie S. A., ul. Ignacego Paderewskiego 11, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;1;2;1
28;"Szpitale Tczewskie S. A., ul. 1 Maja 2, 83-110 Tczew";221401;"m. Tczew";"tczewski";"pomorskie";1;1;6;26;8
1;"Szkoła Podstawowa nr 1 w Gniewie, ul. Gdańska 16, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;64;293;106
2;"Szkoła Podstawowa nr 1 w Gniewie, ul. Gdańska 16, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;84;221;106
3;"Szkoła Podstawowa nr 1 w Gniewie, ul. Gdańska 16, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;83;198;121
4;"Sala Kameralna, pl. Plac Grunwaldzki 16/17, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;124;257;180
5;"Szkoła Podstawowa nr 2 w Gniewie, ul. 27 Stycznia 19, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;90;247;152
6;"Szkoła Podstawowa nr 2 w Gniewie, ul. 27 Stycznia 19, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;88;277;154
7;"Świetlica Wiejska w Jeleniu, Jeleń 84B, 83-123 Piaseczno";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;47;86;96
8;"Świetlica Wiejska w Kursztynie, Kursztyn 16, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;38;101;80
9;"Szkoła Podstawowa w Polskim Gronowie, Polskie Gronowo 31, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;60;129;118
10;"Szkoła Podstawowa w Piasecznie, ul. Kardynała Wojtyły 16, 83-123 Piaseczno";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;68;101;136
11;"Zespół Szkół w Opaleniu, ul. ks. Ludwika Warneckiego 10, 83-136 Opalenie";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;98;280;127
12;"Filia w Pieniążkowie Zespołu Szkół w Opaleniu, Pieniążkowo 27, 83-135 Mała Karczma";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;67;91;91
13;"Świetlica Wiejska w Rakowcu, Rakowiec 44, 83-135 Mała Karczma";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;47;99;118
14;"Świetlica Wiejska w Nicponi, Nicponia 95D, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;68;172;108
15;"Świetlica Wiejska w Tymawie, Tymawa 32A, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;56;134;117
16;"Świetlica Wiejska w Brodach Pomorskich, Brody Pomorskie 17B, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;17;41;43
17;"Świetlica Wiejska w Szprudowie, Szprudowo 16B, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;39;60;52
18;"Świetlica Wiejska w Wielkich Walichnowach, Wielkie Walichnowy 29A, 83-122 Wielkie Walichnowy";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;40;61;82
19;"Świetlica Wiejska w Gogolewie, Gogolewo 25A, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;39;73;71
20;"Świetlica Wiejska w Jaźwiskach, Jaźwiska 20, 83-136 Opalenie";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;32;63;88
21;"Świetlica Wiejska w Kolonii Ostrowickiej, Kolonia Ostrowicka 43a, 83-135 Mała Karczma";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;61;122;103
22;"Dom Pomocy Społecznej w Gniewie, ul. Gdańska 23, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;7;13;34
23;"Zakład Opiekuńczo Leczniczy w Gniewie, ul. Chałubińskiego 1, 83-140 Gniew";221402;"gm. Gniew";"tczewski";"pomorskie";1;1;1;2;4
1;"Świetlica Urzędu Gminy, ul. Kociewska 12, 83-132 Morzeszczyn";221403;"gm. Morzeszczyn";"tczewski";"pomorskie";1;1;74;225;144
2;"Szkoła Podstawowa im. Marii Konopnickiej w Nowej Cerkwi, Nowa Cerkiew 1, 83-132 Morzeszczyn";221403;"gm. Morzeszczyn";"tczewski";"pomorskie";1;1;54;106;115
3;"Świetlica Wiejska, Lipia Góra 19C, 83-132 Morzeszczyn";221403;"gm. Morzeszczyn";"tczewski";"pomorskie";1;1;92;150;163
4;"Świetlica Wiejska, Dzierżążno 13, 83-132 Morzeszczyn";221403;"gm. Morzeszczyn";"tczewski";"pomorskie";1;1;31;51;56
5;"Klub Senior+, Rzeżęcin 9a, 83-132 Morzeszczyn";221403;"gm. Morzeszczyn";"tczewski";"pomorskie";1;1;22;45;35
6;"Świetlica Wiejska, Borkowo 6, 83-132 Morzeszczyn";221403;"gm. Morzeszczyn";"tczewski";"pomorskie";1;1;34;22;69
1;"Niepubliczny Zakład Opieki Zdrowotnej PELMED Sp. z o. o., ul. Wybickiego 14, 83-130 Pelplin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;186;475;275
2;"Zespół Kształcenia i Wychowania Nr 1 w Pelplinie, ul. Sambora 5a, 83-130 Pelplin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;166;409;270
3;"Sala Sportowa w Pelplinie, ul. Starogardzka 4a, 83-130 Pelplin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;79;170;110
4;"Szkoła Podstawowa Nr 2 w Pelplinie, ul. Kościuszki 12A, 83-130 Pelplin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;99;321;165
5;"PELKOM Sp. z o. o., ul. Starogardzka 12, 83-130 Pelplin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;115;346;194
6;"Świetlico-Remiza w Gręblinie, Gręblin 23, 83-121 Gręblin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;51;142;124
7;"Centrum Kultury Wiejskiej w Rudnie, ul. Kościelna 6, 83-121 Rudno";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;67;164;140
8;"Świetlica Wiejska w Lignowach Szlacheckich, Lignowy Szlacheckie 90, 83-121 Lignowy Szlacheckie";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;99;254;119
9;"Świetlica Wiejska w Bielawkach, Bielawki 45, 83-130 Bielawki";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;53;119;112
10;"Zespół Kształcenia i Wychowania w Rajkowach, ul. Jesionowa 6, 83-130 Rajkowy";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;150;282;235
11;"Dzienny Dom Senior Plus w Kulicach, ul. Pelplińska 21, 83-130 Kulice";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;81;193;137
12;"Świetlica Wiejska w Rożentalu, Rożental 53, 83-130 Rożental";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;123;326;137
13;"Świetlica Wiejska w Janiszewie, Janiszewo 13B, 83-130 Janiszewo";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;24;33;26
14;"Świetlica Wiejska w Międzyłężu, Międzyłęż 36, 83-122 Międzyłęż";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;22;50;58
15;"Remizo-Świetlica Wiejska w Wielkim Garcu, Wielki Garc 39, 83-121 Wielki Garc";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;28;56;59
16;"Szkoła Podstawowa w Małych Walichnowach, Małe Walichnowy 1, 83-122 Małe Walichnowy";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;33;80;50
17;"Dom Pomocy Społecznej w Pelplinie, ul. Szpitalna 2, 83-130 Pelplin";221404;"gm. Pelplin";"tczewski";"pomorskie";1;1;19;15;14
1;"Dom Kultury w Subkowach, ul. Józefa Wybickiego 22a, 83-120 Subkowy";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;148;409;234
2;"Zespół Kształcenia Podstawowego i Przedszkolnego w Małej Słońcy, Mała Słońca ul. Długa 1, 83-120 Subkowy";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;78;133;120
3;"Świetlica wiejska w Brzuścach, Brzuśce ul. Milenijna 17, 83-120 Subkowy";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;87;148;146
4;"Zespół Szkół w Subkowach, ul. Józefa Wybickiego 19b, 83-120 Subkowy";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;112;251;187
5;"Świetlica wiejska w Gorzędzieju, Gorzędziej ul. Tczewska 21, 83-120 Subkowy";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;59;123;78
6;"Świetlica wiejska w Radostowie, Radostowo ul. Pielgrzymów 10, 83-120 Subkowy";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;50;104;78
7;"Świetlica wiejska w Waćmierzu, Waćmierz ul. Kasztanowa 30, 83-115 Swarożyn";221405;"gm. Subkowy";"tczewski";"pomorskie";1;1;22;64;35
1;"Świetlica wiejska w Tczewskich Łąkach, Tczewskie Łąki ul. Szkolna 2A, 83-110 Tczew";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;85;278;124
2;"Świetlica wiejska w Bałdowie, Bałdowo ul. Piękna 1, 83-110 Tczew";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;113;268;126
3;"Świetlica wiejska w Czarlinie, Czarlin ul. Szkolna 11, 83-110 Tczew";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;109;274;132
4;"Zespół Kształcenia i Wychowania w Swarożynie, ul. Wyzwolenia 18, 83-115 Swarożyn";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;150;366;280
5;"Świetlica wiejska w Boroszewie, Boroszewo 34, 83-115 Swarożyn";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;65;201;114
6;"Zespół Kształcenia i Wychowania w Turzu, ul. Kościelna 7, 83-113 Turze";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;81;307;122
7;"Świetlica wiejska w Dalwinie, Dalwin 22, 83-113 Turze";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;58;201;90
8;"Świetlica wiejska w Lubiszewie Tczewskim, ul. Sportowa 10, 83-112 Lubiszewo Tczewskie";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;116;446;120
9;"Szkoła Podstawowa w Dąbrówce Tczewskiej, Dąbrówka Tczewska 37, 83-111 Miłobądz";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;50;167;98
10;"Świetlica wiejska w Rokitkach, Rokitki ul. Kasztanowa 24, 83-112 Lubiszewo Tczewskie";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;197;718;226
11;"Szkoła Podstawowa im. Obrońców Pomorza Gdańskiego w Miłobądzu, ul. Szkolna 6, 83-111 Miłobądz";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;173;376;194
12;"Świetlica wiejska w Małżewie, Małżewo 5, 83-113 Turze";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;52;102;82
13;"Świetlica wiejska w Łukocinie, Łukocin 17, 83-113 Turze";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;38;71;41
14;"Świetlica wiejska w Szpęgawie, Szpęgawa ul. Parkowa 79/10, 83-112 Lubiszewo Tczewskie";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;44;303;91
15;"Urząd Gminy Tczew, Gniszewo ul. Parkowa 7, 83-110 Tczew";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;29;75;53
16;"Świetlica wiejska w Śliwinach, Śliwiny 27A, 83-110 Tczew";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;54;121;48
17;"Świetlica wiejska w Maleninie, Malenin ul. Nowa 4, 83-111 Miłobądz";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;57;92;56
18;"Świetlica wiejska w Mieścinie, Mieścin 36, 83-111 Miłobądz";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;30;58;45
19;"Dom Pomocy Społecznej w Damaszce, Damaszka 1, 83-209 Godziszewo";221406;"gm. Tczew";"tczewski";"pomorskie";1;1;10;7;13
