"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOCHAN Łukasz Szymon - KW PRAWO I SPRAWIEDLIWOŚĆ";"WCISŁA Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MASIEWICZ-GRODŹ Justyna Joanna - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
7;"Szkoła Podstawowa Nr 3, ul. PCK 4, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;353;554;48
8;"Przedszkole Miejskie Nr 2, ul. Różana 14, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;393;725;80
9;"Powiatowe Centrum Medyczne Spółka z o. o. w Braniewie, ul. Moniuszki 13, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;20;9;1
10;"Oddział Zewnętrzny w Braniewie Aresztu Śledczego w Elblągu, pl. Grunwaldu 2A, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;18;66;6
1;"Urząd Gminy w Braniewie, ul. Moniuszki 5, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;251;314;54
2;"Szkoła Filialna Szkoły Podstawowej im. Wincentego Witosa w Lipowinie, Szyleny 13, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;127;111;13
3;"Świetlica Wiejska w Lipowinie, Lipowina 31A, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;278;236;70
4;"Świetlica Wiejska w Żelaznej Górze, Żelazna Góra 24, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;133;160;31
5;"Świetlica Wiejska w Gronowie, Gronowo 15, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;109;164;40
6;"Świetlica Wiejska w Rogitach, Rogity 52, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;104;117;30
7;"Świetlica Wiejska w Bemowiźnie, Bemowizna 18A, 14-500 Braniewo";280202;"gm. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;105;68;12
1;"Urząd Miasta i Gminy we Fromborku, ul. Młynarska 5a, 14-530 Frombork";280203;"gm. Frombork";"braniewski";"warmińsko-mazurskie";1;1;186;215;56
2;"Zespół Szkół we Fromborku, ul. Katedralna 9, 14-530 Frombork";280203;"gm. Frombork";"braniewski";"warmińsko-mazurskie";1;1;193;403;46
3;"Miejsko-Gminny Ośrodek Kultury we Fromborku, ul. Osiedle Słoneczne 16, 14-530 Frombork";280203;"gm. Frombork";"braniewski";"warmińsko-mazurskie";1;1;139;301;29
4;"Samodzielny Publiczny Specjalistyczny Psychiatryczny Zakład Opieki Zdrowotnej, ul. Sanatoryjna 1, 14-530 Frombork";280203;"gm. Frombork";"braniewski";"warmińsko-mazurskie";1;1;56;28;17
1;"Gminne Centrum Kultury, Lelkowo 17, 14-521 Lelkowo";280204;"gm. Lelkowo";"braniewski";"warmińsko-mazurskie";1;1;224;178;143
2;"Szkoła Podstawowa, Zagaje 6, 14-521 Lelkowo";280204;"gm. Lelkowo";"braniewski";"warmińsko-mazurskie";1;1;117;87;50
3;"Świetlica, Głębock 63, 14-521 Lelkowo";280204;"gm. Lelkowo";"braniewski";"warmińsko-mazurskie";1;1;62;48;25
4;"Świetlica, Wyszkowo 20, 14-521 Lelkowo";280204;"gm. Lelkowo";"braniewski";"warmińsko-mazurskie";1;1;83;55;34
1;"Środowiskowy Dom Samopomocy-""Bajka"", ul. Sienkiewicza 2, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;236;318;231
2;"Zespół Szkolno-Przedszkolny, ul. Ornecka 8, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;134;233;163
3;"Miejski Dom Kultury, ul. Sienkiewicza 4, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;169;124;176
4;"Szkoła Podstawowa, Lechowo 72, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;118;50;50
5;"Świetlica Sołecka, Pluty 13, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;74;62;28
6;"Budynek po Szkole Podstawowej, Pakosze 22, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;79;66;41
7;"Świetlica Sołecka, Piotrowiec 13, 14-520 Pieniężno";280205;"gm. Pieniężno";"braniewski";"warmińsko-mazurskie";1;1;123;67;64
1;"Szkoła Podstawowa w Płoskini, Płoskinia 43, 14-526 Płoskinia";280206;"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";1;1;196;217;40
2;"Szkoła Podstawowa w Chruścielu, Chruściel 27, 14-526 Płoskinia";280206;"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";1;1;100;150;29
3;"Świetlica Wiejska w Długoborze, Długobór 11, 14-526 Płoskinia";280206;"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";1;1;112;94;24
4;"Świetlica Wiejska w Dąbrowie, Dąbrowa 41, 14-526 Płoskinia";280206;"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";1;1;63;25;9
1;"Szkoła Podstawowa, Wilczęta 43A, 14-405 Wilczęta";280207;"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";1;1;131;185;61
2;"Budynek po Szkole Podstawowej, Nowica 17, 14-405 Wilczęta";280207;"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";1;1;100;121;34
3;"Szkoła Podstawowa, Słobity 3, 14-405 Wilczęta";280207;"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";1;1;140;139;15
4;"Centrum Kultury, Gładysze 13, 14-405 Wilczęta";280207;"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";1;1;122;89;15
1;"Publiczna Szkoła Podstawowa im. Państwowej Straży Pożarnej w Nowakowie, Nowakowo 47, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;275;304;46
2;"Świetlica Wiejska w Kazimierzowie, Kazimierzowo 25, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;150;323;42
3;"Publiczna Szkoła Podstawowa w Gronowie Górnym, Gronowo Górne ul. Szmaragdowa 5, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;334;706;64
4;"Gminna Biblioteka Publiczna w Komorowie Żuławskim, Komorowo Żuławskie 6, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;212;362;46
5;"Publiczna Szkoła Podstawowa w Węzinie, Węzina 16, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;126;137;23
6;"Świetlica Wiejska, Przezmark 15B, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;112;200;28
7;"Świetlica Wiejska, Raczki Elbląskie 23, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;68;101;2
8;"Dom Pomocy Społecznej we Władysławowie, Władysławowo 4, 82-300 Elbląg";280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";1;1;70;132;11
1;"Świetlica Wiejska w Bielicy, Bielica 5, 14-407 Godkowo";280402;"gm. Godkowo";"elbląski";"warmińsko-mazurskie";1;1;194;131;44
2;"Urząd Gminy, Godkowo 14, 14-407 Godkowo";280402;"gm. Godkowo";"elbląski";"warmińsko-mazurskie";1;1;280;203;46
3;"Świetlica Wiejska w Dobrym, Dobry 16, 14-407 Godkowo";280402;"gm. Godkowo";"elbląski";"warmińsko-mazurskie";1;1;108;78;19
4;"Świetlica Wiejska w Podągach, Podągi 30, 14-407 Godkowo";280402;"gm. Godkowo";"elbląski";"warmińsko-mazurskie";1;1;91;39;7
1;"Zespół Szkół, ul. Osiedlowa 6A, 82-335 Gronowo Elbląskie";280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";1;1;312;560;85
2;"Zespół Szkół, Jegłownik ul. Malborska 43, 82-335 Gronowo Elbląskie";280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";1;1;311;514;83
3;"Świetlica Wiejska, Fiszewo 12A, 82-335 Gronowo Elbląskie";280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";1;1;68;67;18
4;"Świetlica Wiejska, Jasionno 1, 82-335 Gronowo Elbląskie";280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";1;1;22;29;15
5;"Świetlica Wiejska, Karczowiska Górne 43A, 82-335 Gronowo Elbląskie";280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";1;1;70;102;13
1;"Świetlica Wiejska w Markusach, Markusy 81, 82-325 Markusy";280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";1;1;196;161;28
2;"Szkoła Podstawowa, Żurawiec ul. Elbląska 15, 82-325 Markusy";280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";1;1;95;120;21
3;"Szkoła Podstawowa, Zwierzno 28, 82-325 Markusy";280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";1;1;168;186;36
4;"Świetlica Wiejska, Rachowo 9, 82-325 Markusy";280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";1;1;114;88;23
5;"Świetlica Wiejska, Krzewsk 27, 82-325 Markusy";280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";1;1;117;138;22
6;"Świetlica Wiejska, Kępniewo 42, 28-325 Markusy";280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";1;1;145;128;28
1;"Zespół Szkolno-Przedszkolny, ul. Szkolna 4, 82-316 Milejewo";280405;"gm. Milejewo";"elbląski";"warmińsko-mazurskie";1;1;421;581;74
2;"Świetlica Wiejska, Pomorska Wieś 40, 82-316 Milejewo";280405;"gm. Milejewo";"elbląski";"warmińsko-mazurskie";1;1;244;309;57
1;"Ośrodek Kultury, ul. Dworcowa 10, 14-420 Młynary";280406;"gm. Młynary";"elbląski";"warmińsko-mazurskie";1;1;307;494;76
2;"Szkoła Podstawowa, ul. Warszawska 1, 14-420 Młynary";280406;"gm. Młynary";"elbląski";"warmińsko-mazurskie";1;1;278;356;62
3;"Świetlica Wiejska w Błudowie, Błudowo 44A, 14-420 Młynary";280406;"gm. Młynary";"elbląski";"warmińsko-mazurskie";1;1;187;178;32
4;"Świetlica Wiejska w Kurowie Braniewskim, Kurowo Braniewskie 33A, 14-420 Młynary";280406;"gm. Młynary";"elbląski";"warmińsko-mazurskie";1;1;83;55;16
1;"Ośrodek Szkolenia i Wychowania OHP w Pasłęku, ul. Bohaterów Westerplatte 20, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;225;479;74
2;"Szkoła Podstawowa nr 3 w Pasłęku, ul. 3 Maja 21, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;230;425;54
3;"Przedszkole Samorządowe nr 2 w Pasłęku, ul. Gdańska 17, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;216;418;41
4;"Zespół Szkół w Pasłęku, ul. Zwycięstwa 28, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;217;478;64
5;"Przedszkole Samorządowe nr 1 w Pasłęku, ul. 11 Listopada 8, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;183;369;37
6;"Filia Szkoły Podstawowej nr 3 w Pasłęku, ul. Spółdzielcza 7, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;222;391;54
7;"Pasłęcki Ośrodek Kultury w Pasłęku, pl. św. Wojciecha 5, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;182;323;41
8;"Zespół Szkół Ekonomicznych i Technicznych w Pasłęku, ul. Wojska Polskiego 36, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;239;423;52
9;"Szkoła Podstawowa nr 2 w Pasłęku, ul. Sprzymierzonych 9, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;269;451;72
10;"Miejski Ośrodek Sportu i Rekreacji, ul. Kraszewskiego 2a, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;103;126;14
11;"Środowiskowy Dom Samopomocy w Rzecznej, Rzeczna 19, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;175;312;51
12;"Szkoła Podstawowa nr 1 w Pasłęku, ul. Władysława Jagiełły 30, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;274;327;65
13;"Szkoła Podstawowa z Oddziałami Integracyjnymi w Zielonce Pasłęckiej, Zielonka Pasłęcka 17, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;258;206;53
14;"Szkoła Podstawowa w Rogajnach, Rogajny 27, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;184;223;39
15;"Świetlica Wiejska w Mariance, Marianka 5B, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;54;67;9
16;"Świetlica Wiejska w Stegnach, Stegny 59B, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;54;99;15
17;"Świetlica Środowiskowa „Fantazja” w Drulitach, Drulity 22, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;49;63;30
18;"Szpital Powiatowy Spółka z o. o. w Pasłęku, ul. Kopernika 24A, 14-400 Pasłęk";280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";1;1;13;12;1
1;"Świetlica Wiejska w Jelonkach, Jelonki 108, 14-411 Rychliki";280408;"gm. Rychliki";"elbląski";"warmińsko-mazurskie";1;1;210;236;27
2;"Świetlica Wiejska w Kwietniewie, Kwietniewo 7, 14-411 Rychliki";280408;"gm. Rychliki";"elbląski";"warmińsko-mazurskie";1;1;204;197;44
3;"Szkoła Podstawowa im. Janusza Korczaka w Rychlikach z oddziałami przedszkolnymi, Rychliki 34, 14-411 Rychliki";280408;"gm. Rychliki";"elbląski";"warmińsko-mazurskie";1;1;281;318;55
1;"Szkoła Podstawowa, Łęcze 29, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;84;185;23
2;"Świetlica Wiejska, Suchacz ul. Królowej Marii 18, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;158;250;28
3;"Świetlica Wiejska, Pogrodzie 41C, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;159;171;30
4;"Miejsko-Gminny Ośrodek Kultury, ul. Świętojańska 1, 82-340 Tolkmicko";280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";1;1;442;579;80
