"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZAJA Herbert Wincenty - KW BEZPARTYJNI SAMORZĄDOWCY";"PECZKIS Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"GODYLA Beniamin Wincenty - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
12;"Centrum Aktywacji Wiejskiej, Chorula ul. Opolska 66, 47-316 Górażdże";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;54;61;127
1;"Zespół Szkolno-Przedszkolny Nr 4 w Krapkowicach, ul. Żeromskiego 34, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;216;318;691
2;"Urząd Miasta i Gminy w Krapkowicach, ul. 3 Maja 17, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;133;146;313
3;"Miejska i Gminna Biblioteka Publiczna w Krapkowicach, Filia Nr 2, ul. Mickiewicza 1, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;149;229;491
4;"Publiczna Sportowa Szkoła Podstawowa Nr 5 w Krapkowicach, świetlica, os. Osiedle XXX Lecia 24, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;126;226;446
5;"Publiczna Sportowa Szkoła Podstawowa Nr 5 w Krapkowicach, sala nr 19, os. Osiedle XXX Lecia 24, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;119;255;368
6;"Krapkowicki Dom Kultury, ul. Prudnicka 7, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;151;211;414
7;"Publiczna Szkoła Podstawowa Nr 1 w Krapkowicach, ul. Szkolna 3, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;197;231;565
8;"Publiczna Szkoła Podstawowa Nr 1 w Krapkowicach, ul. Kwiatowa 7, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;191;298;568
9;"Zespół Szkół im. Jana Kilińskiego w Krapkowicach, ul. Księdza Duszy 7, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;76;144;215
10;"Publiczna Szkoła Podstawowa w Dąbrówce Górnej, Dąbrówka Górna ul. Opolska 64, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;110;84;211
11;"Publiczna Szkoła Podstawowa w Rogowie Opolskim, Rogów Opolski ul. Bolesława Chrobrego 15, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;68;60;156
12;"Publiczna Szkoła Podstawowa w Żywocicach, Żywocice ul. Średnia 48, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;158;109;301
13;"Świetlica, Pietna ul. Łąkowa 1, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;60;49;133
14;"Publiczne Przedszkole w Żywocicach Oddział w Żużeli, ul. Szkolna 3, 47-341 Żużela";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;73;49;95
15;"Zespół Szkolno-Przedszkolny w Kórnicy, Kórnica ul. Główna 2, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;113;111;148
16;"Świetlica OSP, Ściborowice ul. Szkolna 3, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;47;27;72
17;"Stowarzyszeniowa Publiczna Szkoła Podstawowa w Steblowie, Steblów ul. Szkolna 2, 47-300 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;122;116;231
18;"Świetlica Wiejska w Gwoździcach, ul. Opolska 41, 47-300 Gwoździce";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;43;38;116
19;"Krapkowickie Centrum Zdrowia Sp. z o. o., os. Osiedle XXX Lecia 21, 47-303 Krapkowice";160502;"gm. Krapkowice";"krapkowicki";"opolskie";1;1;6;6;13
1;"Gminny Ośrodek Kultury w Strzeleczkach, rynek Rynek 4, 47-364 Strzeleczki";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;179;157;353
2;"Szkoła Podstawowa w Racławiczkach, Racławiczki ul. Szkolna 6, 47-370 Zielina";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;204;204;350
3;"Szkoła Podstawowa w Zielinie, ul. Prudnicka 8, 47-370 Zielina";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;202;174;300
4;"Szkoła Podstawowa w Komornikach, Komorniki ul. Szkolna 4, 47-364 Strzeleczki";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;148;94;231
5;"Szkoła Podstawowa w Dobrej, Dobra ul. Szkolna 37, 47-364 Strzeleczki";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;95;83;154
6;"Ochotnicza Straż Pożarna w Pisarzowicach, ul. Opolska 77, 47-364 Pisarzowice";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;37;45;76
7;"Centrum Terapii Nerwic w Mosznej Sp. z o. o, ul. Zamkowa 1A, 47-370 Moszna";160503;"gm. Strzeleczki";"krapkowicki";"opolskie";1;1;16;29;35
1;"Publiczna Szkoła Podstawowa, ul. Lipowa 2, 47-344 Walce";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;74;95;228
2;"Publiczna Szkoła Podstawowa, Brożec ul. Reymonta 65, 47-341 Żużela";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;98;78;166
3;"Budynek Wielofunkcyjny, Rozkochów ul. Wiejska 19 a, 47-344 Walce";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;45;55;107
4;"Remiza OSP, Stradunia ul. Opolska 31, 47-341 Żużela";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;143;76;169
5;"Budynek gminny-świetlica wiejska, Dobieszowice ul. Główna 22, 47-344 Walce";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;43;31;71
6;"Gminny Ośrodek Kultury, ul. Opolska 23a, 47-344 Walce";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;101;118;255
7;"Świetlica Wiejska w Grocholubiu, Grocholub ul. Opolska 19, 47-344 Walce";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;55;20;64
8;"Świetlica Wiejska w Kromołowie, Kromołów 51, 47-344 Walce";160504;"gm. Walce";"krapkowicki";"opolskie";1;1;26;24;148
1;"Publiczna Szkoła Podstawowa Nr 1-sala gimnastyczna, ul. Bolesława Chrobrego 36, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;172;148;328
2;"Publiczna Szkoła Podstawowa Nr 2, pl. Plac 1 Maja 1, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;190;243;552
3;"Publiczna Szkoła Podstawowa Nr 3, ul. Nowa 3, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;147;216;419
4;"Zespół Szkół im. Jana Pawła II, ul. Góry Świętej Anny 21a, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;167;216;562
5;"Publiczne Przedszkole nr 6 w Zdzieszowicach, ul. Piastów 6, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;132;171;367
6;"Żłobek Samorządowy, ul. Piastów 20/1, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;117;236;395
7;"Publiczna Szkoła Podstawowa, Januszkowice ul. Lesiańska 6, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;107;116;265
8;"Remiza Ochotniczej Straży Pożarnej, Rozwadza ul. Szkolna 36, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;89;73;220
9;"Publiczna Szkoła Podstawowa, Żyrowa ul. Wojska Polskiego 4, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;111;108;247
10;"Budynek wielofunkcyjny, Krępna ul. Jasiońska 11a, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;73;76;149
11;"Remiza Ochotniczej Straży Pożarnej, Jasiona ul. Główna 25a, 47-330 Zdzieszowice";160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";1;1;53;45;80
1;"Zespół Szkół w Dobrodzieniu, ul. Oleska 7, 46-380 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;160;166;375
2;"Publiczna Szkoła Podstawowa, ul. Piastowska 17, 46-380 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;141;154;270
3;"Publiczna Szkoła Podstawowa, ul. Piastowska 49, 46-380 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;229;168;401
4;"Publiczna Szkoła Podstawowa, Pludry ul. Aleja Wyzwolenia 4b, 46-375 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;211;290;309
5;"Publiczna Szkoła Podstawowa, Szemrowice ul. Wiejska 2, 46-380 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;92;51;172
6;"Budynek byłej Szkoły Podstawowej, Rzędowice ul. Dobrodzieńska 8, 46-380 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;144;82;136
7;"Publiczna Szkoła Podstawowa, Turza ul. Kolejowa 27, 46-380 Dobrodzień";160801;"gm. Dobrodzień";"oleski";"opolskie";1;1;111;103;127
1;"Świetlica środowiskowa, ul. Wojska Polskiego 17, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;39;75;72
2;"Miejsko-Gminny Ośrodek Kultury w Gorzowie Śląskim (sala widowiskowa), ul. Rynek 4, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;107;165;344
3;"Hala widowiskowo-sportowa w Gorzowie Śląskim, ul. Byczyńska 13, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;85;172;305
4;"Budynek Publicznego Przedszkola, Jastrzygowice 23, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;41;70;138
5;"Publiczna Szkoła Podstawowa, Kozłowice ul. Nowa 2, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;56;101;162
6;"Publiczna Szkoła Podstawowa, Uszyce 35, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;34;125;156
7;"Publiczne Przedszkole, Zdziechowice 98, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;53;193;252
8;"Sala wiejska w OSP Jamy, Jamy 23, 46-310 Jamy";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;39;29;76
9;"Sala wiejska w Pawłowicach, Pawłowice 74, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;31;55;104
10;"Dom Seniora Paulinka, Pawłowice 60, 46-310 Gorzów Śląski";160802;"gm. Gorzów Śląski";"oleski";"opolskie";1;1;1;3;30
1;"Publiczna Szkoła Podstawowa Nr 1, ul. Jana Pieloka 12, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;148;228;617
2;"Publiczna Szkoła Podstawowa Nr 3, klasa nr 2, ul. Ignacego Krasickiego 25, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;87;161;436
3;"Publiczna Szkoła Podstawowa Nr 3, klasa nr 3, ul. Ignacego Krasickiego 25, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;169;215;696
4;"Miejski Dom Kultury-Mała Sala, ul. Wielkie Przedmieście 31, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;143;173;472
5;"Miejski Dom Kultury-Sala Kominkowa, ul. Wielkie Przedmieście 31, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;164;202;607
6;"Zespół Szkolno-Przedszkolny w Bodzanowicach, ul. Szkolna 1, 46-312 Bodzanowice";160803;"gm. Olesno";"oleski";"opolskie";1;1;101;159;135
7;"Zespół Szkolno-Przedszkolny w Borkach Wielkich, Borki Wielkie ul. Młyńska 8, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;136;131;237
8;"Zespół Przedszkoli nr 1 w Oleśnie (budynek Publicznego Przedszkola w Borkach Małych), Borki Małe ul. Szkolna 1, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;64;65;79
9;"DFK Świercze, Świercze ul. Zapłocie 1, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;78;78;163
10;"Remiza OSP, Łomnica ul. Strażacka 3, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;51;46;56
11;"Zespół Szkolno-Przedszkolny w Sowczycach, Sowczyce ul. Długa 8, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;72;71;127
12;"Zespół Szkolno-Przedszkolny w Wachowie, Wachów ul. Polna 17, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;34;23;61
13;"Remiza OSP, Wysoka 39 a, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;68;51;64
14;"Zespół Szkolno-Przedszkolny w Wojciechowie, Wojciechów ul. Kluczborska 37, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;64;60;218
15;"Remiza OSP, Łowoszów ul. Opolska 25, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;87;60;80
16;"Wiejskie Centrum Kultury, Stare Olesno ul. Kluczborska 3, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;33;58;98
17;"Remiza OSP, Boroszów 44, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;26;32;64
18;"Wiejskie Centrum Kultury w Grodzisku, Grodzisko ul. Lubliniecka 27A, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;29;26;64
19;"OSP w Kolonii Łomnickiej, Kolonia Łomnicka 20A, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;30;22;45
20;"OSP w Kucobach, Kucoby 5A, 46-312 Bodzanowice";160803;"gm. Olesno";"oleski";"opolskie";1;1;24;41;52
21;"OSP w Leśnej, Leśna ul. Dobra 1, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;23;22;56
22;"DFK Wachowice, Wachowice ul. Szkolna 30A, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;45;26;56
23;"Zespół Opieki Zdrowotnej w Oleśnie, ul. Klonowa 1, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;10;10;13
24;"Dom Pomocy Społecznej w Borkach Wielkich, ul. Młyńska 1, 46-300 Borki Wielkie";160803;"gm. Olesno";"oleski";"opolskie";1;1;4;5;12
25;"Złote Borki Rezydencja dla Seniora, Borki Małe ul. Oleska 1C, 46-300 Olesno";160803;"gm. Olesno";"oleski";"opolskie";1;1;1;6;4
1;"Miejsko-Gminny Ośrodek Kultury i Sportu, ul. Kościuszki 9, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;119;271;466
2;"Szkoła Podstawowa nr 3 im. Ks. Kardynała Stefana Wyszyńskiego, ul. Listopadowa 18, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;136;470;604
3;"Publiczne Przedszkole Nr 1, ul. Mickiewicza 28, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;179;637;735
4;"I Liceum Ogólnokształcące im. Powstańców Śląskich, ul. Kaliska 38, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;57;206;222
5;"Remiza Ochotniczej Straży Pożarnej, Wygiełdów 22, 46-310 Gorzów Śląski";160804;"gm. Praszka";"oleski";"opolskie";1;1;36;62;103
6;"Środowiskowy Dom Samopomocy, Gana 28, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;67;181;154
7;"Zespół Szkolno-Przedszkolny, Strojec ul. Szkolna 8, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;73;204;305
8;"Szkoła Podstawowa, Przedmość ul. Główna 22, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;64;191;235
9;"Szkoła Podstawowa im. Wincentego Witosa, Kowale ul. Szkolna 1, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;58;187;294
10;"Publiczna Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich, Wierzbie 44, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;64;188;114
11;"Remiza OSP w Brzezinach, Brzeziny 85, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;32;96;114
12;"Remiza OSP w Skotnicy, Skotnica 22, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;20;67;71
13;"Dom Ludowy w Szyszkowie, Szyszków 88, 46-310 Gorzów Śląski";160804;"gm. Praszka";"oleski";"opolskie";1;1;31;45;89
14;"Dom Ludowy w Rozterku, Rozterk 32, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;20;87;61
15;"Dom Opieki Desiderata, ul. Powstańców Śląskich 29, 46-320 Praszka";160804;"gm. Praszka";"oleski";"opolskie";1;1;3;4;5
1;"Publiczna Szkoła Podstawowa w Radłowie, ul. Oleska 1, 46-331 Radłów";160805;"gm. Radłów";"oleski";"opolskie";1;1;169;197;334
2;"Publiczna Szkoła Podstawowa w Sternalicach, Sternalice 8, 46-333 Sternalice";160805;"gm. Radłów";"oleski";"opolskie";1;1;93;107;279
3;"Publiczna Szkoła Podstawowa Pomnik 1000-Lecia w Kościeliskach, Kościeliska 28, 46-324 Kościeliska";160805;"gm. Radłów";"oleski";"opolskie";1;1;122;152;268
1;"Publiczna Szkoła Podstawowa im. Tadeusza Kościuszki w Cieciułowie, Cieciułów 19, 46-325 Rudniki";160806;"gm. Rudniki";"oleski";"opolskie";1;1;118;350;248
2;"Publiczna Szkoła Podstawowa im. Marszałka Józefa Piłsudskiego w Żytniowie, Żytniów 29, 46-325 Rudniki";160806;"gm. Rudniki";"oleski";"opolskie";1;1;112;256;265
3;"Publiczna Szkoła Podstawowa im. Andrzeja Wajdy w Rudnikach, ul. Wieluńska 6, 46-325 Rudniki";160806;"gm. Rudniki";"oleski";"opolskie";1;1;159;456;477
4;"Publiczna Szkoła Podstawowa im. Jana Pawła II w Dalachowie, Dalachów 217, 46-325 Rudniki";160806;"gm. Rudniki";"oleski";"opolskie";1;1;140;386;373
5;"Publiczna Szkoła Podstawowa im. Mikołaja Kopernika w Jaworznie, Mirowszczyzna 43, 46-325 Rudniki";160806;"gm. Rudniki";"oleski";"opolskie";1;1;123;408;378
1;"Publiczna Szkoła Podstawowa im. Powstańców Śląskich w Zębowicach, Łącznik – Sala nr 1, ul. Oleska 10, 46-048 Zębowice";160807;"gm. Zębowice";"oleski";"opolskie";1;1;205;70;168
2;"Ochotnicza Straż Pożarna, Kadłub Wolny ul. Szkolna 5, 46-048 Zębowice";160807;"gm. Zębowice";"oleski";"opolskie";1;1;122;28;98
3;"Budynek gminny, Radawie ul. Szkolna 22, 46-048 Zębowice";160807;"gm. Zębowice";"oleski";"opolskie";1;1;123;87;107
4;"Publiczna Szkoła Podstawowa im. Powstańców Śląskich w Zębowicach, Łącznik – Sala nr 2, ul. Oleska 10, 46-048 Zębowice";160807;"gm. Zębowice";"oleski";"opolskie";1;1;158;49;141
1;"Szkoła Podstawowa im. Franciszka Myśliwca w Izbicku, klasa nr 9, ul. 15 Grudnia 32A, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;95;80;228
2;"Zespół Szkolno-Przedszkolny w Krośnicy Szkoła Podstawowa im. Josepha von Eichendorffa w Krośnicy, Krośnica ul. Szkolna 18, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;107;111;188
3;"Klub przy OSP w Siedlcu, Siedlec ul. Wiejska 30, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;64;56;98
4;"Zespół Szkolno Przedszkolny w Otmicach Szkoła Podstawowa im. Janusza Korczaka w Otmicach, Otmice ul. Klonowa 28, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;106;132;294
5;"Klub Wiejski w Suchodańcu, Suchodaniec ul. Dębowa 2, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;66;73;78
6;"Szkoła Podstawowa im. Franciszka Myśliwca w Izbicku, klasa nr 10, ul. 15 Grudnia 32A, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;42;38;91
7;"Świetlica Wiejska w Boryczy, Borycz ul. Wojska Polskiego 12, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;55;26;92
8;"Świetlica Wiejska w Ligocie Czamborowej, Ligota Czamborowa ul. 1 Maja 42, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;72;49;98
9;"Świetlica Wiejska w Poznowicach, Poznowice ul. Szkolna 27, 47-180 Izbicko";161101;"gm. Izbicko";"strzelecki";"opolskie";1;1;27;34;67
1;"Publiczna Szkoła Podstawowa w Jemielnicy, ul. Szkolna 2, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;165;160;292
2;"Publiczna Szkoła Podstawowa w Jemielnicy, ul. Szkolna 2a, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;218;246;455
3;"Publiczna Szkoła Podstawowa w Piotrówce, Piotrówka ul. Kościuszki 98, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;108;180;159
4;"Świetlica Wiejska w Centawie, Centawa ul. Powstańców Śląskich 13, 47-134 Błotnica Strzelecka";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;57;72;86
5;"Świetlica Wiejska w Barucie, Barut ul. Wiejska 65, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;32;71;92
6;"Świetlica Wiejska w Gąsiorowicach, Gąsiorowice ul. Szkolna 17, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;110;80;127
7;"Świetlica Wiejska w Łaziskach, Łaziska ul. Strzelecka 37, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;71;104;91
8;"Świetlica Wiejska w Wierchlesiu, Wierchlesie ul. Wiejska 25A, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;42;39;47
9;"Centrum Seniora Anna w Jemielnicy, ul. Józefa Chłopickiego 27A, 47-133 Jemielnica";161102;"gm. Jemielnica";"strzelecki";"opolskie";1;1;9;6;15
1;"Szkoła Podstawowa, ul. 1 Maja 5, 47-110 Kolonowskie";161103;"gm. Kolonowskie";"strzelecki";"opolskie";1;1;112;143;280
2;"Świetlica OSP, ul. Leśna 6b, 47-110 Kolonowskie";161103;"gm. Kolonowskie";"strzelecki";"opolskie";1;1;110;132;245
3;"Szkoła Podstawowa, ul. Jana Pawła II 4, 47-113 Kolonowskie";161103;"gm. Kolonowskie";"strzelecki";"opolskie";1;1;84;81;205
4;"Dom Aktywności Wiejskiej, Spórok ul. Guznera 3, 47-175 Kadłub";161103;"gm. Kolonowskie";"strzelecki";"opolskie";1;1;53;63;110
5;"Szkoła Podstawowa, Staniszcze Małe ul. Szkolna 1, 47-113 Kolonowskie";161103;"gm. Kolonowskie";"strzelecki";"opolskie";1;1;107;129;176
6;"Publiczne Przedszkole, Staniszcze Wielkie ul. Kościelna 15, 47-113 Kolonowskie";161103;"gm. Kolonowskie";"strzelecki";"opolskie";1;1;100;99;214
1;"Urząd Miejski, ul. 1 Maja 9, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;144;159;394
2;"Szkoła Podstawowa, ul. Zdzieszowicka 23, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;123;185;339
3;"Remiza OSP, Wysoka ul. Strzelecka 67, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;87;135;172
4;"Publiczne Przedszkole w Leśnicy, Oddział Zamiejscowy w Dolnej, Dolna ul. Wiejska 30, 47-100 Strzelce Opolskie";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;56;63;81
5;"Klub Wiejski, Kadłubiec ul. Wiejska 93, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;30;30;86
6;"Zespół Szkolno-Przedszkolny, Zalesie Śląskie ul. Dworcowa 4, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;132;149;190
7;"Zespół Szkolno-Przedszkolny, Raszowa ul. Góry Świętej Anny 91, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;129;137;278
8;"Remiza OSP, Lichynia ul. Daszyńskiego 24, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;47;32;80
9;"Klub Wiejski, Łąki Kozielskie ul. 1 Maja 35, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;39;55;72
10;"Dom Pomocy Społecznej w Strzelcach Opolskich-Filia w Leśnicy, ul. Szpitalna 20, 47-150 Leśnica";161104;"gm. Leśnica";"strzelecki";"opolskie";1;1;5;12;10
1;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Powstańców Śląskich 3, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;119;184;398
2;"Strzelecki Ośrodek Kultury, pl. Plac Stefana Żeromskiego 7, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;82;146;291
3;"Gminny Zarząd Mienia Komunalnego w Strzelcach Opolskich, ul. Zamkowa 4, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;53;76;157
4;"Publiczna Szkoła Podstawowa Nr 1, ul. Kozielska 34, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;84;100;234
5;"Liceum Ogólnokształcące, ul. Krakowska 38, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;86;167;419
6;"Państwowa Szkoła Muzyczna I-go stopnia, ul. Jana Matejki 1, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;47;66;85
7;"Świetlica Wiejska, Szczepanek ul. Strzelecka 101, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;68;89;231
8;"Publiczna Szkoła Podstawowa Nr 1, sala gimnastyczna, ul. Wawrzyńca Świerzego 3, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;97;126;312
9;"Przedszkole Publiczne nr 10, ul. Adama Asnyka 6, 47-100 Strzelce Opolskie";161105;"gm. Strzelce Opolskie";"strzelecki";"opolskie";1;1;84;159;434
