"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Stanisław Jan - KW NOWA LEWICA";"CZELEJ Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WYPYCH Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Środowiskowy Dom Samopomocy, ul. Mikołaja Pileckiego 20, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;127;241;72
2;"Szkoła Podstawowa, ul. Szkolna 8, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;133;203;68
3;"Szkoła Podstawowa, ul. Szkolna 8, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;156;269;105
4;"Urząd Miejski (sala konferencyjna), ul. Marszałka Józefa Piłsudskiego 22, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;169;227;69
5;"Bychawskie Centrum Kultury, ul. Marszałka Józefa Piłsudskiego 34, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;157;193;42
6;"Zespół Szkół im. Ks. Antoniego Kwiatkowskiego, ul. Marszałka Józefa Piłsudskiego 81, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;90;157;46
7;"Bychawskie Przedsiębiorstwo Komunalne sp. z o. o., ul. Macieja Rataja 6, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;176;230;67
8;"Centrum Kultury Wiejskiej, Bychawka Druga 113, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;80;231;62
9;"Szkoła Podstawowa im. K. Koźmiana, Bychawka Druga-Kolonia 75, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;77;207;75
10;"Budynek szkolny, Osowa 61, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;66;125;44
11;"Centrum Kultury Wiejskiej, Olszowiec 10, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;46;152;34
12;"Centrum Kultury Wiejskiej, Gałęzów 24, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;45;171;35
13;"Szkoła Podstawowa, Wola Gałęzowska 116a, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;56;278;60
14;"Szkoła Podstawowa, Stara Wieś Druga 55, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;34;161;36
15;"Szkoła Podstawowa, Zaraszów 64, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;70;164;84
16;"Budynek gminny, Zdrapy 33, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;24;77;22
17;"Centrum Kultury Wiejskiej, Wola Duża 21, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;33;74;31
18;"Remiza Ochotniczej Straży Pożarnej, Gałęzów-Kolonia Druga 34A, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;34;90;17
19;"Remiza Ochotniczej Straży Pożarnej, Stara Wieś Pierwsza 68B, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;50;127;40
20;"Szpital Powiatowy SP ZOZ, ul. Marszałka Józefa Piłsudskiego 26/28/30, 23-100 Bychawa";60903;"gm. Bychawa";"lubelski";"lubelskie";1;1;2;11;0
1;"lokal Gminnej Biblioteki Publicznej, ul. Krakowskie Przedmieście 54, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;465;557;217
2;"lokal Szkoły Podstawowej, Bogucin 64, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;161;361;118
3;"lokal Szkoły Podstawowej, Przybysławice 1A, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;321;448;173
4;"lokal remizy OSP, Piotrowice Wielkie 47, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;73;198;71
5;"lokal Szkoły Podstawowej, Wola Przybysławska 331, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;155;457;138
6;"lokal Klubu Wiejskiego, Gutanów 13, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;51;158;36
7;"lokal Szkoły Podstawowej, Borków 13, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;18;107;29
8;"lokal Szkoły Podstawowej, Leśce 63, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;55;158;62
9;"lokal remizy OSP, Janów 29, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;21;71;30
10;"lokal po byłej szkole, Karolin 30a, 21-080 Garbów";60904;"gm. Garbów";"lubelski";"lubelskie";1;1;20;129;41
1;"Szkoła Podstawowa, Prawiedniki 165, 20-515 Lublin 51";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;402;452;194
2;"Szkoła Podstawowa, Kalinówka 78, 21-040 Świdnik";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;1045;592;420
3;"Urząd Gminy Głusk, Dominów ul. Rynek 1, 20-388 Lublin 6";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;505;438;176
4;"Szkoła Podstawowa, Mętów 124A, 20-388 Lublin 6";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;50;60;20
5;"Szkoła Podstawowa, Mętów 124, 20-388 Lublin 6";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;345;445;141
6;"Szkoła Podstawowa, Wilczopole-Kolonia 97, 20-388 Lublin 6";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;220;371;142
7;"Świetlica, Ćmiłów 68, 20-388 Lublin";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;273;321;131
8;"Świetlica, Głuszczyzna 46C, 20-388 Lublin";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;62;160;44
9;"Świetlica, Kazimierzówka 25, 21-040 Świdnik";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;177;176;59
10;"Świetlica, Kliny 12, 20-388 Lublin";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;61;95;44
11;"Świetlica, Majdan Mętowski 8, 20-388 Lublin";60905;"gm. Głusk";"lubelski";"lubelskie";1;1;62;53;28
1;"Remiza Ochotniczej Straży Pożarnej w Chmielu, Chmiel Pierwszy 23, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;84;236;55
2;"Szkoła Podstawowa w Czerniejowie, Czerniejów 130, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;190;361;109
3;"Zespół Szkół w Jabłonnie, Jabłonna Druga 45, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;376;526;236
4;"Zespół Szkół w Piotrkowie Pierwszym, Piotrków Pierwszy 105, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;228;429;169
5;"Szkoła Podstawowa w Skrzynicach, Skrzynice Pierwsze 110, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;167;311;101
6;"Szkoła Podstawowa w Tuszowie, Tuszów 159, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;95;155;60
7;"Świetlica przy OSP Jabłonna, Jabłonna-Majątek 110D, 23-114 Jabłonna-Majątek";60906;"gm. Jabłonna";"lubelski";"lubelskie";1;1;135;164;98
1;"Szkoła Podstawowa w Jastkowie, Panieńszczyzna al. Warszawska 43, 21-002 Jastków";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;545;512;204
2;"Szkoła Podstawowa w Ożarowie, Ożarów 160, 24-150 Nałęczów";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;176;417;139
3;"Szkoła Podstawowa w Snopkowie, Snopków ul. Szkolna 1, 21-002 Jastków";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;788;678;275
4;"Szkoła Podstawowa w Płouszowicach, Płouszowice-Kolonia 17, 21-008 Tomaszowice";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;290;376;123
5;"Szkoła Podstawowa w Tomaszowicach, Tomaszowice-Kolonia 40A, 21-008 Tomaszowice";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;366;590;203
6;"Urząd Gminy Jastków, Panieńszczyzna ul. Chmielowa 3, 21-002 Jastków";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;166;447;161
7;"Gminny Ośrodek Kultury i Sportu w Jastkowie ZS. w Dąbrowicy, Dąbrowica ul. Firlejowska 9, 21-008 Tomaszowice";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;398;421;163
8;"Szkoła Podstawowa w Jastkowie, Panieńszczyzna al. Warszawska 43, 21-002 Jastków";60907;"gm. Jastków";"lubelski";"lubelskie";1;1;407;471;178
1;"Budynek Urzędu Gminy Konopnica, Kozubszczyzna 127A, 21-030 Motycz";60908;"gm. Konopnica";"lubelski";"lubelskie";1;1;469;393;208
2;"Budynek Szkoły Podstawowej w Konopnicy, Kozubszczyzna 40, 21-030 Motycz";60908;"gm. Konopnica";"lubelski";"lubelskie";1;1;624;449;221
3;"Budynek Szkoły Podstawowej w Motyczu, Motycz 33, 21-030 Motycz";60908;"gm. Konopnica";"lubelski";"lubelskie";1;1;827;663;315
4;"Budynek Ochotniczej Straży Pożarnej w Radawcu Dużym, Radawiec Duży 154, 21-030 Motycz";60908;"gm. Konopnica";"lubelski";"lubelskie";1;1;551;556;300
5;"Dwujęzyczna Szkoła Podstawowa Europejczyk w Szerokiem, Szerokie 107A, 20-050 Lublin";60908;"gm. Konopnica";"lubelski";"lubelskie";1;1;767;513;221
6;"Budynek Szkoły Podstawowej w Zemborzycach Tereszyńskich, Zemborzyce Tereszyńskie 2, 20-515 Lublin";60908;"gm. Konopnica";"lubelski";"lubelskie";1;1;621;627;332
1;"lokal Szkoły Podstawowej, ul. Leśna 1, 23-110 Krzczonów";60909;"gm. Krzczonów";"lubelski";"lubelskie";1;1;153;219;103
2;"lokal Domu Kultury, Żuków Drugi 5, 23-110 Krzczonów";60909;"gm. Krzczonów";"lubelski";"lubelskie";1;1;60;170;44
3;"lokal Remizy OSP, Krzczonów Trzeci 88, 23-110 Krzczonów";60909;"gm. Krzczonów";"lubelski";"lubelskie";1;1;55;216;51
4;"Remiza OSP, Kosarzew Dolny, Kosarzew Dolny 96, 23-110 Krzczonów";60909;"gm. Krzczonów";"lubelski";"lubelskie";1;1;81;189;58
5;"lokal Remizy OSP, Sobieska Wola Druga 120, 23-110 Krzczonów";60909;"gm. Krzczonów";"lubelski";"lubelskie";1;1;35;165;28
6;"lokal Szkoły Podstawowej, ul. Leśna 1, 23-110 Krzczonów";60909;"gm. Krzczonów";"lubelski";"lubelskie";1;1;178;327;104
1;"Szkoła Podstawowa, ul. Lubelska 21A, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;386;536;244
2;"Szkoła Podstawowa, ul. Lubelska 21A, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;484;683;300
3;"Szkoła Podstawowa, Niedrzwica Kościelna ul. Lipowa 26, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;232;542;168
4;"Szkoła Podstawowa, Sobieszczany 35, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;48;113;33
5;"Szkoła Podstawowa, Strzeszkowice Duże 255A, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;209;281;105
6;"Szkoła Podstawowa, Radawczyk 79, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;76;150;62
7;"Szkoła Podstawowa, Krężnica Jara 321, 20-515 Lublin";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;273;460;174
8;"Szkoła Podstawowa, Marianka 97, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;84;157;62
9;"Szkoła Podstawowa, Czółna 103, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;46;175;46
10;"Specjalny Ośrodek Szkolno-Wychowawczy w Załuczu, Załucze 59, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;46;113;37
11;"Ochotnicza Straż Pożarna w Sobieszczanach Kolonii, Sobieszczany-Kolonia 66, 24-220 Niedrzwica Duża";60910;"gm. Niedrzwica Duża";"lubelski";"lubelskie";1;1;63;159;47
1;"Lokal Szkoły Podstawowej w Ciecierzynie, Ciecierzyn 121, 21-003 Ciecierzyn";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;508;618;243
2;"Lokal Szkoły Podstawowej w Dysie, Dys ul. Lotników Polskich 4, 21-003 Ciecierzyn";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;613;673;302
3;"Lokal Szkoły Podstawowej w Jakubowicach Konińskich, Jakubowice Konińskie ul. Szkolna 69, 21-003 Ciecierzyn";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;855;646;290
4;"Lokal Szkoły Podstawowej w Niemcach, ul. Szkolna 23, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;589;746;252
5;"Lokal Świetlicy w Elizówce, Elizówka ul. Elizówka 92, 21-003 Ciecierzyn";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;333;262;129
6;"Lokal Remizy OSP w Nasutowie, Nasutów 99D, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;305;535;216
7;"Lokal Szkoły Podstawowej w Rudce Kozłowieckiej, Rudka Kozłowiecka 30B, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;247;272;153
8;"Lokal Szkoły Podstawowej w Krasieninie-Kolonii, Krasienin-Kolonia 39, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;482;810;272
9;"Lokal Urzędu Gminy Niemce, ul. Lubelska 121, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;272;370;109
10;"Lokal Gminnego Centrum Szkoleniowego w Niemcach, ul. Parkowa 6, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;239;386;158
11;"Budynek Zielonej Szkoły w Dziuchowie, Dziuchów 6A, 21-025 Niemce";60911;"gm. Niemce";"lubelski";"lubelskie";1;1;70;109;42
1;"Publiczna Szkoła Podstawowa, Żabia Wola 77, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;267;493;183
2;"Publiczna Szkoła Podstawowa, Osmolice Pierwsze 160, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;203;331;136
3;"Samorządowe Przedszkole Publiczne ""Parkowe Skrzaty"" w Piotrowicach-Dworek, Piotrowice 94, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;247;311;126
4;"Publiczna Szkoła Podstawowa, Bystrzyca Stara 89, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;177;251;151
5;"Urząd Gminy, Strzyżewice 109, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;241;340;148
6;"Publiczna Szkoła Podstawowa w Strzyżewicach-Rechcie, Strzyżewice 13, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;64;154;38
7;"Publiczna Szkoła Podstawowa, Kiełczewice Górne 41, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;89;267;70
8;"Dom Pomocy Społecznej w Kiełczewicach Maryjskich, Kiełczewice Maryjskie 86, 23-107 Strzyżewice";60912;"gm. Strzyżewice";"lubelski";"lubelskie";1;1;1;32;0
1;"Urząd Gminy Wojciechów, Wojciechów 5, 24-204 Wojciechów";60913;"gm. Wojciechów";"lubelski";"lubelskie";1;1;100;193;53
2;"Szkoła Podstawowa im. Stanisława Marusarza w Wojciechowie, Wojciechów 8, 24-204 Wojciechów";60913;"gm. Wojciechów";"lubelski";"lubelskie";1;1;174;322;119
3;"Szkoła Podstawowa w Palikijach, Palikije Pierwsze 85B, 24-204 Wojciechów";60913;"gm. Wojciechów";"lubelski";"lubelskie";1;1;219;450;117
4;"Szkoła Podstawowa im. Polskich Olimpijczyków w Miłocinie, Miłocin 7, 24-150 Nałęczów";60913;"gm. Wojciechów";"lubelski";"lubelskie";1;1;96;151;47
5;"Publiczna Szkoła Podstawowa im. Szarych Szeregów w Maszkach, Maszki 75, 24-204 Wojciechów";60913;"gm. Wojciechów";"lubelski";"lubelskie";1;1;105;224;89
6;"Szkoła Podstawowa w Łubkach, Łubki 58, 24-204 Wojciechów";60913;"gm. Wojciechów";"lubelski";"lubelskie";1;1;130;367;137
1;"Zespół Szkolno-Przedszkolny w Łuszczowie, Łuszczów Drugi 102, 20-258 Łuszczów Drugi";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;334;462;217
2;"Zespół Szkolno-Przedszkolny w Pliszczynie, Kolonia Pliszczyn 100, 20-258 Kolonia Pliszczyn";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;204;387;128
3;"Zespół Szkolno-Przedszkolny w Sobianowicach, Sobianowice 32a, 20-258 Sobianowice";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;85;156;63
4;"Zespół Szkolno-Przedszkolny w Świdniku Małym, Świdnik Mały 39, 20-258 Świdnik Mały";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;404;423;191
5;"Urząd Gminy Wólka, Jakubowice Murowane 8, 20-258 Jakubowice Murowane";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;260;410;142
6;"Budynek Klubu Seniora, Rudnik 27, 20-258 Rudnik";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;128;170;79
7;"Zespół Szkolno-Przedszkolny w w Turce, Turka 294, 20-258 Turka";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;307;423;161
8;"Remiza strażacka OSP, Bystrzyca 93, 20-258 Bystrzyca";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;115;123;57
9;"Gminna Biblioteka Publiczna-Filia Turka, ul. Konwaliowa 3, 20-258 Turka";60914;"gm. Wólka";"lubelski";"lubelskie";1;1;998;541;390
1;"Remiza OSP, Antoniówka 125, 23-145 Wysokie";60915;"gm. Wysokie";"lubelski";"lubelskie";1;1;27;95;17
2;"Remiza OSP, Giełczew 1, 23-145 Wysokie";60915;"gm. Wysokie";"lubelski";"lubelskie";1;1;61;402;76
3;"Szkoła Podstawowa, Maciejów Stary 54A, 23-145 Wysokie";60915;"gm. Wysokie";"lubelski";"lubelskie";1;1;79;213;43
4;"Remiza OSP, Biskupie 58, 23-145 Wysokie";60915;"gm. Wysokie";"lubelski";"lubelskie";1;1;13;128;19
5;"Remizo-Świetlica, Nowy Dwór 23A, 23-145 Wysokie";60915;"gm. Wysokie";"lubelski";"lubelskie";1;1;67;172;25
6;"Gminna Biblioteka Publiczna w Wysokiem, ul. Rynek Jabłonowskich 3, 23-145 Wysokie";60915;"gm. Wysokie";"lubelski";"lubelskie";1;1;210;485;122
1;"Szkoła Podstawowa, Dębina 20, 23-155 Zakrzew";60916;"gm. Zakrzew";"lubelski";"lubelskie";1;1;86;306;70
2;"Budynek komunalny, Ponikwy 51, 23-155 Zakrzew";60916;"gm. Zakrzew";"lubelski";"lubelskie";1;1;7;141;9
3;"Remiza Ochotniczej Straży Pożarnej, Tarnawka Pierwsza 180, 23-155 Zakrzew";60916;"gm. Zakrzew";"lubelski";"lubelskie";1;1;32;155;21
4;"Urząd Gminy, Zakrzew 26, 23-155 Zakrzew";60916;"gm. Zakrzew";"lubelski";"lubelskie";1;1;100;405;57
1;"Remiza Ochotniczej Straży Pożarnej, Janowica 17A, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;23;133;29
2;"Zespół Szkół w Cycowie, ul. Chełmska 44, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;143;251;106
3;"Świetlica Wiejska, Barki 18, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;43;127;29
4;"Szkoła Podstawowa, Malinówka 62, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;29;108;44
5;"Remiza Ochotniczej Straży Pożarnej, Nowy Stręczyn 40A, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;40;162;32
6;"Punkt Przedszkolny, Bekiesza 31, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;21;105;17
7;"Szkoła Podstawowa, Głębokie 4, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;85;225;76
8;"Świetlica Wiejska, Garbatówka 7, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;68;121;39
9;"Świetlica Wiejska, Kopina 60, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;41;129;49
10;"Szkoła Podstawowa, Świerszczów 15, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;80;216;52
11;"Zespół Szkół w Cycowie, ul. Chełmska 44, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;279;412;166
12;"Szkoła Podstawowa, Stawek 5, 21-070 Cyców";61001;"gm. Cyców";"łęczyński";"lubelskie";1;1;51;167;25
1;"Hala sportowo-widowiskowa, Ludwin-Kolonia 20A, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;106;124;63
2;"Szkoła Podstawowa, Zezulin Niższy 70, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;163;304;137
3;"Szkoła Podstawowa, Piaseczno 37, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;109;349;93
4;"Szkoła Podstawowa, Dratów 84, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;201;289;94
5;"Remiza OSP, Kaniwola 76, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;75;279;73
6;"Remiza OSP, Zezulin Pierwszy 22A, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;34;102;40
7;"Gminna Biblioteka Publiczna, Ludwin 52, 21-075 Ludwin";61002;"gm. Ludwin";"łęczyński";"lubelskie";1;1;83;104;65
1;"Środowiskowy Dom Samopomocy, Podzamcze 2, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;315;601;189
2;"Budynek szkoły, Zofiówka 85, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;200;326;114
3;"Remiza OSP, Ciechanki Krzesimowskie 11, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;130;239;89
4;"Sala konferencyjna Urzędu Miejskiego, pl. Kościuszki 22, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;249;349;146
5;"Budynek szkoły, ul. Marszałka Piłsudskiego 12, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;261;378;162
6;"Osiedlowy Dom Kultury, ul. Górnicza 12, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;318;356;134
7;"Budynek szkoły, ul. Szkolna 53, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;271;381;130
8;"Budynek szkoły, ul. Szkolna 53, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;368;394;127
9;"Osiedlowy Dom Kultury, ul. Górnicza 12, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;311;356;138
10;"Centrum Kultury, ul. Obrońców Pokoju 1, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;258;423;136
11;"Budynek szkoły, ul. Bogdanowicza 9, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;310;473;170
12;"Budynek szkoły, ul. Bogdanowicza 9, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;323;433;143
13;"Budynek szkoły, ul. Jaśminowa 6, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;219;265;126
14;"Budynek szkoły, ul. Jaśminowa 6, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;257;402;136
15;"Budynek szkoły, ul. Jaśminowa 6, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;297;432;154
16;"Remiza OSP, Łuszczów-Kolonia 13C, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;45;89;31
17;"Szpital Powiatowy w Łęcznej, ul. Krasnystawska 52, 21-010 Łęczna";61003;"gm. Łęczna";"łęczyński";"lubelskie";1;1;24;56;11
1;"Szkoła Podstawowa w Łańcuchowie, Łańcuchów 20, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;91;205;65
2;"Środowiskowy Dom Samopomocy w Antoniowie, Antoniów 48, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;101;233;74
3;"Zespół Szkół Nr 2 Liceum Ogólnokształcące w Milejowie, Milejów-Osada ul. Partyzancka 62, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;256;394;166
4;"Urząd Gminy w Milejowie, Milejów-Osada ul. Partyzancka 13a, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;324;363;141
5;"Szkoła Podstawowa w Jaszczowie, Jaszczów 24, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;153;302;81
6;"Szkoła Podstawowa w Białce, Białka 122, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;55;166;49
7;"Szkoła Podstawowa w Łysołajach, Łysołaje 120, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;113;332;93
8;"Remiza OSP w Starościcach, Starościce 31, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;88;113;42
9;"Budynek po byłej szkole w Maryniowie, Maryniów 11a, 21-020 Milejów";61004;"gm. Milejów";"łęczyński";"lubelskie";1;1;55;202;40
1;"Zespół Szkolno-Przedszkolny w Ostrówku, Ostrówek 154, 21-013 Puchaczów";61005;"gm. Puchaczów";"łęczyński";"lubelskie";1;1;38;175;42
2;"Zespół Szkolno-Przedszkolny w Ostrówku, Szkoła Filialna w Zawadowie, Zawadów 158, 21-013 Puchaczów";61005;"gm. Puchaczów";"łęczyński";"lubelskie";1;1;49;122;38
3;"Zespół Szkolno-Przedszkolny w Nadrybiu, Nadrybie-Dwór 88, 21-013 Puchaczów";61005;"gm. Puchaczów";"łęczyński";"lubelskie";1;1;95;207;55
4;"Świetlica Stara Wieś, Stara Wieś 4, 21-013 Puchaczów";61005;"gm. Puchaczów";"łęczyński";"lubelskie";1;1;33;67;32
