"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LIBICKI Jan Filip - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NIJAKA Danuta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OSZMIAN Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
19;"Świetlica wiejska w Dąbrówce Leśnej, ul. Główna 18, 64-600 Dąbrówka Leśna";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;310;105;50
20;"Zespół Szkolno-Przedszkolny w Maniewie, Maniewo 60, 64-605 Maniewo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;203;84;46
21;"Zespół Szkolno-Przedszkolny w Objezierzu, Objezierze 8, 64-600 Objezierze";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;246;119;47
22;"Świetlica wiejska w Bogdanowie, Bogdanowo 29, 64-600 Bogdanowo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;744;170;136
23;"Remiza Ochotniczej Straży Pożarnej w Bąblinie, Bąblin 34B, 64-607 Bąblin";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;198;101;41
24;"Zespół Szkolno-Przedszkolny w Chrustowie, Chrustowo 13, 64-606 Chrustowo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;154;69;36
25;"Świetlica wiejska w Górce, Górka 29B, 64-606 Górka";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;100;53;40
26;"Świetlica wiejska w Lulinie, Lulin 32A, 64-606 Lulin";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;102;60;39
27;"Świetlica wiejska w Nieczajnie, Nieczajna 20a, 64-606 Nieczajna";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;82;62;26
28;"Świetlica wiejska w Nowołoskońcu, Nowołoskoniec 25, 64-600 Nowołoskoniec";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;105;30;28
29;"Świetlica wiejska w Ocieszynie, ul. Topolowa 12, 64-600 Ocieszyn";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;185;83;23
30;"Świetlica wiejska w Słonawach, Słonawy 45A, 64-600 Słonawy";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;160;34;24
