"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"AŚCIUKIEWICZ Barbara Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"NAGÓRSKI Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GROMEK Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
13;"Dom Pomocy Społecznej, Darskowo 7, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;52;14;58
14;"Świetlica Wiejska, Lubieszewo 30, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;77;25;113
15;"Świetlica Wiejska, Nowe Worowo ul. Aleja Wolności 2, 78-523 Drawsko Pomorskie";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;190;48;126
16;"Świetlica Wiejska, Rzęśnica 11, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;71;25;73
17;"Świetlica Wiejska, Bolegorzyn 1, 78-523 Drawsko Pomorskie";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;43;28;29
18;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Specjalistyczny MSWiA, ul. Kańsko 1, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;25;12;45
1;"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Bolesława Chrobrego w Kołobrzegu, ul. Portowa 37, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;676;112;1176
2;"Zespół Szkół Nr 2, ul. Piastowska 5, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;627;89;989
3;"Szkoła Podstawowa nr 4, ul. Kupiecka 1, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;340;76;739
4;"Szkoła Podstawowa nr 4, ul. Kupiecka 1, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;357;85;842
5;"Sala Sportowa MOSiR, ul. Wąska 1, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;455;108;1066
6;"Szkoła Podstawowa Nr 3, ul. ppor. Edmunda Łopuskiego 15, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;368;58;789
7;"Ratusz Miejski, ul. Armii Krajowej 12, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;338;68;697
8;"Szkoła Podstawowa nr 8, ul. Bogusława X 22, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;299;75;562
9;"Przedszkole Miejskie nr 7, ul. Bogusława X 17, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;252;68;583
10;"Miejska Biblioteka Publiczna im. Galla Anonima. Filia nr 1 Biblioteka ""Ogrody"", ul. Stanisława Żółkiewskiego 6, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;488;123;1050
11;"Miejska Biblioteka Publiczna im. Galla Anonima. Filia nr 1 Biblioteka ""Ogrody"", ul. Stanisława Żółkiewskiego 6, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;275;86;874
12;"Miejski Ośrodek Sportu i Rekreacji, ul. ppor. Edmunda Łopuskiego 38, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;346;93;855
13;"Internat w Zespole Szkół im. H. Sienkiewicza, ul. 1 Maja 47, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;209;117;901
14;"Zespół Szkół Społecznych nr 1 im. Z. Herberta, ul. Jedności Narodowej 58A, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;395;124;1019
15;"Szkoła Podstawowa nr 6, ul. Poznańska 9, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;350;99;900
16;"Szkoła Podstawowa nr 9, ul. Lwowska 7, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;259;116;651
17;"Miejska Biblioteka Publiczna im. Galla Anonima. Filia nr 1 Biblioteka ""Ogrody"", ul. Stanisława Żółkiewskiego 6, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;206;75;619
18;"Zespół Szkół Nr 2, ul. Piastowska 5, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;392;98;757
19;"Przedszkole Miejskie nr 8, ul. Bociania 4A, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;397;129;907
20;"Przedszkole Miejskie nr 3, ul. Unii Lubelskiej 23, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;301;54;649
21;"Szkoła Podstawowa nr 5 z Oddziałami Integracyjnymi, ul. Krzysztofa Arciszewskiego 20, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;252;72;660
22;"Szkoła Podstawowa nr 6, ul. Poznańska 9, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;279;114;978
23;"Internat w Zespole Szkół im. H. Sienkiewicza, ul. 1 Maja 47, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;315;117;831
24;"Regionalny Szpital w Kołobrzegu, ul. ppor. Edmunda Łopuskiego 31 - 33, 78-100 Kołobrzeg";320801;"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;38;8;62
1;"Świetlica Wiejska w Dygowie, ul. Ogrodowa 14, 78-113 Dygowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;352;126;603
2;"Świetlica Wiejska, Wrzosowo 39 A, 78-114 Wrzosowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;208;78;349
3;"Świetlica Wiejska, Piotrowice 23, 78-114 Wrzosowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;83;22;121
4;"Świetlica Wiejska, Czernin 33 A, 78-113 Dygowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;123;43;198
5;"Świetlica Wiejska, Pustary 2a, 78-113 Dygowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;60;11;78
6;"Świetlica Wiejska, Gąskowo 13, 78-113 Dygowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;60;13;76
7;"Dom Pomocy Społecznej, Włościbórz 1, 78-114 Wrzosowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;12;0;6
8;"Dom Pomocy Społecznej, Piotrowice 1, 78-114 Wrzosowo";320802;"gm. Dygowo";"kołobrzeski";"zachodniopomorskie";1;1;9;3;10
1;"Urząd Miejski, ul. IV Dywizji Wojska Polskiego 58, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;140;45;239
2;"Urząd Miejski, ul. IV Dywizji Wojska Polskiego 58, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;163;58;309
3;"Centrum Kultury i Książki w Gościnie, ul. Matejki 2, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;173;68;324
4;"Świetlica Wiejska, Robuń 30, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;131;74;184
5;"Świetlica Wiejska, Wartkowo 27, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;102;31;133
6;"Świetlica Wiejska, Ołużna 24 B, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;79;33;163
7;"Dom Pomocy Społecznej w Gościnie, ul. Karlińska 1, 78-120 Gościno";320803;"gm. Gościno";"kołobrzeski";"zachodniopomorskie";1;1;10;0;7
1;"Świetlica Wiejska w Budzistowie, Budzistowo ul. Kołobrzeska 1, 78-100 Kołobrzeg";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;79;24;335
2;"Świetlica Wiejska w Obrotach, Obroty 19, 78-100 Kołobrzeg";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;97;39;383
3;"Biblioteka Gminna, Zieleniewo ul. Szczecińska 12, 78-100 Kołobrzeg";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;378;136;987
4;"Świetlica Wiejska w Korzystnie, Korzystno ul. Szeroka 43, 78-132 Grzybowo";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;121;35;288
5;"Szkoła Podstawowa im. Jana Pawła II, ul. Sportowa 27, 78-131 Dźwirzyno";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;203;52;360
6;"Świetlica Wiejska w Drzonowie, Drzonowo 60, 78-133 Drzonowo";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;250;79;346
7;"Budynek zaplecza socjalnego boiska piłkarskiego w Karcinie, Karcino 43B, 78-133 Drzonowo";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;82;27;143
8;"Świetlica Wiejska w Grzybowie, ul. Szkolna 1, 78-132 Grzybowo";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;330;100;885
9;"Świetlica Wiejska w Błotnicy, Błotnica 3A, 78-102 Kołobrzeg";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;147;38;191
10;"Świetlica Wiejska w Stramnicy, Stramnica 22, 78-100 Kołobrzeg";320804;"gm. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";1;1;92;25;149
1;"Urząd Gminy, ul. Szkolna 7, 78-125 Rymań";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;211;50;301
2;"Sala Wiejska, Dębica 69, 78-125 Rymań";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;55;16;137
3;"Sala Wiejska, Kinowo 18, 78-124 Gorawino";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;84;24;101
4;"Sala Wiejska, Gorawino 58, 78-124 Gorawino";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;110;30;149
5;"Sala Wiejska, Rzesznikowo 15, 78-125 Rymań";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;66;24;129
6;"Sala Wiejska, Jarkowo 12A, 78-124 Gorawino";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;48;6;42
7;"Sala Wiejska, Drozdowo 48A, 78-124 Gorawino";320805;"gm. Rymań";"kołobrzeski";"zachodniopomorskie";1;1;117;21;68
1;"Sala Wiejska w Charzynie, ul. Polna 1, 78-122 Charzyno";320806;"gm. Siemyśl";"kołobrzeski";"zachodniopomorskie";1;1;210;86;573
2;"Gminny Ośrodek Kultury i Biblioteka w Siemyślu, ul. Szkolna 21, 78-123 Siemyśl";320806;"gm. Siemyśl";"kołobrzeski";"zachodniopomorskie";1;1;331;94;382
3;"Sala Wiejska w Nieżynie, Nieżyn 10, 78-123 Siemyśl";320806;"gm. Siemyśl";"kołobrzeski";"zachodniopomorskie";1;1;45;17;86
4;"Sala Wiejska w Trzyniku, Trzynik 19, 78-123 Siemyśl";320806;"gm. Siemyśl";"kołobrzeski";"zachodniopomorskie";1;1;68;30;70
1;"Szkoła Podstawowa im. Marii Konopnickiej, ul. Wojska Polskiego 8, 78-111 Ustronie Morskie";320807;"gm. Ustronie Morskie";"kołobrzeski";"zachodniopomorskie";1;1;721;203;1237
2;"Świetlica Wiejska, Rusowo 27, 78-111 Ustronie Morskie";320807;"gm. Ustronie Morskie";"kołobrzeski";"zachodniopomorskie";1;1;107;41;199
3;"Świetlica Wiejska w Sianożętach, Sianożęty ul. Kwiatowa 2A, 78-111 Ustronie Morskie";320807;"gm. Ustronie Morskie";"kołobrzeski";"zachodniopomorskie";1;1;120;29;227
1;"Zespół Szkół, ul. Kościuszki 28, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;312;120;557
2;"Hala Sportowa przy Publicznej Szkole Podstawowej nr 1, ul. Plac Jana Pawła II 5, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;250;108;580
3;"Publiczne Przedszkole nr 1, ul. Drawska 30, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;268;83;431
4;"Świdwiński Ośrodek Kultury, ul. Niedziałkowskiego 17, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;325;68;512
5;"Publiczna Szkoła Podstawowa nr 4, ul. Kombatantów Polskich 6, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;324;122;749
6;"Publiczna Szkoła Podstawowa nr 4, ul. Kombatantów Polskich 6, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;357;103;633
7;"Zespół Szkół Rolniczych Centrum Kształcenia Praktycznego, ul. Szczecińska 88, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;246;87;509
8;"Publiczna Szkoła Podstawowa nr 3, ul. Szturmowców 1, 78-300 Świdwin";321601;"m. Świdwin";"świdwiński";"zachodniopomorskie";1;1;128;87;337
1;"Remiza Ochotniczej Straży Pożarnej, Brzeżno 7, 78-316 Brzeżno";321602;"gm. Brzeżno";"świdwiński";"zachodniopomorskie";1;1;269;87;210
2;"Remiza Ochotniczej Straży Pożarnej, Słonowice 48, 78-316 Brzeżno";321602;"gm. Brzeżno";"świdwiński";"zachodniopomorskie";1;1;90;31;100
3;"Świetlica wiejska w Pęczerzynie, Pęczerzyno 29, 78-316 Brzeżno";321602;"gm. Brzeżno";"świdwiński";"zachodniopomorskie";1;1;42;26;73
4;"Świetlica wiejska w Rzepczynie, Rzepczyno 25, 78-316 Brzeżno";321602;"gm. Brzeżno";"świdwiński";"zachodniopomorskie";1;1;135;50;156
1;"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi, ul. Mieszka I 19, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;225;66;342
2;"Hala Widowiskowo-Sportowa w Połczynie-Zdroju, ul. Mieszka I 19, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;379;84;481
3;"Zespól Szkół w Połczynie-Zdroju, ul. Stanisława Staszica 6, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;311;94;446
4;"Miejsko-Gminny Ośrodek Pomocy Społecznej w Połczynie-Zdroju, ul. Koszalińska 8A, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;404;112;516
5;"Urząd Miejski w Połczynie-Zdroju, pl. Wolności 3 - 4, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;338;97;494
6;"Szkoła Podstawowa Nr 1 w Połczynie-Zdroju, ul. Grunwaldzka 34, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;353;125;454
7;"Niepubliczna Szkoła Podstawowa z Oddziałami Przedszkolnymi w Toporzyku, Toporzyk 23, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;147;63;155
8;"Szkoła Podstawowa w Redle, Redło 12, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;308;100;409
9;"Szkoła Podstawowa w Bolkowie, Bolkowo 10, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;151;49;142
10;"Przyjazny Szpital w Połczynie-Zdroju, ul. Szpitalna 5, 78-320 Połczyn-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;1;0;2
11;"Uzdrowisko Połczyn Grupa PGU S. A.-Kawiarnia Gryf, Połczyn-Zdrój ul. Solankowa 8, 78-320 Połczun-Zdrój";321603;"gm. Połczyn-Zdrój";"świdwiński";"zachodniopomorskie";1;1;269;53;307
1;"Zespół Szkolno-Przedszkolny w Rąbinie, Rąbino 57, 78-331 Rąbino";321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";1;1;214;85;280
2;"Szkoła Podstawowa, Nielep 38, 78-331 Rąbino";321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";1;1;171;48;120
3;"Świetlica Wiejska, Lipie 3A, 78-331 Rąbino";321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";1;1;118;42;84
4;"Świetlica Wiejska, Rzecino 12, 78-331 Rąbino";321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";1;1;116;32;66
5;"Świetlica Wiejska, Batyń 11, 78-331 Rąbino";321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";1;1;43;10;45
6;"Dom Pomocy Społecznej w Modrzewcu, Modrzewiec 8, 78-331 Rąbino";321604;"gm. Rąbino";"świdwiński";"zachodniopomorskie";1;1;19;3;11
1;"Ośrodek Kultury, ul. Kolejowa 6, 78-314 Sławoborze";321605;"gm. Sławoborze";"świdwiński";"zachodniopomorskie";1;1;110;72;254
2;"Środowiskowy Dom Samopomocy, ul. Leśna 1a, 78-314 Sławoborze";321605;"gm. Sławoborze";"świdwiński";"zachodniopomorskie";1;1;132;64;279
3;"Szkoła Podstawowa, ul. Lipowa 19, 78-314 Sławoborze";321605;"gm. Sławoborze";"świdwiński";"zachodniopomorskie";1;1;152;58;217
4;"Świetlica Wiejska, Mysłowice 51, 78-314 Sławoborze";321605;"gm. Sławoborze";"świdwiński";"zachodniopomorskie";1;1;112;48;171
5;"Dom Pomocy Społecznej w Krzecku 5, Krzecko 5, 78-314 Sławoborze";321605;"gm. Sławoborze";"świdwiński";"zachodniopomorskie";1;1;7;0;6
1;"Świetlica Wiejska w Rusinowie, Rusinowo 22, 78-311 Rusinowo";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;125;56;118
2;"Świetlica OSP w Lekowie, Lekowo 25a, 78-312 Lekowo";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;129;53;130
3;"Publiczna Szkoła Podstawowa w Bierzwnicy, Bierzwnica 52, 78-324 Cieszeniewo";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;84;39;70
4;"Świetlica Wiejska w Klępczewie, Klępczewo 8, 78-312 Lekowo";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;105;36;87
5;"Świetlica Wiejska w Smardzku, Smardzko 14, 78-300 Świdwin";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;80;19;71
6;"Publiczna Szkoła Podstawowa w Oparznie, Oparzno 31, 78-300 Świdwin";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;109;42;112
7;"Klub Seniora w Rogalinie, Rogalino 32, 78-300 Świdwin";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;73;22;85
8;"Klub Seniora w Krosinie, Krosino 21, 78-300 Świdwin";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;85;34;94
9;"Klub Seniora w Cieszeniewie, Cieszeniewo 11, 78-324 Cieszeniewo";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;82;37;77
10;"Świetlica Wiejska w Kluczkowie, Kluczkowo 9, 78-324 Cieszeniewo";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;110;41;143
11;"Świetlica Wiejska w Starym Przybysławiu, Stary Przybysław 20, 78-300 Świdwin";321606;"gm. Świdwin";"świdwiński";"zachodniopomorskie";1;1;36;14;67
1;"Zespół Szkół nr 4-RCKU, ul. Południowa 10a, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;339;152;814
2;"Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Budowlanych 4, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;278;155;850
3;"Szkoła Podstawowa nr 4, ul. Aleja Tysiąclecia 19, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;390;133;754
4;"Przedszkole nr 9, ul. Wojska Polskiego 53, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;218;73;445
5;"Przedszkole nr 6, ul. Aleja Tysiąclecia 19a, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;328;107;719
6;"Wałeckie Centrum Kultury, pl. Plac Zesłańców Sybiru 3, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;361;180;864
7;"Środowiskowy Dom Samopomocy dla Osób z Zaburzeniami Psychicznymi, ul. Nowomiejska 4, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;322;152;826
8;"Szkoła Podstawowa nr 1, ul. Robotnicza 23, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;259;93;617
9;"Szkoła Podstawowa Nr 2, ul. M. Konopnickiej 2, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;297;114;631
10;"Szkoła Podstawowa nr 5, os. Osiedle Dolne Miasto 14A, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;310;104;740
11;"Przedszkole nr 8, os. Osiedle Dolne Miasto 25A, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;359;134;776
12;"107 Szpital Wojskowy z Przychodnią SPZOZ, ul. Kołobrzeska 44, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;7;5;17
13;"Dom Pomocy Społecznej, ul. Orla 35, 78-600 Wałcz";321701;"m. Wałcz";"wałecki";"zachodniopomorskie";1;1;19;2;9
1;"Hala Widowisko-Sportowa w Człopie, ul. Osiedlowa 9, 78-630 Człopa";321702;"gm. Człopa";"wałecki";"zachodniopomorskie";1;1;358;171;564
2;"Szkoła Podstawowa w Człopie, ul. Plac Zwycięstwa 6, 78-630 Człopa";321702;"gm. Człopa";"wałecki";"zachodniopomorskie";1;1;277;94;281
3;"Świetlica Wiejska, Mielęcin ul. Szkolna 5, 78-630 Człopa";321702;"gm. Człopa";"wałecki";"zachodniopomorskie";1;1;64;45;83
4;"Świetlica Wiejska, Wołowe Lasy 22, 78-630 Człopa";321702;"gm. Człopa";"wałecki";"zachodniopomorskie";1;1;88;41;117
1;"Szkoła Podstawowa w Mirosławcu, ul. Wolności 21, 78-650 Mirosławiec";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;185;97;495
2;"Ośrodek Kultury w Mirosławcu, ul. Parkowa 1, 78-650 Mirosławiec";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;260;120;509
3;"Placówka Wsparcia Dziennego ""Lotnik"" w Mirosławcu Górnym, ul. Lotnictwa Polskiego 4/1, 78-651 Mirosławiec Górny";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;84;53;168
4;"Świetlica Wiejska w Bronikowie, Bronikowo 40B, 78-652 Mirosławiec";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;57;23;45
5;"Świetlica Wiejska w Piecniku, Piecnik 53, 78-650 Mirosławiec";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;40;15;63
6;"Świetlica Wiejska w Hankach, Hanki 47, 78-650 Mirosławiec";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;78;30;58
7;"Świetlica Wiejska w Jabłonowie, Jabłonowo 16, 78-650 Mirosławiec";321703;"gm. Mirosławiec";"wałecki";"zachodniopomorskie";1;1;63;19;75
1;"Hol Szkoły Podstawowej, ul. Szkolna 41, 78-640 Tuczno";321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";1;1;166;62;264
2;"Świetlica Wiejska, Marcinkowice 84, 78-641 Tuczno";321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";1;1;197;59;162
3;"Świetlica Wiejska, Rzeczyca ul. 1 Maja 39, 78-641 Tuczno";321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";1;1;182;43;114
4;"Świetlica Wiejska, Zdbowo 2, 78-640 Tuczno";321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";1;1;92;22;79
5;"Świetlica Wiejska, Miłogoszcz 11, 78-640 Tuczno";321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";1;1;82;31;82
6;"Gminny Ośrodek Kultury, ul. Wolności 26a, 78-640 Tuczno";321704;"gm. Tuczno";"wałecki";"zachodniopomorskie";1;1;144;236;69
1;"Niepubliczna Szkoła Podstawowa, Dębołęka 13A, 78-607 Dębołęka";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;138;63;191
2;"Szkoła Podstawowa, Karsibór 39, 78-609 Karsibór";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;135;48;201
3;"Świetlica Wiejska w Kłębowcu, Kłębowiec 50A, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;152;64;235
4;"Niepubliczna Szkoła Podstawowa, ul. Szkolna 21, 78-611 Szwecja";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;246;154;594
5;"Niepubliczna Szkoła Podstawowa, Witankowo 42, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;176;63;188
6;"Szkoła Podstawowa, Różewo 8, 78-627 Różewo";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;144;55;191
7;"Szkoła Podstawowa, Gostomia 36, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;141;56;154
8;"Szkoła Podstawowa, Strączno 53, 78-642 Strączno";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;137;43;214
9;"Szkoła Podstawowa, Chwiram 1, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;104;58;227
10;"Świetlica Wiejska w Górnicy, Górnica 26, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;35;35;67
11;"Biblioteka Publiczna Gminy Wałcz, Lubno 36, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;85;47;157
12;"Świetlica Wiejska w Dobinie, Dobino 14, 78-600 Wałcz";321705;"gm. Wałcz";"wałecki";"zachodniopomorskie";1;1;134;73;235
