"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻEBROWSKA Alicja - KW PRAWO I SPRAWIEDLIWOŚĆ";"BODNAR Adam Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
15;"Przedszkole nr 7, ul. Sowia 4, 00-318 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;378;870
16;"LXXXIII Liceum Ogólnokształcące, ul. Emiliana Konopczyńskiego 4, 00-335 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;400;855
17;"Szkoła Podstawowa nr 41, ul. Drewniana 8, 00-345 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;381;1313
18;"Centrum Pomocy Społecznej Dział Wsparcia Społecznego, ul. Twarda 1, 00-114 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;622;1627
19;"CLVII Liceum Ogólnokształcące, ul. Świętokrzyska 18A, 00-052 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;340;890
20;"Pałac Kultury i Nauki, wejście od pływalni Pałacu Młodzieży, pl. Plac Defilad 1, 00-110 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;704;1796
21;"Ministerstwo Rolnictwa i Rozwoju Wsi, ul. Wspólna 30, 00-519 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;411;1088
22;"IX Liceum Ogólnokształcące, ul. Hoża 88, 00-682 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;455;996
23;"Szkoła Podstawowa nr 1, ul. Wilcza 53, 00-679 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;338;846
24;"Szkoła Podstawowa nr 203, ul. ks. Ignacego Skorupki 8, 00-546 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;624;1527
25;"Szkoła Podstawowa nr 211, ul. Nowy Świat 21A, 00-029 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;342;915
26;"XVIII Liceum Ogólnokształcące, ul. Smolna 30, 00-375 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;416;929
27;"Szkoła Podstawowa nr 34, ul. Leona Kruczkowskiego 12B, 00-380 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;385;1350
28;"Szkoła Podstawowa nr 12, ul. Górnośląska 45, 00-458 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;477;1164
29;"Stołeczne Centrum Sportu Aktywna Warszawa, ul. Solec 71, 00-402 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;395;1237
30;"Przedszkole nr 44, ul. Ludna 8, 00-406 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;519;1466
31;"II Liceum Ogólnokształcące, ul. Myśliwiecka 6, 00-459 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;369;1091
32;"Szkoła Podstawowa nr 29, ul. Fabryczna 19, 00-446 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;639;1684
33;"LXVII Liceum Ogólnokształcące, ul. Hoża 11/15, 00-528 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;537;1301
34;"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, ul. Nowowiejska 15/19, 00-665 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;596;1552
35;"Szkoła Podstawowa nr 48, ul. Stefanii Sempołowskiej 4, 00-574 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;420;1145
36;"Biblioteka Publiczna m. st. Warszawy-Biblioteka Główna Województwa Mazowieckiego, ul. Koszykowa 26/28, 00-553 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;515;1548
37;"XXVII Liceum Ogólnokształcące im. Tadeusza Czackiego, ul. Polna 5, 00-625 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;348;1063
38;"XV Liceum Ogólnokształcące, ul. Klonowa 16, 00-591 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;346;931
39;"Zakład Gospodarowania Nieruchomościami w Dzielnicy Śródmieście m. st. Warszawy, ul. Szwoleżerów 5, 00-464 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;529;1535
1100;"Dom Pomocy Społecznej Wójtowska, ul. Wójtowska 13, 00-224 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;36;20
1101;"Ośrodek Działalności Leczniczej Caritas Archidiecezji Warszawskiej, ul. Krakowskie Przedmieście 62, 00-322 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;16;10
1102;"Dom Pomocy Społecznej im. św. F. Salezego, ul. Solec 36A, 00-394 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;33;7
1103;"Szpital Kliniczny im. Księżnej Anny Mazowieckiej, ul. Karowa 2, 00-315 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;9;34
1104;"Szpital Specjalistyczny ""Inflancka"" im. Krysi Niżyńskiej ""Zakurzonej"" SPZOZ, ul. Inflancka 6, 00-189 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;6;21
1105;"Samodzielny Wojewódzki Zespół Publicznych Zakładów Psychiatrycznej Opieki Zdrowotnej, ul. Nowowiejska 27, 00-665 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;34;68
1106;"Samodzielny Publiczny Szpital Kliniczny im. prof. Witolda Orłowskiego CMKP, ul. Czerniakowska 231, 00-416 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;37;47
1107;"Dom Geriatryczno-Rehabilitacyjny Bonifratrów p. w. NMP Królowej Pokoju, ul. Sapieżyńska 3, 00-152 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;32;20
331;"Klub Młodzieżowy, ul. Marii Kazimiery 20/U10, 01-641 Warszawa";146519;"Żoliborz";"Warszawa";"mazowieckie";1;1;379;1023
