"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BODNAR Włodzimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"GOLBA Mieczysław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"LASEK Dariusz Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WOŚ Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DRAPAK Maria Halina - KWW RDIP"
4;"Świetlica Wiejska w Cetuli, Cetula 61, 37-523 Radawa";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;22;215;19;22;2
5;"Świetlica Wiejska w Mołodyczu, Mołodycz 90, 37-523 Radawa";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;31;229;17;34;2
6;"Dom Kultury w Zapałowie, Zapałów 134, 37-544 Zapałów";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;69;454;67;103;16
7;"Świetlica Wiejska w Ryszkowej Woli, Ryszkowa Wola 59, 37-544 Zapałów";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;23;269;28;21;8
8;"Dom Kultury w Piwodzie, Piwoda 82, 37-522 Wiązownica";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;51;478;49;35;0
9;"Dom Kultury w Szówsku, Szówsko ul. Sportowa 5, 37-522 Wiązownica";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;207;898;93;177;18
10;"Świetlica Środowiskowa przy Kościele pw. św. Brata Alberta w Szówsku, Szówsko ul. Zamojska 6, 37-500 Jarosław";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;58;236;32;103;4
11;"Dom Kultury w Nielepkowicach, Nielepkowice 71, 37-522 Wiązownica";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;36;149;22;25;4
1;"Przedszkole Nr 2, ul. Marii Konopnickiej 9, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;102;401;67;255;38
2;"Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 5, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;92;418;53;325;22
3;"Liceum Ogólnokształcące, ul. Tadeusza Kościuszki 26, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;226;611;116;511;31
4;"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 9, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;127;383;65;351;36
5;"Miejski Dom Kultury, ul. Marii Konopnickiej 2, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;112;377;57;280;40
6;"SP ZOZ Szpital Powiatowy, ul. Adama Mickiewicza 168, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;113;370;72;234;11
7;"SP ZOZ Szpital Powiatowy w Lubaczowie, ul. Adama Mickiewicza 168, 37-600 Lubaczów";180901;"m. Lubaczów";"lubaczowski";"podkarpackie";1;1;4;43;4;5;1
1;"Dom Strażaka, Chotylub 64, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;28;126;17;20;4
2;"Centrum Kultury i Sportu, ul. Kościuszki 4, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;100;282;57;134;23
3;"Zespół Szkolno-Przedszkolny w Cieszanowie, ul. Jana III Sobieskiego 1, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;69;242;41;111;17
4;"Wiejski Dom Kultury, Dachnów ul. Lwowska 3, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;119;360;75;107;20
5;"Punkt Przedszkolny, Kowalówka 7, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;20;64;8;80;6
6;"Zespół Szkolno-Przedszkolny, Niemstów 76, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;68;183;24;40;11
7;"Świetlica Wiejska, Nowe Sioło 85, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;52;176;24;80;7
8;"Wiejski Dom Kultury, Stary Lubliniec 45, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;18;129;18;32;6
9;"Dom Strażaka, Nowy Lubliniec 27, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;17;110;22;40;4
10;"Świetlica Wiejska, Żuków 73, 37-611 Cieszanów";180902;"gm. Cieszanów";"lubaczowski";"podkarpackie";1;1;8;82;12;20;6
1;"Hala Sportowa przy Zespole Szkół i Placówek Oświatowych w Horyńcu Zdroju, ul. Jana III Sobieskiego 8, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;112;354;62;170;28
2;"Gminny Ośrodek Kultury w Horyńcu-Zdroju, ul. Jana III Sobieskiego 4, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;84;378;70;201;12
3;"Świetlica wiejska w Werchracie, Werchrata 47A, 37-622 Werchrata";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;22;77;15;66;15
4;"Świetlica wiejska w Nowym Bruśnie, Nowe Brusno 89, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;18;149;12;36;4
5;"Świetlica wiejska w Wólce Horynieckiej, Wólka Horyniecka 33, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;17;84;16;22;1
6;"Świetlica wiejska w Horyńcu-Zdroju, ul. Lipowa 13, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;48;172;25;100;9
7;"Świetlica wiejska w Dziewięcierzu, Dziewięcierz 15, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;10;40;6;9;6
8;"Zakład Opiekuńczo-Leczniczy ""Ostoja"" w Podemszczyźnie, Podemszczyzna 18, 37-620 Horyniec-Zdrój";180903;"gm. Horyniec-Zdrój";"lubaczowski";"podkarpackie";1;1;3;13;3;1;4
1;"Gminny Ośrodek Kultury w Baszni Dolnej, ul. Jana III Sobieskiego 11, 37-621 Basznia Dolna";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;75;343;34;69;11
2;"Świetlica Wiejska w Baszni Górnej, Basznia Górna 71, 37-621 Basznia Dolna";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;15;139;16;19;6
3;"Gminny Ośrodek Kultury w Krowicy Samej, Krowica Sama 183, 37-625 Krowica Sama";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;52;478;47;87;17
4;"Zespół Szkolno-Przedszkolny w Młodowie, Młodów ul. Szkolna 48, 37-600 Lubaczów";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;69;398;50;126;14
5;"Zespół Szkolno-Przedszkolny w Lisich Jamach, Lisie Jamy ul. Lwowska 45, 37-600 Lubaczów";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;90;642;68;132;19
6;"Świetlica Wiejska w Dąbkowie, Dąbków ul. gen. Stanisława Dąbka 139, 37-600 Lubaczów";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;62;289;69;115;27
7;"Gminny Ośrodek Kultury w Załużu, Załuże 202, 37-600 Lubaczów";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;54;257;38;62;15
8;"Świetlica Wiejska w Antonikach, Antoniki 34, 37-600 Lubaczów";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;25;120;12;30;1
9;"Świetlica Wiejska w Tymcach, Tymce 59, 37-621 Basznia Dolna";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;19;89;16;20;11
10;"Świetlica Wiejska w Szczutkowie, Szczutków 60, 37-600 Lubaczów";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;19;111;15;19;5
11;"Dom Pomocy Społecznej dla Osób Przewlekle Psychicznie Chorych w Krowicy Lasowej, Krowica Lasowa 86, 37-625 Krowica Sama";180904;"gm. Lubaczów";"lubaczowski";"podkarpackie";1;1;0;4;6;3;4
1;"Budynek Urzędu Miasta i Gminy Narol, ul. Rynek 1, 37-610 Narol";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;121;475;99;253;17
2;"Budynek byłej Szkoły Podstawowej w Lipsku, Lipsko ul. Mogiłek 1, 37-610 Narol";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;65;320;47;136;14
3;"Budynek Szkoły Podstawowej w Łukawicy, Łukawica 9, 37-610 Narol";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;62;288;50;85;10
4;"Budynek świetlicy wiejskiej w Płazowie, ul. Kościelna 1, 37-614 Płazów";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;17;138;12;51;4
5;"Budynek Zespołu Szkół w Rudzie Różanieckiej, Ruda Różaniecka 187, 37-613 Ruda Różaniecka";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;38;204;43;141;32
6;"Budynek świetlicy wiejskiej w Łówczy, Łówcza 45, 37-614 Płazów";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;35;102;26;30;4
7;"Budynek Schroniska Turystycznego w Hucie Różanieckiej, Huta Różaniecka 57, 37-613 Ruda Różaniecka";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;13;112;16;31;8
8;"Budynek Gminnego Ośrodka Kultury w Narolu, ul. Warszawska 27, 37-610 Narol";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;56;329;37;82;15
9;"Dom Pomocy Społecznej w Rudzie Różanieckiej, Ruda Różaniecka 53, 37-613 Ruda Różaniecka";180905;"gm. Narol";"lubaczowski";"podkarpackie";1;1;5;20;7;5;19
1;"Świetlica wiejska w Futorach, Futory 40, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;36;222;24;31;5
2;"Świetlica wiejska w Nowej Grobli, Nowa Grobla 106H, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;5;89;15;19;6
3;"Sala gimnastyczna Szkoły Podstawowej w Oleszycach, ul. Mickiewicza 1, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;105;411;75;197;18
4;"Zespół Szkół w Oleszycach, ul. Zielona 1A, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;79;367;65;155;14
5;"Remiza Strażacka w Starych Oleszycach, Stare Oleszyce ul. Wiejska 116, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;73;271;45;77;12
6;"Dom Strażaka w Starym Siole, Stare Sioło 98, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;35;155;28;43;8
7;"Świetlica wiejska w Zalesiu, Zalesie 68, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;34;152;37;43;4
8;"Świetlica wiejska w Borchowie, Borchów 22, 37-630 Oleszyce";180906;"gm. Oleszyce";"lubaczowski";"podkarpackie";1;1;19;66;16;17;2
1;"Sala rekreacyjna w budynku użyteczności publicznej w Starym Dzikowie, ul. Kościuszki 86, 37-632 Stary Dzików";180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";1;1;54;331;51;100;8
2;"Świetlica wiejska w Cewkowie, Cewków 89, 37-632 Stary Dzików";180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";1;1;43;283;50;0;13
3;"Świetlica wiejska w Cewkowie, Cewków 186, 37-632 Stary Dzików";180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";1;1;20;199;23;43;2
4;"Świetlica wiejska w Moszczanicy, Moszczanica 46, 37-632 Stary Dzików";180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";1;1;18;177;23;31;4
5;"Świetlica wiejska w Ułazowie, Ułazów 101, 37-632 Stary Dzików";180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";1;1;20;154;14;20;10
6;"Świetlica wiejska w Nowym Dzikowie, Nowy Dzików 89A, 37-632 Stary Dzików";180907;"gm. Stary Dzików";"lubaczowski";"podkarpackie";1;1;26;191;25;43;6
1;"Świetlica w Kobylnicy Wołoskiej, Kobylnica Wołoska 4, 37-627 Wielkie Oczy";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;37;84;18;22;7
2;"Publiczna Szkoła Podstawowa w Łukawcu, Łukawiec 84, 37-626 Łukawiec";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;37;274;43;53;41
3;"Wiejski Dom Kultury w Łukawcu, Łukawiec 115, 37-626 Łukawiec";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;37;216;27;36;23
4;"Świetlica OSP w Wielkich Oczach, ul. Leśna 1, 37-627 Wielkie Oczy";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;21;159;8;15;7
5;"Wiejski Dom Kultury w Wielkich Oczach, ul. Leśna 2, 37-627 Wielkie Oczy";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;53;253;39;92;19
6;"Świetlica w Bihalach, Bihale 50, 37-631 Nowa Grobla";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;17;93;12;12;1
7;"Świetlica w Kobylnicy Ruskiej, Kobylnica Ruska 38A, 37-627 Wielkie Oczy";180908;"gm. Wielkie Oczy";"lubaczowski";"podkarpackie";1;1;17;91;6;9;1
1;"Urząd Gminy Bircza, ul. Ojca św. Jana Pawła II 10, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;126;272;42;76;8
2;"Urząd Gminy Bircza, ul. Ojca św. Jana Pawła II 10, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;147;303;36;82;9
3;"Świetlica wiejska w Leszczawie Dolnej, Leszczawa Dolna 31 A, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;70;251;30;32;2
4;"Niepubliczna Szkoła Podstawowa w Kuźminie, Kuźmina 43A, 37-744 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;44;133;13;19;6
5;"Świetlica wiejska w Lipie, Lipa 27, 37-751 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;48;100;17;25;4
6;"Świetlica wiejska w Brzeżawie, Brzeżawa 36, 37-751 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;25;90;5;10;4
7;"Niepubliczna Szkoła Podstawowa w Żohatynie, Żohatyn 46, 37-751 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;32;119;22;8;2
8;"Świetlica wiejska w Hucie Brzuskiej, Huta Brzuska 96 A, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;18;81;16;19;2
9;"Szkoła Podstawowa w Sufczynie, Sufczyna 52, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;39;143;14;18;0
10;"Świetlica Wiejska w Korzeńcu, Korzeniec 26A, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;52;102;16;34;3
11;"Świetlica Wiejska w Brzusce, Brzuska 15, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;24;64;17;11;6
12;"Świetlica Wiejska w Leszczawce, Leszczawka 40, 37-740 Bircza";181301;"gm. Bircza";"przemyski";"podkarpackie";1;1;39;60;11;24;2
1;"Publiczna Szkoła Podstawowa w Bachórcu, Bachórzec 188A, 37-752 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;83;239;32;73;7
2;"Filia Publicznej Szkoły Podstawowej w Przedmieściu Dubieckim w Zespole Szkół w Przedmieściu Dubieckim z siedzibą w Drohobyczce, Drohobyczka 52, 37-753 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;66;171;40;52;6
3;"Urząd Miasta i Gminy Dubiecko, ul. Przemyska 10, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;137;250;67;128;15
4;"Publiczna Szkoła Podstawowa Nr 1 w Nienadowej w Zespole Szkół w Nienadowej, Nienadowa 373, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;230;531;98;179;18
5;"Świetlica wiejska w Sielnicy, Sielnica 31, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;40;143;9;26;1
6;"Remiza OSP w Tarnawce, Piątkowa 1A, 37-751 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;33;121;15;11;4
7;"Remiza OSP w Kosztowej, Kosztowa 65, 37-752 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;29;104;17;34;6
8;"Świetlica wiejska w Hucisku Nienadowskim, Hucisko Nienadowskie 129, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;40;106;8;14;1
9;"Publiczna Szkoła Podstawowa w Przedmieściu Dubieckim w Zespole Szkół w Przedmieściu Dubieckim, Przedmieście Dubieckie 140, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;112;309;53;101;13
10;"Była Szkoła Podstawowa w Śliwnicy, Śliwnica 125A, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;35;144;17;19;5
11;"Świetlica wiejska w Iskani, Iskań 27, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;22;66;6;12;2
12;"Świetlica wiejska w Winnem-Podbukowinie, Winne-Podbukowina 37, 37-750 Dubiecko";181302;"gm. Dubiecko";"przemyski";"podkarpackie";1;1;32;55;18;23;2
1;"Urząd Gminy w Fredropolu, Fredropol 15, 37-734 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;73;167;32;70;6
2;"Świetlica Wiejska w Sierakoścach, Sierakośce 63, 37-743 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;60;130;25;34;7
3;"Szkoła Podstawowa w Kniażycach, Kniażyce 108A, 37-734 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;68;74;46;28;3
4;"Świetlica Wiejska w Huwnikach, Huwniki 82, 37-743 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;51;148;21;63;5
5;"Świetlica Wiejska w Kalwarii Pacławskiej, Kalwaria Pacławska 60, 37-743 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;30;125;14;31;6
6;"Świetlica Wiejska w Rybotyczach, Rybotycze 121, 37-742 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;37;70;16;42;5
7;"Świetlica Wiejska w Aksmanicach, Aksmanice 15, 37-734 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;61;101;20;31;3
8;"Świetlica Wiejska w Darowicach, Darowice 67, 37-734 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;53;59;14;35;1
9;"Świetlica Wiejska w Nowych Sadach, Nowe Sady 29, 37-743 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;16;89;12;21;2
10;"Świetlica Wiejska w Młodowicach, Młodowice 72, 37-734 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;66;128;14;42;3
11;"Świetlica Wiejska w Kupiatyczach, Kupiatycze 38, 37-734 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;23;96;11;25;9
12;"Świetlica Wiejska w Makowej, Makowa 10, 37-742 Fredropol";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;23;95;9;31;3
13;"Dom Pomocy Społecznej w Huwnikach, Huwniki 127, 37-743 Huwniki";181303;"gm. Fredropol";"przemyski";"podkarpackie";1;1;4;16;0;4;2
1;"Gminny Ośrodek Kultury w Krasiczynie, Krasiczyn 180, 37-741 Krasiczyn";181304;"gm. Krasiczyn";"przemyski";"podkarpackie";1;1;135;212;56;145;8
2;"Świetlica Wiejska w Prałkowcach, Prałkowce 253, 37-700 Przemyśl";181304;"gm. Krasiczyn";"przemyski";"podkarpackie";1;1;123;213;43;159;4
3;"Świetlica Wiejska w Olszanach, Olszany 11A, 37-741 Krasiczyn";181304;"gm. Krasiczyn";"przemyski";"podkarpackie";1;1;205;306;71;107;18
4;"Świetlica Wiejska w Korytnikach, Korytniki 9B, 37-741 Krasiczyn";181304;"gm. Krasiczyn";"przemyski";"podkarpackie";1;1;90;127;22;38;7
5;"Świetlica Wiejska w Tarnawcach, Tarnawce 25, 37-741 Krasiczyn";181304;"gm. Krasiczyn";"przemyski";"podkarpackie";1;1;63;105;16;68;3
6;"Świetlica Wiejska w Dybawce, Dybawka ul. Przemyska 4, 37-741 Krasiczyn";181304;"gm. Krasiczyn";"przemyski";"podkarpackie";1;1;49;101;30;109;5
1;"Świetlica Wiejska w Babicach, Babice 10, 37-754 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;64;234;30;44;10
2;"Świetlica Wiejska w Bachowie, Bachów 68A, 37-754 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;77;181;34;20;6
3;"Świetlica Wiejska w Krzywczy, Krzywcza 97, 37-755 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;66;128;31;54;3
4;"Świetlica Wiejska w Kupnej, Kupna 19A, 37-741 Krasiczyn";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;20;48;8;7;1
5;"Świetlica Wiejska w Reczpolu, Reczpol 87, 37-755 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;77;254;27;32;5
6;"Świetlica Wiejska w Ruszelczycach, Ruszelczyce 55, 37-755 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;64;174;19;30;5
7;"Świetlica Wiejska w Skopowie, Skopów 102, 37-754 Babice";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;33;114;22;12;5
8;"Świetlica Wiejska w Średniej, Średnia 29A, 37-755 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;12;47;5;4;2
9;"Świetlica Wiejska w Woli Krzywieckiej, Wola Krzywiecka 70A, 37-755 Krzywcza";181305;"gm. Krzywcza";"przemyski";"podkarpackie";1;1;55;122;17;19;9
1;"Szkoła Podstawowa w Hureczku, Hureczko 100, 37-705 Przemyśl 7";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;62;116;33;48;7
2;"Remiza OSP w Hurku, Hurko 35, 37-705 Przemyśl 7";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;49;126;34;49;4
3;"Świetlica Wiejska w Jaksmanicach, Jaksmanice 76, 37-705 Przemyśl 7";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;53;150;32;44;9
4;"Świetlica Wiejska w Lesznie, Leszno 73, 37-723 Stubno";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;74;121;31;47;6
5;"Hala Sportowa w Medyce, Medyka 293, 37-732 Medyka";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;97;375;64;139;12
6;"Szkoła Podstawowa w Medyce Sala Gimnastyczna, Medyka 292, 37-732 Medyka";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;115;303;52;121;4
7;"Szkoła Podstawowa w Siedliskach, Siedliska 115, 37-705 Przemyśl 7";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;55;181;42;52;5
8;"Szkoła Podstawowa w Torkach, Torki 29, 37-732 Medyka";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;79;244;44;48;7
9;"Zakład Karny w Przemyślu-Oddział Zewnętrzny w Medyce, Medyka 404B, 37-732 Medyka";181306;"gm. Medyka";"przemyski";"podkarpackie";1;1;9;37;9;68;9
1;"Dom Ludowy w Orłach, ul. Przemyska 2, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;126;282;112;181;22
2;"Dom Ludowy w Zadąbrowiu, Zadąbrowie 80B, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;84;225;54;54;8
3;"Dom Ludowy w Nizinach, Niziny 202, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;108;241;56;87;15
4;"Ośrodek Społeczno-Kulturalny i Rekreacyjno-Sportowy w Małkowicach, Małkowice 102A, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;102;261;75;85;9
5;"Dom Ludowy w Walawie, Walawa 83, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;55;249;56;30;0
6;"Dom Ludowy w Duńkowiczkach, Duńkowiczki 160, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;52;93;28;54;3
7;"Dom Ludowy w Drohojowie, Drohojów 36, 37-716 Orły";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;54;100;28;40;2
8;"Dom Ludowy w Hnatkowicach, Hnatkowice 182, 37-717 Kaszyce";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;38;127;25;21;8
9;"Dom Ludowy w Wacławicach, Wacławice 55, 37-717 Kaszyce";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;42;103;25;50;4
10;"Sala Sportowa przy Szkole Podstawowej w Kaszycach, Kaszyce 213A, 37-717 Kaszyce";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;42;283;30;38;4
11;"Dom Ludowy w Ciemięrzowicach, Ciemięrzowice 74, 37-717 Kaszyce";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;21;100;12;27;4
12;"Dom Ludowy w Olszynce, Olszynka 97, 37-717 Kaszyce";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;24;132;19;21;6
13;"Dom Ludowy w Trójczycach, Trójczyce 189, 37-717 Kaszyce";181307;"gm. Orły";"przemyski";"podkarpackie";1;1;34;130;21;75;9
1;"Szkoła Podstawowa w Krównikach, Krówniki 168a, 37-700 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;58;163;38;60;7
2;"Świetlica Wiejska w Łuczycach, Łuczyce 31, 37-705 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;67;73;9;34;7
3;"Świetlica Wiejska w Hermanowicach, Hermanowice 34, 37-733 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;82;111;26;77;6
4;"Zespół Szkół w Nehrybce, Nehrybka 188A, 37-733 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;120;194;74;108;4
5;"Świetlica Wiejska w Pikulicach, Pikulice 23, 37-733 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;74;103;27;69;7
6;"Zespół Szkół w Grochowcach, Grochowce 27, 37-733 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;89;244;42;82;17
7;"Budynek szkolny w Witoszyńcach, Witoszyńce 73, 37-733 Przemyśl";181308;"gm. Przemyśl";"przemyski";"podkarpackie";1;1;45;111;21;19;11
