"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PAJĄK Andrzej Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŁUKAJCZYK Dawid - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRACZYK Piotr Paweł - KWW RDIP";"BURZYŃSKI Zbigniew Józef - KW WIS"
7;"Budynek komunalny w Pcimiu, Pcim 596, 32-432 Pcim";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;36;179;27;5;11
8;"Dom Pomocy Społecznej w Pcimiu, Pcim 638, 32-432 Pcim";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;1;16;0;2;5
1;"Zespół Szkolno-Przedszkolny w Raciechowicach, Raciechowice 106, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;234;240;72;25;41
2;"Szkoła Podstawowa w Zegartowicach, Zegartowice 114, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;119;271;64;12;22
3;"Zespół Szkolno-Przedszkolny w Gruszowie, Gruszów 150, 32-414 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;125;301;61;17;21
4;"Szkoła Podstawowa w Czasławiu, Czasław 105, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;139;210;69;16;33
5;"Remiza Ochotniczej Straży Pożarnej w Dąbiu, Dąbie 17, 32-415 Dąbie";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;34;97;25;4;10
6;"Środowiskowy Dom Samopomocy w Komornikach, Komorniki 98, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;69;124;22;4;15
7;"Remiza Ochotniczej Straży Pożarnej w Kwapince, Kwapinka 65, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;46;80;10;5;10
8;"Szkoła Podstawowa w Krzesławicach, Krzesławice 146, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;45;196;33;4;13
9;"Budynek socjalny w Mierzniu, Mierzeń 57, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;30;76;15;5;6
10;"Remiza Ochotniczej Straży Pożarnej w Poznachowicach Górnych, Poznachowice Górne 17, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;48;173;31;7;19
11;"Remiza Ochotniczej Straży Pożarnej w Żerosławicach, Żerosławice 1, 32-415 Raciechowice";120905;"gm. Raciechowice";"myślenicki";"małopolskie";1;1;26;86;12;6;5
1;"Hala Sportowa w Sieprawiu, ul. Księdza Jana Przytockiego 10, 32-447 Siepraw";120906;"gm. Siepraw";"myślenicki";"małopolskie";1;1;347;392;109;25;50
2;"Hala Sportowa w Sieprawiu, ul. Księdza Jana Przytockiego 10, 32-447 Siepraw";120906;"gm. Siepraw";"myślenicki";"małopolskie";1;1;394;474;142;27;50
3;"Dom Kultury i Biblioteka w Sieprawiu, ul. Jana Pawła II 30, 32-447 Siepraw";120906;"gm. Siepraw";"myślenicki";"małopolskie";1;1;362;403;108;27;33
4;"Zespół Placówek Oświatowych w Zakliczynie, ul. Podgórska 123, 32-406 Zakliczyn";120906;"gm. Siepraw";"myślenicki";"małopolskie";1;1;375;687;161;25;55
5;"Szkoła Podstawowa w Czechówce, Czechówka ul. Szkolna 72, 32-406 Zakliczyn";120906;"gm. Siepraw";"myślenicki";"małopolskie";1;1;188;355;113;23;27
6;"Szkoła Podstawowa w Łyczance, ul. Dworska 1, 32-447 Łyczanka";120906;"gm. Siepraw";"myślenicki";"małopolskie";1;1;151;195;54;17;19
1;"Sułkowicki Ośrodek Kultury, ul. 1 Maja 70, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;180;158;53;16;27
2;"Przedszkole Samorządowe Nr 2 w Sułkowicach, ul. 1 Maja 56, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;421;537;149;48;68
3;"Stara Szkoła w Sułkowicach, ul. Rynek 6, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;280;452;108;43;55
4;"Przedszkole Samorządowe Nr 1 w Sułkowicach, ul. Kwiatowa 16, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;227;569;113;48;56
5;"Zespół Placówek Oświatowych w Harbutowicach, Harbutowice 179, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;182;541;120;30;55
6;"Zespół Placówek Oświatowych w Rudniku, Rudnik ul. Szkolna 55, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;236;312;93;29;41
7;"Remiza OSP w Rudniku, Rudnik ul. Centralna 205, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;424;597;185;50;76
8;"Hala Sportowa w Biertowicach, Biertowice 222A, 32-440 Sułkowice";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;184;315;55;19;30
9;"Zespół Placówek Oświatowych w Krzywaczce, Krzywaczka 41, 32-442 Krzywaczka";120907;"gm. Sułkowice";"myślenicki";"małopolskie";1;1;527;445;160;46;76
1;"Zespół Placówek Oświatowych w Krzczonowie, Krzczonów 82, 32-435 Krzczonów";120908;"gm. Tokarnia";"myślenicki";"małopolskie";1;1;314;901;172;25;41
2;"Szkoła Podstawowa w Skomielnej Czarnej, Skomielna Czarna 267, 32-437 Skomielna Czarna";120908;"gm. Tokarnia";"myślenicki";"małopolskie";1;1;173;606;98;22;32
3;"Szkoła Podstawowa Nr 1 w Tokarni, Tokarnia 379, 32-436 Tokarnia";120908;"gm. Tokarnia";"myślenicki";"małopolskie";1;1;247;761;164;13;34
4;"Szkoła Podstawowa Nr 2 w Tokarni, Tokarnia 709, 32-436 Tokarnia";120908;"gm. Tokarnia";"myślenicki";"małopolskie";1;1;115;388;75;15;32
5;"OSP Więciórka, Więciórka 119, 32-436 Tokarnia";120908;"gm. Tokarnia";"myślenicki";"małopolskie";1;1;62;150;38;6;4
6;"Szkoła Podstawowa w Bogdanówce, Bogdanówka 100, 32-437 Skomielna Czarna";120908;"gm. Tokarnia";"myślenicki";"małopolskie";1;1;58;243;45;5;13
1;"Szkoła Podstawowa im. Marii Konopnickiej w Glichowie, Glichów 29, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;98;106;35;7;15
2;"Szkoła Podstawowa w Kobielniku, Kobielnik 84, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;42;216;39;2;11
3;"Zespół Placówek Oświatowych w Lipniku, Lipnik 14, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;205;655;117;16;23
4;"Oddział Przedszkolny w Poznachowicach Dolnych, Poznachowice Dolne 60, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;69;172;50;2;8
5;"Szkoła Podstawowa im. św. Józefa w Węglówce, Węglówka 203, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;134;489;102;19;27
6;"Oddział Przedszkolny w Wierzbanowej, Wierzbanowa 100, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;62;261;50;8;17
7;"Gminny Ośrodek Kultury i Sportu w Wiśniowej, Wiśniowa 320, 32-412 Wiśniowa";120909;"gm. Wiśniowa";"myślenicki";"małopolskie";1;1;275;770;174;19;49
1;"Szkoła Podstawowa Nr 5 im. Orła Białego, ul. Eugeniusza Kalicińskiego 5, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;660;506;124;44;52
2;"Powiatowy Zespół Nr 4 Szkół Ekonomiczno-Gastronomicznych im. Komisji Edukacji Narodowej, ul. Obozowa 39, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;832;567;124;36;116
3;"Niepubliczne Przedszkole ""Promyczek"", ul. Powstańców Warszawy 1A, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;246;182;38;13;21
4;"Szkoła Podstawowa Nr 7 im. Zofii Kossak, ul. Wyzwolenia 3, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;273;101;42;8;24
5;"Powiatowy Zespół Nr 1 Szkół Ogólnokształcących im. St. Konarskiego, ul. Stanisława Konarskiego 24, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;379;219;72;28;40
6;"MSM BUDOWLANKA, ul. Wiktora Bałandy 1, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;368;303;70;22;35
7;"Szkoła Podstawowa Nr 3 im. Klementyny Tańskiej-Hoffmanowej, ul. Ignacego Krasickiego 16, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;752;429;120;27;72
8;"Szkoła Podstawowa Nr 1, ul. Królowej Jadwigi 12, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;253;204;48;14;17
9;"Niepubliczne Przedszkole ""Jedyneczka"", ul. Kościelecka 1, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;330;221;36;8;35
10;"Szkoła Podstawowa Nr 9 im. Orędowników Pokoju, ul. Budowlanych 68, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;396;284;80;32;48
11;"Przedszkole Miejskie Nr 15, ul. Budowlanych 43, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;181;115;33;6;23
12;"Przedszkole Miejskie Nr 14, ul. Władysława Broniewskiego 12, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;418;227;72;27;48
13;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 4 im. Stanisława Wyspiańskiego, ul. Jędrzeja Śniadeckiego 26, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;557;331;86;30;81
14;"Rada Osiedla Dwory-Kruki, ul. Zwycięstwa 45, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;319;314;65;15;44
15;"Szkoła Podstawowa z Oddziałami Sportowymi Nr 2 im. Łukasza Górnickiego, ul. Karola Olszewskiego 2a, 32-600 Oświęcim";121301;"m. Oświęcim";"oświęcimski";"małopolskie";1;1;428;244;66;20;51
