"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SPIECHOWICZ Mariusz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"SMELA Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAJER Ryszard Bogdan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FAJER Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LASECKI Jarosław Wacław - KWW PAKT OBYWATELSKI LASECKI"
5;"Szkoła Podstawowa w Zrębicach, Zrębice ul. Główna 143, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;46;200;266;54;137
6;"Świetlica Środowiskowa w Przymiłowicach, Przymiłowice ul. Zamkowa 118, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;21;163;206;39;104
7;"Dom Ludowy w Skrajnicy, Skrajnica ul. Szczytowa 43, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;7;53;69;27;41
8;"Dom Pomocy Społecznej, Turów ul. Joachimowska 85, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;0;28;0;0;0
1;"Gminne Centrum Kultury, Informacji i Rekreacji w Poczesnej, ul. Modrzewiowa 3, 42-262 Poczesna";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;21;177;134;35;101
2;"Szkoła Podstawowa w Nieradzie, Michałów ul. Laurowa 54, 42-262 Poczesna";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;50;306;367;74;115
3;"Zespół Szkolno-Przedszkolny w Słowiku, Słowik ul. Podlaska 4, 42-263 Wrzosowa";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;61;347;230;78;134
4;"Szkoła Podstawowa w Hucie Starej B, Huta Stara B ul. Adama Mickiewicza 12, 42-263 Wrzosowa";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;75;434;359;164;174
5;"Świetlica w Brzezinach Nowych, Brzeziny Nowe ul. Biała 33, 42-263 Wrzosowa";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;40;286;232;107;116
6;"Szkoła Podstawowa we Wrzosowej, ul. Szkolna 4, 42-263 Wrzosowa";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;84;409;356;98;198
7;"Wiejskie Centrum Kultury i Rekreacji w Bargłach, Bargły ul. Śląska 84, 42-262 Poczesna";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;13;130;173;31;61
8;"Świetlica wiejska w Nowej Wsi, Nowa Wieś ul. Częstochowska 8, 42-262 Poczesna";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;18;107;133;29;63
9;"Centrum Aktywności Lokalnej, Zawodzie ul. Kolejowa 16, 42-262 Poczesna";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;31;253;173;67;130
10;"Szkoła Podstawowa im. Gustawa Morcinka, Kolonia Poczesna ul. Szkolna 2, 42-262 Poczesna";240413;"gm. Poczesna";"częstochowski";"śląskie";1;1;41;254;169;49;110
1;"Niepubliczna Szkoła Podstawowa w Woli Mokrzeskiej, Wola Mokrzeska ul. Główna 7, 42-248 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;7;62;99;21;47
2;"Zespół Szkolno-Przedszkolny-Hala sportowa w Przyrowie, ul. Szkolna 44, 42-248 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;27;190;265;80;151
3;"Strażnica OSP w Zarębicach, Zarębice 35, 42-248 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;8;48;191;23;50
4;"Niepubliczna Szkoła Podstawowa w Zalesicach, Zalesice ul. Nadrzeczna 3, 42-250 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;7;52;77;15;48
5;"Wiejska Izba Obrzędowa w Sygontce, Sygontka ul. Kościelna 2, 42-250 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;8;45;80;20;44
6;"Strażnica OSP we Wiercicy, Wiercica 76, 42-250 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;7;22;69;8;23
7;"Świetlica Wiejska w Sierakowie, Sieraków 73, 42-250 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;6;18;47;12;33
8;"Strażnica OSP w Staropolu, Staropole 9, 42-250 Przyrów";240414;"gm. Przyrów";"częstochowski";"śląskie";1;1;1;25;50;19;22
1;"Zespół Szkolno-Przedszkolny Nr 1 w Rędzinach, ul. Szkolna 7, 42-242 Rędziny";240415;"gm. Rędziny";"częstochowski";"śląskie";1;1;148;478;473;132;238
2;"Gminny Ośrodek Kultury w Rędzinach, ul. Adama Mickiewicza 7, 42-242 Rędziny";240415;"gm. Rędziny";"częstochowski";"śląskie";1;1;148;404;393;117;212
3;"Filia GOK, ul. Srebrna 17, 42-242 Marianka Rędzińska";240415;"gm. Rędziny";"częstochowski";"śląskie";1;1;28;93;105;41;40
4;"Zespół Szkolno-Przedszkolny w Rudnikach, ul. Szkolna 11, 42-240 Rudniki";240415;"gm. Rędziny";"częstochowski";"śląskie";1;1;183;234;252;47;102
5;"Zespół Szkolno-Przedszkolny w Kościelcu, ul. Wolności 93, 42-240 Kościelec";240415;"gm. Rędziny";"częstochowski";"śląskie";1;1;89;334;543;93;79
6;"Szkoła Podstawowa w Koninie, ul. Kielecka 37, 42-240 Konin";240415;"gm. Rędziny";"częstochowski";"śląskie";1;1;72;175;160;60;90
1;"Gminna Placówka Wsparcia Dziennego w Starczy, ul. Szkolna 1, 42-261 Starcza";240416;"gm. Starcza";"częstochowski";"śląskie";1;1;20;175;130;33;78
2;"Świetlica Wiejska, ul. Sportowa 7, 42-261 Starcza";240416;"gm. Starcza";"częstochowski";"śląskie";1;1;21;153;170;28;63
3;"Świetlica Wiejska, Własna ul. Stawowa 1, 42-261 Starcza";240416;"gm. Starcza";"częstochowski";"śląskie";1;1;4;96;69;15;45
4;"Remiza OSP, Rudnik Mały ul. Śląska 50, 42-261 Starcza";240416;"gm. Starcza";"częstochowski";"śląskie";1;1;21;104;125;25;38
5;"Remiza OSP, Łysiec ul. Strażacka 1, 42-261 Starcza";240416;"gm. Starcza";"częstochowski";"śląskie";1;1;22;122;111;39;72
