"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GOGACZ Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIETRAS Artur Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAJCHEL Jan Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
3;"Budynek komunalny, Ruda 29, 21-413 Serokomla";61106;"gm. Serokomla";"łukowski";"lubelskie";1;1;168;42;33
4;"Zespół Szkół w Serokomli, ul. Warszawska 28, 21-413 Serokomla";61106;"gm. Serokomla";"łukowski";"lubelskie";1;1;485;73;139
5;"Zespół Szkół w Serokomli, ul. Warszawska 28, 21-413 Serokomla";61106;"gm. Serokomla";"łukowski";"lubelskie";1;1;336;95;82
1;"Centrum Społeczno-Kulturalne w Staninie, Stanin 105, 21-422 Stanin";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;395;154;217
2;"Centrum Społeczno-Kulturalne w Tuchowiczu, Tuchowicz 47A, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;455;141;134
3;"Publiczna Szkoła Podstawowa im. St. Grafika w Zagoździu, Lipniak 5, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;136;43;36
4;"Publiczna Szkoła Podstawowa w Zastawiu, Zastawie 9, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;324;64;82
5;"Publiczna Szkoła Podstawowa w Jeleńcu, Jeleniec 45, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;144;51;52
6;"Budynek byłej Szkoły Podstawowej we Wnętrznem, Wnętrzne 35A, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;127;25;27
7;"Publiczna Szkoła Podstawowa w Sarnowie, Sarnów 19B, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;424;92;111
8;"Budynek Wiejski w Kopinie, Kopina 41A, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;237;67;47
9;"Budynek byłej Publicznej Szkoły Podstawowej w Jonniku, Jonnik 20, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;187;64;62
10;"Świetlica wiejska w Anoninie, Anonin 44A, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;132;69;47
11;"Świetlica wiejska w Goździe, Gózd 63, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;125;55;44
12;"Świetlica wiejska w Jarczówku, Jarczówek 7, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;116;28;26
13;"Gminna Biblioteka Publiczna w Staninie, Kosuty 4, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;171;77;73
14;"Świetlica wiejska w Zagoździu, Zagoździe 22, 21-421 Tuchowicz";61107;"gm. Stanin";"łukowski";"lubelskie";1;1;76;18;11
1;"Remiza strażacka w Zgórznicy, Zgórznica 57, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;198;36;76
2;"Zespół Oświatowy w Jedlance, Jedlanka ul. Warszawska 13, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;269;61;49
3;"Szkoła Podstawowa w Kamionce, Kamionka 24, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;177;46;21
4;"Szkoła Podstawowa w Kisielsku, Kisielsk 84, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;156;43;18
5;"Szkoła Podstawowa w Starej Prawdzie, Stara Prawda 1, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;145;21;56
6;"Szkoła Filialna w Toczyskach, Toczyska 101, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;176;45;57
7;"Szkoła Podstawowa w Starej Róży, Stara Róża 35, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;290;65;64
8;"Szkoła Podstawowa w Starych Kobiałkach, Stare Kobiałki 18, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;164;46;50
9;"Remiza OSP w Jamielnem, Jamielne 37, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;141;30;29
10;"Szkoła Podstawowa w Szyszkach, Szyszki 66, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;141;29;34
11;"Świetlica wiejska w Zabielu, Zabiele 33, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;118;31;36
12;"Świetlica wiejska w Woli Kisielskiej, Wola Kisielska 63, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;168;35;32
13;"Świetlica wiejska w Kienkówce, Kienkówka 69, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;95;21;26
14;"Świetlica wiejska w Mizarach, Mizary 38, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;96;22;19
15;"Świetlica wiejska w Nowej Prawdzie, Nowa Prawda 40, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;75;23;30
16;"Świetlica wiejska w Jamielniku-Kolonii, Jamielnik-Kolonia 19D, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;64;21;41
17;"Świetlica wiejska w Nowym Jamielniku, Nowy Jamielnik 12A, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;144;19;37
18;"Świetlica wiejska w Nowych Kobiałkach, Nowe Kobiałki 63A, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;73;22;20
19;"Świetlica wiejska w Starym Jamielniku, Stary Jamielnik 39A, 21-450 Stoczek Łukowski";61108;"gm. Stoczek Łukowski";"łukowski";"lubelskie";1;1;85;15;19
1;"Zespół Szkolno-Przedszkolny w Trzebieszowie, Trzebieszów Drugi 94A, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;337;107;93
2;"Szkoła Podstawowa w Mikłusach, Mikłusy 37, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;230;39;46
3;"Szkoła Podstawowa w Celinach, Celiny 86, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;273;58;36
4;"Zespół Szkolno-Przedszkolny w Dębowicy, Dębowica 70, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;357;113;105
5;"Szkoła Podstawowa w Szaniawach, Szaniawy-Matysy 4, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;446;78;81
6;"Gminny Ośrodek Kultury w Trzebieszowie, Trzebieszów Drugi 31, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;533;163;116
7;"Szkoła Podstawowa w Jakuszach, Jakusze 56, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;236;46;47
8;"Świetlica wiejska przy strażnicy OSP w Gołowierzchach, Gołowierzchy 41, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;124;20;19
9;"Budynek po byłej szkole w Leszczance, Leszczanka 73, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;155;71;41
10;"Świetlica wiejska w Zembrach, Zembry 7B, 21-404 Trzebieszów";61109;"gm. Trzebieszów";"łukowski";"lubelskie";1;1;141;33;18
1;"Szkoła Podstawowa w Wólce Domaszewskiej, Wólka Domaszewska 17, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;384;64;81
2;"Świetlica wiejska, Burzec 125, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;206;40;67
3;"Szkoła Podstawowa w Woli Bystrzyckiej, Wola Bystrzycka 84, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;152;53;48
4;"Szkoła Podstawowa w Oszczepalinie Drugim, Oszczepalin Drugi 63, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;149;36;28
5;"Urząd Gminy w Wojcieszkowie, ul. Kościelna 46, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;484;142;149
6;"Świetlica w Wojcieszkowie, ul. Kościelna 46, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;153;46;66
7;"Szkoła Podstawowa w Siedliskach, Siedliska 165, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;143;55;54
8;"Szkoła Podstawowa w Hermanowie, Hermanów 12, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;245;83;66
9;"Świetlica wiejska, Wola Burzecka 80, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;180;57;55
10;"Świetlica wiejska, Oszczepalin Pierwszy 83, 21-411 Wojcieszków";61110;"gm. Wojcieszków";"łukowski";"lubelskie";1;1;109;25;13
1;"Szkoła Podstawowa w Jarczewie, Jarczew 55, 21-426 Wola Mysłowska";61111;"gm. Wola Mysłowska";"łukowski";"lubelskie";1;1;348;81;80
2;"Szkoła Podstawowa w Lisikierzu, Lisikierz 22a, 21-426 Wola Mysłowska";61111;"gm. Wola Mysłowska";"łukowski";"lubelskie";1;1;408;114;147
3;"Szkoła Podstawowa w Wandowie, Wandów 75, 21-426 Wola Mysłowska";61111;"gm. Wola Mysłowska";"łukowski";"lubelskie";1;1;456;136;97
4;"Sala Konferencyjna Urzędu Gminy w Woli Mysłowskiej, Wola Mysłowska 57, 21-426 Wola Mysłowska";61111;"gm. Wola Mysłowska";"łukowski";"lubelskie";1;1;297;90;125
1;"Budynek Szkoły Podstawowej i Przedszkola Samorządowego w Chodlu, ul. Józefa Piłsudskiego 1, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;448;108;167
2;"Osiny, Remiza OSP, Osiny 43, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;158;32;62
3;"Gminny Ośrodek Kultury Chodel, ul. Rynek 45, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;466;101;119
4;"Godów Budynek Gminny, Godów 106, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;182;23;48
5;"Szkoła Podstawowa, Ratoszyn Drugi 192, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;370;131;136
6;"Szkoła Podstawowa w Granicach, Granice 77, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;198;46;48
7;"Remiza OSP w Radlinie, Radlin 28, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;121;39;24
8;"Klub Senior+ w Świdnie, Świdno 43, 24-350 Chodel";61201;"gm. Chodel";"opolski";"lubelskie";1;1;86;27;22
1;"Zespół Szkół Ogólnokształcących w Józefowie nad Wisłą, ul. Opolska 10a, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;627;192;374
2;"Szkoła Podstawowa w Chruślinie, Chruślina 108, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;246;65;94
3;"Szkoła Podstawowa w Starych Boiskach, Stare Boiska 33, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;219;48;51
4;"Środowiskowy Dom Samopomocy w Prawnie, Prawno 21, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;236;47;118
5;"Remiza OSP w Basonii, Basonia 97, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;96;39;47
6;"Remiza OSP w Kaliszanach-Kolonii, Kaliszany-Kolonia 50a, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;101;32;58
7;"Świetlica wiejska w Boiskach Kolonii, Boiska-Kolonia 15, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;88;16;16
8;"Remiza OSP w Chruślankach Józefowskich, Chruślanki Józefowskie 83a, 24-340 Józefów nad Wisłą";61202;"gm. Józefów nad Wisłą";"opolski";"lubelskie";1;1;185;40;47
1;"Lokal Szkoły Podstawowej w Karczmiskach Pierwszych, Karczmiska Pierwsze ul. Szkolna 1, 24-310 Karczmiska";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;387;128;334
2;"Lokal Urzędu Gminy w Karczmiskach Pierwszych, Karczmiska Pierwsze ul. Centralna 17, 24-310 Karczmiska";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;271;99;150
3;"Lokal OSP Głusko, Głusko Duże 1B, 24-310 Karczmiska";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;224;67;88
4;"Lokal OSP w Słotwinach, Słotwiny 127, 24-310 Karczmiska";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;121;34;57
5;"Lokal Strażnicy OSP w Zaborzu, Zaborze 25, 24-310 Karczmiska";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;131;43;36
6;"Lokal Strażnicy OSP w Uściążu, Uściąż 95 A, 24-120 Kazimierz Dolny";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;170;54;83
7;"OSP Wolica, Wolica-Kolonia 53, 24-310 Karczmiska";61203;"gm. Karczmiska";"opolski";"lubelskie";1;1;120;48;47
1;"Szkoła Podstawowa w Braciejowicach, Braciejowice 137, 24-335 Łaziska";61204;"gm. Łaziska";"opolski";"lubelskie";1;1;263;47;76
2;"Szkoła Podstawowa im. Jana Kochanowskiego w Łaziskach, Łaziska 79, 24-335 Łaziska";61204;"gm. Łaziska";"opolski";"lubelskie";1;1;322;133;200
3;"Szkoła Podstawowa w Kamieniu, Piotrawin 116, 24-335 Łaziska";61204;"gm. Łaziska";"opolski";"lubelskie";1;1;232;68;131
4;"Remiza Ochotniczej Straży Pożarnej w Niedźwiadzie Dużej, Niedźwiada Duża 25A, 24-335 Łaziska";61204;"gm. Łaziska";"opolski";"lubelskie";1;1;276;56;53
5;"Szkoła Podstawowa w Zakrzowie, Zakrzów 25A, 24-335 Łaziska";61204;"gm. Łaziska";"opolski";"lubelskie";1;1;183;59;73
6;"Remiza Ochotniczej Straży Pożarnej w Kępie Gosteckiej, Kępa Gostecka 56, 24-335 Łaziska";61204;"gm. Łaziska";"opolski";"lubelskie";1;1;98;19;45
1;"lokal Opolskiego Centrum Kultury, ul. Lubelska 30, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;464;98;372
2;"lokal Spółdzielni Mieszkaniowej, ul. Morwowa 3, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;512;157;448
3;"Centrum Fabryczna, ul. Fabryczna 28A, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;575;184;460
4;"lokal M-G Biblioteki Publicznej, ul. Stary Rynek 46, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;289;81;248
5;"lokal Szkoły Podstawowej Nr 1, ul. Szkolna 5, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;290;110;227
6;"lokal OSP, Wrzelowiec ul. Długa 4, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;248;52;70
7;"lokal Szkoły Podstawowej, Wandalin 71, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;293;106;125
8;"lokal świetlicy wiejskiej, Trzebiesza 1, 24-320 Poniatowa";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;256;53;111
9;"lokal świetlicy wiejskiej, Stare Komaszyce 10, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;118;42;38
10;"lokal Szkoły Podstawowej, Kluczkowice 128, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;226;72;84
11;"lokal Szkoły Podstawowej, Puszno Godowskie 99, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;190;36;50
12;"lokal świetlicy wiejskiej, Emilcin 15b, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;152;39;71
13;"lokal Szkoły Podstawowej, Skoków 84, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;172;40;72
14;"lokal Szkoły Podstawowej, Ćwiętalka 2a, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;89;40;53
15;"lokal Szkoły Podstawowej, Niezdów 97, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;192;43;66
16;"lokal świetlicy wiejskiej, Elżbieta 45, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;122;50;45
17;"Muzeum Regionalne w Kluczkowicach, Kluczkowice-Osiedle 7, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;74;15;40
18;"lokal świetlicy wiejskiej, Wólka Komaszycka 42a, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;67;16;12
19;"Swietlica Wiejska w Górach Opolskich, Góry Opolskie 1A, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;54;15;24
20;"Zakład Karny w Opolu Lubelskim-sala lekcyjna w budynku Zespołu Szkół, ul. Owocowa 7, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;58;93;263
21;"Świetlica szpitalna, ul. Szpitalna 9, 24-300 Opole Lubelskie";61205;"gm. Opole Lubelskie";"opolski";"lubelskie";1;1;0;1;0
1;"Szkoła Podstawowa, ul. Szkolna 8, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;527;145;404
2;"Szkoła Podstawowa, ul. Szkolna 9, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;406;99;381
3;"Świetlica PSM, ul. 1 Maja 15, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;288;69;222
4;"Gminne Przedsiębiorstwo Gospodarki Komunalnej, ul. Młodzieżowa 4, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;319;83;251
5;"Centrum Kultury Promocji i Turystyki, ul. Fabryczna 1, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;228;82;248
6;"Świetlica PSM Nasz Dom, ul. Sosnowa 4, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;357;113;294
7;"Szkoła Podstawowa, Niezabitów 46, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;337;99;143
8;"Szkoła Podstawowa, Kowala Druga 29, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;294;101;111
9;"Szkoła Podstawowa, Kraczewice Prywatne 78, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;380;69;148
10;"Szkoła Podstawowa, Poniatowa-Kolonia 13, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;307;75;102
11;"Społeczna Szkoła Podstawowa, Dąbrowa Wronowska 41, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;202;64;52
12;"Powiatowe Centrum Zdrowia Sp. z o. o. w Opolu Lubelskim, Szpital, ul. Fabryczna 18, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;19;6;7
13;"Samodzielne Publiczne Sanatorium Gruźlicy i Chorób Płuc w Poniatowej, ul. Fabryczna 6, 24-320 Poniatowa";61206;"gm. Poniatowa";"opolski";"lubelskie";1;1;10;3;2
1;"Lokal Szkoły Podstawowej w Wilkowie, Wilków 66A, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;376;104;134
2;"Lokal byłej Szkoły Podstawowej, Dobre 13, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;112;37;43
3;"Lokal Szkoły Podstawowej w Rogowie, Rogów 92, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;124;48;61
4;"Lokal Zespołu Szkół Publicznych w Zagłobie, Zagłoba 21, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;213;64;102
5;"Świetlica Wiejska w Kępie Choteckiej, Kępa Chotecka 7A, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;58;25;30
6;"Świetlica Wiejska w Zastowie Polanowskim, Zastów Polanowski 60, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;213;29;42
7;"Remiza Ochotniczej Straży Pożarnej w Kosiorowie, Kosiorów 36, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;163;27;30
8;"Remiza Ochotniczej Straży Pożarnej w Wólce Polanowskiej, Wólka Polanowska 86, 24-313 Wilków";61207;"gm. Wilków";"opolski";"lubelskie";1;1;131;29;34
1;"Specjalistyczny Ośrodek Wsparcia, ul. Hugona Kołłątaja 64, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;448;122;512
2;"Szkoła Podstawowa Nr 10, ul. 6 Sierpnia 30, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;494;141;668
3;"Miejskie Przedszkole nr 10, ul. Franciszka Karpińskiego 8, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;435;126;500
4;"Szkoła Podstawowa Nr 2, al. Mała 10, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;374;125;522
5;"Szkoła Podstawowa Nr 11, ul. Legionu Puławskiego 8, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;620;161;678
6;"Starostwo Powiatowe, al. Królewska 19, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;388;131;667
7;"Zespół Szkół Nr 3, ul. marsz. Józefa Piłsudskiego 74, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;189;52;257
8;"Szkoła Podstawowa Nr 11, ul. Legionu Puławskiego 8, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;512;145;645
9;"Szkoła Podstawowa Nr 4, ul. Franciszka Zabłockiego 8, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;540;178;627
10;"Szkoła Podstawowa Nr 4, ul. Franciszka Zabłockiego 8, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;388;118;544
11;"Szkoła Podstawowa Nr 11, ul. Legionu Puławskiego 8, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;625;286;1059
12;"Zespół Szkół Ogólnokształcących Nr 1, ul. Kaniowczyków 32, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;462;174;792
13;"Hala Sportowa-Zespół Szkół Technicznych, ul. Wojska Polskiego 7, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;353;99;461
14;"Szkoła Podstawowa Nr 1, ul. Kaniowczyków 1, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;460;160;623
15;"Miejskie Przedszkole Nr 5, ul. Juliusza Słowackiego 5A, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;323;139;481
16;"Środowiskowy Dom Samopomocy, ul. Adama Mickiewicza 2A, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;455;173;714
17;"Środowiskowy Dom Samopomocy, ul. Adama Mickiewicza 2A, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;378;136;449
18;"Dzienny Dom Pomocy Społecznej Centrum Intergracyjno-Rehabilitacyjne i Klub Samopomocy, ul. Zygmunta Wróblewskiego 21, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;419;107;441
19;"Zespół Szkół Nr 1, ul. Polna 18, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;401;96;334
20;"Zespół Szkół Ogólnokształcących Nr 2, ul. Zygmunta Wróblewskiego 11, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;540;167;617
21;"Szkoła Podstawowa Nr 6, ul. Juliana Ursyna Niemcewicza 4, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;446;136;343
22;"Szkoła Podstawowa Nr 3, ul. Jaworowa 5, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;312;101;340
23;"Zespół Szkół Nr 2, ul. Jaworowa 1, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;342;131;408
24;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Puławach (szpital), ul. Józefa Bema 1, 24-100 Puławy";61401;"m. Puławy";"puławski";"lubelskie";1;1;36;5;25
1;"Urząd Gminy, ul. Rynek 14, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;271;75;181
2;"Gminne Centrum Kultury w Baranowie, ul. Rynek 4, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;236;62;148
3;"Świetlica wiejska, Zagóźdź 25, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;88;32;18
4;"Świetlica wiejska, Łukawka 26B, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;133;34;40
5;"Świetlica wiejska, Kozioł 40B, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;97;21;44
6;"Świetlica wiejska, Śniadówka 48, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;178;35;46
7;"Świetlica wiejska w Czołnie, Czołna 27, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;79;20;27
8;"Świetlica wiejska w Woli Czołnowskiej, Wola Czołnowska 61, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;85;29;35
9;"Dom Seniora ""A w sercu maj"" w Woli Czołnowskiej, Wola Czołnowska 64, 24-105 Baranów";61402;"gm. Baranów";"puławski";"lubelskie";1;1;2;0;1
1;"Strażnica OSP w Nasiłowie, Nasiłów 12B, 24-123 Janowiec";61403;"gm. Janowiec";"puławski";"lubelskie";1;1;81;27;75
