"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KURZAWA Agnieszka - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRODZKI Tomasz Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
110;"Szkoła Podstawowa Nr 69, ul. Jana Zamoyskiego 2, 71-444 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;433;820
111;"Szkoła Podstawowa Nr 69, ul. Jana Zamoyskiego 2, 71-444 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;292;611
112;"Zespół Szkół Ogólnokształcących Nr 7, ul. Unisławy 26, 71-413 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;189;592
113;"Szkoła Podstawowa Nr 10, ul. Kazimierza Królewicza 63, 71-551 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;281;643
114;"Szkoła Podstawowa Nr 10, ul. Kazimierza Królewicza 63, 71-551 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;368;642
115;"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Św. Św. Cyryla i Metodego 43, 71-540 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;367;883
116;"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Św. Św. Cyryla i Metodego 44, 71-540 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;339;369
117;"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Św. Św. Cyryla i Metodego 44, 71-540 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;350;760
118;"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Św. Św. Cyryla i Metodego 43, 71-540 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;433;856
119;"Rada Osiedla Niebuszewo – Bolinko, ul. Juliana Ursyna Niemcewicza 39, 71-553 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;446;957
120;"Technikum Łączności i Multimediów Cyfrowych, ul. Ku Słońcu 27/30, 71-080 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;182;407
121;"Szkoła Podstawowa Nr 51, ul. Stanisława Mikołajczyka 20, 71-075 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;350;985
122;"Szkoła Podstawowa Nr 51, ul. Stanisława Mikołajczyka 20, 71-075 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;303;551
123;"Publiczne Przedszkole Nr 74, ul. 26 Kwietnia 3, 71-126 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;311;677
124;"Publiczne Przedszkole Nr 74, ul. 26 Kwietnia 3, 71-126 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;429;756
125;"Przedszkole Publiczne Nr 10, ul. Wołogoska 5, 71-131 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;383;1074
126;"Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi, ul. Stanisława Ignacego Witkiewicza 40, 71-122 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;381;839
127;"Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi, ul. Stanisława Ignacego Witkiewicza 40, 71-122 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;428;1079
128;"Szkoła Podstawowa Nr 51, ul. Jodłowa 21, 71-114 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;239;470
129;"Szkoła Podstawowa Nr 51, ul. Jodłowa 21, 71-114 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;225;573
130;"VII Liceum Ogólnokształcące, ul. Jana Styki 13, 71-138 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;378;866
131;"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;400;964
132;"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;348;1134
133;"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;327;1050
134;"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;395;1407
135;"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;352;937
136;"Zespół Szkół Ogólnokształcących Nr 4, ul. Eugeniusza Romera 2, 71-246 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;417;1289
137;"Zespół Szkół Samochodowych, ul. Sebastiana Klonowica 14, 71-244 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;147;493
138;"Przedszkole Publiczne Nr 58, ul. prof. Krzysztofa Marlicza 26, 71-246 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;377;752
139;"Szkoła Podstawowa Nr 45 z Oddziałami Integracyjnymi, ul. Tadeusza Zawadzkiego 75, 71-246 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;434;877
140;"Szkoła Podstawowa Nr 45 z Oddziałami Integracyjnymi, ul. Tadeusza Zawadzkiego 75, 71-246 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;363;910
141;"Tramwaje Szczecińskie Sp. z o. o. (Budynek Zarządu), ul. Sebastiana Klonowica 5, 71-241 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;386;1004
142;"Szkoła Podstawowa Nr 53, ul. Budzysza Wosia 8 - 9, 71-273 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;198;393
143;"Zachodniopomorski Uniwersytet Technologiczny Wydział Ekonomiczny, ul. Klemensa Janickiego 31, 71-270 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;322;731
144;"Zespół Szkół Samochodowych, ul. Sebastiana Klonowica 14, 71-244 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;278;666
145;"Szkoła Podstawowa Nr 3, ul. Władysława Stanisława Reymonta 23, 71-276 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;263;792
146;"Uniwersytet Szczeciński Wydział Ekonomii, Finansów i Zarządzania, ul. Adama Mickiewicza 64, 71-101 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;253;718
147;"Szkoła Podstawowa Nr 3, ul. Władysława Stanisława Reymonta 23, 71-276 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;238;818
148;"Liceum Ogólnokształcące z Oddziałami Integracyjnymi, ul. Aleja Wojska Polskiego 119, 70-490 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;288;814
149;"Liceum Ogólnokształcące z Oddziałami Integracyjnymi, ul. Aleja Wojska Polskiego 119, 70-490 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;215;567
150;"Rada Osiedla Pogodno, ul. Ks. bpa Ignacego Krasickiego 6, 71-333 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;306;1034
151;"Publiczna Szkoła Podstawowa „Na Głębokiem”, ul. Jaworowa 41, 71-382 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;199;502
152;"Szkoła Podstawowa Nr 68, ul. Zakole 1a, 70-454 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;547;986
153;"Szkoła Podstawowa Nr 68, ul. Zakole 1a, 70-454 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;439;1442
154;"Przedszkole Publiczne Nr 50, ul. Franciszka Gila 13, 71-457 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;378;987
155;"Szkoła Podstawowa Nr 7, ul. Stanisława Wojciechowskiego 50, 71-476 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;383;844
156;"Szkoła Podstawowa Nr 7, ul. Stanisława Wojciechowskiego 50, 71-476 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;311;708
157;"Zespół Szkół Elektryczno-Elektronicznych, ul. Księcia Racibora 60, 71-631 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;193;360
158;"Szkoła Podstawowa Nr 11, ul. Stanisława Dubois 38, 71-610 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;389;640
159;"Szkoła Podstawowa Nr 11, ul. Emilii Plater 20, 71-632 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;434;837
160;"Przedszkole Publiczne Nr 73, ul. Ceglana 4, 71-636 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;412;737
161;"Szkoła Podstawowa Nr 11, ul. Stanisława Dubois 38, 71-610 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;469;889
162;"Filia Przedszkola Publicznego Nr 50, ul. Junacka 13, 70-494 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;572;1846
163;"Przychodnia Zdrowia, ul. Łucznicza 64, 71-504 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;295;623
164;"Przychodnia Zdrowia, ul. Łucznicza 64, 71-504 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;362;761
165;"Stowarzyszenie Nasze Warszewo, ul. Szczecińska 12, 71-786 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;492;1744
166;"Sala Gimnastyczna, ul. Szczecińska 12, 71-786 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;429;1938
167;"Szkoła Podstawowa Nr 7 (WEJŚCIE A), ul. Złotowska 86, 71-795 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;275;920
168;"Szkoła Podstawowa Nr 7 (WEJŚCIE A1), ul. Złotowska 86, 71-795 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;364;914
169;"Szkoła Podstawowa Nr 7 (WEJŚCIE B), ul. Złotowska 86, 71-795 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;288;1011
170;"Szkoła Podstawowa Nr 35, ul. Świętoborzyców 40 Blok A1 (Aula), 71-665 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;481;1137
171;"Szkoła Podstawowa Nr 35, ul. Świętoborzyców 40 (Hala Sportowa), 71-665 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;515;1037
172;"Przedszkole Publiczne Nr 59, ul. Księżnej Zofii 3, 71-665 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;461;999
173;"Przedszkole Publiczne Nr 59, ul. Księżnej Zofii 3, 71-665 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;306;610
174;"Przedszkole Publiczne Nr 14, ul. Ks. bpa Władysława Bandurskiego 56, 71-685 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;558;1119
175;"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;405;672
176;"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;340;575
177;"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;399;701
178;"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;439;741
179;"Żłobek Nr 9 ""Tęczowa Sowa"", ul. Łączna 22, 71-781 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;296;1039
180;"Szkoła Podstawowa Nr 42, ul. Hoża 25, 71-699 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;478;1030
181;"Dom Pomocy Społecznej – Dom Kombatanta, ul. Krucza 17, 71-747 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;510;925
182;"Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących, ul. Grzymińska 6, 71-711 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;357;911
183;"XVIII Liceum Ogólnokształcące, ul. Hoża 3, 71-699 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;291;555
184;"Tramwaje Szczecińskie Sp. z o. o., ul. Wiszesława 18, 71-751 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;151;285
185;"Szkoła Podstawowa Nr 14, ul. Strzałowska 27A, 71-730 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;175;260
186;"Internat XIII Liceum Ogólnokształcącego, ul. Pokoju 48, 71-739 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;470;1152
187;"Zespół Szkół Specjalnych Nr 1, ul. Policka 3, 71-857 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;427;1183
188;"Środowiskowa Placówka Edukacyjno-Wychowawcza Nr 1, ul. Koszalińska 13, 71-734 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;197;279
189;"Szkoła Podstawowa Nr 9, ul. Księżnej Dąbrówki 10, 71-826 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;585;1249
190;"Miejska Biblioteka Publiczna – Filia Nr 46, ul. Nad Odrą 26, 71-828 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;211;296
191;"Dom Kultury „Klub Skolwin”, ul. Stołczyńska 163, 71-870 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;304;365
192;"Młodzieżowy Ośrodek Wychowawczy, ul. Kamienna 22, 71-833 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;286;474
193;"Szkoła Podstawowa Nr 59, ul. Dąbska 105, 70-789 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;146;384
194;"Dom Pomocy Społecznej, ul. Władysława Broniewskiego 4/6, 71-460 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;17;8
195;"S. P. Wojewódzki Szpital Zespolony, ul. Alfreda Sokołowskiego 11, 70-899 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;52;48
196;"S. P. Specjalistyczny Zakład Opieki Zdrowotnej ""Zdroje"", ul. Mączna 4, 70-780 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;41;76
197;"S. P. Szpital Kliniczny Nr 2, ul. Aleja Powstańców Wielkopolskich 72, 70-111 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;36;75
198;"S. P. Zakład Opieki Zdrowotnej MSWiA, ul. Jagiellońska 44, 70-382 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;13;22
199;"S. P. Szpital Kliniczny Nr 1, ul. Unii Lubelskiej 1, 71-252 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;35;73
200;"S. P. Szpital Kliniczny Nr 1 Klinika Psychiatrii PUM, ul. Władysława Broniewskiego 26, 71-460 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;8;11
201;"Dom Pomocy Społecznej ""Dom Kombatanta i Pioniera Ziemi Szczecińskiej"", ul. Eugeniusza Romera 21-29, 71-246 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;47;24
202;"Zachodniopomorskie Centrum Onkologii, ul. Strzałowska 22, 71-740 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;40;49
203;"Dom Pomocy Społecznej ""Dom Kombatanta"", ul. Krucza 17, 71-747 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;27;36
204;"Areszt Śledczy, ul. Kaszubska 28, 70-226 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;65;364
205;"109 Szpital Wojskowy z Przychodnią S. P. Zakład Opieki Zdrowotnej, ul. ks. Piotra Skargi 9-11, 71-422 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;22;25
206;"Instytut Medyczny im. Jana Pawła II, ul. al. Wyzwolenia 52, 71-506 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;30;29
207;"Dom Pomocy Społecznej im. doktora Edmunda Wojtyły, ul. Stanisława Herakliusza Lubomirskiego 7, 71-505 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;9;5
208;"S. P. Wojewódzki Szpital Zespolony, ul. Arkońska 4, 71-455 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;54;78
