"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Krystian Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"MAJDA Anna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GALEMBA Leszek Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"BILSKA Barbara - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
3;"Szkoła Podstawowa w Ostrowążu, Ostrowąż 21, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;22;116;225;40
4;"Świetlica Wiejska w Mikorzynie, Mikorzyn 44E, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;43;239;308;72
5;"Szkoła Podstawowa w Szyszyńskich Holendrach, Szyszyńskie Holendry 162, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;59;276;417;107
6;"Remiza OSP w Ignacewie, Ignacewo 21, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;29;81;248;38
7;"Szkoła Podstawowa w Piotrkowicach, Piotrkowice 27, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;93;350;544;121
8;"Szkoła Podstawowa w Wąsoszach, Wąsosze 73, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;35;156;275;56
9;"Szkoła Podstawowa w Licheniu Starym, ul. Konińska 48, 62-563 Licheń Stary";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;74;387;560;116
10;"Remiza OSP w Honoratce, Honoratka 43A, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;34;128;198;50
11;"Remiza OSP w Kijowcu, Kijowiec 18A, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;26;100;248;54
12;"Dom Pomocy Społecznej w Ślesinie, ul. Kościelna 46, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;0;0;4;1
1;"Szkoła Podstawowa, Zakrzewek 6, 62-610 Sompolno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;20;91;288;51
2;"Szkoła Podstawowa, Morzyczyn 4A, 62-619 Sadlno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;20;91;275;33
3;"Remiza Ochotniczej Straży Pożarnej, Broniszewo 37, 62-619 Sadlno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;24;96;388;50
4;"Szkoła Podstawowa, Sadlno 9A, 62-619 Sadlno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;35;112;257;52
5;"Świetlica Wiejska w Kryszkowicach, Kryszkowice 31A, 62-619 Sadlno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;30;57;211;41
6;"Urząd Gminy w Wierzbinku, Wierzbinek pl. Plac Powstańców Styczniowych 110, 62-619 Sadlno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;38;131;321;54
7;"Szkoła Podstawowa, Zaryń 17A, 62-618 Zaryń";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;25;105;279;41
8;"Świetlica Wiejska w Słomkowie, Słomkowo 10, 62-619 Sadlno";301013;"gm. Wierzbinek";"koniński";"wielkopolskie";1;1;3;50;111;20
1;"Świetlica Szkoły Podstawowej w Wilczynie Budynek A, Wilczogóra ul. 700-lecia 14, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;56;201;346;64
2;"Sala Gminnego Ośrodka Kultury w Wilczynie, ul. Rynek 14, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;65;291;322;72
3;"Świetlica Szkoły Podstawowej w Wilczynie Budynek B, Wilczogóra ul. 700-lecia 12, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;22;111;104;28
4;"Sala Ochotniczej Straży Pożarnej w Kopydłowie, Kopydłowo 21, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;33;96;280;44
5;"Świetlica wiejska w Wiśniewie, Wiśniewa 6, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;31;83;215;34
6;"Świetlica Szkoły Podstawowej w Wilczynie Filia w Bieli, Biela 4, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;29;72;224;55
7;"Szkoła Podstawowa w Kaliskach z siedzibą w Dębówcu, Dębówiec 19, 62-550 Wilczyn";301014;"gm. Wilczyn";"koniński";"wielkopolskie";1;1;16;55;123;16
1;"Szkoła Podstawowa Nr 4, ul. Sportowa 9, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;83;648;369;106
2;"Szkoła Podstawowa Nr 4, ul. Sportowa 9, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;60;506;339;64
3;"Klub Spółdzielni Mieszkaniowej ""Tęcza"", ul. Spółdzielców 4, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;53;398;256;68
4;"Szkoła Podstawowa Nr 1, ul. 3 Maja 29, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;132;786;465;113
5;"Zespół Szkół Technicznych, ul. Wincentego Milewskiego 3b, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;71;549;305;63
6;"Szkoła Podstawowa Nr 1 Budynek im. Mikołaja Kopernika, ul. Parkowa 3, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;108;811;449;91
7;"Przedszkole Nr 7, os. Osiedle Wyzwolenia 1a, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;78;704;455;98
8;"Przedszkole Nr 4, ul. Franciszka Stawickiego 7, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;82;586;355;77
9;"Przedszkole Nr 5, ul. Generała Mieczysława Smorawińskiego 2, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;73;557;311;62
10;"Szkoła Podstawowa Nr 5 Budynek im. Lotnictwa Polskiego, ul. Władysława Broniewskiego 5, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;71;559;361;69
11;"Szkoła Podstawowa Nr 5 Budynek im. Lotnictwa Polskiego, ul. Władysława Broniewskiego 5, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;54;421;264;58
12;"Szkoła Podstawowa Nr 5, os. Osiedle Wyzwolenia 7a, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;63;487;321;64
13;"Szkoła Podstawowa Nr 5, os. Osiedle Wyzwolenia 7a, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;76;505;408;82
14;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Turku, ul. Poduchowne 1, 62-700 Turek";302701;"m. Turek";"turecki";"wielkopolskie";1;1;2;21;25;4
1;"Szkoła Podstawowa im. Wojciecha z Brudzewa w Brudzewie, ul. Powstańców Wielkopolskich 35A, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;68;303;325;86
2;"Szkoła Podstawowa im. Wojciecha z Brudzewa w Brudzewie, ul. Powstańców Wielkopolskich 35A, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;54;184;287;37
3;"Świetlica Wiejska w Janowie, Janów 21B, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;8;49;62;7
4;"Szkoła Podstawowa w Koźminie, Koźmin 2, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;26;93;216;41
5;"Świetlica Wiejska w Krwonach, Krwony 58A, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;20;61;141;20
6;"Szkoła Podstawowa w Galewie, Galew 7, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;56;191;351;41
7;"Świetlica Wiejska w Brudzyniu, Brudzyń 4A, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;12;70;67;10
8;"Świetlica Wiejska w Cichowie, Cichów 33A, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;15;60;75;16
9;"Świetlica Wiejska w Janiszewie, Janiszew 88A, 62-720 Brudzew";302702;"gm. Brudzew";"turecki";"wielkopolskie";1;1;28;40;98;9
1;"Zespół Szkolno-Przedszkolny w Dobrej, Długa Wieś 28, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;83;448;317;71
2;"Centrum Kultury w Dobrej, ul. Jana Dekerta 34, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;47;237;259;48
3;"Strażnica OSP w Miłkowicach, Miłkowice 36, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;53;165;237;36
4;"Zespół Szkolno-Przedszkolny w Piekarach, Piekary 49, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;50;153;278;31
5;"Strażnica OSP w Dąbrowicy, Dąbrowica-Kolonia 36, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;7;68;107;23
6;"Dom Pomocy Społecznej w Skęczniewie, Skęczniew 58, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;22;70;106;14
7;"Strażnica OSP w Mikulicach, Mikulice 61, 62-730 Dobra";302703;"gm. Dobra";"turecki";"wielkopolskie";1;1;22;100;114;8
1;"Szkoła Podstawowa im. Marii Skłodowskiej-Curie, Kawęczyn 49a, 62-704 Kawęczyn";302704;"gm. Kawęczyn";"turecki";"wielkopolskie";1;1;69;299;243;43
2;"Szkoła Podstawowa im. Jana Pawła II, Tokary Pierwsze 43a, 62-704 Kawęczyn";302704;"gm. Kawęczyn";"turecki";"wielkopolskie";1;1;112;330;289;41
3;"Szkoła Podstawowa im. płk. pil. Stanisława Jakuba Skarżyńskiego, Skarżyn 26a, 62-704 Kawęczyn";302704;"gm. Kawęczyn";"turecki";"wielkopolskie";1;1;56;104;169;27
4;"Szkoła Podstawowa im. Strażaków Polskich, Kowale Pańskie-Kolonia 34, 62-704 Kawęczyn";302704;"gm. Kawęczyn";"turecki";"wielkopolskie";1;1;279;236;236;29
5;"Środowiskowy Dom Samopomocy w Młodzianowie, Młodzianów 25, 62-704 Kawęczyn";302704;"gm. Kawęczyn";"turecki";"wielkopolskie";1;1;102;39;44;12
1;"Szkoła Podstawowa w Dziadowicach, Dziadowice 22, 62-709 Malanów";302705;"gm. Malanów";"turecki";"wielkopolskie";1;1;73;339;345;110
2;"Gminne Przedszkole w Malanowie, ul. Szkolna 14, 62-709 Malanów";302705;"gm. Malanów";"turecki";"wielkopolskie";1;1;113;326;454;73
3;"Szkoła Podstawowa w Miłaczewie, Miłaczew 34, 62-709 Malanów";302705;"gm. Malanów";"turecki";"wielkopolskie";1;1;75;177;270;49
4;"Szkoła Podstawowa w Malanowie, ul. Parkowa 29, 62-709 Malanów";302705;"gm. Malanów";"turecki";"wielkopolskie";1;1;140;420;339;99
1;"Zespół Szkół w Przykonie Szkoła Podstawowa w Przykonie, ul. Szkolna 4a, 62-731 Przykona";302706;"gm. Przykona";"turecki";"wielkopolskie";1;1;201;557;674;116
2;"Budynek Komunalny, Boleszczyn 67, 62-731 Przykona";302706;"gm. Przykona";"turecki";"wielkopolskie";1;1;52;252;364;52
3;"Szkoła Podstawowa w Sarbicach, Sarbice 4, 62-731 Przykona";302706;"gm. Przykona";"turecki";"wielkopolskie";1;1;17;83;118;26
1;"Szkoła Podstawowa, ul. Nortowska 1, 62-740 Tuliszków";302707;"gm. Tuliszków";"turecki";"wielkopolskie";1;1;54;413;388;58
2;"Szkoła Podstawowa, ul. Nortowska 1, 62-740 Tuliszków";302707;"gm. Tuliszków";"turecki";"wielkopolskie";1;1;53;312;315;69
3;"Miejsko-Gminny Ośrodek Kultury, ul. Haliny Oleksiak 2, 62-740 Tuliszków";302707;"gm. Tuliszków";"turecki";"wielkopolskie";1;1;99;530;751;132
4;"Szkoła Podstawowa, Ogorzelczyn 3, 62-740 Tuliszków";302707;"gm. Tuliszków";"turecki";"wielkopolskie";1;1;37;161;332;38
5;"Zespół Szkolno-Przedszkolny, Grzymiszew ul. Nowa 2, 62-740 Tuliszków";302707;"gm. Tuliszków";"turecki";"wielkopolskie";1;1;76;506;520;96
6;"Sala OSP, Smaszew 47, 62-740 Tuliszków";302707;"gm. Tuliszków";"turecki";"wielkopolskie";1;1;47;140;214;38
1;"Szkoła Podstawowa im. Józefa Mehoffera w Chlebowie, Chlebów 15, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;48;150;171;38
2;"Szkoła Podstawowa im. Jana Pawła II w Kaczkach Średnich, Kaczki Średnie 63, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;65;135;117;28
3;"Zespół Szkolno-Przedszkolny w Słodkowie, Słodków 21, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;119;592;383;116
4;"Zespół Placówek Edukacyjno-Wychowawczych w Turku, ul. Aleja Józefa Piłsudskiego 5, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;56;346;187;40
5;"Szkoła Podstawowa im. Marii Skłodowskiej-Curie w Żukach, Żuki 92, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;37;160;129;42
6;"Szkoła Podstawowa im. Marii Konopnickiej w Turkowicach, Turkowice ul. Jaśminowa 3, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;65;286;178;65
7;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Cisewie, Cisew 55, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;71;313;244;65
8;"Wiejskie Centrum Lokalnej Aktywności w Kowalach Księżych, Kowale Księże 38a, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;31;92;96;28
9;"Świetlica wiejska w Kalinowej, Kalinowa 30a, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;28;126;141;24
10;"Świetlica wiejska w Grabieńcu, Grabieniec 37a, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;28;203;95;41
11;"Świetlica wiejska w Szadowie Pańskim, Szadów Pański 3a, 62-700 Turek";302708;"gm. Turek";"turecki";"wielkopolskie";1;1;41;246;201;49
1;"Budynek po byłej Szkole Podstawowej w Małoszynie, Małoszyna 46, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;26;152;178;22
2;"Szkole Podstawowa we Władysławowie bud. A, ul. Jagiellońska 1B, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;55;336;437;38
3;"Szkole Podstawowa w Natalii, Natalia 22, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;21;90;159;28
4;"Szkole Podstawowa w Wyszynie, Wyszyna ul. Turkowska 1, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;59;282;469;109
5;"Szkole Podstawowa w Kunach, Kuny 137, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;26;132;332;48
6;"Szkole Podstawowa w Chylinie, Chylin 87A, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;40;167;284;23
7;"Dom Parafialny w Russocicach, Russocice 19A, 62-710 Władysławów";302709;"gm. Władysławów";"turecki";"wielkopolskie";1;1;100;365;445;70
1;"I Liceum Ogólnokształcące, ul. Adama Mickiewicza 14, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;77;533;539;107
2;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Kaliska 19, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;92;622;399;123
3;"Szkoła Podstawowa nr 15, ul. Turkusowa 1a, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;110;775;424;150
4;"Przedszkole nr 4, ul. Kryształowa 5, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;48;394;226;51
5;"Przedszkole nr 4, ul. Kryształowa 3, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;72;503;237;84
6;"Szkoła Podstawowa nr 1, ul. Kolska 2, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;98;462;394;107
7;"Przedszkole nr 1 Oddział Zamiejscowy w Wilkowie, ul. Kamienna 57a, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;106;666;602;123
8;"Przedszkole nr 1, ul. Mikołaja Kopernika 14, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;48;340;234;50
9;"Zespół Szkół Centrum Kształcenia Ustawicznego im. S. Batorego, ul. Wodna 1, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;39;272;235;61
10;"Szkoła Podstawowa nr 4, ul. Kazimierza Błaszaka 4, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;66;386;346;73
11;"Przedszkole nr 7, ul. Kolejowa 30, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;41;405;267;67
12;"Budynek Urzędu Miejskiego w Koninie, ul. Powstańców Wielkopolskich 14, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;26;190;146;40
13;"Przedszkole nr 25, ul. Kosmonautów 4a, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;41;297;258;62
14;"Zespół Szkół Górniczo-Energetycznych im. S. Staszica, ul. Bydgoska 2a, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;48;331;270;74
15;"Przedszkole nr 6, ul. Ludwika Solskiego 4, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;78;458;385;94
16;"Szkoła Podstawowa nr 6, ul. Kolejowa 2, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;41;185;210;65
17;"Zespół Szkół im. M. Kopernika, ul. Aleje 1 Maja 22, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;30;200;180;28
18;"Szkoła Podstawowa nr 9, ul. Fikusowa 8, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;79;746;469;128
19;"Szkoła Podstawowa nr 9, ul. Fikusowa 8, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;96;1058;432;113
20;"Przedszkole nr 16, ul. Szarotki 1, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;74;580;447;101
21;"Zespół Szkół im. M. Kopernika, ul. Żeglarska 9, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;33;226;177;36
22;"Przedszkole nr 8, ul. Przemysłowa 12, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;42;313;298;73
23;"Szkoła Podstawowa nr 8, ul. Kardynała Stefana Wyszyńskiego 24, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;32;247;173;34
24;"Zespół Szkół Górniczo-Energetycznych im. S. Staszica, ul. Kardynała Stefana Wyszyńskiego 3, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;44;342;263;67
25;"Akademia Nauk Stosowanych w Koninie, ul. Księdza Jerzego Popiełuszki 4, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;61;474;329;77
26;"Akademia Nauk Stosowanych w Koninie, ul. Księdza Jerzego Popiełuszki 4, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;77;504;380;115
27;"Zespół Szkół Budownictwa i Kształcenia Zawodowego, ul. Budowlanych 6, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;73;516;342;110
28;"Przedszkole nr 12, ul. Kardynała Stefana Wyszyńskiego 42, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;51;314;265;71
29;"Szkoła Podstawowa nr 7, ul. Kardynała Stefana Wyszyńskiego 44, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;27;234;201;42
30;"Dzienny Dom Pomocy Społecznej, ul. Południowa 2, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;4;11;15;4
31;"Przedszkole nr 15, ul. 11 Listopada 32, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;53;441;322;59
32;"Szkoła Podstawowa nr 3, ul. Sosnowa 16, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;75;457;321;76
33;"Przedszkole nr 11, ul. Sosnowa 8, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;46;326;227;51
34;"Klub Mieszkańców Konińskiej Spółdzielni Mieszkaniowej, ul. Wyzwolenia 13, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;62;505;263;69
35;"Przedszkole nr 17, ul. Okólna 57, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;75;474;300;62
36;"Szkoła Podstawowa nr 12, ul. Tadeusza Szeligowskiego 5, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;35;319;203;46
37;"Przedszkole nr 2, ul. Zygmunta Noskowskiego 4, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;40;263;215;46
38;"Szkoła Podstawowa nr 12, ul. Tadeusza Szeligowskiego 5, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;68;542;352;80
39;"III Liceum Ogólnokształcące, ul. Karola Szymanowskiego 5, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;76;611;316;88
40;"Przedszkole nr 2, ul. Zygmunta Noskowskiego 4, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;31;256;149;41
41;"Przedszkole nr 31, ul. Ludomira Różyckiego 3, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;53;406;274;52
42;"Przedszkole nr 10, ul. Fryderyka Chopina 11, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;88;636;427;100
43;"Świetlica Środowiskowa, ul. Przemysłowa 21, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;79;605;500;91
44;"Szkoła Podstawowa nr 11, ul. Łężyńska 9, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;86;474;480;129
45;"Szkoła Podstawowa nr 10, ul. Leopolda Staffa 5, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;84;326;384;94
46;"Wojewódzki Szpital Zespolony im. dr. Romana Ostrzyckiego w Koninie, ul. Kardynała Stefana Wyszyńskiego 1, 62-510 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;5;32;62;12
47;"Wojewódzki Szpital Zespolony im. dr. Romana Ostrzyckiego w Koninie, ul. Szpitalna 45, 62-500 Konin";306201;"m. Konin";"Konin";"wielkopolskie";1;1;7;24;56;12
