"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWAK Jacek Marian - KW BEZPARTYJNI SAMORZĄDOWCY";"BRYMORA Cezary Edward - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SKURKIEWICZ Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"DĄBROWSKI Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MNICH Beata - KOMITET WYBORCZY WYBORCÓW BEATA MNICH"
10;"Remizo-świetlica w Bujaku, Bujak 44, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;6;20;59;14;2
11;"Remizo-świetlica w Kobylanach, Kobylany 111, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;10;66;176;26;0
12;"PSP w Sołtykowie, Sołtyków ul. Adama Mickiewicza 2, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;35;179;193;28;6
13;"Budynek szkoły w Wólce Twarogowej, Wólka Twarogowa 21, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;6;13;99;5;4
14;"Remizo-świetlica w Zalesiu, Zalesie 87, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;12;26;83;5;1
1;"Remiza OSP w Wierzbicy, ul. Plac Jana Pawła II 11, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;52;234;451;98;27
2;"Gminny Ośrodek Kultury w Wierzbicy, ul. Ignacego Krasickiego 27, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;44;298;448;60;62
3;"Zespół Szkolno Przedszkolny w Rudzie Wielkiej, Ruda Wielka ul. Radomska 10, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;50;196;347;71;15
4;"Zespół Szkolno Przedszkolny w Łączanach, Łączany 41A, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;18;80;316;57;14
5;"Publiczna Szkoła Podstawowa w Dąbrówce Warszawskiej, Dąbrówka Warszawska 117A, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;30;98;220;34;13
6;"Zespół Szkolno Przedszkolny w Polanach, Polany 141, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;28;102;369;59;21
7;"Zespół Szkolno Przedszkolny w Zalesicach, Zalesice 31B, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;24;151;287;64;14
8;"Remiza OSP w Rzeczkowie, Rzeczków 26A, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;15;55;126;28;11
9;"Remiza OSP w Wierzbicy-Kolonii, Wierzbica-Kolonia 23B, 26-680 Wierzbica";142511;"gm. Wierzbica";"radomski";"mazowieckie";1;1;7;18;92;8;8
1;"Urząd Gminy Wolanów, ul. Radomska 20, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;59;287;637;138;14
2;"Publiczna Szkoła Podstawowa w Mniszku, Mniszek 101, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;40;161;317;63;12
3;"Publiczna Szkoła Podstawowa w Sławnie, Sławno 49, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;60;267;667;112;22
4;"Publiczna Szkoła Podstawowa w Bieniędzicach, Bieniędzice 21, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;14;86;180;28;8
5;"Klub Seniora, Młodocin Większy 12, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;20;108;197;36;10
6;"Publiczna Szkoła Podstawowa w Wolanowie, ul. Kolejowa 29, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;27;107;286;49;11
7;"Gminna świetlica w Strzałkowie, Strzałków 85, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;20;95;305;42;3
8;"Gminna Świetlica w Wawrzyszowie, Wawrzyszów 13, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;12;61;144;23;6
9;"Gminna Świetlica w Kolonii Wawrzyszów, Kolonia Wawrzyszów 23A, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;6;11;73;8;5
10;"Klub Seniora w Chruślicach, Chruślice 22, 26-625 Wolanów";142512;"gm. Wolanów";"radomski";"mazowieckie";1;1;2;18;92;13;0
1;"Publiczna Szkoła Podstawowa im. Jana Kochanowskiego, Zakrzew 58D, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;21;126;279;55;8
2;"Publiczna Szkoła Podstawowa im. Jana Kochanowskiego, Zakrzew 58D, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;37;144;517;81;10
3;"Publiczna Szkoła Podstawowa im. Jana Pawła II, Wola Taczowska 11B, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;34;128;513;68;24
4;"Publiczna Szkoła Podstawowa, Cerekiew ul. Wesoła 2, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;43;361;613;112;33
5;"Publiczna Szkoła Podstawowa im. Orła Białego, Dąbrówka Podłężna 29B, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;21;125;474;58;6
6;"Publiczna Szkoła Podstawowa im. Teresy Grodzińskiej, Bielicha ul. Przytycka 184, 26-600 Radom";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;80;482;696;117;44
7;"Dom Ludowy, Milejowice ul. Pogodna 1A, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;43;243;333;72;24
8;"Budynek Administracyjno-Gospodarczy, Janiszew ul. Zielona 127, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;62;293;525;99;21
9;"Publiczna Szkoła Podstawowa w Zakrzewie Szkoła Filialna w Mleczkowie, Mleczków ul. Szkolna 22, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;26;108;251;48;10
10;"Świetlica Wiejska w Zakrzewskiej Woli, Zakrzewska Wola 46, 26-652 Zakrzew";142513;"gm. Zakrzew";"radomski";"mazowieckie";1;1;13;82;274;43;10
1;"Szkoła Podstawowa w Chlewiskach, ul. Szkolna 15, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;54;207;372;92;97
2;"Świetlica Wiejska w Hucie, Huta 45B, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;13;37;162;23;36
3;"Świetlica Wiejska w Stefankowie, Stefanków 24B, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;3;37;69;7;7
4;"Świetlica Wiejska w Ostałowie, Ostałów 65, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;21;62;283;31;22
5;"Świetlica Wiejska w Pawłowie, Pawłów 232, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;14;97;170;29;103
6;"Szkoła Podstawowa w Budkach, Budki Drugie 1, 26-500 Szydłowiec";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;16;36;198;30;24
7;"Szkoła Podstawowa w Cukrówce, Cukrówka 57A, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;24;72;258;28;18
8;"Szkoła Podstawowa w Skłobach, Skłoby 1, 26-510 Chlewiska";143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";1;1;8;35;135;10;13
1;"Publiczna Szkoła Podstawowa w Jastrzębiu, ul. Kościuszki 51 B, 26-502 Jastrząb";143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";1;1;60;232;587;109;40
2;"Publiczna Szkoła Podstawowa w Gąsawach Rządowych, Gąsawy Rządowe 144 A, 26-502 Jastrząb";143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";1;1;46;137;348;69;49
3;"Publiczna Szkoła Podstawowa w Woli Lipienieckiej Dużej, Wola Lipieniecka Duża 41, 26-502 Jastrząb";143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";1;1;29;105;228;34;27
4;"Żłobek Gminny w Gąsawach Plebańskich, Gąsawy Plebańskie 48 B, 26-502 Jastrząb";143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";1;1;10;63;122;28;7
5;"Publiczna Szkoła Podstawowa w Nowym Dworze, Nowy Dwór 11 A, 26-502 Jastrząb";143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";1;1;19;98;276;37;13
6;"Budynek świetlicy wiejskiej w Kolonii Kuźni, Kolonia Kuźnia 21 B, 26-502 Jastrząb";143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";1;1;6;28;60;12;3
1;"Urząd Gminy Mirów, Mirów Stary 27, 26-503 Mirów Stary";143003;"gm. Mirów";"szydłowiecki";"mazowieckie";1;1;36;87;471;79;154
2;"Zespół Szkolno-Przedszkolny w Zbijowie Małym Nr 1, Zbijów Mały 1, 26-503 Mirów Stary";143003;"gm. Mirów";"szydłowiecki";"mazowieckie";1;1;16;62;222;43;24
3;"Publiczna Szkoła Podstawowa w Bieszkowie Dolnym, Bieszków Dolny 87, 26-503 Mirów Stary";143003;"gm. Mirów";"szydłowiecki";"mazowieckie";1;1;31;88;378;80;140
1;"Publiczna Szkoła Podstawowa w Orońsku, ul. Szkolna 3, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;59;306;514;116;25
2;"Dom Pomocy Społecznej w Łaziskach, Łaziska ul. Wspólna 1, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;14;99;226;32;11
3;"Publiczna Szkoła Podstawowa w Wałsnowie, Wałsnów 22a, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;18;75;268;36;5
4;"Świetlica w Tomaszowie, Tomaszów 44b, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;9;74;130;22;6
5;"Publiczna Szkoła Podstawowa w Guzowie, Guzów 20a, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;9;45;186;14;9
6;"Remiza Ochotniczej Straży Pożarnej w Chronowie, Chronów-Kolonia 62A, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;8;50;226;26;8
7;"Remiza Ochotniczej Straży Pożarnej w Dobrucie, Dobrut 55, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;20;60;207;29;8
8;"Przedszkole Samorządowe w Krogulczy Suchej, Krogulcza Sucha 34, 26-505 Orońsko";143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";1;1;22;76;174;32;4
1;"Zespół Szkół Ogólnokształcących im. Henryka Sienkiewicza w Szydłowcu, ul. Zamkowa 1, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;45;404;517;110;86
2;"Szydłowieckie Centrum Kultury-Zamek, ul. gen. Józefa Sowińskiego 2, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;46;277;568;69;85
3;"Publiczna Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi im. Jana III Sobieskiego w Szydłowcu, ul. Folwarczna 4, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;70;369;555;113;83
4;"Publiczna Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi im. Jana III Sobieskiego w Szydłowcu, ul. Wschodnia 19, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;37;378;469;79;110
5;"Publiczna Szkoła Podstawowa Nr 2 im. Jana Pawła II w Szydłowcu, ul. Wschodnia 57, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;48;267;464;86;96
6;"Przedszkole Samorządowe Nr 2 ""Mali Odkrywcy"" z Oddziałami Integracyjnymi w Szydłowcu, ul. Stanisława Staszica 3a, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;59;311;525;101;64
7;"Zespół Szkół im. Korpusu Ochrony Pogranicza w Szydłowcu, ul. Tadeusza Kościuszki 39, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;18;125;241;49;32
8;"Świetlica wiejska (budynek dawnej szkoły), Zdziechów 4, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;19;103;353;66;23
9;"Publiczna Szkoła Podstawowa im. Janusza Kusocińskiego w Sadku, Sadek 170, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;20;119;228;39;40
10;"Publiczna Szkoła Podstawowa im. Gen. Stefana Grota Roweckiego w Wysokiej, Wysoka 37, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;19;118;381;61;24
11;"Publiczna Szkoła Podstawowa im. Biskupa Jana Chrapka w Majdowie, Majdów 30, 26-500 Szydłowiec";143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";1;1;55;145;521;88;31
1;"Publiczna Szkoła Podstawowa w Kazanowie, ul. Kościelna 52, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;32;218;368;64;11
2;"Publiczna Szkoła Podstawowa w Kowalkowie, Kowalków-Kolonia 17, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;18;106;354;39;5
3;"Publiczna Szkoła Podstawowa w Zakrzówku, Zakrzówek-Wieś 7, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;14;70;243;42;5
4;"Budynek po Publicznej Szkole Podstawowej w Ostrownicy, Ostrownica 47, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;10;41;126;14;5
5;"Budynek Ochotniczej Staży Pożarnej w Niedarczowie, Niedarczów Górny-Kolonia 36, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;7;37;179;21;4
6;"Budynek Ochotniczej Straży Pożarnej w Kroczowie Mniejszym, Kroczów Mniejszy 21, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;6;31;86;17;4
7;"Budynek Ochotniczej Straży Pożarnej w Osuchowie, Osuchów 33, 26-713 Kazanów";143601;"gm. Kazanów";"zwoleński";"mazowieckie";1;1;13;38;124;18;3
1;"Urząd Gminy Policzna, ul. Bolesława Prusa 11, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;66;335;551;128;23
2;"Zespół Szkolno-Przedszkolny w Czarnolesie, Czarnolas 87, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;31;166;251;51;8
3;"Świetlica Wiejska w Gródku, Gródek 29B, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;3;42;67;4;7
4;"Świetlica Wiejska w Chechłach, Chechły 30, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;13;92;191;25;5
5;"Budynek po Publicznej Szkole Podstawowej w Wilczowoli, Wilczowola 12, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;25;81;214;43;6
6;"Remiza OSP w Zawadzie Starej, Zawada Stara 36A, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;8;30;147;17;6
7;"Remiza OSP we Władysławowie, Władysławów 45, 26-720 Policzna";143602;"gm. Policzna";"zwoleński";"mazowieckie";1;1;18;56;127;17;3
1;"Dom Kultury w Rudkach, Rudki 54A, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;23;70;193;24;7
2;"Gminna Biblioteka Publiczna w Przyłęku, Lipiny 33, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;37;133;333;65;17
3;"Publiczna Szkoła Podstawowa w Grabowie nad Wisłą, Grabów nad Wisłą 57, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;10;56;108;17;4
4;"Remiza Ochotniczej Straży Pożarnej w Łagowie, Łagów 30, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;8;74;145;25;7
5;"Publiczna Szkoła Podstawowa w Łaguszowie, Łaguszów 29, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;43;101;258;43;15
6;"Publiczna Szkoła Podstawowa w Babinie, Stefanów 38, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;27;122;308;73;11
7;"Lokal po byłej PSP w Lucimi, Lucimia 38A, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;6;23;83;9;5
8;"Budynek Ochotniczej Straży Pożarnej w Mszadli Starej, Mszadla Stara 31A, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;16;24;82;12;0
9;"Świetlica wiejska w Załazach, Załazy 25, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;8;37;75;21;3
10;"Budynek Ochotniczej Straży Pożarnej w Zamościu Starym, Zamość Stary 27A, 26-704 Przyłęk";143603;"gm. Przyłęk";"zwoleński";"mazowieckie";1;1;21;48;145;20;10
1;"Zespół Szkół w Tczowie, Tczów 113, 26-706 Tczów";143604;"gm. Tczów";"zwoleński";"mazowieckie";1;1;53;180;592;86;16
2;"Publiczna Szkoła Podstawowa w Brzezinkach Starych, Brzezinki Stare 41, 26-706 Tczów";143604;"gm. Tczów";"zwoleński";"mazowieckie";1;1;30;146;236;64;9
3;"Dom Ludowy w Bartodziejach, Bartodzieje 64, 26-706 Tczów";143604;"gm. Tczów";"zwoleński";"mazowieckie";1;1;18;75;142;16;5
4;"Publiczna Szkoła Podstawowa w Rawicy, Rawica-Kolonia 12, 26-706 Tczów";143604;"gm. Tczów";"zwoleński";"mazowieckie";1;1;19;88;330;47;5
5;"Publiczna Szkoła Podstawowa w Janowie, Janów 28A, 26-706 Tczów";143604;"gm. Tczów";"zwoleński";"mazowieckie";1;1;16;66;187;42;1
1;"Zespół Szkół Rolniczo-Technicznych w Zwoleniu, ul. Sienkiewicza 17, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;66;462;514;108;27
2;"Publiczna Szkoła Podstawowa w Zwoleniu, ul. Ludowa 35, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;102;617;774;159;25
3;"Urząd Miejski w Zwoleniu, ul. Plac Kochanowskiego 1, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;54;373;410;80;33
4;"Publiczna Szkoła Podstawowa w Zwoleniu budynek przy ul. Kościelnej 7, ul. Kościelna 7, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;79;452;510;96;23
5;"Świetlica Wiejska w Mieczysławowie, Mieczysławów 1, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;15;75;174;26;7
6;"Obiekt po sali gimnastycznej w Linowie, Linów 54, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;23;93;216;35;9
7;"Publiczna Szkoła Podstawowa w Paciorkowej Woli Nowej, Paciorkowa Wola Nowa 64, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;6;38;120;14;3
8;"Publiczna Szkoła Podstawowa w Sycynie-Kolonii, Sycyna-Kolonia 125, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;23;81;221;40;4
9;"Świetlica Wiejska w Jasieńcu-Kolonii, Jasieniec-Kolonia 175, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;20;104;318;48;11
10;"Świetlica Profilaktyczno-Wychowawcza w Strykowicach Górnych, Strykowice Górne 144, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;26;107;184;33;12
11;"Świetlica Wiejska w Zielonce Starej, Zielonka Stara 70, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;15;53;172;28;2
12;"Publiczna Szkoła Podstawowa w Sycynie budynek w Sydole, Sydół 64, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;11;83;160;41;1
13;"Świetlica Wiejska w Strykowicach Błotnych, Strykowice Błotne 42, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;10;34;136;26;5
14;"Szpital Rejonowy w Zwoleniu, ul. Władysława Jagiełły 12, 26-700 Zwoleń";143605;"gm. Zwoleń";"zwoleński";"mazowieckie";1;1;1;2;1;0;1
1;"V Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Romualda Traugutta, ul. Romualda Traugutta 52a, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;23;242;165;55;12
2;"III Liceum Ogólnokształcące im. płk. Dionizego Czachowskiego, ul. Romualda Traugutta 44, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;39;248;194;59;18
3;"Publiczna Szkoła Podstawowa Nr 13 z Oddziałami Integracyjnymi im. Ks. Józefa Poniatowskiego, ul. Henryka Sienkiewicza 30, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;40;362;266;83;10
4;"Publiczna Szkoła Podstawowa Nr 7 im. Kazimierza Pułaskiego, ul. Aleksandra Tybla 7/11, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;40;406;265;54;11
5;"Publiczna Szkoła Podstawowa Nr 13 z Oddziałami Integracyjnymi im. Ks. Józefa Poniatowskiego, ul. Henryka Sienkiewicza 30, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;27;303;238;46;12
6;"RTBS ""Administrator"" Spółka z o. o., ul. Ludwika Waryńskiego 16A, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;38;284;258;58;6
7;"Publiczna Szkoła Podstawowa Nr 7 im. Kazimierza Pułaskiego, ul. Aleksandra Tybla 7/11, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;15;218;144;32;11
8;"I Liceum Ogólnokształcące im. Mikołaja Kopernika, ul. Stefana Żeromskiego 10, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;22;234;141;40;13
9;"Zespół Szkół Technicznych im. Tadeusza Kościuszki, ul. Staromiejska 11, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;19;186;142;36;6
10;"Publiczna Szkoła Podstawowa Nr 28 im. Adama Mickiewicza, ul. Stefana Jaracza 8, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;56;554;413;77;31
11;"Zespół Szkół Budowlanych im. Kazimierza Wielkiego, ul. Tadeusza Kościuszki 7, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;25;263;166;39;15
12;"Uniwersytet Radomski im. Kazimierza Pułaskiego, Wydział Sztuki, ul. Jacka Malczewskiego 22, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;24;138;120;35;6
13;"Publiczna Szkoła Podstawowa Nr 5 im. Marii Dąbrowskiej, ul. gen. Józefa Sowińskiego 1, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;49;496;356;69;14
14;"Publiczna Szkoła Podstawowa Nr 5 im. Marii Dąbrowskiej, ul. gen. Józefa Sowińskiego 1, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;77;753;470;125;27
15;"Przedszkole Publiczne Nr 2, ul. gen. Jakuba Jasińskiego 4, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;31;304;275;53;12
16;"Publiczna Szkoła Podstawowa Nr 34, ul. Miła 18, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;63;546;394;84;20
17;"II Liceum Ogólnokształcące im. Marii Konopnickiej, ul. Janusza Kusocińskiego 8, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;25;301;268;49;12
18;"XI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Stanisława Staszica, ul. 11 Listopada 27, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;56;439;418;90;20
19;"Przedszkole Publiczne Nr 15, ul. Janusza Kusocińskiego 10a, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;46;329;343;70;24
20;"VI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jana Kochanowskiego, ul. Jana Kilińskiego 25, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;28;283;176;45;15
21;"VI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jana Kochanowskiego, ul. Jana Kilińskiego 25, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;39;296;228;47;16
22;"Przedszkole Publiczne Nr 4 im. Juliana Tuwima, ul. Jana Kilińskiego 20, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;27;245;159;34;14
23;"XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Polskich Noblistów, ul. 25 Czerwca 79, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;50;458;451;87;28
24;"Publiczna Szkoła Podstawowa Nr 33 im. Kawalerów Orderu Uśmiechu, ul. Oskara Kolberga 5, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;65;626;411;110;22
25;"Publiczna Szkoła Podstawowa Nr 33 im. Kawalerów Orderu Uśmiechu, ul. Oskara Kolberga 5, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;70;505;408;61;28
26;"Młodzieżowy Dom Kultury im. Heleny Stadnickiej, ul. Juliusza Słowackiego 17, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;44;405;428;61;17
27;"Młodzieżowy Dom Kultury im. Heleny Stadnickiej, ul. Juliusza Słowackiego 17, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;32;420;309;57;15
28;"Publiczna Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im. Orła Białego, ul. Adama Rapackiego 24, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;90;783;484;116;15
29;"Publiczna Szkoła Podstawowa Nr 24 im. Kornela Makuszyńskiego, ul. Powstańców Śląskich 4, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;54;463;556;78;8
30;"Przedszkole Publiczne Nr 1 im. Marii Konopnickiej, ul. płk. Jana Zientarskiego 3, 26-600 Radom";146301;"m. Radom";"Radom";"mazowieckie";1;1;74;749;531;122;29
