"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TOMASZEWSKI Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUNIN Artur Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
67;"Szkoła Podstawowa nr 81 im. Bohaterskich Dzieci Łodzi, ul. Emilii Plater 28/32, 91-762 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;613;1567
68;"Zespół Szkół Elektroniczno-Informatycznych im. Jana Szczepanika, ul. Strykowska 10/18, 91-725 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;451;1271
69;"Zespół Szkół Elektroniczno-Informatycznych im. Jana Szczepanika, ul. Strykowska 10/18, 91-725 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;246;620
70;"Szkoła Podstawowa nr 61 im. św. Franciszka z Asyżu, ul. Okólna 183, 91-520 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;155;216
71;"Świetlica Ochotniczej Straży Pożarnej Łódź-Łagiewniki, ul. Pszczelna 84, 91-511 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;213;482
73;"XXX Liceum Ogólnokształcące im. Ks. Biskupa Ignacego Krasickiego, ul. gen. Józefa Sowińskiego 50/56, 91-485 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;335;905
74;"Szkoła Podstawowa nr 172 im. prof. Stefana Banacha, ul. Jaskrowa 15, 91-480 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;333;960
75;"Specjalny Ośrodek Szkolno-Wychowawczy nr 6 im. mjr. Hieronima Baranowskiego, ul. Dziewanny 24, 91-866 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;257;516
76;"Przedszkole Miejskie nr 47, ul. Kazimierza Deczyńskiego 24, 91-867 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;460;862
77;"Zespół Szkół Geodezyjno-Technicznych im. Sybiraków, ul. Skrzydlata 15, 91-503 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;408;1046
78;"Szkoła Podstawowa nr 142 im. Zawiszy Czarnego, ul. Łupkowa 6, 91-527 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;375;1125
119;"Krajowe Towarzystwo Autyzmu Oddział w Łodzi, ul. Chocianowicka 198, 93-460 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;269;403
144;"Szkoła Podstawowa Mistrzostwa Sportowego Marcina Gortata, Szkoła Mistrzostwa Sportowego Liceum Ogólnokształcące Marcina Gortata, ul. Minerska 1/3, 94-304 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;381;1065
145;"XVIII Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. Feliksa Perla 11, 94-203 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;174;634
146;"XVIII Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. Feliksa Perla 11, 94-203 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;279;719
147;"Szkoła Podstawowa nr 91 im. Leonida Teligi, ul. Marcina Kasprzaka 45, 91-078 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;576;1405
148;"XXXIV Liceum Ogólnokształcące im. Krzysztofa Kieślowskiego, ul. Wapienna 17, 91-087 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;492;1283
149;"Szkoła Podstawowa nr 91 im. Leonida Teligi, ul. Marcina Kasprzaka 45, 91-078 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;338;693
150;"Miejskie Centrum Medyczne „Polesie” w Łodzi Przychodnia nr 33, ul. Marcina Kasprzaka 27, 91-078 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;307;661
