"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZAJDA Paweł Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"NITEK-PŁAŻYŃSKA Natalia - KW PRAWO I SPRAWIEDLIWOŚĆ";"KULECKI Łukasz Kazimierz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"CZARNOBAJ Leszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
6;"Świetlica Wiejska w Palczewie, Palczewo 38, 82-112 Ostaszewo";221003;"gm. Ostaszewo";"nowodworski";"pomorskie";1;1;12;35;10;41
1;"Gminny Ośrodek Kultury w Stegnie, ul. Gdańska 60, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;127;392;111;790
2;"Dom Ludowy w Rybinie, Rybina 63, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;36;115;22;126
3;"Szkoła Podstawowa w Tujsku, Tujsk 55, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;34;127;30;149
4;"Świetlica Wiejska w Dworku, Dworek 6, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;26;98;22;121
5;"Świetlica Wiejska w Bronowie, Bronowo 13b, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;22;79;31;88
6;"Świetlica Wiejska w Jantarze, Jantar ul. Gdańska 27A, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;79;259;84;468
7;"Szkoła Podstawowa w Mikoszewie, Mikoszewo ul. Gdańska 29, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;43;139;41;347
8;"Zespół Szkolno-Przedszkolny w Drewnicy, Drewnica ul. Wierzbowa 7, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;72;210;39;358
9;"Świetlica Wiejska w Nowotnej, Nowotna 25, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;21;57;12;87
10;"Świetlica Wiejska w Żuławkach, Żuławki 39, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;22;114;27;150
11;"Dom Pomocy Społecznej ""MORS"" w Stegnie, ul. Morska 11, 82-103 Stegna";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;4;22;3;11
12;"Szpital Rehabilitacyjny ""Jantar"" Sp. z o. o., ul. Rybacka 15, 82-103 Jantar";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;10;63;5;87
13;"Szpital Rehabilitacyjny ""Jantar"" Sp. z o. o., ul. Rybacka 44, 82-103 Jantar";221004;"gm. Stegna";"nowodworski";"pomorskie";1;1;6;36;3;89
1;"Urząd Gminy w Sztutowie, ul. Gdańska 55, 82-110 Sztutowo";221005;"gm. Sztutowo";"nowodworski";"pomorskie";1;1;153;422;136;771
2;"Świetlica w Kątach Rybackich, Kąty Rybackie ul. Rybacka 41, 82-110 Sztutowo";221005;"gm. Sztutowo";"nowodworski";"pomorskie";1;1;26;100;40;265
1;"Szkoła Podstawowa im. Tysiąclecia Państwa Polskiego w Dzierzgoniu-budynek główny, ul. Krzywa 17, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;42;281;77;435
2;"Sala Sportowa Zespołu Szkół im. C. K. Norwida w Dzierzgoniu, ul. Tadeusza Zawadzkiego ""Zośki"" 15, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;59;192;58;400
3;"Świetlica Nowiec, Nowiec 6, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;9;45;4;67
4;"Szkoła Podstawowa im. Świętego Wojciecha w Bągarcie, Bągart 3, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;15;68;21;63
5;"Świetlica Jasna, Jasna 8A, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;30;99;26;82
6;"Świetlica Żuławka Sztumska, Żuławka Sztumska 25, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;18;100;20;96
7;"Szkoła Podstawowa im. Wandy Chotomskiej w Bruku-sala gimnastyczna, Bruk 1, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;17;59;24;86
8;"Świetlica Ankamaty, Ankamaty 1, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;16;45;16;51
9;"Świetlica Stanowo, Stanowo 1, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;15;75;29;73
10;"Świetlica Tywęzy, Tywęzy 16, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;10;36;12;28
11;"Świetlica Morany, Morany 8/6, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;13;50;10;97
12;"Szkoła Podstawowa im. Tysiąclecia Państwa Polskiego w Dzierzgoniu-Centrum sportowo-rekreacyjne, ul. Krzywa 19, 82-440 Dzierzgoń";221601;"gm. Dzierzgoń";"sztumski";"pomorskie";1;1;74;293;62;419
1;"Szkoła Podstawowa w Mikołajkach Pomorskich, ul. Szreibera 10 - 12, 82-433 Mikołajki Pomorskie";221602;"gm. Mikołajki Pomorskie";"sztumski";"pomorskie";1;1;57;250;104;319
2;"Gminne Centrum Kulturalno Biblioteczne w Mikołajkach Pomorskich, ul. Szreibera 14, 82-433 Mikołajki Pomorskie";221602;"gm. Mikołajki Pomorskie";"sztumski";"pomorskie";1;1;25;115;67;73
3;"Świetlica Krasna Łąka, Krasna Łąka 28d, 82-433 Mikołajki Pomorskie";221602;"gm. Mikołajki Pomorskie";"sztumski";"pomorskie";1;1;27;75;39;63
4;"Świetlica Cieszymowo, Cieszymowo 1, 82-433 Mikołajki Pomorskie";221602;"gm. Mikołajki Pomorskie";"sztumski";"pomorskie";1;1;18;108;30;69
1;"Świetlica wiejska w Starym Mieście, Stare Miasto 36, 82-450 Stary Dzierzgoń";221603;"gm. Stary Dzierzgoń";"sztumski";"pomorskie";1;1;24;109;15;83
2;"Gminne Centrum Kulturalno Biblioteczne w Starym Dzierzgoniu, Stary Dzierzgoń 22A, 82-450 Stary Dzierzgoń";221603;"gm. Stary Dzierzgoń";"sztumski";"pomorskie";1;1;27;115;37;167
3;"Szkoła Podstawowa w Myślicach, Myślice 16, 82-450 Stary Dzierzgoń";221603;"gm. Stary Dzierzgoń";"sztumski";"pomorskie";1;1;27;193;47;142
4;"Świetlica Wiejska w Lubochowie, Lubochowo 54A, 82-450 Stary Dzierzgoń";221603;"gm. Stary Dzierzgoń";"sztumski";"pomorskie";1;1;17;101;30;86
5;"Budynek dawnej szkoły, Przezmark 32, 82-450 Stary Dzierzgoń";221603;"gm. Stary Dzierzgoń";"sztumski";"pomorskie";1;1;11;102;15;153
1;"Gminny Ośrodek Kultury w Starym Targu, ul. Nowotarska 1, 82-410 Stary Targ";221604;"gm. Stary Targ";"sztumski";"pomorskie";1;1;45;198;46;194
2;"Zespół Szkolno-Przedszkolny w Starym Targu, ul. Główna 37A, 82-410 Stary Targ";221604;"gm. Stary Targ";"sztumski";"pomorskie";1;1;54;179;60;138
3;"Świetlica Wiejska, Waplewo Wielkie 18, 82-410 Stary Targ";221604;"gm. Stary Targ";"sztumski";"pomorskie";1;1;35;220;35;138
4;"Szkoła Podstawowa, Szropy 40, 82-410 Stary Targ";221604;"gm. Stary Targ";"sztumski";"pomorskie";1;1;45;141;43;221
5;"Remiza OSP, Dąbrówka Malborska 65, 82-410 Stary Targ";221604;"gm. Stary Targ";"sztumski";"pomorskie";1;1;42;140;38;158
6;"Świetlica Wiejska, Bukowo 9, 82-410 Stary Targ";221604;"gm. Stary Targ";"sztumski";"pomorskie";1;1;22;102;27;64
1;"Świetlica wiejska w budynku po Szkole Podstawowej w Piekle, Piekło 30, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;22;62;28;109
2;"Zespół Szkół w Gościszewie, Gościszewo 75, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;41;140;42;269
3;"Zespół Szkół w Czerninie, Czernin ul. Donimirskich 19, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;49;283;68;471
4;"Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 60, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;44;159;27;184
5;"Świetlica Wiejska w Postolinie, Postolin 14B, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;24;87;23;108
6;"Szkoła Podstawowa Nr 1 w Sztumie, ul. Sienkiewicza 54, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;77;249;71;485
7;"Szkoła Podstawowa Nr 2 w Sztumie, ul. Reja 15A, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;74;306;102;581
8;"Biblioteka w Sztumie, ul. Nowowiejskiego 14T, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;38;156;23;312
9;"Siedziba Starostwa Powiatowego w Sztumie, ul. Mickiewicza 31, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;28;132;26;255
10;"Urząd Stanu Cywilnego w Sztumie, ul. Mickiewicza 39, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;89;221;67;650
11;"Zespół Szkół Zawodowych Barlewiczki, Barlewiczki 13, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;73;245;72;460
12;"Świetlica Straży Pożarnej w Sztumie, ul. Sienkiewicza 27, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;60;202;32;375
13;"Warsztaty Terapii Zajęciowej w Koniecwałdzie, Koniecwałd 1, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;27;107;52;131
14;"Świetlica Wiejska w Sztumskim Polu, Sztumskie Pole ul. Polanka 5, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;30;97;20;162
15;"Szpital w Sztumie, ul. Reja 12, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;5;47;7;44
16;"Zakład Karny w Sztumie, ul. Nowowiejskiego 14, 82-400 Sztum";221605;"gm. Sztum";"sztumski";"pomorskie";1;1;33;79;52;576
