"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TRELA Jacek Szczęsny - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SPRAWKA Lech Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIOTROWSKI Mirosław Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Mieczysław Antoni - KW RUCH NAPRAWY POLSKI";"NOWAK Marcin Andrzej - KWW MARCINA NOWAKA"
149;"Publiczne Przedszkole Integracyjne nr 40 w Lublinie, ul. Gospodarcza 18, 20-213 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;177;244;36;13;11
150;"Przedszkole nr 44, ul. Maszynowa 6, 20-218 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;228;234;58;32;24
151;"Szkoła Podstawowa nr 27 im. Marii Montessori, ul. Maszynowa 2, 20-218 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;222;219;47;12;23
152;"Filia DDK „Bronowice” Pracownie Kultury Tatary, ul. Hutnicza 28a, 20-218 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;164;183;41;24;11
153;"Powiatowy Urząd Pracy w Lublinie, ul. Mełgiewska 11c, 20-209 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;126;126;19;18;15
154;"Szkoła Podstawowa nr 48 im. Józefa Piłsudskiego, ul. Jana Kasprowicza 112, 20-232 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;323;433;144;36;32
155;"Przedszkole nr 84, ul. Zygmunta Augusta 28, 20-283 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;93;97;26;14;17
156;"Szkoła Podstawowa nr 52 im. Marii Konopnickiej, ul. Władysława Jagiełły 11, 20-281 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;590;456;171;53;55
157;"Szkoła Podstawowa nr 52 im. Marii Konopnickiej, ul. Władysława Jagiełły 11, 20-281 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;272;239;76;16;22
158;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 36, ul. Zygmunta Augusta 15, 20-283 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;806;660;246;54;86
159;"Rodzinny Ogród Działkowy „Słonecznik”, ul. Rąblowska 13, 20-509 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;217;237;69;17;27
160;"Szkoła Podstawowa nr 39 im. Szarych Szeregów, ul. Krężnicka 156, 20-518 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;481;533;139;42;33
161;"Szkoła Podstawowa nr 30 im. Króla Kazimierza Wielkiego, ul. Nałkowskich 110, 20-470 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;687;709;182;45;44
162;"Szkoła Podstawowa nr 30 im. Króla Kazimierza Wielkiego, ul. Nałkowskich 110, 20-470 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;476;531;96;44;35
163;"Przedszkole nr 78, ul. Jana Samsonowicza 9, 20-485 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;531;550;101;42;41
164;"Szkoła Podstawowa nr 30 im. Króla Kazimierza Wielkiego, ul. Nałkowskich 110, 20-470 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;449;515;111;38;47
165;"Przedszkole nr 66, ul. Jana Samsonowicza 33a, 20-485 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;400;384;102;40;24
166;"Szkoła Podstawowa nr 30 im. Króla Kazimierza Wielkiego, ul. Nałkowskich 110, 20-470 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;826;343;206;54;50
167;"Przedszkole nr 87, ul. Jacka Woronieckiego 11, 20-492 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;908;384;202;52;72
168;"PKP Polskie Linie Kolejowe S. A. Zakład Linii Kolejowych w Lublinie Sekcja Eksploatacji, ul. Nowy Świat 31a, 20-418 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;522;428;151;42;58
169;"Budynek dotychczasowego Domu Kultury Kolejarza, ul. Władysława Kunickiego 35, 20-417 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;447;447;168;48;59
170;"Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci i Młodzieży Niepełnosprawnych im. Prof. Zofii Sękowskiej w Lublinie, ul. Wyścigowa 31, 20-425 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;267;267;88;32;27
171;"Szkoła Podstawowa nr 1 im. ks. Stanisława Konarskiego, ul. Władysława Kunickiego 116, 20-436 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;657;548;157;52;41
172;"VI Liceum Ogólnokształcące im. Hugona Kołłątaja, ul. Adama Mickiewicza 36, 20-466 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;814;491;136;46;41
173;"Szkoła Podstawowa nr 40 im. Lubelskiego Lipca 1980, ul. Róży Wiatrów 9, 20-468 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;474;412;115;40;44
174;"Szkoła Podstawowa nr 40 im. Lubelskiego Lipca 1980, ul. Róży Wiatrów 9, 20-468 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;372;338;71;38;29
175;"Szkoła Podstawowa nr 2 im. Jana Kochanowskiego, ul. Adama Mickiewicza 24, 20-433 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;466;376;106;44;41
176;"VI Liceum Ogólnokształcące im. Hugona Kołłątaja, ul. Adama Mickiewicza 36, 20-466 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;329;293;77;22;22
177;"Szpital Neuropsychiatryczny im. Prof. Mieczysława Kaczyńskiego SPZOZ, ul. Abramowicka 2, 20-442 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;564;518;149;40;27
178;"Zespół Szkół Transportowo-Komunikacyjnych im. Tadeusza Kościuszki, ul. Zemborzycka 82, 20-445 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;152;116;40;5;23
179;"Wojewódzki Ośrodek Terapii Uzależnienienia od Alkoholu i Współuzależnienia, ul. Abramowicka 4b, 20-442 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;459;376;109;42;45
180;"Zespół Szkół Energetycznych im. prof. Kazimierza Drewnowskiego, ul. Długa 6, 20-346 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;408;324;102;31;39
181;"Przedszkole nr 7, ul. Elektryczna 12, 20-349 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;383;336;99;23;29
182;"Szkoła Podstawowa nr 15 im. Jana Pawła II, ul. Elektryczna 51, 20-349 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;472;374;93;31;38
183;"Szkoła Podstawowa nr 15 im. Jana Pawła II, ul. Elektryczna 51, 20-349 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;405;388;85;32;32
184;"Szkoła Podstawowa nr 32 z Oddziałami Integracyjnymi im. Pamięci Majdanka, ul. Kazimierza Przerwy-Tetmajera 2, 20-362 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;512;470;130;25;46
185;"Kolegium Pracowników Służb Społecznych, ul. Sulisławicka 7, 20-360 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;705;474;221;64;63
186;"Szkoła Podstawowa nr 2 im. Jana Kochanowskiego, ul. Adama Mickiewicza 24, 20-433 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;266;336;76;29;24
187;"Siedziba Rady i Zarządu Dzielnicy ABRAMOWICE, ul. Abramowicka 122, 20-391 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;364;381;129;39;24
188;"Szkoła Podstawowa nr 47 im. Józefa Ignacego Kraszewskiego, ul. Zdrowa 1, 20-380 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;554;508;143;46;33
189;"Zespół Szkół nr 13, ul. Berylowa 7, 20-582 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;757;275;197;47;40
190;"Zespół Szkół nr 13, ul. Berylowa 7, 20-582 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;931;287;212;39;57
191;"SP Szpital Kliniczny Nr 1 w Lublinie: Klinika Okulistyki Ogólnej, Klinika Chirurgii Siatkówki i Ciała Szklistego, Klinika Diagnostyki i Mikrochirurgii Jaskry, ul. Chmielna 1, 20-079 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;0;3;1;0;2
192;"SP Szpital Kliniczny Nr 1 w Lublinie, ul. Stanisława Staszica 11, 20-081 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;30;46;10;5;5
193;"SP Szpital Kliniczny Nr 1 w Lublinie: Klinika Chirurgii Onkologicznej, ul. Radziwiłłowska 13, 20-080 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;3;7;0;0;0
194;"SP Szpital Kliniczny Nr 1 w Lublinie: I Klinika Psychiatrii, Psychoterapii i Wczesnej Interwencji, II Klinika Psychiatrii i Rehabilitacji Psychiatrycznej, ul. Głuska 1, 20-439 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;13;10;8;6;4
195;"Wojewódzki Szpital Specjalistyczny im. Stefana Kardynała Wyszyńskiego SP ZOZ, ul. Mieczysława Biernackiego 9, 20-089 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;3;15;2;2;1
196;"Wojewódzki Szpital Specjalistyczny im. Stefana Kardynała Wyszyńskiego SP ZOZ, ul. Zbigniewa Herberta 21, 20-286 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;15;48;10;4;2
197;"Wojewódzki Szpital Specjalistyczny im. Stefana Kardynała Wyszyńskiego SP ZOZ, ul. Lubartowska 81, 20-123 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;7;10;1;1;1
198;"SP Szpital Kliniczny Nr 4 w Lublinie, ul. Dra Kazimierza Jaczewskiego 8, 20-090 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;117;146;25;14;13
199;"Centrum Onkologii Ziemi Lubelskiej im. św. Jana z Dukli, ul. Dra Kazimierza Jaczewskiego 7, 20-090 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;73;116;12;14;6
200;"Instytut Medycyny Wsi im. Witolda Chodźki, ul. Dra Kazimierza Jaczewskiego 2, 20-090 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;21;27;2;3;2
201;"1 Wojskowy Szpital Kliniczny z Polikliniką SP ZOZ w Lublinie, ul. aleje Racławickie 23, 20-049 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;29;45;4;5;3
202;"Wojewódzki Szpital Specjalistyczny im. Stefana Kardynała Wyszyńskiego SP ZOZ, ul. Aleja Kraśnicka 100, 20-550 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;81;121;25;8;9
203;"SP Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych w Lublinie, ul. Grenadierów 3, 20-331 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;10;24;3;2;1
204;"Szpital Neuropsychiatryczny im. Prof. Mieczysława Kaczyńskiego SP ZOZ w Lublinie, ul. Abramowicka 2, 20-442 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;35;109;13;10;4
205;"Dom Pomocy Społecznej im. Św. Jana Pawła II, ul. Ametystowa 22, 20-577 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;6;23;1;2;1
206;"Dom Pomocy Społecznej dla Osób Niepełnosprawnych Fizycznie, ul. Kosmonautów 78, 20-358 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;7;47;6;2;1
207;"Dom Pomocy Społecznej „Kalina”, ul. Kalinowszczyzna 84, 20-201 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;12;54;4;4;2
208;"Dom Pomocy Społecznej „Betania”, ul. Aleja Kraśnicka 223, 20-718 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;10;24;4;3;2
209;"Dom Pomocy Społecznej im. Wiktorii Michelisowej, ul. Archidiakońska 7, 20-113 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;4;12;4;1;1
210;"Areszt Śledczy w Lublinie, ul. Południowa 5, 20-482 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;372;79;148;63;28
211;"Dom Pomocy Społecznej im. Matki Teresy z Kalkuty, ul. Bartosza Głowackiego 26, 20-060 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;8;28;8;0;4
