"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWOSIELSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAMĄTOW Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASJANIUK Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"AUGUSTYNIAK Mirosław Jan - KWW M. AUGUSTYNIAK";"DĄBROWSKI Zbigniew - KW ZJEDNOCZENI";"ROGALSKI Bogusław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
8;"Świetlica Wiejska w Kordowie, Kordowo 39A, 07-415 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;58;151;32;83;7;18
1;"Szkoła Podstawowa im. gen. Józefa Bema w Rzekuniu (sala gimnastyczna), ul. Nowa 7, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;386;565;146;331;32;51
2;"Szkoła Podstawowa im. gen. Józefa Bema w Rzekuniu, ul. Szkolna 1, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;65;144;26;66;7;7
3;"Szkoła Podstawowa im. Orła Białego w Borawem, Borawe 107, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;89;226;49;95;6;18
4;"Szkoła Podstawowa im. Mieczysława Czychowskiego w Dzbeninie, Dzbenin 6A, 07-410 Ostrołęka";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;257;280;76;178;21;26
5;"Szkoła Podstawowa w Ołdakach, Ołdaki 8A, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;49;116;22;37;3;2
6;"Szkoła Podstawowa im. ks. Antoniego Pęksy w Laskowcu, Laskowiec ul. Długa 90, 07-401 Ostrołęka";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;163;290;69;111;18;20
7;"Świetlica Gminna w Czarnowcu, Czarnowiec ul. Dzikiej Róży 2, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;111;106;33;50;14;10
8;"Świetlica Gminna w Tobolicach, Tobolice 3, 07-410 Ostrołęka";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;102;101;25;64;6;6
9;"Świetlica Gminna w Susku Nowym, Susk Nowy 20, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;41;84;12;35;1;5
10;"Świetlica Gminna w Ławach, Ławy 81, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;174;231;41;81;17;19
11;"Świetlica Gminna OSP w Kamiance, Kamianka 41B, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;33;63;10;50;5;2
12;"Świetlica Gminna w Zabielu, Zabiele 59A, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;16;89;8;34;3;3
13;"Świetlica Gminna w Susku Starym, Susk Stary 9, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;34;53;15;29;3;5
14;"Świetlica Gminna w Rozworach, Rozwory 38, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;28;121;9;38;3;5
15;"Świetlica Gminna w Nowej Wsi Wschodniej, Nowa Wieś Wschodnia 27A, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;59;138;24;46;6;14
16;"Zakład Karny w Przytułach Starych, Przytuły Stare ul. Główna 32, 07-411 Rzekuń";141510;"gm. Rzekuń";"ostrołęcki";"mazowieckie";1;1;381;93;119;85;45;30
1;"Szkoła Podstawowa w Troszynie, ul. Szkolna 4, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;58;297;19;95;9;7
2;"Świetlica Wiejska w Łątczynie, Łątczyn 101, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;16;110;17;32;2;5
3;"Świetlica Wiejska w Milewie Wielkim, Milewo Wielkie 15, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;42;164;18;78;4;2
4;"Szkoła Podstawowa w Kleczkowie, Kleczkowo ul. Bielawska 2, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;43;281;35;61;8;8
5;"Świetlica Wiejska w Opęchowie, Opęchowo ul. Adama Mickiewicza 5, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;27;173;15;45;5;10
6;"Centrum Kultury w Troszynie, ul. Szkolna 6, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;149;215;53;157;15;14
7;"Świetlica Wiejska w Zamościu, Zamość ul. Ostrowska 17, 07-405 Troszyn";141511;"gm. Troszyn";"ostrołęcki";"mazowieckie";1;1;38;96;15;65;1;3
1;"Muzeum Dom Rodziny Pileckich (w organizacji), ul. Warszawska 4, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;475;521;140;85;24;35
2;"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki, ul. Partyzantów 39, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;433;466;107;72;31;26
3;"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki, ul. Partyzantów 39, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;283;257;58;33;10;18
4;"Miejskie Przedszkole Nr 2, ul. Zwycięstwa 2, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;500;485;98;62;26;38
5;"Centrum Integracji Społecznej, ul. Fryderyka Chopina 2B, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;433;381;100;62;27;17
6;"Zespół Szkół Nr 2, ul. Tadeusza Kościuszki 8, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;220;221;44;32;19;13
7;"Szkoła Podstawowa Nr 2 im. Papieża Jana Pawła II, ul. gen. Stefana Grota-Roweckiego 6, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;232;206;62;43;14;6
8;"Szkoła Podstawowa Nr 2 im. Papieża Jana Pawła II, ul. gen. Stefana Grota-Roweckiego 6, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;379;404;76;65;24;18
9;"Szkoła Podstawowa Nr 4 im. 18. Pułku Artylerii Lekkiej, ul. Szkoły Podchorążych Piechoty 1, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;480;429;121;84;22;14
10;"Szkoła Podstawowa Nr 3 im. Janusza Korczaka, ul. Widnichowska 4, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;456;398;75;55;23;16
11;"Szkoła Podstawowa Nr 3 im. Janusza Korczaka, ul. Widnichowska 4, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;535;436;118;103;33;30
12;"Liceum Ogólnokształcące im. Mikołaja Kopernika, ul. Tadeusza Kościuszki 36, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;414;396;70;49;22;22
13;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, ul. Stanisława Duboisa 68, 07-300 Ostrów Mazowiecka";141601;"m. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;27;50;5;3;4;1
1;"Szkoła Podstawowa, ul. Srebińska 12A, 07-305 Andrzejewo";141602;"gm. Andrzejewo";"ostrowski";"mazowieckie";1;1;97;374;56;96;8;23
2;"Szkoła Podstawowa, ul. Srebińska 12A, 07-305 Andrzejewo";141602;"gm. Andrzejewo";"ostrowski";"mazowieckie";1;1;98;375;47;57;17;9
3;"Szkoła Podstawowa, Stara Ruskołęka 40A, 07-305 Andrzejewo";141602;"gm. Andrzejewo";"ostrowski";"mazowieckie";1;1;39;177;28;50;4;8
4;"Świetlica Wiejska, Zaręby-Warchoły 27B, 07-305 Andrzejewo";141602;"gm. Andrzejewo";"ostrowski";"mazowieckie";1;1;55;192;21;36;11;8
5;"Świetlica Wiejska w Królach Dużych, Króle Duże 58, 07-305 Andrzejewo";141602;"gm. Andrzejewo";"ostrowski";"mazowieckie";1;1;61;214;36;28;4;5
1;"Szkoła Podstawowa, ul. Aleja Papieża Jana Pawła II 62, 07-325 Boguty-Pianki";141603;"gm. Boguty-Pianki";"ostrowski";"mazowieckie";1;1;107;381;48;23;9;12
2;"Szkoła Podstawowa, Białe-Szczepanowice 10, 07-325 Boguty-Pianki";141603;"gm. Boguty-Pianki";"ostrowski";"mazowieckie";1;1;30;178;18;3;5;8
3;"Świetlica Wiejska, Kutyłowo-Perysie 30A, 07-325 Boguty-Pianki";141603;"gm. Boguty-Pianki";"ostrowski";"mazowieckie";1;1;23;146;25;10;5;5
4;"Szkoła Podstawowa, Tymianki-Bucie 18, 07-325 Boguty-Pianki";141603;"gm. Boguty-Pianki";"ostrowski";"mazowieckie";1;1;16;169;9;15;1;5
5;"Szkoła Podstawowa, Zawisty-Dworaki 58, 07-325 Boguty-Pianki";141603;"gm. Boguty-Pianki";"ostrowski";"mazowieckie";1;1;20;94;15;6;4;10
1;"Zespół Publicznych Placówek Oświatowych, ul. Jana Pawła II 50, 07-306 Brok";141604;"gm. Brok";"ostrowski";"mazowieckie";1;1;221;262;47;76;14;21
2;"Szkoła Podstawowa, Kaczkowo Stare 86, 07-306 Brok";141604;"gm. Brok";"ostrowski";"mazowieckie";1;1;60;135;27;29;2;12
3;"Zespół Publicznych Placówek Oświatowych, ul. Jana Pawła II 50, 07-306 Brok";141604;"gm. Brok";"ostrowski";"mazowieckie";1;1;237;304;67;81;15;15
1;"Szkoła Podstawowa Nr 1, ul. Ostrowska 58, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;169;384;75;60;8;20
2;"Gminny Ośrodek Kultury i Sportu, ul. Przedszkolna 3, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;165;306;27;30;11;6
3;"Przedszkole Samorządowe, ul. Przedszkolna 2, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;133;231;37;68;13;9
4;"Szkoła Podstawowa Nr 2, ul. Leśna 15, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;224;274;47;42;20;9
5;"Szkoła Podstawowa Nr 2, ul. Leśna 15, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;150;245;39;34;8;2
6;"Szkoła Podstawowa, Kiełczew ul. Prymasa Tysiąclecia 49, 07-319 Prostyń";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;44;201;38;11;12;6
7;"Szkoła Podstawowa, Prostyń 60, 07-319 Prostyń";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;116;231;32;29;7;11
8;"Świetlica, Grądy 24A, 07-319 Prostyń";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;34;204;36;21;4;10
9;"Budynek byłej Szkoły Podstawowej, Kańkowo 58, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;52;158;38;17;3;11
10;"Remiza Ochotniczej Straży Pożarnej, Rostki Wielkie 27A, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;133;249;52;33;5;12
11;"Remiza Ochotniczej Straży Pożarnej, Daniłówka Pierwsza 129, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;73;255;33;21;15;11
12;"Szkoła Podstawowa, Orło 11, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;89;247;55;31;11;13
13;"Szkoła Podstawowa, Glina 83, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;65;174;27;18;5;5
14;"Remiza Ochotniczej Straży Pożarnej w Zawistach Podleśnych, Zawisty Podleśne 23a, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;36;98;9;8;2;1
15;"Świetlica Wiejska w Sumieżnem, Sumiężne 25, 07-320 Małkinia Górna";141605;"gm. Małkinia Górna";"ostrowski";"mazowieckie";1;1;29;150;22;3;5;7
1;"Świetlica Wiejska w Nurze, ul. Drohiczyńska 2A, 07-322 Nur";141606;"gm. Nur";"ostrowski";"mazowieckie";1;1;114;289;43;37;11;14
2;"Świetlica Wiejska w Godlewie-Warszach, Godlewo-Warsze 10A, 07-322 Nur";141606;"gm. Nur";"ostrowski";"mazowieckie";1;1;32;135;21;12;8;1
3;"Świetlica Wiejska w Murawskich Nadbużnych, Murawskie Nadbużne 36, 07-322 Nur";141606;"gm. Nur";"ostrowski";"mazowieckie";1;1;50;217;20;28;6;4
4;"Świetlica Wiejska w Zuzeli, Zuzela 28, 07-322 Nur";141606;"gm. Nur";"ostrowski";"mazowieckie";1;1;28;129;7;9;6;5
5;"Szkoła Podstawowa w Nurze, ul. Łomżyńska 14, 07-322 Nur";141606;"gm. Nur";"ostrowski";"mazowieckie";1;1;65;199;29;15;6;2
1;"Publiczna Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego, Dybki 18, 07-308 Dybki";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;42;154;22;12;1;1
2;"Remiza Ochotniczej Straży Pożarnej, ul. Szkolna 34, 07-308 Nowa Osuchowa";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;43;190;28;14;10;21
3;"Świetlica Wiejska, Nagoszewka Pierwsza 47, 07-300 Nagoszewka Pierwsza";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;64;154;23;26;9;10
4;"Niepubliczna Szkoła Podstawowa, Koziki 2, 07-300 Koziki";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;113;229;44;22;14;18
5;"Publiczna Szkoła Podstawowa im. płk. Dyplomowanego Ludwika Bociańskiego, ul. Mazowiecka 81, 07-310 Komorowo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;201;246;52;46;12;17
6;"Publiczna Szkoła Podstawowa im. płk. Dyplomowanego Ludwika Bociańskiego, ul. Mazowiecka 81, 07-310 Komorowo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;56;66;23;12;1;15
7;"Publiczna Szkoła Podstawowa im. mjr. Henryka Sucharskiego, Jelonki 16, 07-302 Jelonki";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;64;173;50;32;8;8
8;"Publiczna Szkoła Podstawowa im. Marii Konopnickiej, ul. Szkolna 15, 07-300 Stare Lubiejewo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;116;249;47;31;11;15
9;"Świetlica Wiejska, Prosienica 63, 07-304 Prosienica";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;61;223;26;26;8;2
10;"Niepubliczna Szkoła Podstawowa, Kalinowo 90, 07-304 Kalinowo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;123;263;54;23;6;10
11;"Publiczna Szkoła Podstawowa im. Janusza Korczaka, ul. Pawła Jasienicy 23, 07-304 Jasienica";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;76;151;34;36;7;17
12;"Świetlica Wiejska, Nieskórz 27, 07-304 Nieskórz";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;63;138;20;14;3;14
13;"Publiczna Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 28, 07-300 Ugniewo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;135;266;68;23;13;9
14;"Świetlica Wiejska, Kuskowizna 20, 07-300 Kuskowizna";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;32;108;15;16;3;4
15;"Przedszkole Samorządowe, ul. płk. Dyplomowanego Ludwika Bociańskiego 2, 07-310 Komorowo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;219;109;33;34;13;6
16;"Publiczna Szkoła Podstawowa im. Powstańców 1863 roku w Nagoszewie, Turka 40, 07-300 Turka";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;43;89;21;24;5;6
17;"Świetlica Wiejska, Stok 16, 07-310 Stok";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;49;99;20;23;4;9
18;"Remiza Ochotniczej Straży Pożarnej, Sielc 8, 07-300 Sielc";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;32;116;13;19;1;6
19;"Świetlica Wiejska, Biel 89, 07-300 Biel";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;26;104;22;11;0;2
20;"Świetlica Wiejska, Przyjmy k. Poręby 36, 07-308 Przyjmy k. Poręby";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;47;79;19;7;3;7
21;"Świetlica Wiejska, Jelenie 8, 07-302 Jelenie";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;20;63;9;15;2;4
22;"Świetlica Wiejska, Nowa Grabownica 21, 07-300 Nowa Grabownica";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;24;71;19;10;1;8
23;"Świetlica Wiejska, Stara Grabownica 107, 07-300 Stara Grabownica";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;65;111;22;21;3;7
24;"Dom Pomocy Społecznej ""Dom z Sercem"" w Komorowie, ul. Kościelna 2, 07-310 Komorowo";141607;"gm. Ostrów Mazowiecka";"ostrowski";"mazowieckie";1;1;5;8;1;2;0;1
1;"Szkoła Podstawowa, Stary Lubotyń 7, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;123;376;54;62;15;19
2;"Szkoła Podstawowa, Gniazdowo 23, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;34;129;16;14;2;8
3;"Szkoła Podstawowa, Sulęcin Szlachecki 73, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;58;165;27;16;8;8
4;"Remiza OSP, Podbiele 28A, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;36;211;24;52;3;7
5;"Remiza OSP, Rząśnik 47A, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;13;53;8;35;1;0
6;"Remiza OSP, Koskowo 23, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;13;69;6;13;3;0
7;"Remiza OSP, Kosewo 55, 07-303 Stary Lubotyń";141608;"gm. Stary Lubotyń";"ostrowski";"mazowieckie";1;1;20;107;24;8;9;1
1;"Szkoła Podstawowa w Szulborzu Wielkim, Skrzydło północne budynku (wejście przy sali gimnastycznej), ul. Szarych Szeregów 1, 07-324 Szulborze Wielkie";141609;"gm. Szulborze Wielkie";"ostrowski";"mazowieckie";1;1;102;280;45;109;12;13
2;"Szkoła Podstawowa w Szulborzu Wielkim, Skrzydło południowe budynku (wejście główne), ul. Szarych Szeregów 1, 07-324 Szulborze Wielkie";141609;"gm. Szulborze Wielkie";"ostrowski";"mazowieckie";1;1;60;269;50;74;15;9
1;"Publiczna Szkoła Podstawowa w Wąsewie, ul. Szkolna 3A, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;90;134;39;64;2;8
2;"Gminne Centrum Sportu i Rekreacji w Wąsewie, ul. Armii Krajowej 6, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;63;183;22;58;3;9
3;"Publiczna Szkoła Podstawowa w Brudkach Starych, Brudki Stare 73, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;29;78;16;24;0;4
4;"Publiczna Szkoła Podstawowa w Rząśniku Włościańskim, Rząśnik Włościański 30, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;74;146;18;49;2;3
5;"Budynek Szkoły Podstawowej w Trynosach-Osiedlu, Trynosy-Osiedle 14, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;119;184;38;52;5;4
6;"Wiejski Dom Kultury w Przedświcie, Przedświt 37A, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;30;110;14;20;1;3
7;"Publiczna Szkoła Podstawowa w Rząśniku Włościańskim, Rząśnik Włościański 30, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;85;127;27;21;6;1
8;"Gminna Biblioteka Publiczna w Wąsewie, ul. Zastawska 13A, 07-311 Wąsewo";141610;"gm. Wąsewo";"ostrowski";"mazowieckie";1;1;40;174;24;35;2;7
1;"Publiczna Szkoła Podstawowa, ul. Farna 20, 07-323 Zaręby Kościelne";141611;"gm. Zaręby Kościelne";"ostrowski";"mazowieckie";1;1;60;322;54;23;11;8
2;"Świetlica Wiejska w Zakrzewie-Kopijkach, Zakrzewo-Kopijki 16A, 07-323 Zaręby Kościelne";141611;"gm. Zaręby Kościelne";"ostrowski";"mazowieckie";1;1;50;237;34;5;3;5
3;"Budynek Komunalny w Zarębach Kościelnych, ul. Kowalska 16A, 07-323 Zaręby Kościelne";141611;"gm. Zaręby Kościelne";"ostrowski";"mazowieckie";1;1;166;439;65;72;17;18
4;"Świetlica Wiejska w Chmielewie, Chmielewo 52, 07-323 Zaręby Kościelne";141611;"gm. Zaręby Kościelne";"ostrowski";"mazowieckie";1;1;23;101;17;7;4;12
5;"Świetlica Wiejska w Gąsiorowie, Gąsiorowo 71A, 07-323 Zaręby Kościelne";141611;"gm. Zaręby Kościelne";"ostrowski";"mazowieckie";1;1;22;102;9;11;2;3
1;"Świetlica Wiejska, Gzy 8, 06-126 Gzy";142401;"gm. Gzy";"pułtuski";"mazowieckie";1;1;131;311;82;41;12;11
2;"Publiczna Szkoła Podstawowa im. Przyjaźni Polsko-Węgierskiej, Przewodowo Poduchowne 21, 06-126 Gzy";142401;"gm. Gzy";"pułtuski";"mazowieckie";1;1;213;387;53;49;16;14
3;"Świetlica Wiejska, Szyszki Włościańskie 35, 06-126 Gzy";142401;"gm. Gzy";"pułtuski";"mazowieckie";1;1;124;300;48;40;10;15
4;"Dom Pomocy Społecznej, Ołdaki-Stefanowo 7, 06-126 Gzy";142401;"gm. Gzy";"pułtuski";"mazowieckie";1;1;4;7;3;8;3;1
5;"Zakład Opiekuńczo-Leczniczy w Tąsewach, Tąsewy 8, 06-120 Winnica";142401;"gm. Gzy";"pułtuski";"mazowieckie";1;1;1;3;0;4;1;0
1;"Publiczna Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego w Obrytem, Obryte 114, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;212;448;91;57;11;16
2;"Świetlica Wiejska w Psarach, Psary 81, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;62;179;34;26;4;5
3;"Szkoła Filialna w Gródku Rządowym, Gródek Rządowy 34, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;98;203;35;24;10;13
4;"Szkoła Filialna im. Jana Pawła II w Sokołowie Włościańskim, Sokołowo Włościańskie 63, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;95;290;46;28;11;6
5;"Szkoła Filialna im. Janusza Korczaka w Zambskach Kościelnych, Zambski Kościelne 33, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;103;164;42;28;3;8
6;"Dom Pomocy Społecznej w Obrytem, Obryte 188, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;29;40;3;56;6;5
7;"Gminny Dom Kultury we wsi Sadykierz, Sadykierz 54, 07-215 Obryte";142402;"gm. Obryte";"pułtuski";"mazowieckie";1;1;59;91;14;15;1;7
1;"Szkoła Podstawowa z Oddziałami Integracyjnymi w Dzierżeninie, Dzierżenin 105, 06-114 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;265;256;49;23;15;16
2;"Szkoła Podstawowa im. Doroty Gellner w Pobyłkowie Dużym, Pobyłkowo Duże 15, 06-114 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;115;91;21;12;2;6
3;"Remiza Ochotniczej Straży Pożarnej w Pokrzywnicy, ul. Pułtuska 2, 06-121 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;228;352;71;35;9;19
4;"Szkoła Podstawowa im. Witolda Machnowskiego w Nowym Niestępowie, Nowe Niestępowo 7, 06-121 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;167;340;59;28;7;18
5;"Szkoła Podstawowa im. ks. Jana Twardowskiego w Gzowie, Gzowo 5, 06-114 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;122;195;46;17;6;6
6;"Świetlica Ochotniczej Straży Pożarnej w Trzepowie, Trzepowo 27, 06-114 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;56;75;20;4;5;4
7;"Świetlica Wiejska w Pobyłkowie Małym, Pobyłkowo Małe 51A, 06-114 Pokrzywnica";142403;"gm. Pokrzywnica";"pułtuski";"mazowieckie";1;1;93;95;23;12;5;6
1;"Zespół Szkół Nr 2 z oddziałami integracyjnymi, ul. Polna 7, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;253;158;45;38;17;11
2;"Miejskie Centrum Kultury i Sztuki, ul. Plac Teatralny 4, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;232;241;50;48;5;10
3;"Świetlica Wiejska w Lipie, Lipa 23A, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;132;215;35;34;11;2
4;"Zespół Szkolno-Przedszkolny, Przemiarowo 33, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;166;262;59;59;7;10
5;"Publiczna Szkoła Podstawowa im. bł. Jana Pawła II, Płocochowo 72, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;137;150;40;11;6;9
6;"Zespół Szkół Nr 2 z oddziałami integracyjnymi, ul. Polna 7, 06-100 Pułtusk";142404;"gm. Pułtusk";"pułtuski";"mazowieckie";1;1;443;444;69;73;25;18
